x,y,y_pred,machine,trial,subject
1,-98.76920022093411,19,1,1,1
5,-96.04614793780696,88,1,2,1
10,-92.64233258389804,27,1,3,1
15,-89.23851722998911,75,1,4,1
20,-85.83470187608019,91,1,5,1
25,-82.43088652217126,95,1,6,1
30,-79.02707116826234,8,1,7,1
35,-75.62325581435341,68,1,8,1
40,-72.21944046044449,63,1,9,1
45,-68.81562510653556,11,1,10,1
50,-65.41180975262664,38,1,11,1
55,-62.007994398717706,86,1,12,1
60,-58.60417904480878,85,1,13,1
65,-55.200363690899856,61,1,14,1
70,-51.79654833699093,50,1,15,1
75,-48.392732983082006,84,1,16,1
80,-44.98891762917308,46,1,17,1
85,-41.585102275264155,48,1,18,1
90,-38.18128692135523,30,1,19,1
95,-34.7774715674463,46,1,20,1
100,-31.373656213537377,57,1,21,1
1,-100.27213550424104,37,2,1,1
5,-100.30755033482619,37,2,2,1
10,-100.35181887305762,70,2,3,1
15,-100.39608741128905,17,2,4,1
20,-100.44035594952048,91,2,5,1
25,-100.48462448775192,52,2,6,1
30,-100.52889302598335,38,2,7,1
35,-100.57316156421479,76,2,8,1
40,-100.6174301024462,31,2,9,1
45,-100.66169864067764,6,2,10,1
50,-100.70596717890908,7,2,11,1
55,-100.75023571714051,54,2,12,1
60,-100.79450425537195,54,2,13,1
65,-100.83877279360337,62,2,14,1
70,-100.8830413318348,46,2,15,1
75,-100.92730987006624,79,2,16,1
80,-100.97157840829767,80,2,17,1
85,-101.01584694652911,45,2,18,1
90,-101.06011548476053,99,2,19,1
95,-101.10438402299197,82,2,20,1
100,-101.1486525612234,14,2,21,1
1,-100.54245011122207,14,3,1,1
5,-110.51737285920805,17,3,2,1
10,-122.98602629419055,22,3,3,1
15,-135.45467972917305,9,3,4,1
20,-147.92333316415554,85,3,5,1
25,-160.39198659913805,52,3,6,1
30,-172.8606400341205,38,3,7,1
35,-185.32929346910302,26,3,8,1
40,-197.7979469040855,93,3,9,1
45,-210.266600339068,94,3,10,1
50,-222.7352537740505,17,3,11,1
55,-235.20390720903296,1,3,12,1
60,-247.67256064401548,33,3,13,1
65,-260.1412140789979,59,3,14,1
70,-272.6098675139804,14,3,15,1
75,-285.07852094896293,99,3,16,1
80,-297.5471743839454,11,3,17,1
85,-310.0158278189279,97,3,18,1
90,-322.48448125391036,40,3,19,1
95,-334.9531346888929,80,3,20,1
100,-347.4217881238754,45,3,21,1
1,-100.41877280831561,77,4,1,1
5,-106.98078716903528,55,4,2,1
10,-115.18330511993489,87,4,3,1
15,-123.38582307083448,30,4,4,1
20,-131.58834102173407,46,4,5,1
25,-139.79085897263366,9,4,6,1
30,-147.99337692353328,37,4,7,1
35,-156.19589487443287,64,4,8,1
40,-164.39841282533246,55,4,9,1
45,-172.60093077623208,56,4,10,1
50,-180.80344872713164,91,4,11,1
55,-189.00596667803126,81,4,12,1
60,-197.20848462893085,87,4,13,1
65,-205.41100257983044,45,4,14,1
70,-213.61352053073003,72,4,15,1
75,-221.81603848162962,88,4,16,1
80,-230.01855643252924,93,4,17,1
85,-238.2210743834288,29,4,18,1
90,-246.42359233432842,96,4,19,1
95,-254.62611028522804,68,4,20,1
100,-262.8286282361276,99,4,21,1
1,-105.02399622243414,8,5,1,1
5,-120.16177419530476,49,5,2,1
10,-139.08399666139303,44,5,3,1
15,-158.0062191274813,80,5,4,1
20,-176.92844159356957,92,5,5,1
25,-195.85066405965784,95,5,6,1
30,-214.77288652574612,22,5,7,1
35,-233.6951089918344,54,5,8,1
40,-252.61733145792266,55,5,9,1
45,-271.53955392401093,23,5,10,1
50,-290.46177639009915,39,5,11,1
55,-309.3839988561875,67,5,12,1
60,-328.3062213222757,10,5,13,1
65,-347.228443788364,87,5,14,1
70,-366.1506662544523,44,5,15,1
75,-385.07288872054056,53,5,16,1
80,-403.99511118662883,6,5,17,1
85,-422.91733365271705,40,5,18,1
90,-441.8395561188053,0,5,19,1
95,-460.7617785848936,75,5,20,1
100,-479.68400105098186,81,5,21,1
1,-103.84683155805628,1,1,1,2
5,-115.90946533828618,77,1,2,2
10,-130.98775756357355,73,1,3,2
15,-146.0660497888609,98,1,4,2
20,-161.1443420141483,29,1,5,2
25,-176.22263423943565,31,1,6,2
30,-191.300926464723,43,1,7,2
35,-206.3792186900104,98,1,8,2
40,-221.45751091529777,81,1,9,2
