x,y,y_pred,machine,trial,subject
4,-101.82606091784338,16.0,1,1,1
8,-109.03738586544799,8.0,1,2,1
12,-116.2487108130526,108.0,1,3,1
16,-123.46003576065722,68.0,1,4,1
20,-130.67136070826186,460.0,1,5,1
24,-137.88268565586648,16.0,1,6,1
28,-145.09401060347108,56.0,1,7,1
32,-152.3053355510757,208.0,1,8,1
36,-159.51666049868032,136.0,1,9,1
40,-166.72798544628492,1220.0,1,10,1
44,-173.93931039388954,316.0,1,11,1
48,-181.15063534149417,346.0,1,12,1
52,-188.3619602890988,260.0,1,13,1
56,-195.5732852367034,116.0,1,14,1
60,-202.784610184308,1700.0,1,15,1
64,-209.99593513191263,296.0,1,16,1
68,-217.20726007951725,848.0,1,17,1
72,-224.41858502712188,176.0,1,18,1
76,-231.62990997472647,156.0,1,19,1
80,-238.8412349223311,1320.0,1,20,1
84,-246.05255986993572,164.0,1,21,1
88,-253.26388481754032,4020.0,1,22,1
92,-260.47520976514494,364.0,1,23,1
96,-267.6865347127495,1276.0,1,24,1
100,-274.8978596603542,900.0,1,25,1
4,-55.49154592243029,10.0,1,1,2
8,-62.1097656797236,18.147,1,2,2
12,-68.72798543701691,25.206,1,3,2
16,-75.34620519431022,30.195,1,4,2
20,-81.96442495160352,33.139,1,5,2
24,-88.58264470889684,34.06,1,6,2
28,-95.20086446619014,34.002,1,7,2
32,-101.81908422348344,32.98,1,8,2
36,-108.43730398077675,31.0,1,9,2
40,-115.05552373807005,28.172,1,10,2
44,-121.67374349536335,24.444,1,11,2
48,-128.29196325265664,19.8,1,12,2
52,-134.91018300994995,14.262,1,13,2
56,-141.52840276724325,7.8,1,14,2
60,-148.14662252453655,0.42,1,15,2
64,-154.76484228182986,-8.0,1,16,2
68,-161.38306203912316,-16.0,1,17,2
72,-168.00128179641646,-22.0,1,18,2
76,-174.61950155370977,-26.0,1,19,2
80,-181.23772131100307,-28.0,1,20,2
84,-187.85594106829637,-28.0,1,21,2
88,-194.47416082558968,-26.0,1,22,2
92,-201.09238058288298,-22.0,1,23,2
96,-207.7106003401763,-16.0,1,24,2
100,-214.32882009746962,-8.0,1,25,2
4,61.73472245648998,26.0,1,1,3
8,49.11637330184255,150.0,1,2,3
12,36.49802414719512,602.0,1,3,3
16,23.879674992547685,2370.0,1,4,3
20,11.261325837900252,9592.0,1,5,3
24,-1.3570233167471812,39974.0,1,6,3
28,-13.975372471394614,170056.0,1,7,3
32,-26.593721626042047,719226.0,1,8,3
36,-39.21207078068948,3101112.0,1,9,3
40,-51.83041993533691,131160.0,1,10,3
44,-64.44876908998434,5572112.0,1,11,3
48,-77.06711824463177,236516.0,1,12,3
52,-89.6854673992792,9977632.0,1,13,3
56,-102.30381655392664,4225168.0,1,14,3
60,-114.92216570857407,17827004.0,1,15,3
64,-127.5405148632215,74933.0,1,16,3
68,-140.15886401786895,313629.0,1,17,3
72,-152.77721317251638,13199362.0,1,18,3
76,-165.39556232716382,5561807.0,1,19,3
80,-178.01391148181125,23318414.0,1,20,3
84,-190.63226063645868,9737104.0,1,21,3
88,-203.25060979110611,40759304.0,1,22,3
92,-215.86895894575355,171608.0,1,23,3
96,-228.48730810040098,716221.0,1,24,3
100,-241.1056572550484,30176122.0,1,25,3
4,-94.48452819013123,16.0,1,1,4
8,-102.69180255461174,147.84,1,2,4
12,-110.89907691909227,675.808,1,3,4
16,-119.10635128357276,3286.0,1,4,4
20,-127.31362564805329,16362.0,1,5,4
24,-135.5209000125338,83860.0,1,6,4
28,-143.7281743770143,434176.0,1,7,4
32,-151.93544874149484,2187552.0,1,8,4
36,-160.14272310597534,109464.0,1,9,4
40,-168.34999747045583,547412.0,1,10,4
44,-176.55727183493636,2736816.0,1,11,4
48,-184.76454619941688,13734608.0,1,12,4
52,-192.97182056389738,68899168.0,1,13,4
56,-201.1790949283779,34447164.0,1,14,4
60,-209.38636929285843,1722360.0,1,15,4
64,-217.59364365733893,861179.0,1,16,4
68,-225.80091802181946,430589.0,1,17,4
72,-234.00819238629995,215294.0,1,18,4
76,-242.21546675078048,107647.0,1,19,4
80,-250.42274111526098,53823.0,1,20,4
84,-258.6300154797415,26911.0,1,21,4
88,-266.837289844222,13455.0,1,22,4
92,-275.0445642087025,6727.0,1,23,4
96,-283.251838573183,3363.0,1,24,4
100,-291.4591129376636,1681.0,1,25,4
4,58.97890848562695,51.0,1,1,5
8,53.04804243543505,166.0,1,2,5
12,47.117176385243155,281.0,1,3,5
16,41.18631033505125,396.0,1,4,5
20,35.25544428485935,511.0,1,5,5
24,29.324578234667456,626.0,1,6,5
28,23.393712184475554,741.0,1,7,5
32,17.46284613428365,856.0,1,8,5
36,11.53198008409175,971.0,1,9,5
40,5.601114033899847,1086.0,1,10,5
44,-0.3297520162920474,1201.0,1,11,5
48,-6.260618066483943,1316.0,1,12,5
52,-12.191484116675852,1431.0,1,13,5
56,-18.122350166867747,1546.0,1,14,5
60,-24.053216217059656,1661.0,1,15,5
64,-29.98408226725155,1776.0,1,16,5
68,-35.91494831744345,1891.0,1,17,5
72,-41.845814367635356,2006.0,1,18,5
76,-47.77668041782725,2121.0,1,19,5
80,-53.70754646801916,2236.0,1,20,5
84,-59.638412518211055,2351.0,1,21,5
88,-65.56927856840295,2466.0,1,22,5
92,-71.50014461859485,2581.0,1,23,5
96,-77.43101066878674,2696.0,1,24,5
100,-83.36187671897866,2811.0,1,25,5
4,17.770588340842497,5.0,1,1,6
8,5.625037139847132,16.0,1,2,6
12,-6.520514061148235,28.8,1,3,6
16,-18.6660652621436,47.2,1,4,6
20,-30.811616463138964,78.0,1,5,6
24,-42.95716766413433,117.6,1,6,6
28,-55.10271886512969,168.8,1,7,6
32,-67.24827006612506,226.8,1,8,6
36,-79.39382126712043,292.8,1,9,6
40,-91.53937246811579,367.2,1,10,6
44,-103.68492366911114,449.6,1,11,6
48,-115.83047487010653,540.0,1,12,6
52,-127.97602607110188,638.0,1,13,6
56,-140.12157727209726,743.0,1,14,6
60,-152.26712847309264,855.0,1,15,6
64,-164.412679674088,974.0,1,16,6
68,-176.55823087508335,1100.0,1,17,6
72,-188.70378207607874,1234.0,1,18,6
76,-200.8493332770741,1376.0,1,19,6
80,-212.99488447806945,1526.0,1,20,6
84,-225.14043567906484,1684.0,1,21,6
88,-237.28598688006016,1850.0,1,22,6
92,-249.43153808105555,2024.0,1,23,6
96,-261.57708928205096,2206.0,1,24,6
100,-273.7226404830463,2396.0,1,25,6
4,65.9926458870787,3.0,1,1,7
8,56.93338721303429,5.5,1,2,7
12,47.87412853898987,8.0,1,3,7
16,38.81486986494546,10.5,1,4,7
20,29.755611190901043,13.0,1,5,7
24,20.696352516856628,15.5,1,6,7
28,11.637093842812213,18.0,1,7,7
32,2.5778351687677974,20.5,1,8,7
36,-6.481423505276617,23.0,1,9,7
40,-15.540682179321031,25.5,1,10,7
44,-24.599940853365446,28.0,1,11,7
48,-33.65919952740986,30.5,1,12,7
52,-42.718458201454276,33.0,1,13,7
56,-51.77771687549869,35.5,1,14,7
60,-60.83697554954309,38.0,1,15,7
64,-69.89623422358753,40.5,1,16,7
68,-78.95549289763196,43.0,1,17,7
72,-88.01475157167636,45.5,1,18,7
76,-97.07401024572076,48.0,1,19,7
80,-106.13326891976519,50.5,1,20,7
84,-115.19252759380961,53.0,1,21,7
88,-124.25178626785402,55.5,1,22,7
92,-133.31104494189842,58.0,1,23,7
96,-142.37030361594284,60.5,1,24,7
100,-151.42956228998727,63.0,1,25,7
4,-4.338593472607211,12.0,1,1,8
8,-13.096262972742013,32.0,1,2,8
12,-21.85393247287681,54.0,1,3,8
16,-30.611601973011613,76.0,1,4,8
20,-39.36927147314642,98.0,1,5,8
24,-48.126940973281215,120.0,1,6,8
28,-56.88461047341602,142.0,1,7,8
32,-65.64227997355081,164.0,1,8,8
36,-74.39994947368561,186.0,1,9,8
40,-83.15761897382042,208.0,1,10,8
44,-91.91528847395521,230.0,1,11,8
48,-100.67295797409001,252.0,1,12,8
52,-109.43062747422482,274.0,1,13,8
56,-118.18829697435962,296.0,1,14,8
60,-126.94596647449443,318.0,1,15,8
64,-135.70363597462924,340.0,1,16,8
68,-144.46130547476403,362.0,1,17,8
72,-153.21897497489883,384.0,1,18,8
76,-161.97664447503365,406.0,1,19,8
80,-170.73431397516845,428.0,1,20,8
84,-179.49198347530324,450.0,1,21,8
88,-188.24965297543804,472.0,1,22,8
92,-197.00732247557283,494.0,1,23,8
96,-205.76499197570763,516.0,1,24,8
100,-214.52266147584245,538.0,1,25,8
4,80.91271894728169,2.0,1,1,9
8,71.7569946640106,5.5,1,2,9
12,62.60127038073953,9.0,1,3,9
16,53.445546097468444,12.5,1,4,9
20,44.28982181419736,16.0,1,5,9
24,35.134097530926276,19.5,1,6,9
28,25.97837324765519,23.0,1,7,9
32,16.822648964384104,26.5,1,8,9
36,7.666924681113022,30.0,1,9,9
40,-1.4887996021580625,33.5,1,10,9
44,-10.644523885429146,37.0,1,11,9
48,-19.800248168700232,40.5,1,12,9
52,-28.955972451971316,44.0,1,13,9
56,-38.1116967352424,47.5,1,14,9
60,-47.267421018513495,51.0,1,15,9
64,-56.423145301784565,54.5,1,16,9
68,-65.57886958505564,58.0,1,17,9
72,-74.73459386832674,61.5,1,18,9
76,-83.89031815159784,65.0,1,19,9
80,-93.04604243486891,68.5,1,20,9
84,-102.20176671813998,72.0,1,21,9
88,-111.35749100141108,75.5,1,22,9
92,-120.51321528468218,79.0,1,23,9
96,-129.66893956795323,82.5,1,24,9
100,-138.8246638512243,86.0,1,25,9
4,-19.76545377831863,16.0,1,1,10
8,-24.838180853123088,48.0,1,2,10
12,-29.910907927927546,112.0,1,3,10
16,-34.983635002732,192.0,1,4,10
20,-40.056362077536456,288.0,1,5,10
24,-45.12908915234092,410.0,1,6,10
28,-50.20181622714537,680.0,1,7,10
32,-55.27454330194983,960.0,1,8,10
36,-60.34727037675428,1440.0,1,9,10
40,-65.41999745155874,1920.0,1,10,10
44,-70.4927245263632,2000.0,1,11,10
48,-75.56545160116765,2080.0,1,12,10
52,-80.63817867597211,2177.0,1,13,10
56,-85.71090575077658,2496.0,1,14,10
60,-90.78363282558102,2848.0,1,15,10
64,-95.85635990038548,3264.0,1,16,10
68,-100.92908697518995,3744.0,1,17,10
72,-106.0018140499944,3812.0,1,18,10
76,-111.07454112479886,3900.0,1,19,10
80,-116.1472681996033,4100.0,1,20,10
84,-121.21999527440776,4356.0,1,21,10
88,-126.29272234921223,4568.0,1,22,10
92,-131.36544942401665,4920.0,1,23,10
96,-136.43817649882112,4960.0,1,24,10
100,-141.5109035736256,5184.0,1,25,10
4,78.28743353256773,35.0,1,1,11
8,71.26780460167372,15.0,1,2,11
12,64.2481756707797,15.1,1,3,11
16,57.22854673988569,5.0,1,4,11
20,50.20891780899168,6.0,1,5,11
24,43.18928887809766,-13.0,1,6,11
28,36.16965994720365,5.8,1,7,11
32,29.150031016309637,5.0,1,8,11
36,22.13040208541562,-15.0,1,9,11
40,15.110773154521612,0.0,1,10,11
44,8.091144223627596,-5.0,1,11,11
48,1.071515292733582,-5.0,1,12,11
52,-5.948113638160433,0.0,1,13,11
56,-12.96774256905445,0.0,1,14,11
60,-19.987371499948463,-3.0,1,15,11
64,-27.007000430842478,15.0,1,16,11
68,-34.0266293617365,5.5,1,17,11
72,-41.04625829263051,14.8,1,18,11
76,-48.06588722352451,-16.0,1,19,11
80,-55.08551615441853,0.0,1,20,11
84,-62.10514508531254,-5.0,1,21,11
88,-69.12477401620656,-12.0,1,22,11
92,-76.14440294710057,0.0,1,23,11
96,-83.16403187799459,18.0,1,24,11
100,-90.1836608088886,7.8,1,25,11
4,77.83169055280288,16.0,1,1,12
8,69.07959780302537,64.0,1,2,12
12,60.32750505324784,216.0,1,3,12
16,51.57541230347032,512.0,1,4,12
20,42.823319553692805,1296.0,1,5,12
