x,y,y_pred,machine,trial,subject
1,-97.24918336273936,3.0,1,1,1
5,-107.48343725690714,1.5,1,2,1
10,-120.27625462461687,-1.0,1,3,1
15,-133.0690719923266,-4.5,1,4,1
20,-145.86188936003634,-8.0,1,5,1
25,-158.65470672774606,-11.5,1,6,1
30,-171.44752409545578,-15.0,1,7,1
35,-184.24034146316552,-18.5,1,8,1
40,-197.03315883087527,-22.0,1,9,1
45,-209.82597619858498,-25.5,1,10,1
50,-222.6187935662947,-29.0,1,11,1
55,-235.41161093400444,-32.5,1,12,1
60,-248.2044283017142,-36.0,1,13,1
65,-260.9972456694239,-39.5,1,14,1
70,-273.7900630371336,-43.0,1,15,1
75,-286.58288040484337,-46.5,1,16,1
80,-299.3756977725531,-50.0,1,17,1
85,-312.1685151402628,-53.5,1,18,1
90,-324.96133250797254,-57.0,1,19,1
95,-337.7541498756823,-60.5,1,20,1
100,-350.54696724339203,-64.0,1,21,1
1,-58.34383518200438,-1.5,2,1,1
5,-66.85020203358859,-3.0,2,2,1
10,-77.48316059806886,-5.0,2,3,1
15,-88.11611916254913,-7.5,2,4,1
20,-98.74907772702939,-10.0,2,5,1
25,-109.38203629150966,-12.5,2,6,1
30,-120.01499485598991,-15.0,2,7,1
35,-130.6479534204702,-17.5,2,8,1
40,-141.28091198495048,-20.0,2,9,1
45,-151.91387054943073,-22.5,2,10,1
50,-162.546829113911,-25.0,2,11,1
55,-173.17978767839128,-27.5,2,12,1
60,-183.81274624287153,-30.0,2,13,1
65,-194.44570480735177,-32.5,2,14,1
70,-205.07866337183208,-35.0,2,15,1
75,-215.71162193631233,-37.5,2,16,1
80,-226.34458050079257,-40.0,2,17,1
85,-236.97753906527288,-42.5,2,18,1
90,-247.61049762975313,-45.0,2,19,1
95,-258.2434561942334,-47.5,2,20,1
100,-268.8764147587137,-50.0,2,21,1
1,-35.74618480996395,-53.0,3,1,1
5,-39.61633721769971,-53.5,3,2,1
10,-44.45402772736941,-53.5,3,3,1
15,-49.2917182370391,-53.5,3,4,1
20,-54.1294087467088,-54.0,3,5,1
25,-58.96709925637849,-54.5,3,6,1
30,-63.80478976604819,-55.0,3,7,1
35,-68.64248027571789,-55.5,3,8,1
40,-73.48017078538759,-56.5,3,9,1
45,-78.31786129505727,-57.0,3,10,1
50,-83.15555180472697,-57.5,3,11,1
55,-87.99324231439667,-58.5,3,12,1
60,-92.83093282406637,-59.0,3,13,1
65,-97.66862333373606,-59.5,3,14,1
70,-102.50631384340576,-60.0,3,15,1
75,-107.34400435307546,-60.5,3,16,1
80,-112.18169486274516,-61.5,3,17,1
85,-117.01938537241485,-62.0,3,18,1
90,-121.85707588208454,-62.5,3,19,1
95,-126.69476639175424,-63.0,3,20,1
100,-131.53245690142393,-63.5,3,21,1
1,-29.23302094410653,-1.0,4,1,1
5,-35.75425977603554,-5.0,4,2,1
10,-43.9058083159468,-10.0,4,3,1
15,-52.05735685585807,-15.0,4,4,1
20,-60.20890539576933,-20.0,4,5,1
25,-68.3604539356806,-25.0,4,6,1
30,-76.51200247559186,-30.0,4,7,1
35,-84.66355101550312,-35.0,4,8,1
40,-92.81509955541438,-40.0,4,9,1
45,-100.96664809532565,-45.0,4,10,1
50,-109.11819663523691,-50.0,4,11,1
55,-117.26974517514817,-55.0,4,12,1
60,-125.42129371505943,-60.0,4,13,1
65,-133.57284225497068,-65.0,4,14,1
70,-141.72439079488194,-70.0,4,15,1
75,-149.8759393347932,-75.0,4,16,1
80,-158.02748787470446,-80.0,4,17,1
85,-166.17903641461572,-85.0,4,18,1
90,-174.330584954527,-90.0,4,19,1
95,-182.48213349443827,-95.0,4,20,1
100,-190.63368203434953,-100.0,4,21,1
1,-60.882401346420146,-5.5,5,1,1
5,-71.9153048652528,-2.1,5,2,1
10,-85.70643426379364,1.2,5,3,1
15,-99.49756366233449,5.5,5,4,1
20,-113.2886930608753,9.7,5,5,1
25,-127.07982245941614,13.9,5,6,1
30,-140.870951857957,18.3,5,7,1
35,-154.66208125649783,22.1,5,8,1
40,-168.45321065503865,26.1,5,9,1
45,-182.2443400535795,30.2,5,10,1
50,-196.0354694521203,34.3,5,11,1
55,-209.82659885066116,38.5,5,12,1
60,-223.617728249202,42.8,5,13,1
65,-237.40885764774282,47.3,5,14,1
70,-251.19998704628367,51.0,5,15,1
75,-264.99111644482446,54.9,5,16,1
80,-278.78224584336533,58.8,5,17,1
85,-292.5733752419061,62.9,5,18,1
90,-306.36450464044697,67.3,5,19,1
95,-320.1556340389878,71.9,5,20,1
100,-333.9467634375286,78.2,5,21,1
1,-42.79628711055095,10.0,1,1,2
5,-46.631748281532936,14.0,1,2,2
10,-51.42607474526042,16.0,1,3,2
15,-56.22040120898791,16.0,1,4,2
20,-61.01472767271539,12.0,1,5,2
25,-65.80905413644287,8.0,1,6,2
30,-70.60338060017035,4.0,1,7,2
35,-75.39770706389784,0.0,1,8,2
40,-80.19203352762533,-4.0,1,9,2
45,-84.98635999135281,-8.0,1,10,2
50,-89.78068645508029,-10.0,1,11,2
55,-94.57501291880776,-11.0,1,12,2
60,-99.36933938253524,-12.0,1,13,2
65,-104.16366584626273,-11.0,1,14,2
70,-108.95799230999022,-9.0,1,15,2
75,-113.7523187737177,-5.0,1,16,2
80,-118.54664523744519,-1.0,1,17,2
85,-123.34097170117268,4.0,1,18,2
90,-128.13529816490018,8.0,1,19,2
95,-132.92962462862764,10.0,1,20,2
100,-137.72395109235512,11.0,1,21,2
1,83.81331415807604,0.019,2,1,2
5,73.84415052677413,0.095,2,2,2
10,61.38269598764675,0.19,2,3,2
15,48.92124144851937,0.285,2,4,2
20,36.45978690939198,0.38,2,5,2
25,23.9983323702646,0.475,2,6,2
30,11.53687783113722,0.57,2,7,2
35,-0.9245767079901679,0.665,2,8,2
40,-13.386031247117556,0.76,2,9,2
45,-25.84748578624493,0.855,2,10,2
50,-38.30894032537232,0.95,2,11,2
55,-50.77039486449971,1.035,2,12,2
60,-63.23184940362708,1.13,2,13,2
65,-75.69330394275445,1.225,2,14,2
70,-88.15475848188186,1.32,2,15,2
75,-100.61621302100923,1.415,2,16,2
80,-113.07766756013663,1.51,2,17,2
85,-125.539122099264,1.605,2,18,2
90,-138.00057663839138,1.7,2,19,2
95,-150.46203117751878,1.795,2,20,2
100,-162.92348571664616,1.89,2,21,2
1,-54.08660167831608,-24.3,3,1,2
5,-64.28498371645395,-14.7,3,2,2
10,-77.0329612641263,-5.1,3,3,2
15,-89.78093881179865,4.5,3,4,2
20,-102.528916359471,13.1,3,5,2
25,-115.27689390714335,21.6,3,6,2
30,-128.0248714548157,30.1,3,7,2
35,-140.77284900248804,38.6,3,8,2
40,-153.5208265501604,47.1,3,9,2
45,-166.26880409783274,55.5,3,10,2
50,-179.0167816455051,63.9,3,11,2
55,-191.76475919317744,72.3,3,12,2
60,-204.5127367408498,80.7,3,13,2
65,-217.26071428852214,89.0,3,14,2
70,-230.0086918361945,97.2,3,15,2
75,-242.75666938386684,105.3,3,16,2
80,-255.50464693153918,113.2,3,17,2
85,-268.2526244792116,121.0,3,18,2
90,-281.00060202688394,128.5,3,19,2
95,-293.7485795745563,135.8,3,20,2
100,-306.49655712222864,142.8,3,21,2
1,-41.96291981285455,-345.8,4,1,2
5,-54.76838854106741,-348.7,4,2,2
10,-70.77522445133349,-263.9,4,3,2
15,-86.78206036159956,-206.0,4,4,2
20,-102.78889627186562,-146.2,4,5,2
25,-118.79573218213169,-86.4,4,6,2
30,-134.80256809239773,-26.6,4,7,2
35,-150.80940400266383,33.1,4,8,2
40,-166.8162399129299,92.9,4,9,2
45,-182.82307582319595,152.6,4,10,2
50,-198.829911733462,212.4,4,11,2
55,-214.83674764372807,272.2,4,12,2
60,-230.84358355399416,332.0,4,13,2
65,-246.85041946426023,391.7,4,14,2
70,-262.8572553745263,451.5,4,15,2
75,-278.8640912847924,511.3,4,16,2
80,-294.87092719505847,571.1,4,17,2
85,-310.87776310532445,630.9,4,18,2
90,-326.88459901559054,690.7,4,19,2
95,-342.89143492585663,750.5,4,20,2
