x,y,y_pred,machine,trial,subject
1,-101.27664535009524,1.0,1,1,1
5,-105.772372463089,2.0,1,2,1
10,-111.39203135433121,4.0,1,3,1
15,-117.0116902455734,9.0,1,4,1
20,-122.6313491368156,16.0,1,5,1
25,-128.2510080280578,25.0,1,6,1
30,-133.87066691930002,36.0,1,7,1
35,-139.4903258105422,49.0,1,8,1
40,-145.1099847017844,64.0,1,9,1
45,-150.72964359302662,81.0,1,10,1
50,-156.3493024842688,100.0,1,11,1
55,-161.96896137551101,121.0,1,12,1
60,-167.58862026675322,144.0,1,13,1
65,-173.2082791579954,169.0,1,14,1
70,-178.82793804923762,196.0,1,15,1
75,-184.44759694047983,225.0,1,16,1
80,-190.067255831722,256.0,1,17,1
85,-195.68691472296422,289.0,1,18,1
90,-201.30657361420643,324.0,1,19,1
95,-206.9262325054486,361.0,1,20,1
100,-212.54589139669082,400.0,1,21,1
1,-102.49725823375368,-22.11,2,1,1
5,-111.94100844559831,-50.87,2,2,1
10,-123.74569621040409,-85.0,2,3,1
15,-135.5503839752099,-123.3,2,4,1
20,-147.3550717400157,-165.6,2,5,1
25,-159.15975950482147,-211.7,2,6,1
30,-170.96444726962727,-261.4,2,7,1
35,-182.76913503443305,-314.5,2,8,1
40,-194.57382279923883,-370.9,2,9,1
45,-206.37851056404463,-430.4,2,10,1
50,-218.18319832885044,-493.0,2,11,1
55,-229.9878860936562,-558.5,2,12,1
60,-241.792573858462,-626.7,2,13,1
65,-253.5972616232678,-697.4,2,14,1
70,-265.40194938807355,-770.2,2,15,1
75,-277.20663715287935,-844.9,2,16,1
80,-289.01132491768516,-921.2,2,17,1
85,-300.8160126824909,-999.0,2,18,1
90,-312.6207004472967,-1078.0,2,19,1
95,-324.4253882121025,-1157.0,2,20,1
100,-336.2300759769083,-1236.2,2,21,1
1,-99.60340663894888,-10.1,3,1,1
5,-102.94741477230043,-54.9,3,2,1
10,-107.12742493898988,-114.8,3,3,1
15,-111.30743510567932,-175.8,3,4,1
20,-115.48744527236876,-235.7,3,5,1
25,-119.6674554390582,-296.3,3,6,1
30,-123.84746560574764,-356.7,3,7,1
35,-128.0274757724371,-417.0,3,8,1
40,-132.20748593912654,-477.4,3,9,1
45,-136.38749610581598,-537.8,3,10,1
50,-140.56750627250543,-598.0,3,11,1
55,-144.74751643919487,-658.4,3,12,1
60,-148.9275266058843,-718.7,3,13,1
65,-153.10753677257375,-780.0,3,14,1
70,-157.2875469392632,-840.5,3,15,1
75,-161.46755710595264,-901.7,3,16,1
80,-165.64756727264208,-962.1,3,17,1
85,-169.82757743933152,-1023.09,3,18,1
90,-174.00758760602096,-1084.0,3,19,1
95,-178.1875977727104,-1145.3,3,20,1
100,-182.36760793939985,-1206.3,3,21,1
1,-100.70157313757662,-14.2,4,1,1
5,-109.43218835200977,-19.2,4,2,1
10,-120.34545737005122,-28.4,4,3,1
15,-131.25872638809267,-41.4,4,4,1
20,-142.1719954061341,-57.4,4,5,1
25,-153.08526442417556,-75.4,4,6,1
30,-163.99853344221702,-95.4,4,7,1
35,-174.91180246025846,-117.4,4,8,1
40,-185.82507147829992,-141.4,4,9,1
45,-196.73834049634138,-167.4,4,10,1
50,-207.6516095143828,-195.4,4,11,1
55,-218.56487853242427,-225.4,4,12,1
60,-229.47814755046574,-257.4,4,13,1
65,-240.3914165685072,-291.4,4,14,1
70,-251.30468558654863,-327.4,4,15,1
75,-262.2179546045901,-365.4,4,16,1
80,-273.1312236226315,-405.6,4,17,1
85,-284.04449264067296,-447.8,4,18,1
90,-294.95776165871445,-492.2,4,19,1
95,-305.8710306767559,-538.8,4,20,1
100,-316.78429969479737,-587.6,4,21,1
1,-101.16839665938816,-93.8,5,1,1
5,-108.02605741319374,-101.8,5,2,1
10,-116.59813335545071,-105.6,5,3,1
15,-125.17020929770769,-105.4,5,4,1
20,-133.74228523996464,-102.9,5,5,1
25,-142.31436118222163,-98.0,5,6,1
30,-150.8864371244786,-92.7,5,7,1
35,-159.45851306673555,-87.7,5,8,1
40,-168.03058900899254,-84.4,5,9,1
45,-176.6026649512495,-82.7,5,10,1
50,-185.17474089350648,-82.9,5,11,1
55,-193.74681683576344,-85.6,5,12,1
60,-202.3188927780204,-90.8,5,13,1
65,-210.89096872027739,-98.3,5,14,1
70,-219.46304466253437,-107.7,5,15,1
75,-228.03512060479133,-118.8,5,16,1
80,-236.6071965470483,-130.3,5,17,1
85,-245.17927248930525,-140.8,5,18,1
90,-253.7513484315622,-149.9,5,19,1
95,-262.32342437381925,-156.7,5,20,1
100,-270.8955003160762,-159.8,5,21,1
1,-100.20719810000031,2.5,1,1,2
5,-103.51610135631992,14.0,1,2,2
10,-107.65223042671943,28.5,1,3,2
15,-111.78835949711892,43.0,1,4,2
20,-115.92448856751842,57.5,1,5,2
25,-120.06061763791793,72.0,1,6,2
30,-124.19674670831743,86.5,1,7,2
35,-128.33287577871693,101.0,1,8,2
40,-132.46900484911643,115.5,1,9,2
45,-136.60513391951594,130.0,1,10,2
50,-140.74126298991544,144.5,1,11,2
55,-144.87739206031495,159.0,1,12,2
60,-149.01352113071445,173.5,1,13,2
65,-153.14965020111396,188.0,1,14,2
70,-157.28577927151346,202.5,1,15,2
75,-161.42190834191294,217.0,1,16,2
80,-165.55803741231247,231.5,1,17,2
85,-169.69416648271195,246.0,1,18,2
90,-173.83029555311145,260.5,1,19,2
95,-177.96642462351096,275.0,1,20,2
100,-182.10255369391047,289.5,1,21,2
1,-103.08237360768865,1.0,2,1,2
5,-115.24534491987218,5.1,2,2,2
10,-130.44905906010158,10.2,2,3,2
15,-145.65277320033096,15.3,2,4,2
20,-160.85648734056036,20.4,2,5,2
25,-176.06020148078977,25.5,2,6,2
30,-191.26391562101918,30.6,2,7,2
35,-206.4676297612486,35.7,2,8,2
40,-221.671343901478,40.8,2,9,2
45,-236.87505804170738,45.9,2,10,2
50,-252.07877218193678,50.1,2,11,2
55,-267.2824863221662,55.2,2,12,2
60,-282.48620046239563,60.3,2,13,2
65,-297.68991460262504,65.4,2,14,2
70,-312.8936287428544,70.5,2,15,2
75,-328.0973428830838,75.6,2,16,2
80,-343.3010570233132,80.7,2,17,2
85,-358.50477116354256,85.8,2,18,2
90,-373.70848530377197,90.9,2,19,2
95,-388.9121994440014,95.1,2,20,2
100,-404.1159135842308,100.2,2,21,2
1,-101.23923249994766,4.4,3,1,2
