x,y,y_pred,machine,trial,subject
1,-103.1005128104906,2.0,1,1,1
5,-109.96750322158742,25.0,1,2,1
10,-118.55124123545845,100.0,1,3,1
15,-127.13497924932948,225.0,1,4,1
20,-135.7187172632005,400.0,1,5,1
25,-144.30245527707152,625.0,1,6,1
30,-152.88619329094254,900.0,1,7,1
35,-161.46993130481357,1225.0,1,8,1
40,-170.0536693186846,1600.0,1,9,1
45,-178.63740733255563,2025.0,1,10,1
50,-187.22114534642665,2500.0,1,11,1
55,-195.80488336029768,3025.0,1,12,1
60,-204.3886213741687,3600.0,1,13,1
65,-212.97235938803973,4225.0,1,14,1
70,-221.55609740191076,4900.0,1,15,1
75,-230.1398354157818,5625.0,1,16,1
80,-238.72357342965282,6400.0,1,17,1
85,-247.30731144352384,7225.0,1,18,1
90,-255.89104945739487,8100.0,1,19,1
95,-264.47478747126587,9025.0,1,20,1
100,-273.05852548513695,10000.0,1,21,1
1,-99.54819293771794,2.2,2,1,1
5,-102.67866029167594,6.1,2,2,1
10,-106.59174448412344,12.6,2,3,1
15,-110.50482867657092,19.7,2,4,1
20,-114.41791286901842,28.6,2,5,1
25,-118.33099706146592,40.3,2,6,1
30,-122.24408125391342,54.8,2,7,1
35,-126.15716544636092,73.1,2,8,1
40,-130.0702496388084,95.4,2,9,1
45,-133.98333383125592,122.5,2,10,1
50,-137.8964180237034,155.6,2,11,1
55,-141.80950221615092,195.5,2,12,1
60,-145.7225864085984,242.6,2,13,1
65,-149.6356706010459,298.5,2,14,1
70,-153.5487547934934,364.4,2,15,1
75,-157.4618389859409,441.3,2,16,1
80,-161.37492317838837,530.2,2,17,1
85,-165.28800737083589,632.1,2,18,1
90,-169.2010915632834,748.0,2,19,1
95,-173.11417575573088,878.9,2,20,1
100,-177.02725994817837,1026.8,2,21,1
1,-100.5920597455358,7.5,3,1,1
5,-104.63850995211794,22.5,3,2,1
10,-109.6965727103456,45.0,3,3,1
15,-114.75463546857328,67.5,3,4,1
20,-119.81269822680095,90.0,3,5,1
25,-124.87076098502862,112.5,3,6,1
30,-129.9288237432563,135.0,3,7,1
35,-134.98688650148395,157.5,3,8,1
40,-140.04494925971161,180.0,3,9,1
45,-145.1030120179393,202.5,3,10,1
50,-150.16107477616697,225.0,3,11,1
55,-155.21913753439463,247.5,3,12,1
60,-160.2772002926223,270.0,3,13,1
65,-165.33526305085,292.5,3,14,1
70,-170.39332580907765,315.0,3,15,1
75,-175.45138856730534,337.5,3,16,1
80,-180.509451325533,360.0,3,17,1
85,-185.56751408376067,382.5,3,18,1
90,-190.62557684198833,405.0,3,19,1
95,-195.683639600216,427.5,3,20,1
100,-200.7417023584437,450.0,3,21,1
1,-103.41848825427589,1.0,4,1,1
5,-108.30242513660559,5.0,4,2,1
10,-114.40734623951771,10.0,4,3,1
15,-120.51226734242984,15.0,4,4,1
20,-126.61718844534197,20.0,4,5,1
25,-132.72210954825408,25.0,4,6,1
30,-138.82703065116624,30.0,4,7,1
35,-144.93195175407834,35.0,4,8,1
40,-151.03687285699047,40.0,4,9,1
45,-157.1417939599026,45.0,4,10,1
50,-163.2467150628147,50.0,4,11,1
55,-169.35163616572686,55.0,4,12,1
60,-175.45655726863896,60.0,4,13,1
65,-181.5614783715511,65.0,4,14,1
70,-187.66639947446322,70.0,4,15,1
75,-193.77132057737532,75.0,4,16,1
80,-199.87624168028748,80.0,4,17,1
85,-205.98116278319958,85.0,4,18,1
90,-212.0860838861117,90.0,4,19,1
95,-218.19100498902384,95.0,4,20,1
100,-224.29592609193594,100.0,4,21,1
1,-102.04562584763714,19.2,5,1,1
5,-107.48443002988361,26.6,5,2,1
10,-114.28293525769172,43.6,5,3,1
15,-121.08144048549983,61.8,5,4,1
20,-127.87994571330792,81.0,5,5,1
25,-134.678450941116,100.4,5,6,1
30,-141.47695616892412,120.8,5,7,1
35,-148.27546139673223,141.4,5,8,1
40,-155.07396662454033,162.0,5,9,1
45,-161.87247185234844,182.7,5,10,1
50,-168.67097708015652,203.5,5,11,1
55,-175.46948230796463,224.2,5,12,1
60,-182.2679875357727,244.9,5,13,1
65,-189.0664927635808,265.7,5,14,1
70,-195.86499799138892,286.4,5,15,1
75,-202.66350321919703,307.2,5,16,1
80,-209.46200844700513,327.9,5,17,1
85,-216.26051367481324,348.7,5,18,1
90,-223.05901890262135,369.4,5,19,1
95,-229.85752413042945,390.2,5,20,1
100,-236.6560293582375,410.9,5,21,1
1,-99.51978268360124,2.0,1,1,2
5,-99.31237509230074,11.0,1,2,2
10,-99.05311560317512,21.0,1,3,2
15,-98.79385611404949,31.0,1,4,2
20,-98.53459662492386,41.0,1,5,2
25,-98.27533713579822,51.0,1,6,2
30,-98.0160776466726,61.0,1,7,2
35,-97.75681815754697,71.0,1,8,2
40,-97.49755866842135,81.0,1,9,2
45,-97.23829917929572,91.0,1,10,2
50,-96.9790396901701,101.0,1,11,2
55,-96.71978020104447,111.0,1,12,2
60,-96.46052071191883,121.0,1,13,2
65,-96.2012612227932,131.0,1,14,2
70,-95.94200173366758,141.0,1,15,2
75,-95.68274224454196,151.0,1,16,2
80,-95.42348275541633,161.0,1,17,2
85,-95.1642232662907,171.0,1,18,2
90,-94.90496377716508,181.0,1,19,2
95,-94.64570428803945,191.0,1,20,2
100,-94.38644479891383,201.0,1,21,2
1,-101.6936200479353,3.3,2,1,2
5,-113.50197387485798,1.7,2,2,2
10,-128.26241615851131,0.1,2,3,2
15,-143.02285844216468,3.9,2,4,2
20,-157.78330072581804,4.6,2,5,2
25,-172.54374300947137,5.5,2,6,2
30,-187.30418529312473,7.7,2,7,2
35,-202.0646275767781,8.8,2,8,2
40,-216.82506986043143,7.2,2,9,2
45,-231.5855121440848,4.6,2,10,2
50,-246.34595442773815,2.3,2,11,2
55,-261.1063967113915,0.7,2,12,2
60,-275.8668389950448,0.8,2,13,2
65,-290.6272812786982,0.9,2,14,2
70,-305.38772356235154,0.5,2,15,2
75,-320.14816584600493,0.1,2,16,2
80,-334.90860812965826,0.3,2,17,2
85,-349.6690504133116,0.0,2,18,2
90,-364.4294926969649,8.7,2,19,2
95,-379.18993498061826,8.8,2,20,2
100,-393.9503772642717,8.9,2,21,2
1,-101.28091128912128,344.1,3,1,2
5,-112.65052188919478,1349.4,3,2,2
10,-126.86253513928665,6875.1,3,3,2
15,-141.07454838937852,17687.7,3,4,2
20,-155.28656163947042,41872.6,3,5,2
25,-169.49857488956226,93666.1,3,6,2
30,-183.71058813965416,211714.2,3,7,2
35,-197.92260138974603,483013.0,3,8,2
40,-212.1346146398379,1079690.1,3,9,2
45,-226.34662788992978,2441242.7,3,10,2
50,-240.55864114002165,5482680.4,3,11,2
55,-254.7706543901135,12299997.6,3,12,2
60,-268.98266764020536,27578129.8,3,13,2
65,-283.19468089029726,61597110.8,3,14,2
70,-297.40669414038916,137318624.0,3,15,2
75,-311.618707390481,305903233.0,3,16,2
80,-325.83072064057285,678754103.4,3,17,2
85,-340.04273389066475,1505840280.7,3,18,2
90,-354.25474714075665,3327493518.5,3,19,2
95,-368.46676039084855,7353169703.1,3,20,2
100,-382.67877364094034,16211159723.0,3,21,2
1,-104.44808617025771,119.1,4,1,2
5,-115.6046655120007,108.9,4,2,2
10,-129.55038968917944,98.7,4,3,2
15,-143.49611386635814,88.5,4,4,2
20,-157.4418380435369,78.3,4,5,2
25,-171.3875622207156,68.1,4,6,2
30,-185.33328639789434,57.9,4,7,2
35,-199.27901057507307,47.7,4,8,2
40,-213.2247347522518,37.5,4,9,2
45,-227.17045892943054,27.3,4,10,2
50,-241.11618310660927,17.1,4,11,2
55,-255.061907283788,6.9,4,12,2
60,-269.0076314609667,360.7,4,13,2
65,-282.95335563814547,350.5,4,14,2
70,-296.89907981532417,340.3,4,15,2
75,-310.8448039925029,330.1,4,16,2
80,-324.79052816968164,319.9,4,17,2
85,-338.7362523468604,309.7,4,18,2
90,-352.6819765240391,299.5,4,19,2
95,-366.6277007012178,289.3,4,20,2
100,-380.57342487839657,279.1,4,21,2
1,-103.70245377461855,145.8,5,1,2
5,-113.96892679678555,186.1,5,2,2
10,-126.8020180744943,292.3,5,3,2
15,-139.63510935220307,363.1,5,4,2
20,-152.46820062991182,433.9,5,5,2
25,-165.30129190762057,504.7,5,6,2
30,-178.13438318532934,575.5,5,7,2
35,-190.9674744630381,646.3,5,8,2
40,-203.80056574074683,717.1,5,9,2
45,-216.6336570184556,787.9,5,10,2
50,-229.46674829616438,858.7,5,11,2
55,-242.2998395738731,929.5,5,12,2
60,-255.13293085158188,1000.3,5,13,2
65,-267.96602212929065,1071.1,5,14,2
70,-280.79911340699937,1141.9,5,15,2
75,-293.63220468470814,1212.7,5,16,2
80,-306.4652959624169,1283.5,5,17,2
85,-319.29838724012563,1354.3,5,18,2
90,-332.1314785178344,1425.1,5,19,2
95,-344.9645697955432,1495.9,5,20,2
100,-357.79766107325196,1566.7,5,21,2
1,-104.19227585623516,2.0,1,1,3
5,-112.0656490836692,10.0,1,2,3
10,-121.90736561796174,20.0,1,3,3
15,-131.7490821522543,30.0,1,4,3
20,-141.59079868654686,40.0,1,5,3
25,-151.4325152208394,50.0,1,6,3
30,-161.27423175513195,60.0,1,7,3
35,-171.11594828942452,70.0,1,8,3
40,-180.95766482371707,80.0,1,9,3
45,-190.7993813580096,90.0,1,10,3
50,-200.64109789230218,100.0,1,11,3
55,-210.48281442659473,110.0,1,12,3
60,-220.32453096088727,120.0,1,13,3
65,-230.16624749517985,130.0,1,14,3
70,-240.00796402947242,140.0,1,15,3
75,-249.84968056376493,150.0,1,16,3
80,-259.6913970980575,160.0,1,17,3
85,-269.5331136323501,170.0,1,18,3
90,-279.3748301666426,180.0,1,19,3
95,-289.21654670093517,190.0,1,20,3
100,-299.05826323522774,200.0,1,21,3
1,-100.28892228215828,4.4,2,1,3
5,-103.534608653654,4.8,2,2,3
10,-107.59171661802364,5.2,2,3,3
15,-111.64882458239329,5.6,2,4,3
20,-115.70593254676294,6.0,2,5,3
25,-119.76304051113257,6.4,2,6,3
30,-123.82014847550222,6.8,2,7,3
35,-127.87725643987187,7.2,2,8,3
40,-131.9343644042415,7.6,2,9,3
45,-135.99147236861114,8.0,2,10,3
50,-140.0485803329808,8.4,2,11,3
55,-144.10568829735044,8.8,2,12,3
60,-148.16279626172008,9.2,2,13,3
65,-152.21990422608974,9.6,2,14,3
