x,y,y_pred,machine,trial,subject
1,-6.830952750168481,5.0,1,1,1
5,-11.83930772666308,25.0,1,2,1
10,-18.09975144728133,50.0,1,3,1
15,-24.36019516789958,75.0,1,4,1
20,-30.620638888517835,100.0,1,5,1
25,-36.88108260913607,125.0,1,6,1
30,-43.14152632975433,150.0,1,7,1
35,-49.40197005037257,175.0,1,8,1
40,-55.662413770990824,200.0,1,9,1
45,-61.92285749160908,225.0,1,10,1
50,-68.18330121222732,250.0,1,11,1
55,-74.44374493284558,275.0,1,12,1
60,-80.70418865346382,300.0,1,13,1
65,-86.96463237408207,325.0,1,14,1
70,-93.22507609470031,350.0,1,15,1
75,-99.48551981531857,375.0,1,16,1
80,-105.74596353593682,400.0,1,17,1
85,-112.00640725655506,425.0,1,18,1
90,-118.26685097717332,450.0,1,19,1
95,-124.52729469779156,475.0,1,20,1
100,-130.78773841840984,500.0,1,21,1
1,-4.335675929963216,52.8,2,1,1
5,-8.937763342731104,59.2,2,2,1
10,-14.690372608690964,66.0,2,3,1
15,-20.442981874650826,72.8,2,4,1
20,-26.195591140610684,79.6,2,5,1
25,-31.948200406570546,86.4,2,6,1
30,-37.70080967253041,93.0,2,7,1
35,-43.45341893849027,98.8,2,8,1
40,-49.20602820445012,104.6,2,9,1
45,-54.95863747040998,109.8,2,10,1
50,-60.711246736369844,116.2,2,11,1
55,-66.4638560023297,122.0,2,12,1
60,-72.21646526828957,128.0,2,13,1
65,-77.96907453424943,134.2,2,14,1
70,-83.72168380020929,140.6,2,15,1
75,-89.47429306616915,146.6,2,16,1
80,-95.226902332129,152.4,2,17,1
85,-100.97951159808886,158.2,2,18,1
90,-106.73212086404872,163.8,2,19,1
95,-112.48473013000859,169.0,2,20,1
100,-118.23733939596845,174.2,2,21,1
1,-3.036606674544737,5.5,3,1,1
5,-5.231186794952661,11.1,3,2,1
10,-7.974411945462567,16.7,3,3,1
15,-10.717637095972472,22.3,3,4,1
20,-13.460862246482378,27.9,3,5,1
25,-16.204087396992286,33.5,3,6,1
30,-18.94731254750219,39.1,3,7,1
35,-21.690537698012097,44.7,3,8,1
40,-24.433762848522,50.3,3,9,1
45,-27.17698799903191,55.9,3,10,1
50,-29.920213149541816,61.5,3,11,1
55,-32.66343830005172,67.1,3,12,1
60,-35.40666345056163,72.7,3,13,1
65,-38.14988860107153,78.3,3,14,1
70,-40.893113751581446,83.9,3,15,1
75,-43.636338902091346,89.5,3,16,1
80,-46.379564052601246,95.1,3,17,1
85,-49.12278920311116,100.7,3,18,1
90,-51.86601435362106,106.3,3,19,1
95,-54.609239504130976,111.9,3,20,1
100,-57.352464654640876,117.5,3,21,1
1,9.938538009461764,6.3,4,1,1
5,9.346899705244775,18.3,4,2,1
10,8.60735182497354,30.2,4,3,1
15,7.867803944702303,36.9,4,4,1
20,7.128256064431067,40.4,4,5,1
25,6.388708184159832,41.7,4,6,1
30,5.649160303888596,42.1,4,7,1
35,4.90961242361736,41.9,4,8,1
40,4.1700645433461245,41.2,4,9,1
45,3.4305166630748896,40.2,4,10,1
50,2.6909687828036533,38.9,4,11,1
55,1.9514209025324178,37.4,4,12,1
60,1.2118730222611824,35.8,4,13,1
65,0.4723251419899469,34.2,4,14,1
70,-0.2672227382812903,32.7,4,15,1
75,-1.0067706185525256,31.4,4,16,1
80,-1.746318498823761,30.3,4,17,1
85,-2.4858663790949964,29.6,4,18,1
90,-3.225414259366232,29.1,4,19,1
95,-3.964962139637469,28.9,4,20,1
100,-4.704510019908705,28.9,4,21,1
1,-1.0217594678814486,10.5,5,1,1
5,-2.8475491150665713,20.5,5,2,1
10,-5.129786174047974,25.5,5,3,1
15,-7.4120232330293785,30.5,5,4,1
20,-9.69426029201078,35.5,5,5,1
25,-11.976497350992185,40.5,5,6,1
30,-14.258734409973588,45.5,5,7,1
35,-16.540971468954993,50.5,5,8,1
40,-18.823208527936394,55.5,5,9,1
45,-21.1054455869178,60.5,5,10,1
50,-23.387682645899204,65.5,5,11,1
55,-25.669919704880606,70.5,5,12,1
60,-27.95215676386201,75.5,5,13,1
65,-30.234393822843412,80.5,5,14,1
70,-32.51663088182481,85.5,5,15,1
75,-34.79886794080622,90.5,5,16,1
80,-37.08110499978761,95.5,5,17,1
85,-39.36334205876902,100.5,5,18,1
90,-41.64557911775043,105.5,5,19,1
95,-43.927816176731824,110.5,5,20,1
100,-46.21005323571323,115.5,5,21,1
1,2.4671668078876356,2.0,1,1,2
5,-2.3868592673909115,6.0,1,2,2
10,-8.454391861489096,12.0,1,3,2
15,-14.521924455587282,18.0,1,4,2
20,-20.589457049685464,24.0,1,5,2
25,-26.656989643783646,30.0,1,6,2
30,-32.724522237881835,36.0,1,7,2
35,-38.79205483198002,42.0,1,8,2
40,-44.8595874260782,48.0,1,9,2
45,-50.92712002017638,54.0,1,10,2
50,-56.994652614274564,60.0,1,11,2
55,-63.062185208372746,66.0,1,12,2
60,-69.12971780247095,72.0,1,13,2
65,-75.19725039656912,78.0,1,14,2
70,-81.26478299066731,84.0,1,15,2
75,-87.33231558476548,90.0,1,16,2
80,-93.39984817886368,96.0,1,17,2
85,-99.46738077296185,102.0,1,18,2
90,-105.53491336706004,108.0,1,19,2
95,-111.60244596115821,114.0,1,20,2
100,-117.6699785552564,120.0,1,21,2
1,-5.846225611540248,0.2,2,1,2
5,-11.547710245643183,3.5,2,2,2
10,-18.67456603827185,7.0,2,3,2
15,-25.801421830900516,10.5,2,4,2
20,-32.92827762352918,14.0,2,5,2
25,-40.05513341615786,17.5,2,6,2
30,-47.18198920878652,21.0,2,7,2
35,-54.30884500141519,24.5,2,8,2
40,-61.43570079404385,28.0,2,9,2
45,-68.56255658667253,31.5,2,10,2
50,-75.68941237930119,35.0,2,11,2
55,-82.81626817192986,38.5,2,12,2
60,-89.94312396455852,42.0,2,13,2
65,-97.0699797571872,45.5,2,14,2
70,-104.19683554981586,49.0,2,15,2
75,-111.32369134244453,52.5,2,16,2
80,-118.4505471350732,56.0,2,17,2
85,-125.57740292770187,59.5,2,18,2
90,-132.70425872033053,63.0,2,19,2
95,-139.8311145129592,66.5,2,20,2
100,-146.95797030558785,70.0,2,21,2
1,4.297019734057498,10.0,3,1,2
5,-1.0006398845613391,50.0,3,2,2
10,-7.622714407834886,100.0,3,3,2
15,-14.244788931108433,150.0,3,4,2
20,-20.866863454381978,200.0,3,5,2
25,-27.488937977655524,250.0,3,6,2
30,-34.11101250092907,300.0,3,7,2
35,-40.73308702420262,350.0,3,8,2
40,-47.355161547476165,400.0,3,9,2
45,-53.97723607074971,450.0,3,10,2
50,-60.59931059402326,500.0,3,11,2
55,-67.2213851172968,550.0,3,12,2
60,-73.84345964057034,600.0,3,13,2
65,-80.46553416384388,650.0,3,14,2
70,-87.08760868711744,700.0,3,15,2
75,-93.70968321039099,750.0,3,16,2
80,-100.33175773366453,800.0,3,17,2
85,-106.95383225693807,850.0,3,18,2
90,-113.57590678021162,900.0,3,19,2
95,-120.19798130348518,950.0,3,20,2
100,-126.82005582675872,1000.0,3,21,2
1,-9.029040920461432,2.2,4,1,2
5,-10.516653977731238,8.5,4,2,2
10,-12.376170299318497,23.0,4,3,2
15,-14.235686620905756,46.5,4,4,2
20,-16.095202942493014,90.0,4,5,2
25,-17.95471926408027,135.5,4,6,2
30,-19.81423558566753,195.0,4,7,2
35,-21.67375190725479,270.5,4,8,2
40,-23.533268228842047,363.0,4,9,2
45,-25.392784550429308,474.5,4,10,2
50,-27.252300872016566,606.0,4,11,2
55,-29.111817193603823,758.5,4,12,2
60,-30.97133351519108,935.0,4,13,2
65,-32.83084983677834,1136.5,4,14,2
70,-34.690366158365606,1365.0,4,15,2
75,-36.549882479952856,1622.5,4,16,2
80,-38.40939880154012,1911.0,4,17,2
85,-40.26891512312738,2233.5,4,18,2
90,-42.128431444714636,2590.0,4,19,2
95,-43.9879477663019,2992.5,4,20,2
100,-45.84746408788915,3440.0,4,21,2
1,-1.4698082237644787,2.0,5,1,2
5,-8.996754855227394,6.0,5,2,2
10,-18.405438144556037,15.0,5,3,2
15,-27.814121433884672,26.0,5,4,2
20,-37.22280472321332,41.0,5,5,2
25,-46.631488012541965,62.0,5,6,2
30,-56.0401713018706,93.0,5,7,2
35,-65.44885459119925,142.0,5,8,2
40,-74.8575378805279,235.0,5,9,2
45,-84.26622116985654,402.0,5,10,2
50,-93.67490445918519,747.0,5,11,2
55,-103.08358774851382,1430.0,5,12,2
60,-112.49227103784246,2995.0,5,13,2
65,-121.9009543271711,6274.0,5,14,2
70,-131.3096376164997,13935.0,5,15,2
75,-140.71832090582836,32520.0,5,16,2
80,-150.127004195157,77737.0,5,17,2
85,-159.53568748448563,190664.0,5,18,2
90,-168.94437077381428,483057.0,5,19,2
95,-178.35305406314293,1283206.0,5,20,2
100,-187.76173735247158,3580733.0,5,21,2
1,-3.725520137561435,3.0,1,1,3
5,-8.430293412464108,4.0,1,2,3
10,-14.311260006092448,5.0,1,3,3
15,-20.19222659972079,6.0,1,4,3
20,-26.073193193349127,7.0,1,5,3
25,-31.95415978697747,8.0,1,6,3
30,-37.83512638060581,9.0,1,7,3
35,-43.71609297423415,10.0,1,8,3
40,-49.59705956786249,11.0,1,9,3
45,-55.47802616149083,12.0,1,10,3
50,-61.358992755119175,13.0,1,11,3
55,-67.23995934874752,14.0,1,12,3
60,-73.12092594237585,15.0,1,13,3
