x,y,y_pred,machine,trial,subject
4,-5.051380961519949,8.0,1,1,1
8,-11.622639682903145,14.0,1,2,1
12,-18.193898404286344,12.0,1,3,1
16,-24.76515712566954,26.0,1,4,1
20,-31.336415847052734,10.0,1,5,1
24,-37.90767456843594,12.0,1,6,1
28,-44.47893328981913,52.0,1,7,1
32,-51.05019201120233,20.0,1,8,1
36,-57.62145073258552,14.0,1,9,1
40,-64.19270945396872,20.0,1,10,1
44,-70.76396817535192,8.0,1,11,1
48,-77.33522689673512,12.0,1,12,1
52,-83.90648561811831,28.0,1,13,1
56,-90.47774433950151,14.0,1,14,1
60,-97.0490030608847,6.0,1,15,1
64,-103.6202617822679,16.0,1,16,1
68,-110.1915205036511,12.0,1,17,1
72,-116.7627792250343,29.0,1,18,1
76,-123.3340379464175,15.0,1,19,1
80,-129.9052966678007,9.0,1,20,1
84,-136.4765553891839,11.0,1,21,1
88,-143.04781411056712,7.0,1,22,1
92,-149.6190728319503,2.0,1,23,1
96,-156.19033155333352,0.0,1,24,1
100,-162.7615902747167,4.0,1,25,1
4,40.69266651908343,-1.0,2,1,1
8,32.01670146458562,-3.0,2,2,1
12,23.340736410087814,-5.0,2,3,1
16,14.664771355590004,-7.0,2,4,1
20,5.988806301092195,-9.0,2,5,1
24,-2.6871587534056136,-11.0,2,6,1
28,-11.363123807903422,-13.0,2,7,1
32,-20.03908886240123,-15.0,2,8,1
36,-28.715053916899038,-17.0,2,9,1
40,-37.391018971396846,-19.0,2,10,1
44,-46.066984025894655,-21.0,2,11,1
48,-54.742949080392464,-23.0,2,12,1
52,-63.41891413489027,-25.0,2,13,1
56,-72.09487918938808,-27.0,2,14,1
60,-80.7708442438859,-29.0,2,15,1
64,-89.4468092983837,-31.0,2,16,1
68,-98.12277435288149,-33.0,2,17,1
72,-106.79873940737932,-35.0,2,18,1
76,-115.47470446187714,-37.0,2,19,1
80,-124.15066951637493,-39.0,2,20,1
84,-132.82663457087273,-41.0,2,21,1
88,-141.50259962537055,-43.0,2,22,1
92,-150.17856467986837,-45.0,2,23,1
96,-158.85452973436617,-47.0,2,24,1
100,-167.53049478886396,-49.0,2,25,1
4,59.142108005848876,-1587.0,3,1,1
8,49.72064969418711,-1556.0,3,2,1
12,40.29919138252534,-1600.0,3,3,1
16,30.87773307086358,-1585.0,3,4,1
20,21.456274759201815,-1605.0,3,5,1
24,12.034816447540047,-1532.0,3,6,1
28,2.613358135878281,-1612.0,3,7,1
32,-6.808100175783485,-1601.0,3,8,1
36,-16.22955848744525,-1589.0,3,9,1
40,-25.651016799107015,-1598.0,3,10,1
44,-35.072475110768785,-1559.0,3,11,1
48,-44.49393342243055,-1615.0,3,12,1
52,-53.91539173409232,-1582.0,3,13,1
56,-63.33685004575408,-1604.0,3,14,1
60,-72.75830835741586,-1565.0,3,15,1
64,-82.17976666907761,-1614.0,3,16,1
68,-91.60122498073936,-1610.0,3,17,1
72,-101.02268329240114,-1586.0,3,18,1
76,-110.44414160406292,-1593.0,3,19,1
80,-119.86559991572467,-1602.0,3,20,1
84,-129.28705822738644,-1582.0,3,21,1
88,-138.70851653904822,-1614.0,3,22,1
92,-148.12997485071,-1576.0,3,23,1
96,-157.55143316237175,-1609.0,3,24,1
100,-166.9728914740335,-1594.0,3,25,1
4,-51.60511559790034,38.0,4,1,1
8,-62.869150379402264,32.0,4,2,1
12,-74.13318516090419,36.0,4,3,1
16,-85.39721994240611,40.0,4,4,1
20,-96.66125472390804,44.0,4,5,1
24,-107.92528950540998,48.0,4,6,1
28,-119.1893242869119,52.0,4,7,1
32,-130.45335906841382,56.0,4,8,1
36,-141.71739384991574,60.0,4,9,1
40,-152.98142863141769,64.0,4,10,1
44,-164.2454634129196,68.0,4,11,1
48,-175.50949819442152,72.0,4,12,1
52,-186.77353297592344,76.0,4,13,1
56,-198.0375677574254,80.0,4,14,1
60,-209.3016025389273,84.0,4,15,1
64,-220.56563732042923,88.0,4,16,1
68,-231.82967210193115,92.0,4,17,1
72,-243.09370688343307,96.0,4,18,1
76,-254.35774166493502,100.0,4,19,1
80,-265.62177644643697,104.0,4,20,1
84,-276.8858112279389,108.0,4,21,1
88,-288.14984600944086,112.0,4,22,1
92,-299.41388079094276,116.0,4,23,1
96,-310.6779155724447,120.0,4,24,1
100,-321.94195035394665,124.0,4,25,1
4,57.85740331564544,-6.0,5,1,1
8,49.909470457933104,-12.0,5,2,1
12,41.961537600220765,-18.0,5,3,1
16,34.01360474250843,-24.0,5,4,1
20,26.065671884796085,-30.0,5,5,1
24,18.117739027083747,-36.0,5,6,1
28,10.169806169371409,-42.0,5,7,1
32,2.2218733116590714,-48.0,5,8,1
36,-5.726059546053274,-54.0,5,9,1
40,-13.673992403765606,-60.0,5,10,1
44,-21.621925261477937,-66.0,5,11,1
48,-29.569858119190283,-72.0,5,12,1
52,-37.517790976902624,-78.0,5,13,1
56,-45.465723834614955,-84.0,5,14,1
60,-53.41365669232729,-90.0,5,15,1
64,-61.36158955003963,-96.0,5,16,1
68,-69.30952240775198,-102.0,5,17,1
72,-77.25745526546433,-108.0,5,18,1
76,-85.20538812317665,-114.0,5,19,1
80,-93.15332098088899,-120.0,5,20,1
84,-101.10125383860134,-126.0,5,21,1
88,-109.04918669631365,-132.0,5,22,1
92,-116.997119554026,-138.0,5,23,1
96,-124.94505241173835,-144.0,5,24,1
100,-132.8929852694507,-150.0,5,25,1
4,46.29526407055065,500.0,1,1,2
8,37.10399273117538,1200.0,1,2,2
12,27.91272139180011,2600.0,1,3,2
