machine,subject,x,y_pred
1,1,1.0,4
1,1,10.0,40
1,1,20.0,80
1,1,30.0,120
1,1,40.0,160
1,1,50.0,200
1,1,60.0,240
1,1,70.0,280
1,1,80.0,320
1,1,90.0,360
1,1,100.0,400
1,2,1.0,4
1,2,10.0,1000
1,2,20.0,30000
1,2,30.0,900000
1,2,40.0,60000000
1,2,50.0,100000000000
1,2,60.0,30000000000000
1,2,70.0,90000000000000000
1,2,80.0,60000000000000000000
1,2,90.0,10000000000000000000000
1,2,100.0,3000000000000000000000000
1,3,1.0,10
1,3,10.0,5
1,3,20.0,3
1,3,30.0,1
1,3,40.0,0
1,3,50.0,0
1,3,60.0,0
1,3,70.0,0
1,3,80.0,2
1,3,90.0,2
1,3,100.0,30
1,4,1.0,4
1,4,10.0,100
1,4,20.0,400
1,4,30.0,900
1,4,40.0,1600
1,4,50.0,2500
1,4,60.0,3600
1,4,70.0,4900
1,4,80.0,6400
1,4,90.0,8100
1,4,100.0,10000
1,5,1.0,4
1,5,10.0,40
1,5,20.0,80
1,5,30.0,120
1,5,40.0,160
1,5,50.0,200
1,5,60.0,240
1,5,70.0,280
1,5,80.0,320
1,5,90.0,360
1,5,100.0,400
1,6,1.0,2
1,6,10.0,1024
1,6,20.0,400000
1,6,30.0,18000000000
1,6,40.0,816000000000000
1,6,50.0,33554432
1,6,60.0,134217728
1,6,70.0,536870912
1,6,80.0,2147483648
1,6,90.0,4294967296
1,6,100.0,100000000
1,7,1.0,5
1,7,10.0,15
1,7,20.0,25
1,7,30.0,35
1,7,40.0,45
1,7,50.0,55
1,7,60.0,65
1,7,70.0,75
1,7,80.0,85
1,7,90.0,95
1,7,100.0,105
1,8,1.0,4
1,8,10.0,5
1,8,20.0,21
1,8,30.0,46
1,8,40.0,81
1,8,50.0,126
1,8,60.0,181
1,8,70.0,246
1,8,80.0,321
1,8,90.0,406
1,8,100.0,501
1,9,1.0,4
1,9,10.0,40
1,9,20.0,80
1,9,30.0,100
1,9,40.0,110
1,9,50.0,116
1,9,60.0,120
1,9,70.0,122
1,9,80.0,124
1,9,90.0,126
1,9,100.0,128
1,10,1.0,9
1,10,10.0,49
1,10,20.0,99
1,10,30.0,129
1,10,40.0,159
1,10,50.0,189
1,10,60.0,209
1,10,70.0,229
1,10,80.0,249
1,10,90.0,269
1,10,100.0,289
1,11,1.0,2
1,11,10.0,20
1,11,20.0,40
1,11,30.0,80
1,11,40.0,160
1,11,50.0,320
1,11,60.0,640
1,11,70.0,1280
1,11,80.0,2560
1,11,90.0,5120
1,11,100.0,10240
1,12,1.0,4
1,12,10.0,40
1,12,20.0,80
1,12,30.0,120
1,12,40.0,160
1,12,50.0,200
1,12,60.0,240
1,12,70.0,280
1,12,80.0,320
1,12,90.0,360
1,12,100.0,400
1,13,1.0,4
1,13,10.0,5
1,13,20.0,6
1,13,30.0,8
1,13,40.0,9
1,13,50.0,10
1,13,60.0,12
1,13,70.0,14
1,13,80.0,16
1,13,90.0,18
1,13,100.0,20
1,14,1.0,2
1,14,10.0,20
1,14,20.0,40
1,14,30.0,60
1,14,40.0,80
1,14,50.0,100
1,14,60.0,120
1,14,70.0,140
1,14,80.0,160
1,14,90.0,180
1,14,100.0,200
1,15,1.0,2
1,15,10.0,11
1,15,20.0,21
1,15,30.0,31
1,15,40.0,41
1,15,50.0,51
1,15,60.0,61
1,15,70.0,71
1,15,80.0,81
1,15,90.0,91
1,15,100.0,101
1,16,1.0,4
1,16,10.0,40
1,16,20.0,80
1,16,30.0,120
1,16,40.0,160
1,16,50.0,200
1,16,60.0,240
1,16,70.0,280
1,16,80.0,320
1,16,90.0,360
1,16,100.0,400
1,17,1.0,4
1,17,10.0,40
1,17,20.0,80
1,17,30.0,120
1,17,40.0,160
1,17,50.0,200
1,17,60.0,240
1,17,70.0,280
1,17,80.0,320
1,17,90.0,360
1,17,100.0,400
1,18,1.0,2
1,18,10.0,5
1,18,20.0,9
1,18,30.0,13
1,18,40.0,16
1,18,50.0,20
1,18,60.0,24
1,18,70.0,29
1,18,80.0,35
1,18,90.0,41
1,18,100.0,48
1,19,1.0,2
1,19,10.0,11
1,19,20.0,21
1,19,30.0,31
1,19,40.0,41
1,19,50.0,51
1,19,60.0,61
1,19,70.0,71
1,19,80.0,81
1,19,90.0,91
1,19,100.0,101
1,20,1.0,2
1,20,10.0,11
1,20,20.0,21
1,20,30.0,31
1,20,40.0,41
1,20,50.0,51
1,20,60.0,61
1,20,70.0,71
1,20,80.0,81
1,20,90.0,91
1,20,100.0,101
