x,y,machine,trial,y_pred,subject
60,-239.9,1,1,100.0,1
46,-208.4,1,2,123.4,1
28,-163.6,1,3,100.0,1
18,-141.5,1,4,10.2,1
60,-239.9,1,5,10.1,1
33,-159.2,2,1,100.0,1
74,-236.1,2,2,100.0,1
79,-246.0,2,3,100.0,1
73,-233.8,2,4,10.0,1
39,-171.4,2,5,159.2,1
90,-353.3,3,1,100.0,1
90,-354.3,3,2,100.0,1
55,-254.7,3,3,100.0,1
15,-141.9,3,4,100.0,1
0,-101.1,3,5,100.0,1
26,-148.5,4,1,100.0,1
4,-108.2,4,2,100.0,1
75,-238.1,4,3,100.0,1
62,-213.6,4,4,10.0,1
63,-216.1,4,5,213.6,1
0,-100.2,5,1,101.1,1
58,-289.5,5,2,100.0,1
67,-316.2,5,3,239.9,1
3,-109.6,5,4,100.0,1
83,-370.4,5,5,239.9,1
7,-107.2,1,1,18.0,2
56,-148.1,1,2,107.2,2
68,-159.3,1,3,10.1,2
9,-107.7,1,4,107.2,2
58,-151.1,1,5,107.2,2
71,-194.9,2,1,107.2,2
3,-103.7,2,2,107.2,2
68,-192.3,2,3,100.1,2
59,-175.7,2,4,101.1,2
98,-230.7,2,5,100.1,2
88,-143.8,3,1,100.1,2
57,-128.0,3,2,100.1,2
54,-124.9,3,3,100.0,2
28,-113.2,3,4,100.0,2
36,-117.3,3,5,109.0,2
81,-272.1,4,1,100.0,2
1,-102.9,4,2,100.0,2
89,-289.7,4,3,10.0,2
27,-156.2,4,4,101.1,2
39,-184.9,4,5,101.1,2
85,-295.7,5,1,10.0,2
18,-140.6,5,2,102.9,2
23,-152.6,5,3,10.0,2
13,-130.6,5,4,101.1,2
97,-321.4,5,5,210.7,2
60,-182.6,1,1,100.0,3
84,-216.2,1,2,10.2,3
22,-129.2,1,3,10.2,3
39,-153.0,1,4,11.2,3
88,-221.3,1,5,10.0,3
26,-164.3,2,1,100.0,3
69,-273.0,2,2,10.0,3
64,-261.6,2,3,11.0,3
91,-328.4,2,4,100.0,3
35,-187.4,2,5,112.0,3
94,-348.4,3,1,10.0,3
42,-210.6,3,2,111.0,3
79,-308.1,3,3,219.0,3
6,-115.3,3,4,12.0,3
57,-250.5,3,5,101.0,3
25,-111.5,4,1,100.0,3
68,-128.5,4,2,10.0,3
77,-131.1,4,3,100.0,3
32,-113.8,4,4,105.1,3
37,-117.2,4,5,105.0,3
22,-151.3,5,1,100.0,3
78,-280.8,5,2,101.0,3
79,-282.7,5,3,280.8,3
59,-237.4,5,4,221.0,3
75,-275.0,5,5,221.2,3
75,-273.1,1,1,100.0,4
81,-285.6,1,2,12.3,4
64,-247.1,1,3,100.0,4
76,-274.4,1,4,12.1,4
6,-113.0,1,5,100.0,4
47,-217.3,2,1,10.0,4
31,-175.6,2,2,10.0,4
59,-247.2,2,3,10.0,4
63,-258.0,2,4,11.0,4
29,-171.5,2,5,113.0,4
62,-233.9,3,1,12.0,4
12,-125.8,3,2,12.0,4
95,-303.4,3,3,11.0,4
51,-208.7,3,4,11.0,4
94,-300.2,3,5,10.0,4
10,-123.0,4,1,100.0,4
28,-164.6,4,2,10.0,4
55,-225.6,4,3,20.0,4
66,-250.9,4,4,21.0,4
28,-165.2,4,5,164.6,4
0,-101.0,5,1,100.0,4
87,-247.1,5,2,10.0,4
6,-112.6,5,3,113.0,4
74,-226.8,5,4,273.1,4
65,-210.0,5,5,-249.0,4
74,-282.2,1,1,10.0,5
25,-159.7,1,2,12.5,5
46,-213.2,1,3,100.0,5
49,-220.9,1,4,100.0,5
96,-336.6,1,5,10.2,5
41,-218.5,2,1,100.0,5
77,-324.2,2,2,12.2,5
4,-113.7,2,3,12.5,5
27,-177.2,2,4,11.2,5
86,-347.3,2,5,10.2,5
61,-208.4,3,1,11.2,5
17,-131.8,3,2,102.2,5
68,-218.2,3,3,10.2,5
9,-118.7,3,4,102.2,5
18,-133.1,3,5,10.2,5
26,-143.0,4,1,10.2,5
74,-223.0,4,2,10.0,5
55,-192.8,4,3,11.0,5
32,-153.3,4,4,11.0,5
99,-266.4,4,5,312.0,5
47,-201.3,5,1,10.0,5
11,-123.3,5,2,101.2,5
61,-230.8,5,3,199.2,5
17,-134.8,5,4,102.2,5
4,-109.2,5,5,101.2,5
22,-178.0,1,1,12.0,6
71,-363.9,1,2,12.0,6
92,-440.5,1,3,11.0,6
15,-154.2,1,4,100.0,6
23,-184.7,1,5,11.0,6
89,-358.1,2,1,100.0,6
11,-133.3,2,2,100.0,6
6,-117.7,2,3,11.0,6
21,-162.6,2,4,10.0,6
75,-319.0,2,5,11.0,6
38,-173.4,3,1,12.0,6
43,-182.5,3,2,10.0,6
8,-115.1,3,3,102.0,6
0,-99.5,3,4,100.0,6
5,-110.0,3,5,101.1,6
70,-245.5,4,1,12.0,6
85,-277.4,4,2,10.0,6
99,-307.0,4,3,201.0,6
63,-230.5,4,4,101.0,6
77,-261.0,4,5,202.0,6
74,-143.9,5,1,10.0,6
68,-138.7,5,2,10.0,6
66,-137.7,5,3,129.0,6
48,-126.6,5,4,102.0,6
9,-105.4,5,5,101.0,6
65,-290.4,1,1,100.0,7
42,-222.8,1,2,10.2,7
44,-228.8,1,3,100.0,7
94,-376.3,1,4,100.4,7
67,-296.2,1,5,100.2,7
99,-407.0,2,1,100.0,7
58,-278.9,2,2,100.0,7
81,-351.4,2,3,100.0,7
67,-308.1,2,4,100.0,7
63,-293.3,2,5,100.0,7
25,-155.4,3,1,100.0,7
2,-104.7,3,2,10.0,7
7,-116.5,3,3,10.0,7
82,-278.0,3,4,10.0,7
3,-107.4,3,5,104.7,7
20,-150.0,4,1,100.0,7
98,-349.3,4,2,100.0,7
59,-250.6,4,3,100.0,7
39,-199.5,4,4,100.0,7
21,-153.0,4,5,100.0,7
24,-131.3,5,1,100.0,7
