x,y,machine,trial,y_pred,subject
80,665.0,1,1,100.0,1
75,595.1,1,2,650.0,1
85,743.1,1,3,715.0,1
78,637.3,1,4,622.0,1
65,466.2,1,5,488.0,1
41,205.4,2,1,310.0,1
21,119.4,2,2,105.0,1
21,118.8,2,3,119.0,1
7,98.7,2,4,42.2,1
43,217.5,2,5,209.0,1
82,879.0,3,1,675.0,1
23,169.5,3,2,120.0,1
73,723.3,3,3,629.0,1
39,286.7,3,4,339.0,1
47,368.7,3,5,331.0,1
50,292.4,4,1,335.0,1
75,591.2,4,2,695.0,1
48,274.1,4,3,329.0,1
32,158.9,4,4,201.0,1
4,95.9,4,5,10.0,1
24,179.6,5,1,161.0,1
93,1317.6,5,2,819.0,1
57,553.3,5,3,399.0,1
47,407.6,5,4,368.0,1
79,976.3,5,5,829.0,1
99,1469.1,1,1,100.0,2
56,543.6,1,2,1000.0,2
25,190.4,1,3,125.0,2
32,249.0,1,4,228.0,2
87,1162.2,1,5,722.0,2
93,1097.9,2,1,1399.0,2
28,184.3,2,2,201.0,2
10,108.0,2,3,100.0,2
39,266.3,2,4,319.0,2
78,796.1,2,5,820.0,2
0,99.2,3,1,0.0,2
14,128.5,3,2,153.0,2
8,110.0,3,3,72.8,2
39,297.6,3,4,266.0,2
94,1172.4,3,5,1020.0,2
92,1040.6,4,1,1080.0,2
45,352.7,4,2,381.0,2
23,178.5,4,3,176.0,2
94,1079.7,4,4,1021.0,2
82,856.3,4,5,860.0,2
50,386.8,5,1,410.0,2
8,119.0,5,2,68.0,2
72,633.1,5,3,750.0,2
2,104.5,5,4,100.0,2
96,987.7,5,5,1090.0,2
19,136.8,1,1,1.0,3
41,282.3,1,2,320.0,3
92,1048.3,1,3,592.0,3
97,1155.9,1,4,1080.0,3
46,329.5,1,5,297.0,3
68,564.4,2,1,1000.0,3
46,327.3,2,2,329.0,3
8,114.2,2,3,10.3,3
23,168.9,2,4,198.0,3
52,383.1,2,5,429.0,3
99,885.4,3,1,1188.0,3
88,717.3,3,2,742.0,3
64,419.2,3,3,522.0,3
48,272.7,3,4,329.0,3
6,99.5,3,5,103.0,3
70,510.0,4,1,500.0,3
73,545.1,4,2,521.0,3
58,377.7,4,3,410.0,3
25,146.7,4,4,150.0,3
16,117.5,4,5,100.0,3
71,395.7,5,1,520.0,3
18,84.2,5,2,121.0,3
14,82.5,5,3,62.9,3
19,84.2,5,4,102.0,3
6,89.6,5,5,82.5,3
14,124.0,1,1,10.0,4
1,101.6,1,2,1.0,4
54,514.5,1,3,536.0,4
87,1204.0,1,4,847.0,4
78,982.6,1,5,1204.0,4
55,365.5,2,1,515.0,4
20,135.3,2,2,100.0,4
63,446.3,2,3,400.0,4
97,917.4,2,4,685.0,4
16,120.7,2,5,116.0,4
38,133.8,3,1,318.0,4
93,528.8,3,2,1014.0,4
