x,y,machine,trial,y_pred,subject
8,22826.0,1,1,10.0,1
89,2.2382129961944907e+50,1,2,22826.0,1
19,40190102329.3,1,3,,1
42,4.6073115685194456e+23,1,4,,1
96,2.1109582463093715e+54,1,5,112589.9906842624,1
27,231608918697.3,2,1,1.0,1
78,1.5113799378915094e+32,2,2,,1
79,3.868151052886951e+32,2,3,,1
79,3.868151052886951e+32,2,4,3868.151052886951,1
57,4.06114447949435e+23,2,5,111.1111111111111,1
59,363775362604.5,3,1,1.0,1
49,4373371618.0,3,2,111.1111111111111,1
41,127292508.1,3,3,,1
33,3705004.0,3,4,100000000.0,1
59,363775362604.5,3,5,363775362604.5,1
21,1101.9,4,1,1.0,1
5,24.5,4,2,1.0,1
90,6947227545440.0,4,3,1.1019e+23,1
22,1521.2,4,4,1111.1,1
82,506703510471.9,4,5,10243000000.0,1
93,2.780372562372012e+17,5,1,1.0,1
63,657775613037.4,5,2,11.11111111111111,1
17,1568.9,5,3,1101.9,1
31,656136.1,5,4,1019.9,1
91,1.1722888807596432e+17,5,5,27.44189664521953,1
85,1.1393805761879895e+36,1,1,100.0,2
12,205635.7,1,2,,2
78,1.2842743026747878e+33,1,3,,2
98,3.400528489119612e+41,1,4,,2
66,1.1348138244950326e+28,1,5,,2
61,7.838910723655278e+49,2,1,,2
70,1.7300589986506097e+57,2,2,,2
80,2.4994500620999165e+65,2,3,,2
3,377.8,2,4,,2
91,2.3637762764903894e+74,2,5,,2
73,1.8815165489739044e+26,3,1,,2
32,328354922585.5,3,2,,2
4,17.9,3,3,,2
69,6.834191038631811e+24,3,4,,2
71,3.5858950818498453e+25,3,5,,2
77,107.2,4,1,,2
48,16.7,4,2,,2
16,5.0,4,3,1.1,2
22,5.7,4,4,10.0,2
78,114.8,4,5,11.4,2
77,2.9877374200800604e+23,5,1,107.2,2
6,93.4,5,2,1.0,2
6,93.4,5,3,93.4,2
22,6355448.6,5,4,5.7,2
16,96466.7,5,5,5.0,2
67,4662983818488.0,1,1,100.0,3
68,7173986076271.3,1,2,4662983818488.0,3
99,4.5264297293769677e+18,1,3,10000000000000.0,3
43,150780432.1,1,4,1.0,3
53,11202403542.9,1,5,,3
48,9.669976481776724e+44,2,1,1.0,3
33,7.917692979613678e+30,2,2,1.0,3
93,1.761593500983398e+87,2,3,11.11111111111111,3
74,2.526921803558818e+69,2,4,112589990.6842624,3
68,5.859507284855704e+63,2,5,1111111.111111111,3
73,2.753728275049414e+28,3,1,1.0,3
78,2.4361043122950856e+30,3,2,111.1111111111111,3
78,2.4361043122950856e+30,3,3,,3
97,6.08751588950764e+37,3,4,1125.899906842624,3
85,1.2947341282962126e+33,3,5,1111.111111111111,3
89,4.514607961442323e+26,4,1,1.0,3
63,6.812174791127785e+18,4,2,11.11111111111111,3
41,1641472897504.5,4,3,11.25899906842624,3
26,50457481.0,4,4,11.25899906842624,3
65,2.7222429376391274e+19,4,5,,3
27,2.651463988480055e+19,5,1,1.0,3
75,5.010266497117214e+54,5,2,1125.899906842624,3
61,2.5758353025886753e+44,5,3,11258.99906842624,3
