x,y,machine,trial,y_pred,subject
26,110.2,1,1,1.0,1
92,420.7,1,2,110.2,1
79,359.3,1,3,350.1,1
20,84.1,1,4,92.2,1
18,73.4,1,5,76.2,1
30,115.5,2,1,120.1,1
54,237.5,2,2,200.2,1
18,55.1,2,3,73.4,1
93,436.0,2,4,392.5,1
93,435.5,2,5,436.0,1
80,350.0,3,1,352.0,1
59,246.1,3,2,250.0,1
86,377.4,3,3,369.0,1
78,341.3,3,4,339.2,1
16,37.8,3,5,69.2,1
22,103.2,4,1,100.0,1
76,400.4,4,2,349.0,1
69,364.4,4,3,349.5,1
37,186.0,4,4,175.5,1
53,272.8,4,5,265.0,1
60,270.2,5,1,270.0,1
42,165.2,5,2,192.1,1
48,199.5,5,3,212.0,1
19,35.4,5,4,75.1,1
53,228.9,5,5,272.8,1
64,350.9,1,1,100.0,2
59,324.7,1,2,340.2,2
41,224.9,1,3,249.5,2
55,302.1,1,4,289.2,2
33,179.8,1,5,184.2,2
95,431.3,2,1,500.1,2
15,-2.1,2,2,69.1,2
34,101.9,2,3,152.2,2
0,-85.4,2,4,0.0,2
89,399.1,2,5,350.9,2
37,181.5,3,1,159.9,2
60,308.8,3,2,290.1,2
77,403.1,3,3,375.9,2
37,179.9,3,4,181.5,2
3,-5.7,3,5,1.5,2
89,327.8,4,1,399.1,2
64,222.9,4,2,299.1,2
37,112.2,4,3,179.9,2
11,8.0,4,4,1.1,2
17,29.8,4,5,10.2,2
79,299.1,5,1,309.1,2
33,67.6,5,2,119.9,2
56,182.4,5,3,152.1,2
38,93.7,5,4,101.2,2
83,318.1,5,5,319.1,2
57,211.1,1,1,10.0,3
48,165.8,1,2,192.2,3
6,-53.9,1,3,1.2,3
71,285.1,1,4,239.1,3
10,-33.2,1,5,10.1,3
55,236.5,2,1,209.1,3
1,-78.2,2,2,1.1,3
30,91.3,2,3,129.1,3
73,339.3,2,4,295.1,3
59,260.5,2,5,259.1,3
76,431.1,3,1,352.1,3
40,208.1,3,2,185.8,3
6,-4.3,3,3,1.1,3
80,457.2,3,4,480.1,3
64,359.2,3,5,332.1,3
3,-23.1,4,1,1.1,3
45,166.0,4,2,225.1,3
56,214.2,4,3,210.0,3
68,267.7,4,4,300.2,3
10,10.5,4,5,1.2,3
52,147.2,5,1,225.1,3
53,150.4,5,2,150.1,3
47,123.8,5,3,141.3,3
75,246.9,5,4,315.2,3
19,2.5,5,5,102.1,3
56,169.7,1,1,100.0,4
38,90.5,1,2,129.4,4
9,-38.5,1,3,18.1,4
21,13.3,1,4,10.5,4
87,305.3,1,5,10.5,4
38,175.6,2,1,10.5,4
80,375.7,2,2,255.3,4
28,127.0,2,3,109.3,4
47,218.1,2,4,215.3,4
69,323.9,2,5,315.2,4
55,271.8,3,1,169.7,4
34,165.2,3,2,135.9,4
63,316.2,3,3,335.9,4
23,110.1,3,4,123.5,4
10,41.3,3,5,45.5,4
9,-16.5,4,1,10.1,4
82,385.4,4,2,329.3,4
28,85.9,4,3,127.0,4
85,402.3,4,4,390.1,4
22,52.9,4,5,100.1,4
67,248.1,5,1,325.1,4
68,255.2,5,2,250.2,4
77,298.6,5,3,285.3,4
54,182.6,5,4,202.1,4
97,400.3,5,5,359.9,4
83,373.6,1,1,10.0,5
72,325.4,1,2,324.8,5
25,107.3,1,3,112.5,5
94,425.8,1,4,399.2,5
46,202.6,1,5,199.4,5
91,416.2,2,1,409.6,5
10,38.9,2,2,45.2,5
76,345.2,2,3,332.4,5
47,210.7,2,4,205.4,5
86,392.8,2,5,405.8,5
36,71.6,3,1,159.6,5
84,289.5,3,2,372.8,5
94,335.4,3,3,325.8,5
91,321.6,3,4,316.2,5
28,35.0,3,5,79.2,5
53,180.4,4,1,119.6,5
19,12.3,4,2,59.9,5
17,2.9,4,3,11.1,5
2,-73.7,4,4,0.0,5
85,342.4,4,5,295.4,5
17,49.8,5,1,12.3,5
42,182.4,5,2,152.4,5
70,330.6,5,3,270.2,5
86,415.0,5,4,392.8,5
39,165.8,5,5,179.2,5
33,159.6,1,1,10.0,6
54,263.5,1,2,239.2,6
23,110.7,1,3,115.5,6
0,-1.8,1,4,0.0,6
74,363.9,1,5,345.2,6
74,359.5,2,1,363.9,6
62,287.2,2,2,299.5,6
61,282.6,2,3,285.2,6
13,-6.2,2,4,62.6,6
78,384.1,2,5,371.2,6
24,34.8,3,1,116.8,6
40,114.1,3,2,100.4,6
2,-78.9,3,3,1.2,6
54,185.6,3,4,263.5,6
78,307.5,3,5,384.1,6
94,321.1,4,1,465.1,6
87,288.5,4,2,299.9,6
43,95.9,4,3,125.1,6
98,341.5,4,4,329.4,6
72,224.0,4,5,259.1,6
26,131.2,5,1,102.1,6
91,460.4,5,2,313.5,6
92,464.4,5,3,464.8,6
20,102.3,5,4,100.0,6
67,338.1,5,5,299.9,6
82,325.3,1,1,10.0,7
49,157.6,1,2,211.2,7
48,153.5,1,3,155.2,7
31,65.7,1,4,89.9,7
23,25.3,1,5,41.1,7
38,152.2,2,1,114.5,7
56,262.8,2,2,224.4,7
27,82.6,2,3,108.5,7
62,301.1,2,4,292.2,7
71,355.3,2,5,355.5,7
53,217.4,3,1,255.5,7
4,-36.5,3,2,1.2,7
57,237.0,3,3,228.8,7
31,103.4,3,4,105.7,7
98,446.8,3,5,450.2,7
42,136.7,4,1,168.6,7
81,337.1,4,2,325.3,7
35,102.1,4,3,115.4,7
78,320.6,4,4,312.2,7
33,94.7,4,5,102.2,7
91,305.5,5,1,382.2,7
6,-69.7,5,2,1.2,7
47,111.9,5,3,155.5,7
11,-48.1,5,4,11.5,7
1,-92.2,5,5,1.0,7
97,420.6,1,1,100.0,8
73,306.7,1,2,291.4,8
77,326.1,1,3,315.2,8
94,405.4,1,4,408.2,8
70,291.9,1,5,300.0,8
56,192.8,2,1,224.4,8
3,-81.2,2,2,1.2,8
33,74.1,2,3,112.8,8
18,-6.1,2,4,10.2,8
46,140.7,2,5,112.1,8
86,420.9,3,1,300.4,8
33,148.5,3,2,132.1,8
33,149.1,3,3,148.5,8
34,152.2,3,4,150.2,8
65,312.7,3,5,295.4,8
90,360.3,4,1,400.1,8
62,219.4,4,2,248.6,8
75,286.4,4,3,280.5,8
92,371.4,4,4,364.6,8
14,-24.2,4,5,10.2,8
0,-44.0,5,1,0.0,8
72,354.9,5,2,272.4,8
75,373.8,5,3,362.4,8
42,188.4,5,4,192.1,8
85,426.6,5,5,360.9,8
47,191.3,1,1,100.0,9
18,21.0,1,2,10.2,9
33,110.5,1,3,10.0,9
20,33.7,1,4,20.0,9
6,-50.0,1,5,1.0,9
79,272.3,2,1,10.0,9
33,63.2,2,2,110.5,9
38,83.4,2,3,100.5,9
6,-64.0,2,4,1.0,9
26,28.5,2,5,10.0,9
14,-7.7,3,1,11.0,9
23,37.1,3,2,10.5,9
26,49.6,3,3,28.5,9
78,304.1,3,4,150.0,9
53,182.6,3,5,155.4,9
21,31.3,4,1,10.0,9
87,303.6,4,2,322.3,9
82,285.8,4,3,295.5,9
93,329.3,4,4,331.5,9
41,114.1,4,5,149.2,9
63,229.9,5,1,212.3,9
22,14.6,5,2,42.1,9
16,-17.0,5,3,1.5,9
48,151.2,5,4,179.2,9
14,-26.3,5,5,1.2,9
55,202.7,1,1,100.0,10
