x,y,machine,trial,y_pred,subject
77,12827.7,1,1,100.0,1
7,123.9,1,2,12827.7,1
84,15255.9,1,3,12827.7,1
27,1605.4,1,4,123.9,1
75,12172.5,1,5,12755.9,1
13,305.4,2,1,123.9,1
7,86.6,2,2,123.9,1
14,354.9,2,3,321.2,1
84,13115.9,2,4,15255.9,1
85,13431.0,2,5,13255.9,1
36,2644.8,3,1,1000.0,1
60,7297.7,3,2,3000.0,1
95,18227.1,3,3,15115.9,1
43,3763.1,3,4,2255.4,1
88,15647.9,3,5,15999.9,1
55,3952.6,4,1,10297.9,1
3,21.6,4,2,10.1,1
65,5505.3,4,3,4597.7,1
39,2002.9,4,4,2999.9,1
96,11951.9,4,5,18487.9,1
66,1697.4,5,1,5605.3,1
68,1800.2,5,2,1755.9,1
13,76.2,5,3,105.4,1
96,3557.4,5,4,11951.9,1
86,2861.7,5,5,11255.9,1
50,3452.6,1,1,100.0,2
42,2442.8,1,2,2142.6,2
8,98.6,1,3,12.4,2
3,19.8,1,4,12.6,2
90,11120.2,1,5,5452.6,2
25,926.9,2,1,1250.0,2
2,0.5,2,2,10.2,2
93,12647.4,2,3,1012.9,2
88,11328.3,2,4,11112.8,2
78,8908.1,2,5,10242.2,2
66,12723.8,3,1,1000.2,2
66,12723.8,3,2,12723.8,2
79,18220.8,3,3,13219.1,2
48,6736.7,3,4,10240.4,2
78,17763.0,3,5,18220.8,2
63,7497.7,4,1,11920.2,2
73,10049.7,4,2,10123.0,2
81,12360.0,4,3,11599.7,2
12,284.9,4,4,144.0,2
23,1019.9,4,5,399.9,2
44,4468.3,5,1,10000.0,2
1,-10.6,5,2,1.0,2
30,2071.5,5,3,1200.0,2
33,2508.8,5,4,2331.5,2
61,8597.0,5,5,6161.0,2
36,2490.7,1,1,12.0,3
10,214.9,1,2,1000.0,3
81,12287.4,1,3,1755.3,3
89,14806.4,1,4,13124.1,3
70,9207.0,1,5,11400.1,3
47,4082.3,2,1,10000.0,3
28,1481.9,2,2,1913.6,3
65,7739.0,2,3,5904.5,3
73,9736.8,2,4,10200.0,3
39,2829.7,2,5,3365.6,3
6,-3.2,3,1,12.0,3
7,2.7,3,2,1.2,3
43,926.2,3,3,112.9,3
39,755.5,3,4,1002.0,3
8,9.8,3,5,1.9,3
46,6650.8,4,1,100.0,3
9,244.3,4,2,102.1,3
51,8181.6,4,3,8555.5,3
