x,y,machine,trial,y_pred,subject
12,109.4,1,1,1.0,1
92,737.8,1,2,0.4,1
31,173.9,1,3,7.2,1
5,103.1,1,4,0.0,1
13,114.9,1,5,7.8,1
54,483.7,2,1,789.2,1
98,1209.1,2,2,719.1,1
48,414.2,2,3,923.1,1
65,630.1,2,4,569.0,1
65,633.6,2,5,630.1,1
96,1192.6,3,1,1020.1,1
4,103.6,3,2,80.1,1
70,690.7,3,3,733.1,1
14,129.3,3,4,114.1,1
86,979.7,3,5,1210.1,1
73,405.3,4,1,723.7,1
79,472.4,4,2,531.1,1
10,84.6,4,3,99.1,1
63,306.7,4,4,531.1,1
79,471.7,4,5,474.1,1
63,568.4,5,1,306.7,1
86,932.7,5,2,979.7,1
76,763.5,5,3,569.1,1
69,654.1,5,4,569.1,1
11,124.4,5,5,99.1,1
39,172.2,1,1,0.1,2
81,495.9,1,2,0.0,2
92,621.2,1,3,719.1,2
35,153.2,1,4,180.1,2
42,187.8,1,5,210.9,2
85,794.6,2,1,531.2,2
74,628.9,2,2,719.1,2
80,718.3,2,3,719.2,2
99,1037.2,2,4,845.2,2
15,124.8,2,5,175.1,2
39,284.0,3,1,172.2,2
95,966.6,3,2,719.0,2
86,824.2,3,3,919.0,2
30,217.1,3,4,201.6,2
21,167.7,3,5,150.9,2
70,687.0,4,1,719.0,2
57,496.8,4,2,531.2,2
94,1137.6,4,3,918.2,2
51,420.1,4,4,569.1,2
82,896.4,4,5,919.0,2
89,870.9,5,1,1020.0,2
38,274.6,5,2,300.2,2
30,218.1,5,3,217.1,2
46,340.4,5,4,324.1,2
3,105.2,5,5,19.0,2
29,190.6,1,1,0.5,3
21,150.4,1,2,190.6,3
15,126.7,1,3,120.2,3
12,119.3,1,4,110.0,3
65,517.1,1,5,5.1,3
4,101.8,2,1,0.0,3
87,781.9,2,2,531.0,3
17,124.3,2,3,719.0,3
52,341.2,2,4,531.0,3
0,100.4,2,5,0.0,3
12,98.7,3,1,120.1,3
75,552.3,3,2,719.1,3
61,382.6,3,3,531.1,3
28,137.0,3,4,150.4,3
51,284.5,3,5,350.0,3
97,724.0,4,1,788.1,3
54,278.5,4,2,300.0,3
22,119.5,4,3,99.0,3
98,737.5,4,4,719.0,3
35,167.9,4,5,150.0,3
85,1181.4,5,1,584.0,3
52,532.9,5,2,341.2,3
36,320.5,5,3,719.3,3
22,195.2,5,4,101.0,3
29,251.7,5,5,192.0,3
47,209.0,1,1,0.1,4
77,416.6,1,2,9.0,4
92,557.4,1,3,531.2,4
1,100.7,1,4,1.0,4
92,558.7,1,5,557.4,4
44,245.0,2,1,200.0,4
1,98.8,2,2,100.7,4
49,286.0,2,3,300.0,4
25,133.4,2,4,150.0,4
99,971.8,2,5,531.0,4
28,181.8,3,1,150.0,4
34,219.8,3,2,220.0,4
17,129.7,3,3,99.0,4
65,542.6,3,4,719.0,4
61,488.6,3,5,569.0,4
55,249.4,4,1,300.0,4
91,532.6,4,2,566.0,4
3,98.7,4,3,99.0,4
32,145.3,4,4,175.0,4
49,215.7,4,5,285.0,4
5,98.9,5,1,99.7,4
25,143.9,5,2,133.3,4
33,188.7,5,3,199.0,4
68,542.9,5,4,531.0,4
69,556.8,5,5,541.9,4
14,118.4,1,1,1.0,5
99,975.8,1,2,0.0,5
59,410.3,1,3,583.2,5
56,380.5,1,4,789.1,5
64,465.8,1,5,789.1,5
91,602.4,2,1,975.8,5
7,96.0,2,2,7.2,5
73,406.4,2,3,734.0,5
92,614.8,2,4,719.0,5
38,161.3,2,5,192.0,5
61,638.7,3,1,400.0,5
83,1059.1,3,2,719.0,5
67,741.5,3,3,719.8,5
56,558.8,3,4,380.5,5
2,104.8,3,5,8.0,5
17,119.0,4,1,9.0,5
61,440.5,4,2,619.0,5
62,453.2,4,3,541.8,5
55,373.2,4,4,531.5,5
92,904.3,4,5,619.0,5
76,801.5,5,1,719.0,5
34,243.0,5,2,201.0,5
40,299.2,5,3,200.0,5
58,512.0,5,4,531.0,5
31,218.7,5,5,250.8,5
47,341.2,1,1,0.1,6
84,827.0,1,2,1.2,6
1,100.6,1,3,0.0,6
74,671.5,1,4,741.0,6
46,334.0,1,5,541.0,6
26,167.0,2,1,7.0,6
10,111.4,2,2,50.0,6
48,334.8,2,3,719.0,6
92,987.1,2,4,769.0,6
64,525.7,2,5,766.0,6
4,103.7,3,1,100.0,6
37,293.4,3,2,719.0,6
78,901.0,3,3,766.0,6
7,112.0,3,4,99.0,6
17,149.0,3,5,165.0,6
79,847.5,4,1,905.0,6
22,180.9,4,2,150.0,6
30,236.6,4,3,201.0,6
74,763.1,4,4,669.0,6
91,1070.0,4,5,919.0,6
92,583.0,5,1,986.0,6
17,86.8,5,2,149.0,6
21,89.8,5,3,120.0,6
86,510.6,5,4,719.0,6
88,532.5,5,5,569.0,6
71,564.8,1,1,0.5,7
70,548.2,1,2,564.8,7
83,751.3,1,3,583.2,7
77,654.5,1,4,719.1,7
4,96.5,1,5,0.2,7
24,157.5,2,1,7.1,7
34,213.6,2,2,168.2,7
89,905.4,2,3,719.2,7
49,341.3,2,4,719.1,7
59,449.8,2,5,531.1,7
37,304.1,3,1,7.1,7
62,635.6,3,2,531.1,7
12,128.1,3,3,123.1,7
73,828.2,3,4,764.1,7
23,187.6,3,5,247.1,7
54,355.0,4,1,569.1,7
26,167.5,4,2,201.0,7
51,329.9,4,3,300.2,7
59,400.0,4,4,449.8,7
97,877.6,4,5,899.1,7
66,669.3,5,1,531.0,7
31,226.5,5,2,225.0,7
23,169.9,5,3,157.5,7
95,1280.4,5,4,919.2,7
43,344.2,5,5,531.2,7
27,201.7,1,1,0.1,8
98,1521.1,1,2,0.0,8
90,1295.9,1,3,1201.1,8
48,431.9,1,4,923.1,8
57,572.6,1,5,531.1,8
85,1099.4,2,1,1295.9,8
2,105.9,2,2,0.1,8
41,376.6,2,3,531.1,8
46,435.7,2,4,531.1,8
63,683.2,2,5,569.1,8
91,883.0,3,1,1295.9,8
65,507.6,3,2,721.9,8
0,101.1,3,3,0.0,8
88,836.4,3,4,977.4,8
85,785.7,3,5,1099.4,8
57,473.1,4,1,582.0,8
13,138.4,4,2,99.0,8
86,875.0,4,3,719.0,8
86,875.1,4,4,899.1,8
73,680.3,4,5,719.0,8
5,98.0,5,1,99.0,8
51,356.0,5,2,531.0,8
23,144.8,5,3,201.0,8
30,180.5,5,4,180.0,8
45,295.3,5,5,270.0,8
97,1014.6,1,1,0.1,9
6,104.5,1,2,0.6,9
85,801.7,1,3,10.5,9
89,869.5,1,4,904.1,9
33,207.0,1,5,8.5,9
33,173.4,2,1,207.0,9
72,477.6,2,2,9.0,9
60,358.0,2,3,719.5,9
52,292.8,2,4,719.0,9
6,101.2,2,5,104.5,9
33,163.8,3,1,207.0,9
37,177.9,3,2,201.0,9
38,183.3,3,3,180.0,9
21,123.3,3,4,145.0,9
29,145.0,3,5,145.0,9
10,106.7,4,1,50.0,9
30,162.6,4,2,180.0,9
9,108.2,4,3,105.0,9
92,650.5,4,4,811.0,9
9,105.7,4,5,108.2,9
82,832.4,5,1,584.0,9
56,442.8,5,2,300.0,9
40,277.9,5,3,276.0,9
20,145.9,5,4,120.0,9
57,456.6,5,5,450.0,9
0,97.9,1,1,0.0,10
80,797.9,1,2,97.9,10
11,96.2,1,3,11.9,10
87,942.1,1,4,787.9,10
70,618.5,1,5,742.1,10
57,588.3,2,1,9.2,10
55,560.8,2,2,977.1,10
0,99.6,2,3,97.9,10
17,172.0,2,4,9.1,10
79,970.2,2,5,799.0,10
35,212.7,3,1,566.0,10
49,314.1,3,2,569.0,10
89,769.9,3,3,914.0,10
31,190.7,3,4,199.0,10
67,486.7,3,5,569.0,10
43,260.3,4,1,300.0,10
12,110.0,4,2,99.0,10
35,202.7,4,3,220.0,10
61,434.7,4,4,400.0,10
47,291.6,4,5,302.1,10
86,754.0,5,1,942.1,10
44,273.2,5,2,280.0,10
85,739.6,5,3,749.0,10
83,710.3,5,4,719.0,10
55,370.7,5,5,550.8,10
91,1062.2,1,1,0.1,11
46,388.2,1,2,1062.2,11
34,274.9,1,3,7.2,11
1,101.9,1,4,0.1,11
53,467.7,1,5,531.2,11
42,213.4,2,1,1062.2,11
45,231.4,2,2,531.1,11
58,322.7,2,3,250.1,11
44,223.8,2,4,240.1,11
99,769.7,2,5,1062.2,11
36,127.9,3,1,300.1,11
83,469.1,3,2,569.1,11
90,552.9,3,3,569.1,11
37,132.2,3,4,128.1,11
91,560.9,3,5,1062.2,11
29,192.4,4,1,99.1,11
35,235.9,4,2,128.9,11
90,1025.9,4,3,569.1,11
