x,y,machine,trial,y_pred,subject
71.9,-169.9,1,1,0.0,1
0.4,-71.9,1,2,-0.0,1
82.7,-184.8,1,3,-169.0,1
96.6,-203.1,1,4,-206.0,1
78.2,-178.0,1,5,-177.0,1
26.5,-115.5,2,1,-26.0,1
13.8,-93.5,2,2,-57.0,1
57.9,-175.6,2,3,-131.0,1
85.3,-224.7,2,4,-206.0,1
70.7,-198.1,2,5,-200.0,1
70.2,-106.1,3,1,-168.0,1
62.4,-85.7,3,2,-95.0,1
68.1,-99.8,3,3,-88.0,1
48.1,-47.5,3,4,-68.0,1
28.7,0.9,3,5,-0.0,1
70.1,-123.3,4,1,-106.0,1
22.7,-32.0,4,2,-47.0,1
85.8,-154.1,4,3,-200.0,1
13.9,-13.5,4,4,-16.0,1
18.4,-22.0,4,5,-21.0,1
85.2,-254.0,5,1,-123.0,1
90.4,-266.0,5,2,-270.0,1
65.5,-208.2,5,3,-176.0,1
67.4,-211.0,5,4,-211.0,1
21.6,-103.7,5,5,-66.0,1
75.5,-159.4,1,1,-0.0,2
19.1,-44.0,1,2,-41.0,2
86.0,-182.3,1,3,-184.0,2
39.2,-86.0,1,4,-88.0,2
83.9,-177.5,1,5,-178.0,2
95.6,-71.0,2,1,-206.0,2
46.1,18.7,2,2,-10.0,2
46.6,17.4,2,3,19.4,2
16.9,69.2,2,4,-21.0,2
73.6,-30.2,2,5,-145.0,2
22.1,13.9,3,1,-1.0,2
9.4,32.7,3,2,-1.0,2
92.9,-86.8,3,3,-21.0,2
44.4,-16.9,3,4,-0.0,2
22.6,10.6,3,5,-14.0,2
53.9,-104.2,4,1,-10.0,2
65.9,-117.8,4,2,-130.0,2
66.3,-117.2,4,3,-116.0,2
81.2,-134.7,4,4,-130.0,2
53.2,-103.8,4,5,-103.0,2
5.8,-99.0,5,1,-1.0,2
12.8,-117.4,5,2,-99.0,2
63.6,-255.9,5,3,-131.0,2
41.7,-197.3,5,4,-176.0,2
6.5,-101.6,5,5,-101.0,2
66.3,-190.3,1,1,-0.0,3
53.1,-152.4,1,2,-153.0,3
65.7,-191.7,1,3,-192.0,3
11.5,-33.4,1,4,-33.0,3
22.1,-62.3,1,5,-66.0,3
97.6,-116.6,2,1,-283.0,3
88.1,-102.1,2,2,-105.0,3
84.0,-92.0,2,3,-96.0,3
64.2,-54.3,2,4,-54.0,3
78.1,-81.6,2,5,-76.0,3
79.3,-177.9,3,1,-21.0,3
9.6,-68.8,3,2,-24.0,3
92.6,-199.4,3,3,-107.0,3
84.2,-186.0,3,4,-176.0,3
45.0,-124.8,3,5,-112.0,3
68.7,-218.1,4,1,-190.0,3
81.2,-249.1,4,2,-241.0,3
80.9,-247.7,4,3,-248.0,3
51.1,-175.4,4,4,-176.0,3
57.6,-192.5,4,5,-196.0,3
85.2,-185.4,5,1,-229.0,3
91.4,-198.6,5,2,-196.0,3
21.8,-45.4,5,3,-66.0,3
46.2,-99.8,5,4,-125.0,3
79.0,-171.4,5,5,-176.0,3
53.5,-124.3,1,1,-0.0,4
56.3,-132.1,1,2,-131.0,4
79.2,-179.8,1,3,-200.0,4
2.4,-13.7,1,4,-5.0,4
1.7,-13.9,1,5,-10.0,4
26.2,24.4,2,1,-66.0,4
63.9,-32.1,2,2,-66.0,4
74.5,-47.7,2,3,-37.0,4
5.2,56.8,2,4,-4.0,4
85.1,-64.3,2,5,-116.0,4
57.1,-198.2,3,1,-21.0,4
55.9,-195.7,3,2,-200.0,4
6.2,-88.7,3,3,-14.0,4
2.7,-80.0,3,4,-14.0,4
45.8,-172.7,3,5,-172.0,4
91.9,-237.8,4,1,-205.0,4
15.1,-85.9,4,2,-74.0,4
91.6,-236.6,4,3,-237.0,4
92.3,-239.8,4,4,-237.0,4
47.9,-150.0,4,5,-172.0,4
78.2,-118.6,5,1,-215.0,4
26.7,-18.2,5,2,-21.0,4
89.1,-139.8,5,3,-140.0,4
11.9,10.3,5,4,-39.0,4
91.7,-143.7,5,5,-140.0,4
39.1,-30.4,1,1,-0.0,5
42.9,-40.5,1,2,-27.0,5
41.4,-37.5,1,3,-37.0,5
4.4,58.3,1,4,-3.0,5
80.6,-137.5,1,5,-10.0,5
39.5,-93.4,2,1,-30.0,5
18.8,-43.1,2,2,-21.0,5
81.6,-193.9,2,3,-176.0,5
93.6,-224.3,2,4,-229.0,5
61.7,-144.9,2,5,-149.0,5
57.8,-135.4,3,1,-21.0,5
63.4,-152.7,3,2,-145.0,5
36.8,-68.3,3,3,-88.0,5
35.9,-62.8,3,4,-65.0,5
72.1,-181.1,3,5,-176.0,5
52.6,-112.7,4,1,-116.0,5
15.9,-29.2,4,2,-21.0,5
10.9,-17.7,4,3,-14.0,5
25.0,-49.9,4,4,-41.0,5
89.9,-198.2,4,5,-211.0,5
86.4,-132.0,5,1,-176.0,5
85.5,-132.3,5,2,-129.0,5
45.6,-59.6,5,3,-92.0,5
29.3,-30.1,5,4,-39.0,5
44.0,-56.0,5,5,-54.0,5
84.7,-140.8,1,1,0.8,6
95.1,-155.5,1,2,-155.0,6
51.0,-88.2,1,3,-88.0,6
1.6,-13.4,1,4,-2.0,6
51.7,-87.6,1,5,-88.0,6
84.6,-272.2,2,1,-140.0,6
82.3,-266.6,2,2,-263.0,6
24.4,-128.3,2,3,-200.0,6
70.4,-237.0,2,4,-247.0,6
88.6,-281.7,2,5,-283.0,6
28.1,7.9,3,1,-50.0,6
21.8,17.3,3,2,4.8,6
2.6,40.3,3,3,-0.0,6
88.4,-71.5,3,4,-0.0,6
57.5,-30.7,3,5,-10.0,6
32.6,-94.6,4,1,-1.0,6
26.8,-83.1,4,2,-79.0,6
81.2,-183.2,4,3,-168.0,6
23.4,-76.8,4,4,-77.0,6
62.1,-149.4,4,5,-100.0,6
23.8,24.9,5,1,-21.0,6
93.8,-65.3,5,2,-10.0,6
52.2,-12.0,5,3,-21.0,6
48.9,-7.0,5,4,-10.0,6
86.7,-57.2,5,5,-59.0,6
94.5,-280.6,1,1,0.5,7
50.0,-192.9,1,2,-140.0,7
6.6,-108.7,1,3,-56.0,7
12.6,-121.8,1,4,-108.0,7
88.1,-268.2,1,5,-274.0,7
57.4,-93.9,2,1,-172.0,7
64.6,-107.5,2,2,-100.0,7
0.9,1.4,2,3,-21.0,7
56.9,-94.0,2,4,-93.0,7
37.9,-60.7,2,5,-57.0,7
65.3,-99.4,3,1,-0.0,7
