x,y,machine,trial,y_pred,subject
10,-114.0,1,1,10.0,1
74,-184.3,1,2,-10.0,1
53,-161.0,1,3,-153.7,1
38,-144.4,1,4,-145.0,1
22,-125.1,1,5,-125.0,1
17,-141.3,2,1,-131.0,1
44,-202.0,2,2,-176.0,1
33,-177.3,2,3,-179.0,1
39,-191.5,2,4,-184.0,1
76,-279.6,2,5,-288.0,1
9,-106.4,3,1,-116.0,1
12,-108.6,3,2,-116.8,1
19,-116.0,3,3,-116.8,1
33,-127.6,3,4,-131.0,1
65,-153.2,3,5,-153.8,1
77,-267.2,4,1,-184.3,1
7,-113.4,4,2,-98.0,1
32,-170.2,4,3,-160.8,1
45,-196.7,4,4,-200.0,1
96,-306.6,4,5,-382.8,1
14,-124.2,5,1,-116.8,1
83,-242.0,5,2,-284.0,1
86,-245.2,5,3,-247.0,1
38,-163.8,5,4,-144.4,1
46,-177.6,5,5,-174.0,1
80,-167.4,1,1,0.8,2
71,-159.6,1,2,-148.6,2
16,-112.2,1,3,-74.8,2
21,-118.7,1,4,-116.8,2
81,-166.2,1,5,-168.1,2
42,-229.1,2,1,-88.8,2
92,-378.6,2,2,-229.1,2
76,-332.3,2,3,-325.8,2
2,-106.5,2,4,-50.8,2
26,-178.8,2,5,-131.8,2
56,-159.6,3,1,-267.8,2
29,-130.1,3,2,-112.2,2
96,-201.8,3,3,-166.2,2
73,-175.3,3,4,-168.8,2
91,-196.8,3,5,-196.8,2
32,-185.6,4,1,-116.2,2
63,-271.2,4,2,-229.1,2
54,-245.0,4,3,-247.8,2
20,-155.5,4,4,-168.8,2
64,-271.9,4,5,-271.2,2
63,-202.5,5,1,-271.2,2
68,-208.9,5,2,-215.8,2
10,-116.6,5,3,-116.8,2
49,-177.5,5,4,-188.8,2
14,-123.8,5,5,-123.0,2
47,-293.0,1,1,47.0,3
83,-439.0,1,2,-527.0,3
36,-245.6,1,3,-206.0,3
57,-331.9,1,4,-345.0,3
89,-462.8,1,5,-457.0,3
7,-121.8,2,1,-21.0,3
42,-233.4,2,2,-294.8,3
96,-406.3,2,3,-521.6,3
87,-377.9,2,4,-457.8,3
71,-325.8,2,5,-284.8,3
18,-118.0,3,1,-74.8,3
83,-188.3,3,2,-439.0,3
47,-149.7,3,3,-116.0,3
17,-116.2,3,4,-116.0,3
29,-131.4,3,5,-131.8,3
21,-158.4,4,1,-21.0,3
99,-379.4,4,2,-547.0,3
0,-99.6,4,3,-0.0,3
64,-281.6,4,4,-257.6,3
99,-380.9,4,5,-379.4,3
35,-185.1,5,1,-131.0,3
43,-205.7,5,2,-185.1,3
67,-262.3,5,3,-229.8,3
49,-220.2,5,4,-215.9,3
64,-257.7,5,5,-261.8,3
95,-162.0,1,1,0.95,4
98,-165.5,1,2,-168.0,4
34,-124.9,1,3,-59.0,4
47,-131.6,1,4,-131.0,4
49,-134.8,1,5,-132.8,4
87,-135.9,2,1,-154.0,4
52,-122.6,2,2,-116.8,4
48,-121.8,2,3,-120.8,4
49,-121.9,2,4,-122.4,4
44,-121.5,2,5,-121.2,4
9,-117.3,3,1,-16.2,4
1,-101.0,3,2,-116.7,4
43,-175.2,3,3,-116.8,4
84,-245.6,3,4,-176.8,4
89,-258.5,3,5,-257.0,4
71,-194.8,4,1,-131.0,4
73,-197.1,4,2,-199.0,4
9,-111.1,4,3,-116.8,4
96,-228.7,4,4,-247.8,4
55,-172.2,4,5,-155.8,4
26,-160.2,5,1,-116.8,4
66,-253.8,5,2,-200.8,4
85,-298.2,5,3,-292.0,4
29,-167.5,5,4,-164.8,4
5,-110.5,5,5,-116.0,4
6,-117.0,1,1,2.0,5
95,-363.2,1,2,-117.0,5
36,-201.8,1,3,-131.0,5
47,-230.9,1,4,-247.8,5
18,-149.5,1,5,-116.8,5
94,-283.3,2,1,-362.8,5
74,-244.1,2,2,-229.8,5
66,-227.8,2,3,-229.8,5
82,-258.1,2,4,-255.8,5
90,-273.5,2,5,-273.0,5
7,-106.6,3,1,-116.0,5
74,-182.9,3,2,-244.1,5
40,-144.3,3,3,-116.0,5
26,-127.9,3,4,-116.8,5
6,-105.3,3,5,-106.6,5
31,-118.6,4,1,-131.8,5
41,-125.5,4,2,-122.8,5
13,-108.6,4,3,-98.8,5
56,-133.3,4,4,-142.8,5
49,-129.4,4,5,-130.0,5
87,-355.2,5,1,-267.8,5
90,-362.8,5,2,-363.0,5
37,-207.5,5,3,-176.0,5
68,-299.2,5,4,-229.8,5
99,-389.1,5,5,-382.0,5
61,-287.8,1,1,1.0,6
39,-219.4,1,2,-173.8,6
8,-124.7,1,3,-88.8,6
62,-291.2,1,4,-288.8,6
14,-142.4,1,5,-135.8,6
85,-147.8,2,1,-369.8,6
7,-101.8,2,2,-126.7,6
98,-155.9,2,3,-168.8,6
94,-154.0,2,4,-151.8,6
42,-123.6,2,5,-116.0,6
16,-119.3,3,1,-16.0,6
93,-210.3,3,2,-151.8,6
95,-211.9,3,3,-211.4,6
73,-187.7,3,4,-188.8,6
25,-129.4,3,5,-131.8,6
49,-234.1,4,1,-116.8,6
95,-354.4,4,2,-211.9,6
89,-340.8,4,3,-345.8,6
60,-260.8,4,4,-255.0,6
82,-321.7,4,5,-316.0,6
88,-376.4,5,1,-121.8,6
50,-259.7,5,2,-241.0,6
75,-336.0,5,3,-316.0,6
41,-229.6,5,4,-228.0,6
51,-258.9,5,5,-261.0,6
83,-205.8,1,1,-1.0,7
52,-165.6,1,2,-131.6,7
67,-184.7,1,3,-190.7,7
35,-142.2,1,4,-145.5,7
23,-127.3,1,5,-123.1,7
48,-152.5,2,1,-120.0,7
36,-138.1,2,2,-142.2,7
76,-182.1,2,3,-192.8,7
27,-129.0,2,4,-130.8,7
58,-162.2,2,5,-161.8,7
68,-220.2,3,1,-184.8,7
2,-101.6,3,2,-50.0,7
24,-139.7,3,3,-116.8,7
1,-101.7,3,4,-100.5,7
55,-194.0,3,5,-206.0,7
71,-227.2,4,1,-215.8,7
32,-157.7,4,2,-145.0,7
71,-229.4,4,3,-227.2,7
69,-225.9,4,4,-225.0,7
58,-204.4,4,5,-174.0,7
15,-139.8,5,1,-116.8,7
32,-182.6,5,2,-157.7,7
33,-185.5,5,3,-184.0,7
88,-325.5,5,4,-241.0,7
70,-278.9,5,5,-292.0,7
62,-180.3,1,1,1.0,8
30,-134.5,1,2,-90.15,8
75,-196.3,1,3,-215.8,8
74,-195.9,1,4,-195.8,8
93,-221.3,1,5,-206.8,8
88,-168.2,2,1,-215.8,8
51,-140.6,2,2,-131.8,8
25,-118.3,2,3,-122.2,8
7,-103.4,2,4,-106.1,8
77,-159.1,2,5,-154.8,8
94,-265.4,3,1,-160.8,8
44,-178.5,3,2,-176.8,8
82,-243.6,3,3,-229.8,8
85,-248.8,3,4,-248.8,8
6,-111.6,3,5,-116.2,8
50,-201.9,4,1,-200.2,8
41,-182.7,4,2,-183.2,8
49,-199.7,4,3,-199.8,8
40,-180.4,4,4,-181.7,8
88,-278.2,4,5,-229.2,8
83,-221.1,5,1,-229.2,8
95,-240.2,5,2,-229.2,8
46,-165.8,5,3,-184.8,8
54,-179.5,5,4,-179.8,8
19,-126.3,5,5,-116.1,8
81,-271.4,1,1,9.0,9
78,-263.2,1,2,-261.6,9
11,-125.5,1,3,-38.7,9
57,-219.8,1,4,-206.8,9
