run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.12,-0.87,"[-0.98, -0.98, -0.96, -0.98, 0.55]",algae,"[[-0.83, 1.0, 0.45, -0.52, -0.7], [-0.85, -0.6, 0.45, -0.64, -0.99], [-0.83, 1.0, -0.82, -0.24, -0.94], [-0.08, 0.2, -0.82, 0.39, -0.92], [-0.99, 1.0, -0.82, -1.0, -0.77]]","[[-0.71, -0.57, -0.68, -1.0, -0.66], [-0.63, -0.45, -0.56, -1.0, -0.31], [-0.86, -0.66, -0.66, -1.0, 0.59], [-0.71, -0.6, -0.61, -1.0, -0.41], [-1.0, -0.81, -0.82, -1.0, 0.41]]","[[-0.4, 0.18, -0.99, -0.94, -0.98], [0.03, -0.22, -1.0, -0.82, -0.95], [-0.98, -0.99, -0.98, -0.84, -0.96], [0.22, -0.38, -1.0, -0.79, -0.93], [-0.94, 0.59, -0.99, -0.88, -0.98]]","[[1.0, 0.41, 0.27, -0.17, -0.2], [-1.0, -0.12, -0.2, -0.28, -0.46], [-1.0, -0.28, -0.39, -0.17, -0.52], [1.0, -0.26, -0.14, -0.98, -0.89], [1.0, -0.46, -0.37, -0.92, -0.96]]","[0.05, 0.0, 0.29, 0.44, 0.49]","[-0.54, -0.58, -0.56, -0.68, -0.56]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.13, -0.76, -0.18, 0.37, -0.29]",airfoil,plasma,news,athlete
0,1,-1.0,0.02,"[-0.9, -0.93, -0.88, -0.87, 0.13]",algae,"[[-0.83, 1.0, 0.45, -0.52, -0.7], [-0.85, -0.6, 0.45, -0.64, -0.99], [-0.83, 1.0, -0.82, -0.24, -0.94], [-0.08, 0.2, -0.82, 0.39, -0.92], [-0.99, 1.0, -0.82, -1.0, -0.77]]","[[-0.71, -0.57, -0.68, -1.0, -0.66], [-0.63, -0.45, -0.56, -1.0, -0.31], [-0.86, -0.66, -0.66, -1.0, 0.59], [-0.71, -0.6, -0.61, -1.0, -0.41], [-1.0, -0.81, -0.82, -1.0, 0.41]]","[[-0.4, 0.18, -0.99, -0.94, -0.98], [0.03, -0.22, -1.0, -0.82, -0.95], [-0.98, -0.99, -0.98, -0.84, -0.96], [0.22, -0.38, -1.0, -0.79, -0.93], [-0.94, 0.59, -0.99, -0.88, -0.98]]","[[1.0, 0.41, 0.27, -0.17, -0.2], [-1.0, -0.12, -0.2, -0.28, -0.46], [-1.0, -0.28, -0.39, -0.17, -0.52], [1.0, -0.26, -0.14, -0.98, -0.89], [1.0, -0.46, -0.37, -0.92, -0.96]]","[0.05, 0.0, 0.29, 0.44, 0.49]","[-0.54, -0.58, -0.56, -0.68, -0.56]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.13, -0.76, -0.18, 0.37, -0.29]",airfoil,plasma,news,athlete
0,2,-0.28,-1.0,"[-0.72, -0.67, -0.84, -0.65, -0.43]",algae,"[[-0.83, 1.0, 0.45, -0.52, -0.7], [-0.85, -0.6, 0.45, -0.64, -0.99], [-0.83, 1.0, -0.82, -0.24, -0.94], [-0.08, 0.2, -0.82, 0.39, -0.92], [-0.99, 1.0, -0.82, -1.0, -0.77]]","[[-0.71, -0.57, -0.68, -1.0, -0.66], [-0.63, -0.45, -0.56, -1.0, -0.31], [-0.86, -0.66, -0.66, -1.0, 0.59], [-0.71, -0.6, -0.61, -1.0, -0.41], [-1.0, -0.81, -0.82, -1.0, 0.41]]","[[-0.4, 0.18, -0.99, -0.94, -0.98], [0.03, -0.22, -1.0, -0.82, -0.95], [-0.98, -0.99, -0.98, -0.84, -0.96], [0.22, -0.38, -1.0, -0.79, -0.93], [-0.94, 0.59, -0.99, -0.88, -0.98]]","[[1.0, 0.41, 0.27, -0.17, -0.2], [-1.0, -0.12, -0.2, -0.28, -0.46], [-1.0, -0.28, -0.39, -0.17, -0.52], [1.0, -0.26, -0.14, -0.98, -0.89], [1.0, -0.46, -0.37, -0.92, -0.96]]","[0.05, 0.0, 0.29, 0.44, 0.49]","[-0.54, -0.58, -0.56, -0.68, -0.56]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.13, -0.76, -0.18, 0.37, -0.29]",airfoil,plasma,news,athlete
0,3,-0.97,-0.15,"[-0.91, -0.94, -0.9, -0.91, 0.34]",algae,"[[-0.83, 1.0, 0.45, -0.52, -0.7], [-0.85, -0.6, 0.45, -0.64, -0.99], [-0.83, 1.0, -0.82, -0.24, -0.94], [-0.08, 0.2, -0.82, 0.39, -0.92], [-0.99, 1.0, -0.82, -1.0, -0.77]]","[[-0.71, -0.57, -0.68, -1.0, -0.66], [-0.63, -0.45, -0.56, -1.0, -0.31], [-0.86, -0.66, -0.66, -1.0, 0.59], [-0.71, -0.6, -0.61, -1.0, -0.41], [-1.0, -0.81, -0.82, -1.0, 0.41]]","[[-0.4, 0.18, -0.99, -0.94, -0.98], [0.03, -0.22, -1.0, -0.82, -0.95], [-0.98, -0.99, -0.98, -0.84, -0.96], [0.22, -0.38, -1.0, -0.79, -0.93], [-0.94, 0.59, -0.99, -0.88, -0.98]]","[[1.0, 0.41, 0.27, -0.17, -0.2], [-1.0, -0.12, -0.2, -0.28, -0.46], [-1.0, -0.28, -0.39, -0.17, -0.52], [1.0, -0.26, -0.14, -0.98, -0.89], [1.0, -0.46, -0.37, -0.92, -0.96]]","[0.05, 0.0, 0.29, 0.44, 0.49]","[-0.54, -0.58, -0.56, -0.68, -0.56]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.13, -0.76, -0.18, 0.37, -0.29]",airfoil,plasma,news,athlete
0,4,-0.8,-0.42,"[-0.68, -0.93, -0.62, -0.76, 0.61]",algae,"[[-0.83, 1.0, 0.45, -0.52, -0.7], [-0.85, -0.6, 0.45, -0.64, -0.99], [-0.83, 1.0, -0.82, -0.24, -0.94], [-0.08, 0.2, -0.82, 0.39, -0.92], [-0.99, 1.0, -0.82, -1.0, -0.77]]","[[-0.71, -0.57, -0.68, -1.0, -0.66], [-0.63, -0.45, -0.56, -1.0, -0.31], [-0.86, -0.66, -0.66, -1.0, 0.59], [-0.71, -0.6, -0.61, -1.0, -0.41], [-1.0, -0.81, -0.82, -1.0, 0.41]]","[[-0.4, 0.18, -0.99, -0.94, -0.98], [0.03, -0.22, -1.0, -0.82, -0.95], [-0.98, -0.99, -0.98, -0.84, -0.96], [0.22, -0.38, -1.0, -0.79, -0.93], [-0.94, 0.59, -0.99, -0.88, -0.98]]","[[1.0, 0.41, 0.27, -0.17, -0.2], [-1.0, -0.12, -0.2, -0.28, -0.46], [-1.0, -0.28, -0.39, -0.17, -0.52], [1.0, -0.26, -0.14, -0.98, -0.89], [1.0, -0.46, -0.37, -0.92, -0.96]]","[0.05, 0.0, 0.29, 0.44, 0.49]","[-0.54, -0.58, -0.56, -0.68, -0.56]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.13, -0.76, -0.18, 0.37, -0.29]",airfoil,plasma,news,athlete
1,0,-0.07,-0.88,"[-0.99, -1.0, -0.94, -0.95, 0.46]",algae,"[[-0.89, -0.93, -0.06, 0.31, -0.84], [-0.99, -0.58, 0.75, -0.75, -0.29], [-0.95, 0.47, 0.62, -0.62, -0.39], [-0.81, -0.89, 0.12, -0.12, 0.02], [-0.91, -0.7, -0.19, 0.19, -0.31]]","[[-0.8, 0.28, -0.94, -0.97, -1.0], [-0.72, 0.36, -0.9, -0.28, -0.29], [-0.62, 0.28, -0.8, 0.28, -0.9], [-0.87, 0.92, -0.82, -0.01, -0.16], [-0.62, 1.0, -0.93, -0.45, 0.14]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [0.03, -0.67, -0.89, -0.37, -0.56], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-0.46, 0.0, -1.0, -0.68, -0.11]]","[[-0.57, -0.3, -0.52, -0.64, -0.27], [-0.51, -0.13, -0.4, -0.5, -0.27], [-0.87, -0.65, -0.85, -0.84, -0.64], [-0.79, -0.71, -0.76, -0.8, -0.45], [-0.7, -0.71, -0.66, -0.7, -0.64]]","[-0.55, -0.29, -0.48, -0.29, -0.35]","[-0.76, 0.05, -0.43, -0.86, 0.33]","[0.73, 0.09, -0.66, -0.63, -0.34]","[-0.38, -0.17, -0.75, -0.75, -0.4]",mussel,rebellion,highway,pitcher
1,1,0.43,0.12,"[-1.0, -1.0, -0.95, -0.99, 0.78]",algae,"[[-0.89, -0.93, -0.06, 0.31, -0.84], [-0.99, -0.58, 0.75, -0.75, -0.29], [-0.95, 0.47, 0.62, -0.62, -0.39], [-0.81, -0.89, 0.12, -0.12, 0.02], [-0.91, -0.7, -0.19, 0.19, -0.31]]","[[-0.8, 0.28, -0.94, -0.97, -1.0], [-0.72, 0.36, -0.9, -0.28, -0.29], [-0.62, 0.28, -0.8, 0.28, -0.9], [-0.87, 0.92, -0.82, -0.01, -0.16], [-0.62, 1.0, -0.93, -0.45, 0.14]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [0.03, -0.67, -0.89, -0.37, -0.56], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-0.46, 0.0, -1.0, -0.68, -0.11]]","[[-0.57, -0.3, -0.52, -0.64, -0.27], [-0.51, -0.13, -0.4, -0.5, -0.27], [-0.87, -0.65, -0.85, -0.84, -0.64], [-0.79, -0.71, -0.76, -0.8, -0.45], [-0.7, -0.71, -0.66, -0.7, -0.64]]","[-0.55, -0.29, -0.48, -0.29, -0.35]","[-0.76, 0.05, -0.43, -0.86, 0.33]","[0.73, 0.09, -0.66, -0.63, -0.34]","[-0.38, -0.17, -0.75, -0.75, -0.4]",mussel,rebellion,highway,pitcher
1,2,-0.78,-0.15,"[-0.76, -0.95, -0.92, -0.55, -0.45]",algae,"[[-0.89, -0.93, -0.06, 0.31, -0.84], [-0.99, -0.58, 0.75, -0.75, -0.29], [-0.95, 0.47, 0.62, -0.62, -0.39], [-0.81, -0.89, 0.12, -0.12, 0.02], [-0.91, -0.7, -0.19, 0.19, -0.31]]","[[-0.8, 0.28, -0.94, -0.97, -1.0], [-0.72, 0.36, -0.9, -0.28, -0.29], [-0.62, 0.28, -0.8, 0.28, -0.9], [-0.87, 0.92, -0.82, -0.01, -0.16], [-0.62, 1.0, -0.93, -0.45, 0.14]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [0.03, -0.67, -0.89, -0.37, -0.56], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-0.46, 0.0, -1.0, -0.68, -0.11]]","[[-0.57, -0.3, -0.52, -0.64, -0.27], [-0.51, -0.13, -0.4, -0.5, -0.27], [-0.87, -0.65, -0.85, -0.84, -0.64], [-0.79, -0.71, -0.76, -0.8, -0.45], [-0.7, -0.71, -0.66, -0.7, -0.64]]","[-0.55, -0.29, -0.48, -0.29, -0.35]","[-0.76, 0.05, -0.43, -0.86, 0.33]","[0.73, 0.09, -0.66, -0.63, -0.34]","[-0.38, -0.17, -0.75, -0.75, -0.4]",mussel,rebellion,highway,pitcher
1,3,-0.12,0.12,"[-0.98, -0.98, -0.96, -0.98, 0.55]",algae,"[[-0.89, -0.93, -0.06, 0.31, -0.84], [-0.99, -0.58, 0.75, -0.75, -0.29], [-0.95, 0.47, 0.62, -0.62, -0.39], [-0.81, -0.89, 0.12, -0.12, 0.02], [-0.91, -0.7, -0.19, 0.19, -0.31]]","[[-0.8, 0.28, -0.94, -0.97, -1.0], [-0.72, 0.36, -0.9, -0.28, -0.29], [-0.62, 0.28, -0.8, 0.28, -0.9], [-0.87, 0.92, -0.82, -0.01, -0.16], [-0.62, 1.0, -0.93, -0.45, 0.14]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [0.03, -0.67, -0.89, -0.37, -0.56], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-0.46, 0.0, -1.0, -0.68, -0.11]]","[[-0.57, -0.3, -0.52, -0.64, -0.27], [-0.51, -0.13, -0.4, -0.5, -0.27], [-0.87, -0.65, -0.85, -0.84, -0.64], [-0.79, -0.71, -0.76, -0.8, -0.45], [-0.7, -0.71, -0.66, -0.7, -0.64]]","[-0.55, -0.29, -0.48, -0.29, -0.35]","[-0.76, 0.05, -0.43, -0.86, 0.33]","[0.73, 0.09, -0.66, -0.63, -0.34]","[-0.38, -0.17, -0.75, -0.75, -0.4]",mussel,rebellion,highway,pitcher
1,4,-0.91,0.1,"[-0.95, -0.99, -0.83, -0.92, 0.55]",algae,"[[-0.89, -0.93, -0.06, 0.31, -0.84], [-0.99, -0.58, 0.75, -0.75, -0.29], [-0.95, 0.47, 0.62, -0.62, -0.39], [-0.81, -0.89, 0.12, -0.12, 0.02], [-0.91, -0.7, -0.19, 0.19, -0.31]]","[[-0.8, 0.28, -0.94, -0.97, -1.0], [-0.72, 0.36, -0.9, -0.28, -0.29], [-0.62, 0.28, -0.8, 0.28, -0.9], [-0.87, 0.92, -0.82, -0.01, -0.16], [-0.62, 1.0, -0.93, -0.45, 0.14]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [0.03, -0.67, -0.89, -0.37, -0.56], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-0.46, 0.0, -1.0, -0.68, -0.11]]","[[-0.57, -0.3, -0.52, -0.64, -0.27], [-0.51, -0.13, -0.4, -0.5, -0.27], [-0.87, -0.65, -0.85, -0.84, -0.64], [-0.79, -0.71, -0.76, -0.8, -0.45], [-0.7, -0.71, -0.66, -0.7, -0.64]]","[-0.55, -0.29, -0.48, -0.29, -0.35]","[-0.76, 0.05, -0.43, -0.86, 0.33]","[0.73, 0.09, -0.66, -0.63, -0.34]","[-0.38, -0.17, -0.75, -0.75, -0.4]",mussel,rebellion,highway,pitcher
