run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.14,-0.48,"[-0.56, -0.68, -0.35, -0.21, -0.57]",bodyfat,"[[1.0, 0.0, 1.0, 1.0, 0.29], [1.0, 0.0, 1.0, 1.0, -0.45], [-1.0, -0.25, 0.5, -0.6, 0.45], [-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 1.0, 1.0, -0.6, 0.88]]","[[-0.85, -0.52, -0.5, -0.09, -0.04], [-0.93, -0.06, -0.49, -0.23, -0.63], [-0.85, 0.33, -0.45, -0.21, -0.12], [-0.02, 0.12, -1.0, 0.3, -0.09], [-0.97, -0.43, -0.31, 0.03, 0.54]]","[[-0.22, -0.05, -0.69, 0.58, 0.57], [-0.54, -0.37, -0.73, 0.28, 0.35], [-0.47, -0.28, -0.74, 0.33, 0.39], [0.16, 0.13, -0.65, 0.66, 0.64], [-0.71, -0.68, -0.8, 0.03, 0.03]]","[[1.0, 1.0, 0.89, -0.67, 0.22], [-0.11, -1.0, 0.47, -1.0, 0.28], [-0.78, -1.0, -0.68, -0.33, 0.26], [0.56, -1.0, -0.05, -0.33, 0.16], [0.11, -1.0, -0.32, 0.0, 0.24]]","[0.01, -0.3, 0.47, 0.23, 0.72]","[-0.14, -0.52, -0.06, -0.39, 0.34]","[-0.36, -0.43, -0.36, 0.43, -0.36]","[0.62, 0.68, 0.75, 0.69, 0.73]",recycle,concrete,abalone,laborsupply
0,1,-0.6,0.02,"[-0.56, -0.72, -0.8, -0.55, -0.66]",bodyfat,"[[1.0, 0.0, 1.0, 1.0, 0.29], [1.0, 0.0, 1.0, 1.0, -0.45], [-1.0, -0.25, 0.5, -0.6, 0.45], [-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 1.0, 1.0, -0.6, 0.88]]","[[-0.85, -0.52, -0.5, -0.09, -0.04], [-0.93, -0.06, -0.49, -0.23, -0.63], [-0.85, 0.33, -0.45, -0.21, -0.12], [-0.02, 0.12, -1.0, 0.3, -0.09], [-0.97, -0.43, -0.31, 0.03, 0.54]]","[[-0.22, -0.05, -0.69, 0.58, 0.57], [-0.54, -0.37, -0.73, 0.28, 0.35], [-0.47, -0.28, -0.74, 0.33, 0.39], [0.16, 0.13, -0.65, 0.66, 0.64], [-0.71, -0.68, -0.8, 0.03, 0.03]]","[[1.0, 1.0, 0.89, -0.67, 0.22], [-0.11, -1.0, 0.47, -1.0, 0.28], [-0.78, -1.0, -0.68, -0.33, 0.26], [0.56, -1.0, -0.05, -0.33, 0.16], [0.11, -1.0, -0.32, 0.0, 0.24]]","[0.01, -0.3, 0.47, 0.23, 0.72]","[-0.14, -0.52, -0.06, -0.39, 0.34]","[-0.36, -0.43, -0.36, 0.43, -0.36]","[0.62, 0.68, 0.75, 0.69, 0.73]",recycle,concrete,abalone,laborsupply
0,2,-0.29,0.02,"[-0.4, -0.52, -0.47, -0.34, -0.53]",bodyfat,"[[1.0, 0.0, 1.0, 1.0, 0.29], [1.0, 0.0, 1.0, 1.0, -0.45], [-1.0, -0.25, 0.5, -0.6, 0.45], [-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 1.0, 1.0, -0.6, 0.88]]","[[-0.85, -0.52, -0.5, -0.09, -0.04], [-0.93, -0.06, -0.49, -0.23, -0.63], [-0.85, 0.33, -0.45, -0.21, -0.12], [-0.02, 0.12, -1.0, 0.3, -0.09], [-0.97, -0.43, -0.31, 0.03, 0.54]]","[[-0.22, -0.05, -0.69, 0.58, 0.57], [-0.54, -0.37, -0.73, 0.28, 0.35], [-0.47, -0.28, -0.74, 0.33, 0.39], [0.16, 0.13, -0.65, 0.66, 0.64], [-0.71, -0.68, -0.8, 0.03, 0.03]]","[[1.0, 1.0, 0.89, -0.67, 0.22], [-0.11, -1.0, 0.47, -1.0, 0.28], [-0.78, -1.0, -0.68, -0.33, 0.26], [0.56, -1.0, -0.05, -0.33, 0.16], [0.11, -1.0, -0.32, 0.0, 0.24]]","[0.01, -0.3, 0.47, 0.23, 0.72]","[-0.14, -0.52, -0.06, -0.39, 0.34]","[-0.36, -0.43, -0.36, 0.43, -0.36]","[0.62, 0.68, 0.75, 0.69, 0.73]",recycle,concrete,abalone,laborsupply
0,3,0.15,0.04,"[-0.18, -0.23, -0.12, 0.28, -0.2]",bodyfat,"[[1.0, 0.0, 1.0, 1.0, 0.29], [1.0, 0.0, 1.0, 1.0, -0.45], [-1.0, -0.25, 0.5, -0.6, 0.45], [-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 1.0, 1.0, -0.6, 0.88]]","[[-0.85, -0.52, -0.5, -0.09, -0.04], [-0.93, -0.06, -0.49, -0.23, -0.63], [-0.85, 0.33, -0.45, -0.21, -0.12], [-0.02, 0.12, -1.0, 0.3, -0.09], [-0.97, -0.43, -0.31, 0.03, 0.54]]","[[-0.22, -0.05, -0.69, 0.58, 0.57], [-0.54, -0.37, -0.73, 0.28, 0.35], [-0.47, -0.28, -0.74, 0.33, 0.39], [0.16, 0.13, -0.65, 0.66, 0.64], [-0.71, -0.68, -0.8, 0.03, 0.03]]","[[1.0, 1.0, 0.89, -0.67, 0.22], [-0.11, -1.0, 0.47, -1.0, 0.28], [-0.78, -1.0, -0.68, -0.33, 0.26], [0.56, -1.0, -0.05, -0.33, 0.16], [0.11, -1.0, -0.32, 0.0, 0.24]]","[0.01, -0.3, 0.47, 0.23, 0.72]","[-0.14, -0.52, -0.06, -0.39, 0.34]","[-0.36, -0.43, -0.36, 0.43, -0.36]","[0.62, 0.68, 0.75, 0.69, 0.73]",recycle,concrete,abalone,laborsupply
0,4,0.06,-0.1,"[-0.16, -0.31, -0.31, -0.09, -0.35]",bodyfat,"[[1.0, 0.0, 1.0, 1.0, 0.29], [1.0, 0.0, 1.0, 1.0, -0.45], [-1.0, -0.25, 0.5, -0.6, 0.45], [-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 1.0, 1.0, -0.6, 0.88]]","[[-0.85, -0.52, -0.5, -0.09, -0.04], [-0.93, -0.06, -0.49, -0.23, -0.63], [-0.85, 0.33, -0.45, -0.21, -0.12], [-0.02, 0.12, -1.0, 0.3, -0.09], [-0.97, -0.43, -0.31, 0.03, 0.54]]","[[-0.22, -0.05, -0.69, 0.58, 0.57], [-0.54, -0.37, -0.73, 0.28, 0.35], [-0.47, -0.28, -0.74, 0.33, 0.39], [0.16, 0.13, -0.65, 0.66, 0.64], [-0.71, -0.68, -0.8, 0.03, 0.03]]","[[1.0, 1.0, 0.89, -0.67, 0.22], [-0.11, -1.0, 0.47, -1.0, 0.28], [-0.78, -1.0, -0.68, -0.33, 0.26], [0.56, -1.0, -0.05, -0.33, 0.16], [0.11, -1.0, -0.32, 0.0, 0.24]]","[0.01, -0.3, 0.47, 0.23, 0.72]","[-0.14, -0.52, -0.06, -0.39, 0.34]","[-0.36, -0.43, -0.36, 0.43, -0.36]","[0.62, 0.68, 0.75, 0.69, 0.73]",recycle,concrete,abalone,laborsupply
1,0,0.07,-0.37,"[-0.31, -0.5, -0.31, -0.22, -0.5]",bodyfat,"[[-0.78, 0.69, -0.42, 0.5, 0.37], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.68, 0.51, -0.93, -0.57, -0.55], [-0.52, 1.0, -0.73, 0.28, 0.21], [-0.19, 0.5, -1.0, -0.14, -0.26]]","[[1.0, 0.0, 1.0, 1.0, 0.29], [-1.0, 0.75, 1.0, -0.6, -0.57], [-1.0, 0.75, 1.0, -0.6, 1.0], [-1.0, 0.25, 1.0, -0.6, -0.06], [-1.0, -0.25, 0.5, -0.6, 0.45]]","[[-0.85, -0.87, -0.75, -0.38, -0.78], [-0.65, -0.7, -0.62, -0.36, -0.7], [-0.74, -0.85, -0.64, -0.65, -0.82], [-0.29, -0.36, -0.33, -0.14, -0.37], [-0.25, -0.57, -0.35, -0.28, -0.51]]","[[0.78, -1.0, 0.11, -1.0, 0.15], [1.0, -1.0, -0.37, -0.33, 0.35], [-0.56, -1.0, -0.11, 0.0, -0.01], [1.0, -1.0, 0.68, -1.0, 0.17], [-0.78, -1.0, -0.42, -0.67, 0.19]]","[-0.51, -0.96, -0.35, -0.59, -0.39]","[0.01, 0.37, 1.0, 0.55, 0.07]","[-0.58, -0.36, -0.36, -0.39, -0.07]","[0.65, 0.63, 0.86, 0.76, 0.71]",crime,recycle,bodyfat,laborsupply
1,1,0.03,0.1,"[-0.29, -0.42, -0.19, -0.15, -0.46]",bodyfat,"[[-0.78, 0.69, -0.42, 0.5, 0.37], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.68, 0.51, -0.93, -0.57, -0.55], [-0.52, 1.0, -0.73, 0.28, 0.21], [-0.19, 0.5, -1.0, -0.14, -0.26]]","[[1.0, 0.0, 1.0, 1.0, 0.29], [-1.0, 0.75, 1.0, -0.6, -0.57], [-1.0, 0.75, 1.0, -0.6, 1.0], [-1.0, 0.25, 1.0, -0.6, -0.06], [-1.0, -0.25, 0.5, -0.6, 0.45]]","[[-0.85, -0.87, -0.75, -0.38, -0.78], [-0.65, -0.7, -0.62, -0.36, -0.7], [-0.74, -0.85, -0.64, -0.65, -0.82], [-0.29, -0.36, -0.33, -0.14, -0.37], [-0.25, -0.57, -0.35, -0.28, -0.51]]","[[0.78, -1.0, 0.11, -1.0, 0.15], [1.0, -1.0, -0.37, -0.33, 0.35], [-0.56, -1.0, -0.11, 0.0, -0.01], [1.0, -1.0, 0.68, -1.0, 0.17], [-0.78, -1.0, -0.42, -0.67, 0.19]]","[-0.51, -0.96, -0.35, -0.59, -0.39]","[0.01, 0.37, 1.0, 0.55, 0.07]","[-0.58, -0.36, -0.36, -0.39, -0.07]","[0.65, 0.63, 0.86, 0.76, 0.71]",crime,recycle,bodyfat,laborsupply
1,2,0.06,0.12,"[0.02, -0.08, -0.05, 0.22, -0.15]",bodyfat,"[[-0.78, 0.69, -0.42, 0.5, 0.37], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.68, 0.51, -0.93, -0.57, -0.55], [-0.52, 1.0, -0.73, 0.28, 0.21], [-0.19, 0.5, -1.0, -0.14, -0.26]]","[[1.0, 0.0, 1.0, 1.0, 0.29], [-1.0, 0.75, 1.0, -0.6, -0.57], [-1.0, 0.75, 1.0, -0.6, 1.0], [-1.0, 0.25, 1.0, -0.6, -0.06], [-1.0, -0.25, 0.5, -0.6, 0.45]]","[[-0.85, -0.87, -0.75, -0.38, -0.78], [-0.65, -0.7, -0.62, -0.36, -0.7], [-0.74, -0.85, -0.64, -0.65, -0.82], [-0.29, -0.36, -0.33, -0.14, -0.37], [-0.25, -0.57, -0.35, -0.28, -0.51]]","[[0.78, -1.0, 0.11, -1.0, 0.15], [1.0, -1.0, -0.37, -0.33, 0.35], [-0.56, -1.0, -0.11, 0.0, -0.01], [1.0, -1.0, 0.68, -1.0, 0.17], [-0.78, -1.0, -0.42, -0.67, 0.19]]","[-0.51, -0.96, -0.35, -0.59, -0.39]","[0.01, 0.37, 1.0, 0.55, 0.07]","[-0.58, -0.36, -0.36, -0.39, -0.07]","[0.65, 0.63, 0.86, 0.76, 0.71]",crime,recycle,bodyfat,laborsupply
1,3,-0.19,0.02,"[-0.12, -0.38, -0.35, -0.01, -0.19]",bodyfat,"[[-0.78, 0.69, -0.42, 0.5, 0.37], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.68, 0.51, -0.93, -0.57, -0.55], [-0.52, 1.0, -0.73, 0.28, 0.21], [-0.19, 0.5, -1.0, -0.14, -0.26]]","[[1.0, 0.0, 1.0, 1.0, 0.29], [-1.0, 0.75, 1.0, -0.6, -0.57], [-1.0, 0.75, 1.0, -0.6, 1.0], [-1.0, 0.25, 1.0, -0.6, -0.06], [-1.0, -0.25, 0.5, -0.6, 0.45]]","[[-0.85, -0.87, -0.75, -0.38, -0.78], [-0.65, -0.7, -0.62, -0.36, -0.7], [-0.74, -0.85, -0.64, -0.65, -0.82], [-0.29, -0.36, -0.33, -0.14, -0.37], [-0.25, -0.57, -0.35, -0.28, -0.51]]","[[0.78, -1.0, 0.11, -1.0, 0.15], [1.0, -1.0, -0.37, -0.33, 0.35], [-0.56, -1.0, -0.11, 0.0, -0.01], [1.0, -1.0, 0.68, -1.0, 0.17], [-0.78, -1.0, -0.42, -0.67, 0.19]]","[-0.51, -0.96, -0.35, -0.59, -0.39]","[0.01, 0.37, 1.0, 0.55, 0.07]","[-0.58, -0.36, -0.36, -0.39, -0.07]","[0.65, 0.63, 0.86, 0.76, 0.71]",crime,recycle,bodyfat,laborsupply
1,4,-0.43,-0.45,"[-0.67, -0.64, -0.7, -0.53, -0.75]",bodyfat,"[[-0.78, 0.69, -0.42, 0.5, 0.37], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.68, 0.51, -0.93, -0.57, -0.55], [-0.52, 1.0, -0.73, 0.28, 0.21], [-0.19, 0.5, -1.0, -0.14, -0.26]]","[[1.0, 0.0, 1.0, 1.0, 0.29], [-1.0, 0.75, 1.0, -0.6, -0.57], [-1.0, 0.75, 1.0, -0.6, 1.0], [-1.0, 0.25, 1.0, -0.6, -0.06], [-1.0, -0.25, 0.5, -0.6, 0.45]]","[[-0.85, -0.87, -0.75, -0.38, -0.78], [-0.65, -0.7, -0.62, -0.36, -0.7], [-0.74, -0.85, -0.64, -0.65, -0.82], [-0.29, -0.36, -0.33, -0.14, -0.37], [-0.25, -0.57, -0.35, -0.28, -0.51]]","[[0.78, -1.0, 0.11, -1.0, 0.15], [1.0, -1.0, -0.37, -0.33, 0.35], [-0.56, -1.0, -0.11, 0.0, -0.01], [1.0, -1.0, 0.68, -1.0, 0.17], [-0.78, -1.0, -0.42, -0.67, 0.19]]","[-0.51, -0.96, -0.35, -0.59, -0.39]","[0.01, 0.37, 1.0, 0.55, 0.07]","[-0.58, -0.36, -0.36, -0.39, -0.07]","[0.65, 0.63, 0.86, 0.76, 0.71]",crime,recycle,bodyfat,laborsupply
