run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.65,0.45,"[-0.48, 1.0, 0.33, -0.93, -1.0]",bone,"[[-0.32, 0.09, -0.7, -0.67, -0.64], [-0.29, -0.47, -0.6, -0.78, -0.74], [-0.62, 0.67, -0.68, -0.05, -0.17], [-0.38, 0.93, -1.0, 0.76, 0.9], [0.46, -1.0, -0.77, -0.95, -0.97]]","[[0.17, 0.43, 0.08, 0.29, 1.0], [-0.33, -0.64, -0.68, -0.75, -0.6], [0.0, -0.01, -0.36, -0.06, 0.2], [-0.67, -0.64, -0.91, -0.85, -0.6], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-1.0, -0.25, 0.5, -0.6, 0.88], [-1.0, 0.5, 1.0, -0.6, 0.67], [1.0, -1.0, -1.0, 1.0, -0.8], [1.0, 0.25, 1.0, 1.0, -0.14], [-1.0, 0.25, 1.0, -0.6, -0.06]]","[[-0.95, -0.92, -0.96, -0.95, -0.91], [-0.89, -0.83, -0.83, -0.9, -0.82], [-0.24, -0.14, -0.18, -0.25, -0.09], [-0.89, -0.71, -0.94, -0.91, -0.82], [0.51, 0.27, 0.51, 0.42, 0.45]]","[-0.8, -0.41, -0.17, 1.0, -0.88]","[-0.65, -0.1, -0.31, -0.26, -0.68]","[0.6, 0.88, -1.0, -0.23, 0.55]","[-0.94, -0.95, 0.35, -0.61, 0.22]",crime,mileage,recycle,pitcher
0,1,0.54,0.34,"[1.0, -1.0, 0.37, 0.35, -1.0]",bone,"[[-0.32, 0.09, -0.7, -0.67, -0.64], [-0.29, -0.47, -0.6, -0.78, -0.74], [-0.62, 0.67, -0.68, -0.05, -0.17], [-0.38, 0.93, -1.0, 0.76, 0.9], [0.46, -1.0, -0.77, -0.95, -0.97]]","[[0.17, 0.43, 0.08, 0.29, 1.0], [-0.33, -0.64, -0.68, -0.75, -0.6], [0.0, -0.01, -0.36, -0.06, 0.2], [-0.67, -0.64, -0.91, -0.85, -0.6], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-1.0, -0.25, 0.5, -0.6, 0.88], [-1.0, 0.5, 1.0, -0.6, 0.67], [1.0, -1.0, -1.0, 1.0, -0.8], [1.0, 0.25, 1.0, 1.0, -0.14], [-1.0, 0.25, 1.0, -0.6, -0.06]]","[[-0.95, -0.92, -0.96, -0.95, -0.91], [-0.89, -0.83, -0.83, -0.9, -0.82], [-0.24, -0.14, -0.18, -0.25, -0.09], [-0.89, -0.71, -0.94, -0.91, -0.82], [0.51, 0.27, 0.51, 0.42, 0.45]]","[-0.8, -0.41, -0.17, 1.0, -0.88]","[-0.65, -0.1, -0.31, -0.26, -0.68]","[0.6, 0.88, -1.0, -0.23, 0.55]","[-0.94, -0.95, 0.35, -0.61, 0.22]",crime,mileage,recycle,pitcher
0,2,0.24,0.71,"[-0.7, 1.0, 0.52, -0.02, -1.0]",bone,"[[-0.32, 0.09, -0.7, -0.67, -0.64], [-0.29, -0.47, -0.6, -0.78, -0.74], [-0.62, 0.67, -0.68, -0.05, -0.17], [-0.38, 0.93, -1.0, 0.76, 0.9], [0.46, -1.0, -0.77, -0.95, -0.97]]","[[0.17, 0.43, 0.08, 0.29, 1.0], [-0.33, -0.64, -0.68, -0.75, -0.6], [0.0, -0.01, -0.36, -0.06, 0.2], [-0.67, -0.64, -0.91, -0.85, -0.6], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-1.0, -0.25, 0.5, -0.6, 0.88], [-1.0, 0.5, 1.0, -0.6, 0.67], [1.0, -1.0, -1.0, 1.0, -0.8], [1.0, 0.25, 1.0, 1.0, -0.14], [-1.0, 0.25, 1.0, -0.6, -0.06]]","[[-0.95, -0.92, -0.96, -0.95, -0.91], [-0.89, -0.83, -0.83, -0.9, -0.82], [-0.24, -0.14, -0.18, -0.25, -0.09], [-0.89, -0.71, -0.94, -0.91, -0.82], [0.51, 0.27, 0.51, 0.42, 0.45]]","[-0.8, -0.41, -0.17, 1.0, -0.88]","[-0.65, -0.1, -0.31, -0.26, -0.68]","[0.6, 0.88, -1.0, -0.23, 0.55]","[-0.94, -0.95, 0.35, -0.61, 0.22]",crime,mileage,recycle,pitcher
0,3,0.47,0.78,"[0.35, 1.0, 0.9, -0.31, 1.0]",bone,"[[-0.32, 0.09, -0.7, -0.67, -0.64], [-0.29, -0.47, -0.6, -0.78, -0.74], [-0.62, 0.67, -0.68, -0.05, -0.17], [-0.38, 0.93, -1.0, 0.76, 0.9], [0.46, -1.0, -0.77, -0.95, -0.97]]","[[0.17, 0.43, 0.08, 0.29, 1.0], [-0.33, -0.64, -0.68, -0.75, -0.6], [0.0, -0.01, -0.36, -0.06, 0.2], [-0.67, -0.64, -0.91, -0.85, -0.6], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-1.0, -0.25, 0.5, -0.6, 0.88], [-1.0, 0.5, 1.0, -0.6, 0.67], [1.0, -1.0, -1.0, 1.0, -0.8], [1.0, 0.25, 1.0, 1.0, -0.14], [-1.0, 0.25, 1.0, -0.6, -0.06]]","[[-0.95, -0.92, -0.96, -0.95, -0.91], [-0.89, -0.83, -0.83, -0.9, -0.82], [-0.24, -0.14, -0.18, -0.25, -0.09], [-0.89, -0.71, -0.94, -0.91, -0.82], [0.51, 0.27, 0.51, 0.42, 0.45]]","[-0.8, -0.41, -0.17, 1.0, -0.88]","[-0.65, -0.1, -0.31, -0.26, -0.68]","[0.6, 0.88, -1.0, -0.23, 0.55]","[-0.94, -0.95, 0.35, -0.61, 0.22]",crime,mileage,recycle,pitcher
0,4,0.47,0.56,"[-0.78, 1.0, 0.9, -0.84, 1.0]",bone,"[[-0.32, 0.09, -0.7, -0.67, -0.64], [-0.29, -0.47, -0.6, -0.78, -0.74], [-0.62, 0.67, -0.68, -0.05, -0.17], [-0.38, 0.93, -1.0, 0.76, 0.9], [0.46, -1.0, -0.77, -0.95, -0.97]]","[[0.17, 0.43, 0.08, 0.29, 1.0], [-0.33, -0.64, -0.68, -0.75, -0.6], [0.0, -0.01, -0.36, -0.06, 0.2], [-0.67, -0.64, -0.91, -0.85, -0.6], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-1.0, -0.25, 0.5, -0.6, 0.88], [-1.0, 0.5, 1.0, -0.6, 0.67], [1.0, -1.0, -1.0, 1.0, -0.8], [1.0, 0.25, 1.0, 1.0, -0.14], [-1.0, 0.25, 1.0, -0.6, -0.06]]","[[-0.95, -0.92, -0.96, -0.95, -0.91], [-0.89, -0.83, -0.83, -0.9, -0.82], [-0.24, -0.14, -0.18, -0.25, -0.09], [-0.89, -0.71, -0.94, -0.91, -0.82], [0.51, 0.27, 0.51, 0.42, 0.45]]","[-0.8, -0.41, -0.17, 1.0, -0.88]","[-0.65, -0.1, -0.31, -0.26, -0.68]","[0.6, 0.88, -1.0, -0.23, 0.55]","[-0.94, -0.95, 0.35, -0.61, 0.22]",crime,mileage,recycle,pitcher
1,0,0.85,0.76,"[-0.87, 1.0, -0.24, -0.97, 1.0]",bone,"[[-0.42, -0.55, -0.51, -0.66, 1.0], [0.22, 0.04, 0.01, -0.38, -1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.38, -0.4, -0.03, -0.38, 1.0], [-0.76, -0.36, -0.35, -0.47, 1.0]]","[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.4, 0.5, -0.82, -0.03, -0.14], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.84, 0.84, 0.19, 0.29, 0.26]]","[[-0.13, -1.0, -0.81, 0.22, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.13, -1.0, -1.0, 1.0, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0], [-0.3, -1.0, 0.52, 0.34, -1.0]]","[[1.0, 0.7, -0.26, 0.16, 1.0], [-1.0, -0.45, 0.61, -0.67, -1.0], [1.0, -0.32, 0.61, -1.0, 1.0], [-1.0, -0.86, -0.26, -0.62, 1.0], [1.0, -0.3, -0.67, -0.32, 1.0]]","[0.33, 0.0, -0.33, -0.17, 0.33]","[-0.42, -0.86, -0.3, -0.96, 0.61]","[-0.01, 0.59, -0.44, 0.22, 0.54]","[-0.98, -1.0, -1.0, -1.0, -1.0]",obesity,crime,bone,medexp
1,1,0.22,0.22,"[-0.17, 1.0, -0.05, -0.51, -1.0]",bone,"[[-0.42, -0.55, -0.51, -0.66, 1.0], [0.22, 0.04, 0.01, -0.38, -1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.38, -0.4, -0.03, -0.38, 1.0], [-0.76, -0.36, -0.35, -0.47, 1.0]]","[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.4, 0.5, -0.82, -0.03, -0.14], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.84, 0.84, 0.19, 0.29, 0.26]]","[[-0.13, -1.0, -0.81, 0.22, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.13, -1.0, -1.0, 1.0, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0], [-0.3, -1.0, 0.52, 0.34, -1.0]]","[[1.0, 0.7, -0.26, 0.16, 1.0], [-1.0, -0.45, 0.61, -0.67, -1.0], [1.0, -0.32, 0.61, -1.0, 1.0], [-1.0, -0.86, -0.26, -0.62, 1.0], [1.0, -0.3, -0.67, -0.32, 1.0]]","[0.33, 0.0, -0.33, -0.17, 0.33]","[-0.42, -0.86, -0.3, -0.96, 0.61]","[-0.01, 0.59, -0.44, 0.22, 0.54]","[-0.98, -1.0, -1.0, -1.0, -1.0]",obesity,crime,bone,medexp
1,2,-0.44,-0.44,"[-0.13, -1.0, -1.0, 1.0, 1.0]",bone,"[[-0.42, -0.55, -0.51, -0.66, 1.0], [0.22, 0.04, 0.01, -0.38, -1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.38, -0.4, -0.03, -0.38, 1.0], [-0.76, -0.36, -0.35, -0.47, 1.0]]","[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.4, 0.5, -0.82, -0.03, -0.14], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.84, 0.84, 0.19, 0.29, 0.26]]","[[-0.13, -1.0, -0.81, 0.22, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.13, -1.0, -1.0, 1.0, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0], [-0.3, -1.0, 0.52, 0.34, -1.0]]","[[1.0, 0.7, -0.26, 0.16, 1.0], [-1.0, -0.45, 0.61, -0.67, -1.0], [1.0, -0.32, 0.61, -1.0, 1.0], [-1.0, -0.86, -0.26, -0.62, 1.0], [1.0, -0.3, -0.67, -0.32, 1.0]]","[0.33, 0.0, -0.33, -0.17, 0.33]","[-0.42, -0.86, -0.3, -0.96, 0.61]","[-0.01, 0.59, -0.44, 0.22, 0.54]","[-0.98, -1.0, -1.0, -1.0, -1.0]",obesity,crime,bone,medexp
1,3,0.06,0.28,"[-0.3, 1.0, -0.05, -0.4, -1.0]",bone,"[[-0.42, -0.55, -0.51, -0.66, 1.0], [0.22, 0.04, 0.01, -0.38, -1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.38, -0.4, -0.03, -0.38, 1.0], [-0.76, -0.36, -0.35, -0.47, 1.0]]","[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.4, 0.5, -0.82, -0.03, -0.14], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.84, 0.84, 0.19, 0.29, 0.26]]","[[-0.13, -1.0, -0.81, 0.22, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.13, -1.0, -1.0, 1.0, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0], [-0.3, -1.0, 0.52, 0.34, -1.0]]","[[1.0, 0.7, -0.26, 0.16, 1.0], [-1.0, -0.45, 0.61, -0.67, -1.0], [1.0, -0.32, 0.61, -1.0, 1.0], [-1.0, -0.86, -0.26, -0.62, 1.0], [1.0, -0.3, -0.67, -0.32, 1.0]]","[0.33, 0.0, -0.33, -0.17, 0.33]","[-0.42, -0.86, -0.3, -0.96, 0.61]","[-0.01, 0.59, -0.44, 0.22, 0.54]","[-0.98, -1.0, -1.0, -1.0, -1.0]",obesity,crime,bone,medexp
1,4,0.67,0.9,"[-1.0, 1.0, 0.9, -0.73, 1.0]",bone,"[[-0.42, -0.55, -0.51, -0.66, 1.0], [0.22, 0.04, 0.01, -0.38, -1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.38, -0.4, -0.03, -0.38, 1.0], [-0.76, -0.36, -0.35, -0.47, 1.0]]","[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.4, 0.5, -0.82, -0.03, -0.14], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.84, 0.84, 0.19, 0.29, 0.26]]","[[-0.13, -1.0, -0.81, 0.22, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.13, -1.0, -1.0, 1.0, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0], [-0.3, -1.0, 0.52, 0.34, -1.0]]","[[1.0, 0.7, -0.26, 0.16, 1.0], [-1.0, -0.45, 0.61, -0.67, -1.0], [1.0, -0.32, 0.61, -1.0, 1.0], [-1.0, -0.86, -0.26, -0.62, 1.0], [1.0, -0.3, -0.67, -0.32, 1.0]]","[0.33, 0.0, -0.33, -0.17, 0.33]","[-0.42, -0.86, -0.3, -0.96, 0.61]","[-0.01, 0.59, -0.44, 0.22, 0.54]","[-0.98, -1.0, -1.0, -1.0, -1.0]",obesity,crime,bone,medexp
