run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,1.0,0.83,"[0.91, 0.93, 0.82, 0.49, 1.0]",car,"[[0.39, 0.14, 0.31, -0.76, 0.21], [0.74, 0.14, -0.08, -1.0, -0.59], [0.57, 0.14, -0.5, -0.65, 0.22], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.65, -0.14, -0.4, -0.65, 0.55]]","[[0.5, -0.33, 0.02, 1.0, 0.13], [-1.0, -1.0, -1.0, -1.0, -0.65], [-0.2, -0.33, 0.32, -1.0, 0.34], [0.2, -0.33, 0.79, 1.0, 0.61], [-1.0, -1.0, -1.0, -1.0, 0.01]]","[[-0.85, -0.31, -0.79, -0.83, -0.55], [-0.71, -0.64, -0.73, -0.7, -0.45], [-0.67, 0.41, -0.61, -0.64, -0.18], [-0.95, -0.96, -0.98, -0.95, -1.0], [-0.95, -0.84, -0.98, -0.91, -0.91]]","[[-0.43, -0.0, 0.13, -0.43, -0.39], [-0.76, 0.42, 0.33, -0.21, -0.14], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.58, 0.12, -0.52, -0.28, -0.31], [-0.62, 0.67, -0.68, -0.05, -0.17]]","[1.0, 0.07, -0.33, -0.46, -0.42]","[0.47, 0.13, 0.04, 0.47, -0.19]","[-0.26, -0.26, 0.12, -0.96, -0.95]","[-0.02, -0.62, -0.12, 0.06, -0.17]",afl,prostate,pitcher,crime
0,1,0.36,0.74,"[0.6, 0.28, 0.18, 0.66, 1.0]",car,"[[0.39, 0.14, 0.31, -0.76, 0.21], [0.74, 0.14, -0.08, -1.0, -0.59], [0.57, 0.14, -0.5, -0.65, 0.22], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.65, -0.14, -0.4, -0.65, 0.55]]","[[0.5, -0.33, 0.02, 1.0, 0.13], [-1.0, -1.0, -1.0, -1.0, -0.65], [-0.2, -0.33, 0.32, -1.0, 0.34], [0.2, -0.33, 0.79, 1.0, 0.61], [-1.0, -1.0, -1.0, -1.0, 0.01]]","[[-0.85, -0.31, -0.79, -0.83, -0.55], [-0.71, -0.64, -0.73, -0.7, -0.45], [-0.67, 0.41, -0.61, -0.64, -0.18], [-0.95, -0.96, -0.98, -0.95, -1.0], [-0.95, -0.84, -0.98, -0.91, -0.91]]","[[-0.43, -0.0, 0.13, -0.43, -0.39], [-0.76, 0.42, 0.33, -0.21, -0.14], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.58, 0.12, -0.52, -0.28, -0.31], [-0.62, 0.67, -0.68, -0.05, -0.17]]","[1.0, 0.07, -0.33, -0.46, -0.42]","[0.47, 0.13, 0.04, 0.47, -0.19]","[-0.26, -0.26, 0.12, -0.96, -0.95]","[-0.02, -0.62, -0.12, 0.06, -0.17]",afl,prostate,pitcher,crime
0,2,-0.55,0.15,"[0.46, 0.06, 0.18, 0.02, 0.2]",car,"[[0.39, 0.14, 0.31, -0.76, 0.21], [0.74, 0.14, -0.08, -1.0, -0.59], [0.57, 0.14, -0.5, -0.65, 0.22], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.65, -0.14, -0.4, -0.65, 0.55]]","[[0.5, -0.33, 0.02, 1.0, 0.13], [-1.0, -1.0, -1.0, -1.0, -0.65], [-0.2, -0.33, 0.32, -1.0, 0.34], [0.2, -0.33, 0.79, 1.0, 0.61], [-1.0, -1.0, -1.0, -1.0, 0.01]]","[[-0.85, -0.31, -0.79, -0.83, -0.55], [-0.71, -0.64, -0.73, -0.7, -0.45], [-0.67, 0.41, -0.61, -0.64, -0.18], [-0.95, -0.96, -0.98, -0.95, -1.0], [-0.95, -0.84, -0.98, -0.91, -0.91]]","[[-0.43, -0.0, 0.13, -0.43, -0.39], [-0.76, 0.42, 0.33, -0.21, -0.14], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.58, 0.12, -0.52, -0.28, -0.31], [-0.62, 0.67, -0.68, -0.05, -0.17]]","[1.0, 0.07, -0.33, -0.46, -0.42]","[0.47, 0.13, 0.04, 0.47, -0.19]","[-0.26, -0.26, 0.12, -0.96, -0.95]","[-0.02, -0.62, -0.12, 0.06, -0.17]",afl,prostate,pitcher,crime
0,3,-0.3,-0.74,"[-0.1, 0.28, -0.31, -0.53, -0.6]",car,"[[0.39, 0.14, 0.31, -0.76, 0.21], [0.74, 0.14, -0.08, -1.0, -0.59], [0.57, 0.14, -0.5, -0.65, 0.22], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.65, -0.14, -0.4, -0.65, 0.55]]","[[0.5, -0.33, 0.02, 1.0, 0.13], [-1.0, -1.0, -1.0, -1.0, -0.65], [-0.2, -0.33, 0.32, -1.0, 0.34], [0.2, -0.33, 0.79, 1.0, 0.61], [-1.0, -1.0, -1.0, -1.0, 0.01]]","[[-0.85, -0.31, -0.79, -0.83, -0.55], [-0.71, -0.64, -0.73, -0.7, -0.45], [-0.67, 0.41, -0.61, -0.64, -0.18], [-0.95, -0.96, -0.98, -0.95, -1.0], [-0.95, -0.84, -0.98, -0.91, -0.91]]","[[-0.43, -0.0, 0.13, -0.43, -0.39], [-0.76, 0.42, 0.33, -0.21, -0.14], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.58, 0.12, -0.52, -0.28, -0.31], [-0.62, 0.67, -0.68, -0.05, -0.17]]","[1.0, 0.07, -0.33, -0.46, -0.42]","[0.47, 0.13, 0.04, 0.47, -0.19]","[-0.26, -0.26, 0.12, -0.96, -0.95]","[-0.02, -0.62, -0.12, 0.06, -0.17]",afl,prostate,pitcher,crime
0,4,-0.63,-0.25,"[0.12, 0.13, -0.31, -0.49, -0.6]",car,"[[0.39, 0.14, 0.31, -0.76, 0.21], [0.74, 0.14, -0.08, -1.0, -0.59], [0.57, 0.14, -0.5, -0.65, 0.22], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.65, -0.14, -0.4, -0.65, 0.55]]","[[0.5, -0.33, 0.02, 1.0, 0.13], [-1.0, -1.0, -1.0, -1.0, -0.65], [-0.2, -0.33, 0.32, -1.0, 0.34], [0.2, -0.33, 0.79, 1.0, 0.61], [-1.0, -1.0, -1.0, -1.0, 0.01]]","[[-0.85, -0.31, -0.79, -0.83, -0.55], [-0.71, -0.64, -0.73, -0.7, -0.45], [-0.67, 0.41, -0.61, -0.64, -0.18], [-0.95, -0.96, -0.98, -0.95, -1.0], [-0.95, -0.84, -0.98, -0.91, -0.91]]","[[-0.43, -0.0, 0.13, -0.43, -0.39], [-0.76, 0.42, 0.33, -0.21, -0.14], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.58, 0.12, -0.52, -0.28, -0.31], [-0.62, 0.67, -0.68, -0.05, -0.17]]","[1.0, 0.07, -0.33, -0.46, -0.42]","[0.47, 0.13, 0.04, 0.47, -0.19]","[-0.26, -0.26, 0.12, -0.96, -0.95]","[-0.02, -0.62, -0.12, 0.06, -0.17]",afl,prostate,pitcher,crime
1,0,-0.65,-0.22,"[0.24, 0.06, -0.55, -0.49, -0.6]",car,"[[0.0, -1.0, 0.0, -0.97, -0.94], [1.0, 1.0, 1.0, -0.15, -0.43], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -1.0, -0.5, -0.98, -0.78], [-0.5, -1.0, 0.0, -0.99, -0.96]]","[[-0.29, -0.36, -0.33, -0.14, -0.37], [-0.55, -0.64, -0.23, -0.22, -0.6], [-0.15, -0.44, -0.49, -0.03, -0.47], [-0.63, -0.75, -0.52, -0.44, -0.69], [-0.49, -0.58, -0.34, -0.03, -0.5]]","[[-0.85, -0.16, -1.0, 0.48, 0.25], [-0.99, 0.03, -0.52, -0.41, -0.5], [-0.85, -0.66, -0.41, -0.36, 0.7], [-0.51, 0.5, 0.75, -0.68, 0.96], [-0.85, -0.23, -0.5, -0.15, -0.71]]","[[-0.67, 1.0, -0.33, -0.68, -0.74], [-0.67, -1.0, -0.33, -0.59, -0.29], [-0.67, -1.0, -1.0, -0.65, -0.35], [-0.67, -1.0, -1.0, -0.71, -0.29], [0.0, -1.0, -0.33, -0.12, 0.23]]","[0.23, -0.85, -0.33, 0.28, 0.36]","[-0.39, 0.14, -0.33, -0.25, -0.54]","[-0.26, -0.57, 0.4, 0.42, 0.1]","[-0.12, -0.45, 0.43, -0.71, -0.14]",mammal,bodyfat,concrete,birthweight
1,1,-0.47,-0.52,"[-0.03, -0.03, -0.14, -0.45, -0.6]",car,"[[0.0, -1.0, 0.0, -0.97, -0.94], [1.0, 1.0, 1.0, -0.15, -0.43], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -1.0, -0.5, -0.98, -0.78], [-0.5, -1.0, 0.0, -0.99, -0.96]]","[[-0.29, -0.36, -0.33, -0.14, -0.37], [-0.55, -0.64, -0.23, -0.22, -0.6], [-0.15, -0.44, -0.49, -0.03, -0.47], [-0.63, -0.75, -0.52, -0.44, -0.69], [-0.49, -0.58, -0.34, -0.03, -0.5]]","[[-0.85, -0.16, -1.0, 0.48, 0.25], [-0.99, 0.03, -0.52, -0.41, -0.5], [-0.85, -0.66, -0.41, -0.36, 0.7], [-0.51, 0.5, 0.75, -0.68, 0.96], [-0.85, -0.23, -0.5, -0.15, -0.71]]","[[-0.67, 1.0, -0.33, -0.68, -0.74], [-0.67, -1.0, -0.33, -0.59, -0.29], [-0.67, -1.0, -1.0, -0.65, -0.35], [-0.67, -1.0, -1.0, -0.71, -0.29], [0.0, -1.0, -0.33, -0.12, 0.23]]","[0.23, -0.85, -0.33, 0.28, 0.36]","[-0.39, 0.14, -0.33, -0.25, -0.54]","[-0.26, -0.57, 0.4, 0.42, 0.1]","[-0.12, -0.45, 0.43, -0.71, -0.14]",mammal,bodyfat,concrete,birthweight
1,2,-0.9,-0.81,"[-0.29, -0.42, -0.55, -0.74, -0.6]",car,"[[0.0, -1.0, 0.0, -0.97, -0.94], [1.0, 1.0, 1.0, -0.15, -0.43], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -1.0, -0.5, -0.98, -0.78], [-0.5, -1.0, 0.0, -0.99, -0.96]]","[[-0.29, -0.36, -0.33, -0.14, -0.37], [-0.55, -0.64, -0.23, -0.22, -0.6], [-0.15, -0.44, -0.49, -0.03, -0.47], [-0.63, -0.75, -0.52, -0.44, -0.69], [-0.49, -0.58, -0.34, -0.03, -0.5]]","[[-0.85, -0.16, -1.0, 0.48, 0.25], [-0.99, 0.03, -0.52, -0.41, -0.5], [-0.85, -0.66, -0.41, -0.36, 0.7], [-0.51, 0.5, 0.75, -0.68, 0.96], [-0.85, -0.23, -0.5, -0.15, -0.71]]","[[-0.67, 1.0, -0.33, -0.68, -0.74], [-0.67, -1.0, -0.33, -0.59, -0.29], [-0.67, -1.0, -1.0, -0.65, -0.35], [-0.67, -1.0, -1.0, -0.71, -0.29], [0.0, -1.0, -0.33, -0.12, 0.23]]","[0.23, -0.85, -0.33, 0.28, 0.36]","[-0.39, 0.14, -0.33, -0.25, -0.54]","[-0.26, -0.57, 0.4, 0.42, 0.1]","[-0.12, -0.45, 0.43, -0.71, -0.14]",mammal,bodyfat,concrete,birthweight
1,3,-0.63,-0.52,"[0.12, 0.13, -0.31, -0.49, -0.6]",car,"[[0.0, -1.0, 0.0, -0.97, -0.94], [1.0, 1.0, 1.0, -0.15, -0.43], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -1.0, -0.5, -0.98, -0.78], [-0.5, -1.0, 0.0, -0.99, -0.96]]","[[-0.29, -0.36, -0.33, -0.14, -0.37], [-0.55, -0.64, -0.23, -0.22, -0.6], [-0.15, -0.44, -0.49, -0.03, -0.47], [-0.63, -0.75, -0.52, -0.44, -0.69], [-0.49, -0.58, -0.34, -0.03, -0.5]]","[[-0.85, -0.16, -1.0, 0.48, 0.25], [-0.99, 0.03, -0.52, -0.41, -0.5], [-0.85, -0.66, -0.41, -0.36, 0.7], [-0.51, 0.5, 0.75, -0.68, 0.96], [-0.85, -0.23, -0.5, -0.15, -0.71]]","[[-0.67, 1.0, -0.33, -0.68, -0.74], [-0.67, -1.0, -0.33, -0.59, -0.29], [-0.67, -1.0, -1.0, -0.65, -0.35], [-0.67, -1.0, -1.0, -0.71, -0.29], [0.0, -1.0, -0.33, -0.12, 0.23]]","[0.23, -0.85, -0.33, 0.28, 0.36]","[-0.39, 0.14, -0.33, -0.25, -0.54]","[-0.26, -0.57, 0.4, 0.42, 0.1]","[-0.12, -0.45, 0.43, -0.71, -0.14]",mammal,bodyfat,concrete,birthweight
1,4,-0.76,-0.76,"[-0.22, -0.03, -0.7, -0.66, -0.6]",car,"[[0.0, -1.0, 0.0, -0.97, -0.94], [1.0, 1.0, 1.0, -0.15, -0.43], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -1.0, -0.5, -0.98, -0.78], [-0.5, -1.0, 0.0, -0.99, -0.96]]","[[-0.29, -0.36, -0.33, -0.14, -0.37], [-0.55, -0.64, -0.23, -0.22, -0.6], [-0.15, -0.44, -0.49, -0.03, -0.47], [-0.63, -0.75, -0.52, -0.44, -0.69], [-0.49, -0.58, -0.34, -0.03, -0.5]]","[[-0.85, -0.16, -1.0, 0.48, 0.25], [-0.99, 0.03, -0.52, -0.41, -0.5], [-0.85, -0.66, -0.41, -0.36, 0.7], [-0.51, 0.5, 0.75, -0.68, 0.96], [-0.85, -0.23, -0.5, -0.15, -0.71]]","[[-0.67, 1.0, -0.33, -0.68, -0.74], [-0.67, -1.0, -0.33, -0.59, -0.29], [-0.67, -1.0, -1.0, -0.65, -0.35], [-0.67, -1.0, -1.0, -0.71, -0.29], [0.0, -1.0, -0.33, -0.12, 0.23]]","[0.23, -0.85, -0.33, 0.28, 0.36]","[-0.39, 0.14, -0.33, -0.25, -0.54]","[-0.26, -0.57, 0.4, 0.42, 0.1]","[-0.12, -0.45, 0.43, -0.71, -0.14]",mammal,bodyfat,concrete,birthweight
