run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.1,0.5,"[-0.64, -0.38, -0.5, 1.0, -0.0]",cpu,"[[1.0, 0.71, -0.66, 0.28, 0.29], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.2, -0.31, -0.64, -0.38, -0.4]]","[[-0.98, 0.6, -0.61, -0.57, 0.0], [0.05, 0.28, -0.96, 0.09, 0.05], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.75, 0.68, -0.76, -0.18, -0.08], [-0.19, 0.84, -0.93, -0.73, 0.43]]","[[-0.55, -0.22, -0.15, -0.18, 1.0], [-0.74, -0.37, 0.05, -0.91, 0.2], [-0.03, 0.02, -0.1, -0.73, 1.0], [0.23, 0.8, 0.4, 0.41, 0.6], [-0.55, -0.9, -1.0, -0.73, 1.0]]","[[-0.96, -0.96, -1.0, -0.93, -0.98], [0.59, -0.99, -0.99, -0.79, -0.96], [0.77, -0.98, -0.99, -0.79, -0.95], [-0.97, -0.97, -0.99, -0.85, -0.96], [-0.73, -0.99, -0.99, -0.85, -0.96]]","[-0.29, -0.88, -0.12, -0.96, -0.27]","[1.0, -0.67, 0.81, -0.14, -0.67]","[0.59, 0.05, -0.29, 0.76, -0.22]","[-1.0, -1.0, -1.0, -1.0, -1.0]",crime,rebellion,pinot,news
0,1,-0.54,-0.3,"[-0.64, -0.69, -0.75, -0.0, -0.5]",cpu,"[[1.0, 0.71, -0.66, 0.28, 0.29], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.2, -0.31, -0.64, -0.38, -0.4]]","[[-0.98, 0.6, -0.61, -0.57, 0.0], [0.05, 0.28, -0.96, 0.09, 0.05], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.75, 0.68, -0.76, -0.18, -0.08], [-0.19, 0.84, -0.93, -0.73, 0.43]]","[[-0.55, -0.22, -0.15, -0.18, 1.0], [-0.74, -0.37, 0.05, -0.91, 0.2], [-0.03, 0.02, -0.1, -0.73, 1.0], [0.23, 0.8, 0.4, 0.41, 0.6], [-0.55, -0.9, -1.0, -0.73, 1.0]]","[[-0.96, -0.96, -1.0, -0.93, -0.98], [0.59, -0.99, -0.99, -0.79, -0.96], [0.77, -0.98, -0.99, -0.79, -0.95], [-0.97, -0.97, -0.99, -0.85, -0.96], [-0.73, -0.99, -0.99, -0.85, -0.96]]","[-0.29, -0.88, -0.12, -0.96, -0.27]","[1.0, -0.67, 0.81, -0.14, -0.67]","[0.59, 0.05, -0.29, 0.76, -0.22]","[-1.0, -1.0, -1.0, -1.0, -1.0]",crime,rebellion,pinot,news
0,2,-0.95,-0.81,"[-0.77, -0.81, -1.0, -0.81, -0.81]",cpu,"[[1.0, 0.71, -0.66, 0.28, 0.29], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.2, -0.31, -0.64, -0.38, -0.4]]","[[-0.98, 0.6, -0.61, -0.57, 0.0], [0.05, 0.28, -0.96, 0.09, 0.05], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.75, 0.68, -0.76, -0.18, -0.08], [-0.19, 0.84, -0.93, -0.73, 0.43]]","[[-0.55, -0.22, -0.15, -0.18, 1.0], [-0.74, -0.37, 0.05, -0.91, 0.2], [-0.03, 0.02, -0.1, -0.73, 1.0], [0.23, 0.8, 0.4, 0.41, 0.6], [-0.55, -0.9, -1.0, -0.73, 1.0]]","[[-0.96, -0.96, -1.0, -0.93, -0.98], [0.59, -0.99, -0.99, -0.79, -0.96], [0.77, -0.98, -0.99, -0.79, -0.95], [-0.97, -0.97, -0.99, -0.85, -0.96], [-0.73, -0.99, -0.99, -0.85, -0.96]]","[-0.29, -0.88, -0.12, -0.96, -0.27]","[1.0, -0.67, 0.81, -0.14, -0.67]","[0.59, 0.05, -0.29, 0.76, -0.22]","[-1.0, -1.0, -1.0, -1.0, -1.0]",crime,rebellion,pinot,news
0,3,-0.94,-0.9,"[-0.93, -0.88, -0.94, -0.88, -0.88]",cpu,"[[1.0, 0.71, -0.66, 0.28, 0.29], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.2, -0.31, -0.64, -0.38, -0.4]]","[[-0.98, 0.6, -0.61, -0.57, 0.0], [0.05, 0.28, -0.96, 0.09, 0.05], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.75, 0.68, -0.76, -0.18, -0.08], [-0.19, 0.84, -0.93, -0.73, 0.43]]","[[-0.55, -0.22, -0.15, -0.18, 1.0], [-0.74, -0.37, 0.05, -0.91, 0.2], [-0.03, 0.02, -0.1, -0.73, 1.0], [0.23, 0.8, 0.4, 0.41, 0.6], [-0.55, -0.9, -1.0, -0.73, 1.0]]","[[-0.96, -0.96, -1.0, -0.93, -0.98], [0.59, -0.99, -0.99, -0.79, -0.96], [0.77, -0.98, -0.99, -0.79, -0.95], [-0.97, -0.97, -0.99, -0.85, -0.96], [-0.73, -0.99, -0.99, -0.85, -0.96]]","[-0.29, -0.88, -0.12, -0.96, -0.27]","[1.0, -0.67, 0.81, -0.14, -0.67]","[0.59, 0.05, -0.29, 0.76, -0.22]","[-1.0, -1.0, -1.0, -1.0, -1.0]",crime,rebellion,pinot,news
0,4,-0.9,-0.82,"[-0.27, -0.77, -1.0, -0.81, -0.86]",cpu,"[[1.0, 0.71, -0.66, 0.28, 0.29], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.25, -0.13, -0.76, -0.6, -0.7], [-0.38, -0.18, -0.96, -0.78, -0.83], [-0.2, -0.31, -0.64, -0.38, -0.4]]","[[-0.98, 0.6, -0.61, -0.57, 0.0], [0.05, 0.28, -0.96, 0.09, 0.05], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.75, 0.68, -0.76, -0.18, -0.08], [-0.19, 0.84, -0.93, -0.73, 0.43]]","[[-0.55, -0.22, -0.15, -0.18, 1.0], [-0.74, -0.37, 0.05, -0.91, 0.2], [-0.03, 0.02, -0.1, -0.73, 1.0], [0.23, 0.8, 0.4, 0.41, 0.6], [-0.55, -0.9, -1.0, -0.73, 1.0]]","[[-0.96, -0.96, -1.0, -0.93, -0.98], [0.59, -0.99, -0.99, -0.79, -0.96], [0.77, -0.98, -0.99, -0.79, -0.95], [-0.97, -0.97, -0.99, -0.85, -0.96], [-0.73, -0.99, -0.99, -0.85, -0.96]]","[-0.29, -0.88, -0.12, -0.96, -0.27]","[1.0, -0.67, 0.81, -0.14, -0.67]","[0.59, 0.05, -0.29, 0.76, -0.22]","[-1.0, -1.0, -1.0, -1.0, -1.0]",crime,rebellion,pinot,news
1,0,-0.96,0.02,"[-0.94, -0.96, -0.94, -0.88, -0.94]",cpu,"[[-1.0, 0.57, 0.67, 0.24, 1.0], [0.83, -0.56, -0.59, -0.65, -0.6], [-0.5, -0.51, -0.34, -0.55, 0.2], [0.0, 0.46, 0.13, 0.29, 1.0], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-0.81, -0.6, 1.0, -0.64, -0.98], [-0.91, 0.2, 0.45, -0.82, -0.7], [0.24, -0.6, -0.82, 0.77, -0.82], [0.39, -0.6, -0.45, 0.11, -0.86], [-0.98, -0.6, -1.0, -0.57, -0.89]]","[[1.0, 1.0, 0.33, -0.33, -0.76], [1.0, 1.0, -1.0, -0.33, -0.54], [-1.0, 1.0, -0.86, -0.33, -0.68], [1.0, 1.0, -1.0, 0.0, -0.25], [1.0, 1.0, -1.0, 0.0, 0.07]]","[[-1.0, -0.13, -0.36, 0.21, 0.14], [-1.0, -0.05, -0.22, -0.01, -0.27], [-1.0, -0.65, -0.63, -0.71, -0.9], [1.0, -0.1, -0.06, -0.69, -0.66], [1.0, 0.3, 0.33, -0.59, -0.55]]","[-0.95, 0.12, -0.36, -0.63, -0.68]","[0.34, 0.08, -0.24, -0.23, 0.15]","[0.13, -0.35, 0.1, -0.24, -0.18]","[-0.74, -0.16, -0.63, 0.11, 0.16]",mileage,airfoil,rent,athlete
1,1,-1.0,-0.98,"[-0.95, -0.96, -1.0, -0.97, -0.94]",cpu,"[[-1.0, 0.57, 0.67, 0.24, 1.0], [0.83, -0.56, -0.59, -0.65, -0.6], [-0.5, -0.51, -0.34, -0.55, 0.2], [0.0, 0.46, 0.13, 0.29, 1.0], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-0.81, -0.6, 1.0, -0.64, -0.98], [-0.91, 0.2, 0.45, -0.82, -0.7], [0.24, -0.6, -0.82, 0.77, -0.82], [0.39, -0.6, -0.45, 0.11, -0.86], [-0.98, -0.6, -1.0, -0.57, -0.89]]","[[1.0, 1.0, 0.33, -0.33, -0.76], [1.0, 1.0, -1.0, -0.33, -0.54], [-1.0, 1.0, -0.86, -0.33, -0.68], [1.0, 1.0, -1.0, 0.0, -0.25], [1.0, 1.0, -1.0, 0.0, 0.07]]","[[-1.0, -0.13, -0.36, 0.21, 0.14], [-1.0, -0.05, -0.22, -0.01, -0.27], [-1.0, -0.65, -0.63, -0.71, -0.9], [1.0, -0.1, -0.06, -0.69, -0.66], [1.0, 0.3, 0.33, -0.59, -0.55]]","[-0.95, 0.12, -0.36, -0.63, -0.68]","[0.34, 0.08, -0.24, -0.23, 0.15]","[0.13, -0.35, 0.1, -0.24, -0.18]","[-0.74, -0.16, -0.63, 0.11, 0.16]",mileage,airfoil,rent,athlete
1,2,-0.32,0.42,"[0.18, 1.0, -0.12, -0.0, -0.75]",cpu,"[[-1.0, 0.57, 0.67, 0.24, 1.0], [0.83, -0.56, -0.59, -0.65, -0.6], [-0.5, -0.51, -0.34, -0.55, 0.2], [0.0, 0.46, 0.13, 0.29, 1.0], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-0.81, -0.6, 1.0, -0.64, -0.98], [-0.91, 0.2, 0.45, -0.82, -0.7], [0.24, -0.6, -0.82, 0.77, -0.82], [0.39, -0.6, -0.45, 0.11, -0.86], [-0.98, -0.6, -1.0, -0.57, -0.89]]","[[1.0, 1.0, 0.33, -0.33, -0.76], [1.0, 1.0, -1.0, -0.33, -0.54], [-1.0, 1.0, -0.86, -0.33, -0.68], [1.0, 1.0, -1.0, 0.0, -0.25], [1.0, 1.0, -1.0, 0.0, 0.07]]","[[-1.0, -0.13, -0.36, 0.21, 0.14], [-1.0, -0.05, -0.22, -0.01, -0.27], [-1.0, -0.65, -0.63, -0.71, -0.9], [1.0, -0.1, -0.06, -0.69, -0.66], [1.0, 0.3, 0.33, -0.59, -0.55]]","[-0.95, 0.12, -0.36, -0.63, -0.68]","[0.34, 0.08, -0.24, -0.23, 0.15]","[0.13, -0.35, 0.1, -0.24, -0.18]","[-0.74, -0.16, -0.63, 0.11, 0.16]",mileage,airfoil,rent,athlete
1,3,-0.37,-0.65,"[-0.73, -0.54, 0.02, -0.92, -0.92]",cpu,"[[-1.0, 0.57, 0.67, 0.24, 1.0], [0.83, -0.56, -0.59, -0.65, -0.6], [-0.5, -0.51, -0.34, -0.55, 0.2], [0.0, 0.46, 0.13, 0.29, 1.0], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-0.81, -0.6, 1.0, -0.64, -0.98], [-0.91, 0.2, 0.45, -0.82, -0.7], [0.24, -0.6, -0.82, 0.77, -0.82], [0.39, -0.6, -0.45, 0.11, -0.86], [-0.98, -0.6, -1.0, -0.57, -0.89]]","[[1.0, 1.0, 0.33, -0.33, -0.76], [1.0, 1.0, -1.0, -0.33, -0.54], [-1.0, 1.0, -0.86, -0.33, -0.68], [1.0, 1.0, -1.0, 0.0, -0.25], [1.0, 1.0, -1.0, 0.0, 0.07]]","[[-1.0, -0.13, -0.36, 0.21, 0.14], [-1.0, -0.05, -0.22, -0.01, -0.27], [-1.0, -0.65, -0.63, -0.71, -0.9], [1.0, -0.1, -0.06, -0.69, -0.66], [1.0, 0.3, 0.33, -0.59, -0.55]]","[-0.95, 0.12, -0.36, -0.63, -0.68]","[0.34, 0.08, -0.24, -0.23, 0.15]","[0.13, -0.35, 0.1, -0.24, -0.18]","[-0.74, -0.16, -0.63, 0.11, 0.16]",mileage,airfoil,rent,athlete
1,4,-0.97,-0.95,"[-0.93, -0.88, -1.0, -0.88, -0.94]",cpu,"[[-1.0, 0.57, 0.67, 0.24, 1.0], [0.83, -0.56, -0.59, -0.65, -0.6], [-0.5, -0.51, -0.34, -0.55, 0.2], [0.0, 0.46, 0.13, 0.29, 1.0], [-0.5, 0.01, 0.13, 0.29, 1.0]]","[[-0.81, -0.6, 1.0, -0.64, -0.98], [-0.91, 0.2, 0.45, -0.82, -0.7], [0.24, -0.6, -0.82, 0.77, -0.82], [0.39, -0.6, -0.45, 0.11, -0.86], [-0.98, -0.6, -1.0, -0.57, -0.89]]","[[1.0, 1.0, 0.33, -0.33, -0.76], [1.0, 1.0, -1.0, -0.33, -0.54], [-1.0, 1.0, -0.86, -0.33, -0.68], [1.0, 1.0, -1.0, 0.0, -0.25], [1.0, 1.0, -1.0, 0.0, 0.07]]","[[-1.0, -0.13, -0.36, 0.21, 0.14], [-1.0, -0.05, -0.22, -0.01, -0.27], [-1.0, -0.65, -0.63, -0.71, -0.9], [1.0, -0.1, -0.06, -0.69, -0.66], [1.0, 0.3, 0.33, -0.59, -0.55]]","[-0.95, 0.12, -0.36, -0.63, -0.68]","[0.34, 0.08, -0.24, -0.23, 0.15]","[0.13, -0.35, 0.1, -0.24, -0.18]","[-0.74, -0.16, -0.63, 0.11, 0.16]",mileage,airfoil,rent,athlete
