run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.83,-0.87,"[-0.99, -0.67, -0.26, -0.41, -1.0]",highway,"[[-0.84, 0.68, -0.91, 0.53, -0.39], [0.42, 0.68, -0.97, -0.05, -0.1], [-0.96, -1.0, 0.67, -0.46, -0.09], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.72, 0.36, -0.9, -0.28, -0.29]]","[[0.34, -0.31, -0.68, -0.85, -0.24], [-0.02, -0.34, -0.96, -0.97, 0.09], [0.83, 0.46, -0.59, -0.41, -0.61], [0.37, 0.37, -0.93, -0.81, -0.59], [0.03, 0.55, -0.92, -0.96, -0.66]]","[[-0.63, -0.6, -0.71, -0.59, -0.51], [-0.21, -0.21, -0.31, -0.18, -0.28], [-0.67, -0.63, -0.93, -0.78, -0.78], [-0.71, -0.69, -0.77, -0.61, -0.71], [-0.3, -0.41, -0.4, -0.24, -0.51]]","[[-0.05, -0.3, -0.66, -0.38, -0.39], [0.11, 0.26, -0.87, -0.11, -0.31], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.6, 0.63, -0.82, -0.87, 1.0], [0.23, 0.44, -0.67, -0.47, 0.07]]","[-0.14, -0.57, -1.0, -0.76, 0.05]","[-0.57, -0.9, 0.12, 0.69, -0.82]","[0.24, -0.51, 0.26, 0.7, 0.06]","[0.33, 0.08, 0.08, -0.11, -0.02]",rebellion,air,dropout,fuel
0,1,-0.93,0.45,"[1.0, 0.0, -0.9, -0.71, 0.56]",highway,"[[-0.84, 0.68, -0.91, 0.53, -0.39], [0.42, 0.68, -0.97, -0.05, -0.1], [-0.96, -1.0, 0.67, -0.46, -0.09], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.72, 0.36, -0.9, -0.28, -0.29]]","[[0.34, -0.31, -0.68, -0.85, -0.24], [-0.02, -0.34, -0.96, -0.97, 0.09], [0.83, 0.46, -0.59, -0.41, -0.61], [0.37, 0.37, -0.93, -0.81, -0.59], [0.03, 0.55, -0.92, -0.96, -0.66]]","[[-0.63, -0.6, -0.71, -0.59, -0.51], [-0.21, -0.21, -0.31, -0.18, -0.28], [-0.67, -0.63, -0.93, -0.78, -0.78], [-0.71, -0.69, -0.77, -0.61, -0.71], [-0.3, -0.41, -0.4, -0.24, -0.51]]","[[-0.05, -0.3, -0.66, -0.38, -0.39], [0.11, 0.26, -0.87, -0.11, -0.31], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.6, 0.63, -0.82, -0.87, 1.0], [0.23, 0.44, -0.67, -0.47, 0.07]]","[-0.14, -0.57, -1.0, -0.76, 0.05]","[-0.57, -0.9, 0.12, 0.69, -0.82]","[0.24, -0.51, 0.26, 0.7, 0.06]","[0.33, 0.08, 0.08, -0.11, -0.02]",rebellion,air,dropout,fuel
0,2,-0.9,0.12,"[-0.68, 0.33, -1.0, -0.96, -0.33]",highway,"[[-0.84, 0.68, -0.91, 0.53, -0.39], [0.42, 0.68, -0.97, -0.05, -0.1], [-0.96, -1.0, 0.67, -0.46, -0.09], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.72, 0.36, -0.9, -0.28, -0.29]]","[[0.34, -0.31, -0.68, -0.85, -0.24], [-0.02, -0.34, -0.96, -0.97, 0.09], [0.83, 0.46, -0.59, -0.41, -0.61], [0.37, 0.37, -0.93, -0.81, -0.59], [0.03, 0.55, -0.92, -0.96, -0.66]]","[[-0.63, -0.6, -0.71, -0.59, -0.51], [-0.21, -0.21, -0.31, -0.18, -0.28], [-0.67, -0.63, -0.93, -0.78, -0.78], [-0.71, -0.69, -0.77, -0.61, -0.71], [-0.3, -0.41, -0.4, -0.24, -0.51]]","[[-0.05, -0.3, -0.66, -0.38, -0.39], [0.11, 0.26, -0.87, -0.11, -0.31], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.6, 0.63, -0.82, -0.87, 1.0], [0.23, 0.44, -0.67, -0.47, 0.07]]","[-0.14, -0.57, -1.0, -0.76, 0.05]","[-0.57, -0.9, 0.12, 0.69, -0.82]","[0.24, -0.51, 0.26, 0.7, 0.06]","[0.33, 0.08, 0.08, -0.11, -0.02]",rebellion,air,dropout,fuel
0,3,-0.95,-0.34,"[0.03, 0.33, -1.0, -0.82, 1.0]",highway,"[[-0.84, 0.68, -0.91, 0.53, -0.39], [0.42, 0.68, -0.97, -0.05, -0.1], [-0.96, -1.0, 0.67, -0.46, -0.09], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.72, 0.36, -0.9, -0.28, -0.29]]","[[0.34, -0.31, -0.68, -0.85, -0.24], [-0.02, -0.34, -0.96, -0.97, 0.09], [0.83, 0.46, -0.59, -0.41, -0.61], [0.37, 0.37, -0.93, -0.81, -0.59], [0.03, 0.55, -0.92, -0.96, -0.66]]","[[-0.63, -0.6, -0.71, -0.59, -0.51], [-0.21, -0.21, -0.31, -0.18, -0.28], [-0.67, -0.63, -0.93, -0.78, -0.78], [-0.71, -0.69, -0.77, -0.61, -0.71], [-0.3, -0.41, -0.4, -0.24, -0.51]]","[[-0.05, -0.3, -0.66, -0.38, -0.39], [0.11, 0.26, -0.87, -0.11, -0.31], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.6, 0.63, -0.82, -0.87, 1.0], [0.23, 0.44, -0.67, -0.47, 0.07]]","[-0.14, -0.57, -1.0, -0.76, 0.05]","[-0.57, -0.9, 0.12, 0.69, -0.82]","[0.24, -0.51, 0.26, 0.7, 0.06]","[0.33, 0.08, 0.08, -0.11, -0.02]",rebellion,air,dropout,fuel
0,4,0.73,0.21,"[-0.74, 0.0, -0.59, -0.01, -0.56]",highway,"[[-0.84, 0.68, -0.91, 0.53, -0.39], [0.42, 0.68, -0.97, -0.05, -0.1], [-0.96, -1.0, 0.67, -0.46, -0.09], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.72, 0.36, -0.9, -0.28, -0.29]]","[[0.34, -0.31, -0.68, -0.85, -0.24], [-0.02, -0.34, -0.96, -0.97, 0.09], [0.83, 0.46, -0.59, -0.41, -0.61], [0.37, 0.37, -0.93, -0.81, -0.59], [0.03, 0.55, -0.92, -0.96, -0.66]]","[[-0.63, -0.6, -0.71, -0.59, -0.51], [-0.21, -0.21, -0.31, -0.18, -0.28], [-0.67, -0.63, -0.93, -0.78, -0.78], [-0.71, -0.69, -0.77, -0.61, -0.71], [-0.3, -0.41, -0.4, -0.24, -0.51]]","[[-0.05, -0.3, -0.66, -0.38, -0.39], [0.11, 0.26, -0.87, -0.11, -0.31], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.6, 0.63, -0.82, -0.87, 1.0], [0.23, 0.44, -0.67, -0.47, 0.07]]","[-0.14, -0.57, -1.0, -0.76, 0.05]","[-0.57, -0.9, 0.12, 0.69, -0.82]","[0.24, -0.51, 0.26, 0.7, 0.06]","[0.33, 0.08, 0.08, -0.11, -0.02]",rebellion,air,dropout,fuel
1,0,-0.94,0.1,"[-0.03, 0.0, -0.92, -0.54, 0.33]",highway,"[[-0.81, -0.77, -0.66, -0.88, -0.55], [-0.9, -0.87, -0.85, -0.9, -0.64], [-0.95, -0.94, -0.94, -0.94, -1.0], [-0.64, -0.24, -0.59, -0.63, -0.27], [-0.73, -0.76, -0.82, -0.73, -0.73]]","[[-0.85, -0.76, -0.88, -0.68, 0.7], [-0.85, -0.16, -0.47, 0.26, -0.27], [-0.97, -0.5, -1.0, 0.31, -0.32], [-0.85, -0.75, -0.63, 0.19, -0.85], [-0.99, -0.51, -1.0, 0.31, -0.7]]","[[-0.45, -0.5, -0.66, 0.34, 0.31], [-0.84, -0.84, -0.82, -0.26, -0.2], [-0.59, -0.51, -0.73, 0.28, 0.23], [-0.46, -0.32, -0.72, 0.26, 0.38], [-0.61, -0.57, -0.81, 0.13, 0.18]]","[[-0.66, -0.8, -0.68, -0.77, 0.33], [-0.98, -0.99, -0.93, -0.86, 0.08], [-0.49, -0.64, -0.83, -0.62, -0.36], [-0.8, -0.92, -0.83, -0.73, -0.06], [-0.88, -0.95, -0.97, -0.86, -0.26]]","[-0.88, -0.88, -0.97, -0.37, 0.1]","[0.37, -0.25, -0.58, -0.51, -0.89]","[-0.43, -0.5, -0.36, -0.29, -0.14]","[-0.97, -0.13, -0.96, -1.0, -0.66]",pitcher,concrete,abalone,algae
1,1,-0.75,-0.87,"[-0.56, 0.33, -1.0, -0.68, -0.56]",highway,"[[-0.81, -0.77, -0.66, -0.88, -0.55], [-0.9, -0.87, -0.85, -0.9, -0.64], [-0.95, -0.94, -0.94, -0.94, -1.0], [-0.64, -0.24, -0.59, -0.63, -0.27], [-0.73, -0.76, -0.82, -0.73, -0.73]]","[[-0.85, -0.76, -0.88, -0.68, 0.7], [-0.85, -0.16, -0.47, 0.26, -0.27], [-0.97, -0.5, -1.0, 0.31, -0.32], [-0.85, -0.75, -0.63, 0.19, -0.85], [-0.99, -0.51, -1.0, 0.31, -0.7]]","[[-0.45, -0.5, -0.66, 0.34, 0.31], [-0.84, -0.84, -0.82, -0.26, -0.2], [-0.59, -0.51, -0.73, 0.28, 0.23], [-0.46, -0.32, -0.72, 0.26, 0.38], [-0.61, -0.57, -0.81, 0.13, 0.18]]","[[-0.66, -0.8, -0.68, -0.77, 0.33], [-0.98, -0.99, -0.93, -0.86, 0.08], [-0.49, -0.64, -0.83, -0.62, -0.36], [-0.8, -0.92, -0.83, -0.73, -0.06], [-0.88, -0.95, -0.97, -0.86, -0.26]]","[-0.88, -0.88, -0.97, -0.37, 0.1]","[0.37, -0.25, -0.58, -0.51, -0.89]","[-0.43, -0.5, -0.36, -0.29, -0.14]","[-0.97, -0.13, -0.96, -1.0, -0.66]",pitcher,concrete,abalone,algae
1,2,-0.62,-0.82,"[-0.08, 0.33, -1.0, -0.73, 0.11]",highway,"[[-0.81, -0.77, -0.66, -0.88, -0.55], [-0.9, -0.87, -0.85, -0.9, -0.64], [-0.95, -0.94, -0.94, -0.94, -1.0], [-0.64, -0.24, -0.59, -0.63, -0.27], [-0.73, -0.76, -0.82, -0.73, -0.73]]","[[-0.85, -0.76, -0.88, -0.68, 0.7], [-0.85, -0.16, -0.47, 0.26, -0.27], [-0.97, -0.5, -1.0, 0.31, -0.32], [-0.85, -0.75, -0.63, 0.19, -0.85], [-0.99, -0.51, -1.0, 0.31, -0.7]]","[[-0.45, -0.5, -0.66, 0.34, 0.31], [-0.84, -0.84, -0.82, -0.26, -0.2], [-0.59, -0.51, -0.73, 0.28, 0.23], [-0.46, -0.32, -0.72, 0.26, 0.38], [-0.61, -0.57, -0.81, 0.13, 0.18]]","[[-0.66, -0.8, -0.68, -0.77, 0.33], [-0.98, -0.99, -0.93, -0.86, 0.08], [-0.49, -0.64, -0.83, -0.62, -0.36], [-0.8, -0.92, -0.83, -0.73, -0.06], [-0.88, -0.95, -0.97, -0.86, -0.26]]","[-0.88, -0.88, -0.97, -0.37, 0.1]","[0.37, -0.25, -0.58, -0.51, -0.89]","[-0.43, -0.5, -0.36, -0.29, -0.14]","[-0.97, -0.13, -0.96, -1.0, -0.66]",pitcher,concrete,abalone,algae
1,3,-0.7,-0.86,"[-0.4, -0.33, -1.0, -0.44, -0.56]",highway,"[[-0.81, -0.77, -0.66, -0.88, -0.55], [-0.9, -0.87, -0.85, -0.9, -0.64], [-0.95, -0.94, -0.94, -0.94, -1.0], [-0.64, -0.24, -0.59, -0.63, -0.27], [-0.73, -0.76, -0.82, -0.73, -0.73]]","[[-0.85, -0.76, -0.88, -0.68, 0.7], [-0.85, -0.16, -0.47, 0.26, -0.27], [-0.97, -0.5, -1.0, 0.31, -0.32], [-0.85, -0.75, -0.63, 0.19, -0.85], [-0.99, -0.51, -1.0, 0.31, -0.7]]","[[-0.45, -0.5, -0.66, 0.34, 0.31], [-0.84, -0.84, -0.82, -0.26, -0.2], [-0.59, -0.51, -0.73, 0.28, 0.23], [-0.46, -0.32, -0.72, 0.26, 0.38], [-0.61, -0.57, -0.81, 0.13, 0.18]]","[[-0.66, -0.8, -0.68, -0.77, 0.33], [-0.98, -0.99, -0.93, -0.86, 0.08], [-0.49, -0.64, -0.83, -0.62, -0.36], [-0.8, -0.92, -0.83, -0.73, -0.06], [-0.88, -0.95, -0.97, -0.86, -0.26]]","[-0.88, -0.88, -0.97, -0.37, 0.1]","[0.37, -0.25, -0.58, -0.51, -0.89]","[-0.43, -0.5, -0.36, -0.29, -0.14]","[-0.97, -0.13, -0.96, -1.0, -0.66]",pitcher,concrete,abalone,algae
1,4,-0.66,-0.81,"[-0.65, 0.0, -1.0, -0.6, -0.11]",highway,"[[-0.81, -0.77, -0.66, -0.88, -0.55], [-0.9, -0.87, -0.85, -0.9, -0.64], [-0.95, -0.94, -0.94, -0.94, -1.0], [-0.64, -0.24, -0.59, -0.63, -0.27], [-0.73, -0.76, -0.82, -0.73, -0.73]]","[[-0.85, -0.76, -0.88, -0.68, 0.7], [-0.85, -0.16, -0.47, 0.26, -0.27], [-0.97, -0.5, -1.0, 0.31, -0.32], [-0.85, -0.75, -0.63, 0.19, -0.85], [-0.99, -0.51, -1.0, 0.31, -0.7]]","[[-0.45, -0.5, -0.66, 0.34, 0.31], [-0.84, -0.84, -0.82, -0.26, -0.2], [-0.59, -0.51, -0.73, 0.28, 0.23], [-0.46, -0.32, -0.72, 0.26, 0.38], [-0.61, -0.57, -0.81, 0.13, 0.18]]","[[-0.66, -0.8, -0.68, -0.77, 0.33], [-0.98, -0.99, -0.93, -0.86, 0.08], [-0.49, -0.64, -0.83, -0.62, -0.36], [-0.8, -0.92, -0.83, -0.73, -0.06], [-0.88, -0.95, -0.97, -0.86, -0.26]]","[-0.88, -0.88, -0.97, -0.37, 0.1]","[0.37, -0.25, -0.58, -0.51, -0.89]","[-0.43, -0.5, -0.36, -0.29, -0.14]","[-0.97, -0.13, -0.96, -1.0, -0.66]",pitcher,concrete,abalone,algae
