run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.4,0.48,"[-0.94, -0.66, 0.7, 0.52, 0.32]",mortality,"[[-0.42, -0.45, -0.19, -0.11, -0.45], [-0.32, -0.53, -0.23, -0.09, -0.51], [-0.24, -0.11, 0.34, 0.42, -0.18], [-0.45, -0.45, -0.33, -0.28, -0.52], [-0.53, -0.7, -0.76, -0.57, -0.64]]","[[1.0, 1.0, -1.0, 0.0, -0.06], [1.0, 1.0, 0.61, -0.33, -0.31], [1.0, 1.0, 0.16, -0.33, -0.44], [1.0, 1.0, -1.0, 0.0, -0.19], [1.0, 1.0, -1.0, 0.0, -0.19]]","[[-0.67, 0.25, -0.23, -0.23, 1.0], [0.16, -0.45, 0.77, -0.23, -1.0], [-0.41, 0.06, -0.02, 0.05, 1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.46, -0.74, -0.46, -0.83, 1.0]]","[[1.0, -1.0, 0.0, 0.38, 0.71], [-1.0, 1.0, -0.56, 0.54, -0.43], [1.0, -1.0, 0.0, 0.38, 0.14], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.85, 0.71]]","[0.14, 0.09, 1.0, -0.14, -0.63]","[-0.18, -0.27, -0.3, 0.09, -0.37]","[0.67, -0.33, 0.5, 0.0, -0.33]","[0.34, 0.38, 0.41, 0.37, 0.54]",bodyfat,rent,obesity,wage
0,1,-0.1,-0.2,"[-0.89, -0.38, 0.26, 0.45, 0.04]",mortality,"[[-0.42, -0.45, -0.19, -0.11, -0.45], [-0.32, -0.53, -0.23, -0.09, -0.51], [-0.24, -0.11, 0.34, 0.42, -0.18], [-0.45, -0.45, -0.33, -0.28, -0.52], [-0.53, -0.7, -0.76, -0.57, -0.64]]","[[1.0, 1.0, -1.0, 0.0, -0.06], [1.0, 1.0, 0.61, -0.33, -0.31], [1.0, 1.0, 0.16, -0.33, -0.44], [1.0, 1.0, -1.0, 0.0, -0.19], [1.0, 1.0, -1.0, 0.0, -0.19]]","[[-0.67, 0.25, -0.23, -0.23, 1.0], [0.16, -0.45, 0.77, -0.23, -1.0], [-0.41, 0.06, -0.02, 0.05, 1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.46, -0.74, -0.46, -0.83, 1.0]]","[[1.0, -1.0, 0.0, 0.38, 0.71], [-1.0, 1.0, -0.56, 0.54, -0.43], [1.0, -1.0, 0.0, 0.38, 0.14], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.85, 0.71]]","[0.14, 0.09, 1.0, -0.14, -0.63]","[-0.18, -0.27, -0.3, 0.09, -0.37]","[0.67, -0.33, 0.5, 0.0, -0.33]","[0.34, 0.38, 0.41, 0.37, 0.54]",bodyfat,rent,obesity,wage
0,2,0.1,0.8,"[-0.27, 0.33, 0.9, 1.0, 0.24]",mortality,"[[-0.42, -0.45, -0.19, -0.11, -0.45], [-0.32, -0.53, -0.23, -0.09, -0.51], [-0.24, -0.11, 0.34, 0.42, -0.18], [-0.45, -0.45, -0.33, -0.28, -0.52], [-0.53, -0.7, -0.76, -0.57, -0.64]]","[[1.0, 1.0, -1.0, 0.0, -0.06], [1.0, 1.0, 0.61, -0.33, -0.31], [1.0, 1.0, 0.16, -0.33, -0.44], [1.0, 1.0, -1.0, 0.0, -0.19], [1.0, 1.0, -1.0, 0.0, -0.19]]","[[-0.67, 0.25, -0.23, -0.23, 1.0], [0.16, -0.45, 0.77, -0.23, -1.0], [-0.41, 0.06, -0.02, 0.05, 1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.46, -0.74, -0.46, -0.83, 1.0]]","[[1.0, -1.0, 0.0, 0.38, 0.71], [-1.0, 1.0, -0.56, 0.54, -0.43], [1.0, -1.0, 0.0, 0.38, 0.14], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.85, 0.71]]","[0.14, 0.09, 1.0, -0.14, -0.63]","[-0.18, -0.27, -0.3, 0.09, -0.37]","[0.67, -0.33, 0.5, 0.0, -0.33]","[0.34, 0.38, 0.41, 0.37, 0.54]",bodyfat,rent,obesity,wage
0,3,-0.56,0.2,"[-0.07, -0.63, 0.99, 0.88, -0.96]",mortality,"[[-0.42, -0.45, -0.19, -0.11, -0.45], [-0.32, -0.53, -0.23, -0.09, -0.51], [-0.24, -0.11, 0.34, 0.42, -0.18], [-0.45, -0.45, -0.33, -0.28, -0.52], [-0.53, -0.7, -0.76, -0.57, -0.64]]","[[1.0, 1.0, -1.0, 0.0, -0.06], [1.0, 1.0, 0.61, -0.33, -0.31], [1.0, 1.0, 0.16, -0.33, -0.44], [1.0, 1.0, -1.0, 0.0, -0.19], [1.0, 1.0, -1.0, 0.0, -0.19]]","[[-0.67, 0.25, -0.23, -0.23, 1.0], [0.16, -0.45, 0.77, -0.23, -1.0], [-0.41, 0.06, -0.02, 0.05, 1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.46, -0.74, -0.46, -0.83, 1.0]]","[[1.0, -1.0, 0.0, 0.38, 0.71], [-1.0, 1.0, -0.56, 0.54, -0.43], [1.0, -1.0, 0.0, 0.38, 0.14], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.85, 0.71]]","[0.14, 0.09, 1.0, -0.14, -0.63]","[-0.18, -0.27, -0.3, 0.09, -0.37]","[0.67, -0.33, 0.5, 0.0, -0.33]","[0.34, 0.38, 0.41, 0.37, 0.54]",bodyfat,rent,obesity,wage
0,4,-0.01,-0.3,"[-0.83, -0.84, -0.06, 0.45, 0.12]",mortality,"[[-0.42, -0.45, -0.19, -0.11, -0.45], [-0.32, -0.53, -0.23, -0.09, -0.51], [-0.24, -0.11, 0.34, 0.42, -0.18], [-0.45, -0.45, -0.33, -0.28, -0.52], [-0.53, -0.7, -0.76, -0.57, -0.64]]","[[1.0, 1.0, -1.0, 0.0, -0.06], [1.0, 1.0, 0.61, -0.33, -0.31], [1.0, 1.0, 0.16, -0.33, -0.44], [1.0, 1.0, -1.0, 0.0, -0.19], [1.0, 1.0, -1.0, 0.0, -0.19]]","[[-0.67, 0.25, -0.23, -0.23, 1.0], [0.16, -0.45, 0.77, -0.23, -1.0], [-0.41, 0.06, -0.02, 0.05, 1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.46, -0.74, -0.46, -0.83, 1.0]]","[[1.0, -1.0, 0.0, 0.38, 0.71], [-1.0, 1.0, -0.56, 0.54, -0.43], [1.0, -1.0, 0.0, 0.38, 0.14], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.85, 0.71]]","[0.14, 0.09, 1.0, -0.14, -0.63]","[-0.18, -0.27, -0.3, 0.09, -0.37]","[0.67, -0.33, 0.5, 0.0, -0.33]","[0.34, 0.38, 0.41, 0.37, 0.54]",bodyfat,rent,obesity,wage
1,0,-0.18,0.12,"[-0.95, -0.58, 0.37, 0.39, 0.44]",mortality,"[[0.42, 0.07, -0.3, -0.73, 1.0], [-0.68, -0.76, 0.2, -0.95, 0.6], [-0.03, 0.32, 0.5, 0.0, 0.6], [0.16, -0.95, -0.4, -0.59, 0.2], [-0.23, 0.27, 0.45, -0.23, 1.0]]","[[0.4, -0.24, -0.3, -0.13, 0.12], [-0.5, -0.15, -0.97, -0.44, -0.75], [0.05, -0.72, -0.51, -0.44, -0.63], [-0.05, -0.72, 0.01, -0.13, -0.81], [-0.58, -0.72, -0.3, -0.41, -0.72]]","[[-0.32, -0.53, -0.75, -0.74, -0.79], [-0.17, -0.32, -0.95, -0.9, -0.9], [-0.41, -0.08, -0.43, 0.17, 0.16], [-0.29, -0.47, -0.6, -0.78, -0.74], [-1.0, 0.35, -0.93, -0.02, 0.06]]","[[-0.67, -1.0, -0.33, 0.82, -0.68], [-0.67, -1.0, -1.0, -0.65, -0.74], [-0.33, -1.0, -0.33, -0.82, 0.03], [-0.67, -1.0, -0.33, 0.06, -0.61], [-0.67, -1.0, -1.0, -0.65, -0.42]]","[-0.07, -1.0, 0.85, -0.71, 0.44]","[-0.08, -0.61, -0.05, -0.2, -0.64]","[-0.41, -0.73, 0.47, -0.41, 0.13]","[0.36, -0.26, 0.14, 0.51, -0.2]",pinot,diabetes,crime,birthweight
1,1,-0.33,-0.35,"[-0.98, -0.76, 0.61, -0.03, 0.4]",mortality,"[[0.42, 0.07, -0.3, -0.73, 1.0], [-0.68, -0.76, 0.2, -0.95, 0.6], [-0.03, 0.32, 0.5, 0.0, 0.6], [0.16, -0.95, -0.4, -0.59, 0.2], [-0.23, 0.27, 0.45, -0.23, 1.0]]","[[0.4, -0.24, -0.3, -0.13, 0.12], [-0.5, -0.15, -0.97, -0.44, -0.75], [0.05, -0.72, -0.51, -0.44, -0.63], [-0.05, -0.72, 0.01, -0.13, -0.81], [-0.58, -0.72, -0.3, -0.41, -0.72]]","[[-0.32, -0.53, -0.75, -0.74, -0.79], [-0.17, -0.32, -0.95, -0.9, -0.9], [-0.41, -0.08, -0.43, 0.17, 0.16], [-0.29, -0.47, -0.6, -0.78, -0.74], [-1.0, 0.35, -0.93, -0.02, 0.06]]","[[-0.67, -1.0, -0.33, 0.82, -0.68], [-0.67, -1.0, -1.0, -0.65, -0.74], [-0.33, -1.0, -0.33, -0.82, 0.03], [-0.67, -1.0, -0.33, 0.06, -0.61], [-0.67, -1.0, -1.0, -0.65, -0.42]]","[-0.07, -1.0, 0.85, -0.71, 0.44]","[-0.08, -0.61, -0.05, -0.2, -0.64]","[-0.41, -0.73, 0.47, -0.41, 0.13]","[0.36, -0.26, 0.14, 0.51, -0.2]",pinot,diabetes,crime,birthweight
1,2,0.32,0.02,"[-0.7, -0.4, 0.29, 0.39, 0.4]",mortality,"[[0.42, 0.07, -0.3, -0.73, 1.0], [-0.68, -0.76, 0.2, -0.95, 0.6], [-0.03, 0.32, 0.5, 0.0, 0.6], [0.16, -0.95, -0.4, -0.59, 0.2], [-0.23, 0.27, 0.45, -0.23, 1.0]]","[[0.4, -0.24, -0.3, -0.13, 0.12], [-0.5, -0.15, -0.97, -0.44, -0.75], [0.05, -0.72, -0.51, -0.44, -0.63], [-0.05, -0.72, 0.01, -0.13, -0.81], [-0.58, -0.72, -0.3, -0.41, -0.72]]","[[-0.32, -0.53, -0.75, -0.74, -0.79], [-0.17, -0.32, -0.95, -0.9, -0.9], [-0.41, -0.08, -0.43, 0.17, 0.16], [-0.29, -0.47, -0.6, -0.78, -0.74], [-1.0, 0.35, -0.93, -0.02, 0.06]]","[[-0.67, -1.0, -0.33, 0.82, -0.68], [-0.67, -1.0, -1.0, -0.65, -0.74], [-0.33, -1.0, -0.33, -0.82, 0.03], [-0.67, -1.0, -0.33, 0.06, -0.61], [-0.67, -1.0, -1.0, -0.65, -0.42]]","[-0.07, -1.0, 0.85, -0.71, 0.44]","[-0.08, -0.61, -0.05, -0.2, -0.64]","[-0.41, -0.73, 0.47, -0.41, 0.13]","[0.36, -0.26, 0.14, 0.51, -0.2]",pinot,diabetes,crime,birthweight
1,3,-0.7,0.17,"[-0.86, -0.73, 0.85, 0.88, -1.0]",mortality,"[[0.42, 0.07, -0.3, -0.73, 1.0], [-0.68, -0.76, 0.2, -0.95, 0.6], [-0.03, 0.32, 0.5, 0.0, 0.6], [0.16, -0.95, -0.4, -0.59, 0.2], [-0.23, 0.27, 0.45, -0.23, 1.0]]","[[0.4, -0.24, -0.3, -0.13, 0.12], [-0.5, -0.15, -0.97, -0.44, -0.75], [0.05, -0.72, -0.51, -0.44, -0.63], [-0.05, -0.72, 0.01, -0.13, -0.81], [-0.58, -0.72, -0.3, -0.41, -0.72]]","[[-0.32, -0.53, -0.75, -0.74, -0.79], [-0.17, -0.32, -0.95, -0.9, -0.9], [-0.41, -0.08, -0.43, 0.17, 0.16], [-0.29, -0.47, -0.6, -0.78, -0.74], [-1.0, 0.35, -0.93, -0.02, 0.06]]","[[-0.67, -1.0, -0.33, 0.82, -0.68], [-0.67, -1.0, -1.0, -0.65, -0.74], [-0.33, -1.0, -0.33, -0.82, 0.03], [-0.67, -1.0, -0.33, 0.06, -0.61], [-0.67, -1.0, -1.0, -0.65, -0.42]]","[-0.07, -1.0, 0.85, -0.71, 0.44]","[-0.08, -0.61, -0.05, -0.2, -0.64]","[-0.41, -0.73, 0.47, -0.41, 0.13]","[0.36, -0.26, 0.14, 0.51, -0.2]",pinot,diabetes,crime,birthweight
1,4,-0.37,0.02,"[-1.0, -0.43, 0.16, 0.45, -0.16]",mortality,"[[0.42, 0.07, -0.3, -0.73, 1.0], [-0.68, -0.76, 0.2, -0.95, 0.6], [-0.03, 0.32, 0.5, 0.0, 0.6], [0.16, -0.95, -0.4, -0.59, 0.2], [-0.23, 0.27, 0.45, -0.23, 1.0]]","[[0.4, -0.24, -0.3, -0.13, 0.12], [-0.5, -0.15, -0.97, -0.44, -0.75], [0.05, -0.72, -0.51, -0.44, -0.63], [-0.05, -0.72, 0.01, -0.13, -0.81], [-0.58, -0.72, -0.3, -0.41, -0.72]]","[[-0.32, -0.53, -0.75, -0.74, -0.79], [-0.17, -0.32, -0.95, -0.9, -0.9], [-0.41, -0.08, -0.43, 0.17, 0.16], [-0.29, -0.47, -0.6, -0.78, -0.74], [-1.0, 0.35, -0.93, -0.02, 0.06]]","[[-0.67, -1.0, -0.33, 0.82, -0.68], [-0.67, -1.0, -1.0, -0.65, -0.74], [-0.33, -1.0, -0.33, -0.82, 0.03], [-0.67, -1.0, -0.33, 0.06, -0.61], [-0.67, -1.0, -1.0, -0.65, -0.42]]","[-0.07, -1.0, 0.85, -0.71, 0.44]","[-0.08, -0.61, -0.05, -0.2, -0.64]","[-0.41, -0.73, 0.47, -0.41, 0.13]","[0.36, -0.26, 0.14, 0.51, -0.2]",pinot,diabetes,crime,birthweight
