run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.0,0.05,"[0.22, 0.04, 0.01, -0.38, -1.0]",obesity,"[[-0.58, -0.58, 0.23, 0.45, 0.04], [-0.97, 0.16, -0.58, -0.15, 0.28], [-0.52, -0.13, -0.16, -0.58, -0.04], [-1.0, 0.62, -0.5, -0.58, 0.76], [-0.07, -0.63, 0.99, 0.88, -0.96]]","[[-0.56, -1.0, -0.79, 0.33, 0.03], [0.56, -1.0, -0.11, -1.0, 0.17], [-0.56, -1.0, 0.05, -0.67, 0.03], [0.78, -1.0, 0.74, -1.0, 0.01], [0.56, -1.0, 0.74, -1.0, -0.01]]","[[-1.0, -0.47, -0.02, -1.0, 1.0], [1.0, 0.01, -0.26, -0.8, 1.0], [-1.0, -0.72, -0.57, -0.67, 1.0], [1.0, -0.43, 0.17, -0.58, 1.0], [1.0, 0.07, 0.17, 0.02, 1.0]]","[[-1.0, -0.99, -0.98, -0.88, -0.62], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.98, -0.76, -0.98], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.89, -0.98, -0.91]]","[-0.19, 0.12, 0.01, 1.0, -0.56]","[0.54, 0.55, 0.66, 0.67, 0.72]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.17, -0.31, -0.38, -0.17, -1.0]",mortality,laborsupply,medexp,lake
0,1,0.17,0.0,"[-0.7, -0.42, -0.3, -0.49, 1.0]",obesity,"[[-0.58, -0.58, 0.23, 0.45, 0.04], [-0.97, 0.16, -0.58, -0.15, 0.28], [-0.52, -0.13, -0.16, -0.58, -0.04], [-1.0, 0.62, -0.5, -0.58, 0.76], [-0.07, -0.63, 0.99, 0.88, -0.96]]","[[-0.56, -1.0, -0.79, 0.33, 0.03], [0.56, -1.0, -0.11, -1.0, 0.17], [-0.56, -1.0, 0.05, -0.67, 0.03], [0.78, -1.0, 0.74, -1.0, 0.01], [0.56, -1.0, 0.74, -1.0, -0.01]]","[[-1.0, -0.47, -0.02, -1.0, 1.0], [1.0, 0.01, -0.26, -0.8, 1.0], [-1.0, -0.72, -0.57, -0.67, 1.0], [1.0, -0.43, 0.17, -0.58, 1.0], [1.0, 0.07, 0.17, 0.02, 1.0]]","[[-1.0, -0.99, -0.98, -0.88, -0.62], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.98, -0.76, -0.98], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.89, -0.98, -0.91]]","[-0.19, 0.12, 0.01, 1.0, -0.56]","[0.54, 0.55, 0.66, 0.67, 0.72]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.17, -0.31, -0.38, -0.17, -1.0]",mortality,laborsupply,medexp,lake
0,2,-0.33,0.12,"[-0.6, -0.43, 0.06, -0.47, 1.0]",obesity,"[[-0.58, -0.58, 0.23, 0.45, 0.04], [-0.97, 0.16, -0.58, -0.15, 0.28], [-0.52, -0.13, -0.16, -0.58, -0.04], [-1.0, 0.62, -0.5, -0.58, 0.76], [-0.07, -0.63, 0.99, 0.88, -0.96]]","[[-0.56, -1.0, -0.79, 0.33, 0.03], [0.56, -1.0, -0.11, -1.0, 0.17], [-0.56, -1.0, 0.05, -0.67, 0.03], [0.78, -1.0, 0.74, -1.0, 0.01], [0.56, -1.0, 0.74, -1.0, -0.01]]","[[-1.0, -0.47, -0.02, -1.0, 1.0], [1.0, 0.01, -0.26, -0.8, 1.0], [-1.0, -0.72, -0.57, -0.67, 1.0], [1.0, -0.43, 0.17, -0.58, 1.0], [1.0, 0.07, 0.17, 0.02, 1.0]]","[[-1.0, -0.99, -0.98, -0.88, -0.62], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.98, -0.76, -0.98], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.89, -0.98, -0.91]]","[-0.19, 0.12, 0.01, 1.0, -0.56]","[0.54, 0.55, 0.66, 0.67, 0.72]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.17, -0.31, -0.38, -0.17, -1.0]",mortality,laborsupply,medexp,lake
0,3,0.17,0.0,"[-0.51, -0.55, -0.55, -0.53, 1.0]",obesity,"[[-0.58, -0.58, 0.23, 0.45, 0.04], [-0.97, 0.16, -0.58, -0.15, 0.28], [-0.52, -0.13, -0.16, -0.58, -0.04], [-1.0, 0.62, -0.5, -0.58, 0.76], [-0.07, -0.63, 0.99, 0.88, -0.96]]","[[-0.56, -1.0, -0.79, 0.33, 0.03], [0.56, -1.0, -0.11, -1.0, 0.17], [-0.56, -1.0, 0.05, -0.67, 0.03], [0.78, -1.0, 0.74, -1.0, 0.01], [0.56, -1.0, 0.74, -1.0, -0.01]]","[[-1.0, -0.47, -0.02, -1.0, 1.0], [1.0, 0.01, -0.26, -0.8, 1.0], [-1.0, -0.72, -0.57, -0.67, 1.0], [1.0, -0.43, 0.17, -0.58, 1.0], [1.0, 0.07, 0.17, 0.02, 1.0]]","[[-1.0, -0.99, -0.98, -0.88, -0.62], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.98, -0.76, -0.98], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.89, -0.98, -0.91]]","[-0.19, 0.12, 0.01, 1.0, -0.56]","[0.54, 0.55, 0.66, 0.67, 0.72]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.17, -0.31, -0.38, -0.17, -1.0]",mortality,laborsupply,medexp,lake
0,4,0.0,0.0,"[-0.05, -0.39, 0.31, -0.7, -1.0]",obesity,"[[-0.58, -0.58, 0.23, 0.45, 0.04], [-0.97, 0.16, -0.58, -0.15, 0.28], [-0.52, -0.13, -0.16, -0.58, -0.04], [-1.0, 0.62, -0.5, -0.58, 0.76], [-0.07, -0.63, 0.99, 0.88, -0.96]]","[[-0.56, -1.0, -0.79, 0.33, 0.03], [0.56, -1.0, -0.11, -1.0, 0.17], [-0.56, -1.0, 0.05, -0.67, 0.03], [0.78, -1.0, 0.74, -1.0, 0.01], [0.56, -1.0, 0.74, -1.0, -0.01]]","[[-1.0, -0.47, -0.02, -1.0, 1.0], [1.0, 0.01, -0.26, -0.8, 1.0], [-1.0, -0.72, -0.57, -0.67, 1.0], [1.0, -0.43, 0.17, -0.58, 1.0], [1.0, 0.07, 0.17, 0.02, 1.0]]","[[-1.0, -0.99, -0.98, -0.88, -0.62], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.98, -0.76, -0.98], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.89, -0.98, -0.91]]","[-0.19, 0.12, 0.01, 1.0, -0.56]","[0.54, 0.55, 0.66, 0.67, 0.72]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.17, -0.31, -0.38, -0.17, -1.0]",mortality,laborsupply,medexp,lake
1,0,0.17,0.42,"[-0.57, -0.57, -0.15, -0.55, 1.0]",obesity,"[[-0.7, -0.26, -1.0, -0.8, -0.4], [0.05, -0.13, -0.6, -0.6, 0.0], [0.11, 0.74, -0.4, -0.2, 0.0], [0.37, 0.35, 0.2, 0.4, 0.8], [0.47, 0.09, 0.0, -0.2, -0.2]]","[[1.0, 1.0, 1.0, -0.94, -0.67], [0.0, -1.0, 0.5, -0.98, -0.98], [1.0, 1.0, 1.0, -0.56, -0.63], [-0.5, -0.5, -0.5, -0.6, -0.8], [-0.5, -0.5, -0.5, -0.33, -0.9]]","[[-0.09, 0.04, -0.31, -1.0, -0.41], [-0.31, -0.2, -0.48, -1.0, -0.31], [-0.53, -0.47, -0.58, -1.0, 0.47], [-0.57, -0.28, -0.59, -1.0, 0.97], [-0.47, -0.39, -0.54, -1.0, -0.56]]","[[0.48, -0.89, -0.41, -0.85, -0.69], [-0.55, -0.56, -0.12, -0.74, -0.69], [-0.58, -0.78, -0.4, -0.77, -0.37], [-0.65, -0.67, -0.42, -0.68, -0.78], [-0.29, -0.78, -0.68, -0.79, -0.55]]","[-0.52, 0.34, 0.02, 0.4, 0.28]","[-0.33, 0.23, -0.86, 0.66, -0.54]","[-0.85, -0.28, 0.04, -0.46, -0.47]","[0.33, -0.33, -0.33, -0.33, -0.33]",schooling,mammal,plasma,whitewine
1,1,-0.33,0.12,"[0.51, -0.01, 0.36, -0.47, -1.0]",obesity,"[[-0.7, -0.26, -1.0, -0.8, -0.4], [0.05, -0.13, -0.6, -0.6, 0.0], [0.11, 0.74, -0.4, -0.2, 0.0], [0.37, 0.35, 0.2, 0.4, 0.8], [0.47, 0.09, 0.0, -0.2, -0.2]]","[[1.0, 1.0, 1.0, -0.94, -0.67], [0.0, -1.0, 0.5, -0.98, -0.98], [1.0, 1.0, 1.0, -0.56, -0.63], [-0.5, -0.5, -0.5, -0.6, -0.8], [-0.5, -0.5, -0.5, -0.33, -0.9]]","[[-0.09, 0.04, -0.31, -1.0, -0.41], [-0.31, -0.2, -0.48, -1.0, -0.31], [-0.53, -0.47, -0.58, -1.0, 0.47], [-0.57, -0.28, -0.59, -1.0, 0.97], [-0.47, -0.39, -0.54, -1.0, -0.56]]","[[0.48, -0.89, -0.41, -0.85, -0.69], [-0.55, -0.56, -0.12, -0.74, -0.69], [-0.58, -0.78, -0.4, -0.77, -0.37], [-0.65, -0.67, -0.42, -0.68, -0.78], [-0.29, -0.78, -0.68, -0.79, -0.55]]","[-0.52, 0.34, 0.02, 0.4, 0.28]","[-0.33, 0.23, -0.86, 0.66, -0.54]","[-0.85, -0.28, 0.04, -0.46, -0.47]","[0.33, -0.33, -0.33, -0.33, -0.33]",schooling,mammal,plasma,whitewine
1,2,0.67,-0.2,"[0.8, 0.55, 0.1, -0.27, -1.0]",obesity,"[[-0.7, -0.26, -1.0, -0.8, -0.4], [0.05, -0.13, -0.6, -0.6, 0.0], [0.11, 0.74, -0.4, -0.2, 0.0], [0.37, 0.35, 0.2, 0.4, 0.8], [0.47, 0.09, 0.0, -0.2, -0.2]]","[[1.0, 1.0, 1.0, -0.94, -0.67], [0.0, -1.0, 0.5, -0.98, -0.98], [1.0, 1.0, 1.0, -0.56, -0.63], [-0.5, -0.5, -0.5, -0.6, -0.8], [-0.5, -0.5, -0.5, -0.33, -0.9]]","[[-0.09, 0.04, -0.31, -1.0, -0.41], [-0.31, -0.2, -0.48, -1.0, -0.31], [-0.53, -0.47, -0.58, -1.0, 0.47], [-0.57, -0.28, -0.59, -1.0, 0.97], [-0.47, -0.39, -0.54, -1.0, -0.56]]","[[0.48, -0.89, -0.41, -0.85, -0.69], [-0.55, -0.56, -0.12, -0.74, -0.69], [-0.58, -0.78, -0.4, -0.77, -0.37], [-0.65, -0.67, -0.42, -0.68, -0.78], [-0.29, -0.78, -0.68, -0.79, -0.55]]","[-0.52, 0.34, 0.02, 0.4, 0.28]","[-0.33, 0.23, -0.86, 0.66, -0.54]","[-0.85, -0.28, 0.04, -0.46, -0.47]","[0.33, -0.33, -0.33, -0.33, -0.33]",schooling,mammal,plasma,whitewine
1,3,-0.67,0.29,"[0.56, 0.04, 0.21, -0.31, -1.0]",obesity,"[[-0.7, -0.26, -1.0, -0.8, -0.4], [0.05, -0.13, -0.6, -0.6, 0.0], [0.11, 0.74, -0.4, -0.2, 0.0], [0.37, 0.35, 0.2, 0.4, 0.8], [0.47, 0.09, 0.0, -0.2, -0.2]]","[[1.0, 1.0, 1.0, -0.94, -0.67], [0.0, -1.0, 0.5, -0.98, -0.98], [1.0, 1.0, 1.0, -0.56, -0.63], [-0.5, -0.5, -0.5, -0.6, -0.8], [-0.5, -0.5, -0.5, -0.33, -0.9]]","[[-0.09, 0.04, -0.31, -1.0, -0.41], [-0.31, -0.2, -0.48, -1.0, -0.31], [-0.53, -0.47, -0.58, -1.0, 0.47], [-0.57, -0.28, -0.59, -1.0, 0.97], [-0.47, -0.39, -0.54, -1.0, -0.56]]","[[0.48, -0.89, -0.41, -0.85, -0.69], [-0.55, -0.56, -0.12, -0.74, -0.69], [-0.58, -0.78, -0.4, -0.77, -0.37], [-0.65, -0.67, -0.42, -0.68, -0.78], [-0.29, -0.78, -0.68, -0.79, -0.55]]","[-0.52, 0.34, 0.02, 0.4, 0.28]","[-0.33, 0.23, -0.86, 0.66, -0.54]","[-0.85, -0.28, 0.04, -0.46, -0.47]","[0.33, -0.33, -0.33, -0.33, -0.33]",schooling,mammal,plasma,whitewine
1,4,0.0,0.33,"[-0.87, -0.49, -0.36, -0.49, 1.0]",obesity,"[[-0.7, -0.26, -1.0, -0.8, -0.4], [0.05, -0.13, -0.6, -0.6, 0.0], [0.11, 0.74, -0.4, -0.2, 0.0], [0.37, 0.35, 0.2, 0.4, 0.8], [0.47, 0.09, 0.0, -0.2, -0.2]]","[[1.0, 1.0, 1.0, -0.94, -0.67], [0.0, -1.0, 0.5, -0.98, -0.98], [1.0, 1.0, 1.0, -0.56, -0.63], [-0.5, -0.5, -0.5, -0.6, -0.8], [-0.5, -0.5, -0.5, -0.33, -0.9]]","[[-0.09, 0.04, -0.31, -1.0, -0.41], [-0.31, -0.2, -0.48, -1.0, -0.31], [-0.53, -0.47, -0.58, -1.0, 0.47], [-0.57, -0.28, -0.59, -1.0, 0.97], [-0.47, -0.39, -0.54, -1.0, -0.56]]","[[0.48, -0.89, -0.41, -0.85, -0.69], [-0.55, -0.56, -0.12, -0.74, -0.69], [-0.58, -0.78, -0.4, -0.77, -0.37], [-0.65, -0.67, -0.42, -0.68, -0.78], [-0.29, -0.78, -0.68, -0.79, -0.55]]","[-0.52, 0.34, 0.02, 0.4, 0.28]","[-0.33, 0.23, -0.86, 0.66, -0.54]","[-0.85, -0.28, 0.04, -0.46, -0.47]","[0.33, -0.33, -0.33, -0.33, -0.33]",schooling,mammal,plasma,whitewine
