run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.64,-0.65,"[-0.82, -0.7, -0.77, -1.0, -0.44]",plasma,"[[-0.66, -0.62, -0.67, -1.0, -0.62], [-0.08, -0.24, -0.5, -1.0, 0.06], [-0.68, -0.27, -0.45, -1.0, -0.59], [-0.53, 0.01, -0.24, 1.0, 0.06], [-0.29, -0.04, -0.34, -1.0, -0.25]]","[[-0.51, -0.72, -0.75, -0.62, -0.53], [-0.57, -0.65, -0.75, -0.66, -0.63], [-0.55, -0.67, -0.51, -0.69, -0.63], [-0.58, -0.29, -0.89, -0.33, -0.32], [-0.89, -0.92, -0.96, -0.91, -0.89]]","[[1.0, 0.05, -1.0, -0.68, -1.0], [1.0, -0.31, -0.67, -0.8, 1.0], [-1.0, -0.52, -1.0, -0.8, 1.0], [-1.0, -0.55, 0.17, -0.67, 1.0], [-1.0, -0.73, -0.26, -0.62, 1.0]]","[[1.0, 0.22, 0.33, -0.8, -0.81], [1.0, -0.18, -0.06, -0.97, -0.98], [-1.0, -0.69, -0.67, -0.77, -0.85], [-1.0, 0.0, -0.11, -0.19, -0.28], [-1.0, 0.06, -0.47, 1.0, 1.0]]","[-0.44, -0.6, -0.63, -0.47, -0.4]","[-0.66, 0.03, -0.27, -0.22, -0.85]","[-0.98, -1.0, -1.0, -0.91, -1.0]","[0.5, 0.03, -0.58, -0.39, -0.76]",plasma,hitter,medexp,athlete
0,1,-0.33,-0.52,"[-0.59, -0.5, -0.71, -1.0, -0.16]",plasma,"[[-0.66, -0.62, -0.67, -1.0, -0.62], [-0.08, -0.24, -0.5, -1.0, 0.06], [-0.68, -0.27, -0.45, -1.0, -0.59], [-0.53, 0.01, -0.24, 1.0, 0.06], [-0.29, -0.04, -0.34, -1.0, -0.25]]","[[-0.51, -0.72, -0.75, -0.62, -0.53], [-0.57, -0.65, -0.75, -0.66, -0.63], [-0.55, -0.67, -0.51, -0.69, -0.63], [-0.58, -0.29, -0.89, -0.33, -0.32], [-0.89, -0.92, -0.96, -0.91, -0.89]]","[[1.0, 0.05, -1.0, -0.68, -1.0], [1.0, -0.31, -0.67, -0.8, 1.0], [-1.0, -0.52, -1.0, -0.8, 1.0], [-1.0, -0.55, 0.17, -0.67, 1.0], [-1.0, -0.73, -0.26, -0.62, 1.0]]","[[1.0, 0.22, 0.33, -0.8, -0.81], [1.0, -0.18, -0.06, -0.97, -0.98], [-1.0, -0.69, -0.67, -0.77, -0.85], [-1.0, 0.0, -0.11, -0.19, -0.28], [-1.0, 0.06, -0.47, 1.0, 1.0]]","[-0.44, -0.6, -0.63, -0.47, -0.4]","[-0.66, 0.03, -0.27, -0.22, -0.85]","[-0.98, -1.0, -1.0, -0.91, -1.0]","[0.5, 0.03, -0.58, -0.39, -0.76]",plasma,hitter,medexp,athlete
0,2,-0.47,-0.14,"[-0.03, -0.11, -0.5, -1.0, -0.03]",plasma,"[[-0.66, -0.62, -0.67, -1.0, -0.62], [-0.08, -0.24, -0.5, -1.0, 0.06], [-0.68, -0.27, -0.45, -1.0, -0.59], [-0.53, 0.01, -0.24, 1.0, 0.06], [-0.29, -0.04, -0.34, -1.0, -0.25]]","[[-0.51, -0.72, -0.75, -0.62, -0.53], [-0.57, -0.65, -0.75, -0.66, -0.63], [-0.55, -0.67, -0.51, -0.69, -0.63], [-0.58, -0.29, -0.89, -0.33, -0.32], [-0.89, -0.92, -0.96, -0.91, -0.89]]","[[1.0, 0.05, -1.0, -0.68, -1.0], [1.0, -0.31, -0.67, -0.8, 1.0], [-1.0, -0.52, -1.0, -0.8, 1.0], [-1.0, -0.55, 0.17, -0.67, 1.0], [-1.0, -0.73, -0.26, -0.62, 1.0]]","[[1.0, 0.22, 0.33, -0.8, -0.81], [1.0, -0.18, -0.06, -0.97, -0.98], [-1.0, -0.69, -0.67, -0.77, -0.85], [-1.0, 0.0, -0.11, -0.19, -0.28], [-1.0, 0.06, -0.47, 1.0, 1.0]]","[-0.44, -0.6, -0.63, -0.47, -0.4]","[-0.66, 0.03, -0.27, -0.22, -0.85]","[-0.98, -1.0, -1.0, -0.91, -1.0]","[0.5, 0.03, -0.58, -0.39, -0.76]",plasma,hitter,medexp,athlete
0,3,-0.33,-0.52,"[-0.65, -0.66, -0.81, -1.0, 0.75]",plasma,"[[-0.66, -0.62, -0.67, -1.0, -0.62], [-0.08, -0.24, -0.5, -1.0, 0.06], [-0.68, -0.27, -0.45, -1.0, -0.59], [-0.53, 0.01, -0.24, 1.0, 0.06], [-0.29, -0.04, -0.34, -1.0, -0.25]]","[[-0.51, -0.72, -0.75, -0.62, -0.53], [-0.57, -0.65, -0.75, -0.66, -0.63], [-0.55, -0.67, -0.51, -0.69, -0.63], [-0.58, -0.29, -0.89, -0.33, -0.32], [-0.89, -0.92, -0.96, -0.91, -0.89]]","[[1.0, 0.05, -1.0, -0.68, -1.0], [1.0, -0.31, -0.67, -0.8, 1.0], [-1.0, -0.52, -1.0, -0.8, 1.0], [-1.0, -0.55, 0.17, -0.67, 1.0], [-1.0, -0.73, -0.26, -0.62, 1.0]]","[[1.0, 0.22, 0.33, -0.8, -0.81], [1.0, -0.18, -0.06, -0.97, -0.98], [-1.0, -0.69, -0.67, -0.77, -0.85], [-1.0, 0.0, -0.11, -0.19, -0.28], [-1.0, 0.06, -0.47, 1.0, 1.0]]","[-0.44, -0.6, -0.63, -0.47, -0.4]","[-0.66, 0.03, -0.27, -0.22, -0.85]","[-0.98, -1.0, -1.0, -0.91, -1.0]","[0.5, 0.03, -0.58, -0.39, -0.76]",plasma,hitter,medexp,athlete
0,4,-0.76,-0.42,"[-0.48, -0.04, -0.35, -1.0, -0.69]",plasma,"[[-0.66, -0.62, -0.67, -1.0, -0.62], [-0.08, -0.24, -0.5, -1.0, 0.06], [-0.68, -0.27, -0.45, -1.0, -0.59], [-0.53, 0.01, -0.24, 1.0, 0.06], [-0.29, -0.04, -0.34, -1.0, -0.25]]","[[-0.51, -0.72, -0.75, -0.62, -0.53], [-0.57, -0.65, -0.75, -0.66, -0.63], [-0.55, -0.67, -0.51, -0.69, -0.63], [-0.58, -0.29, -0.89, -0.33, -0.32], [-0.89, -0.92, -0.96, -0.91, -0.89]]","[[1.0, 0.05, -1.0, -0.68, -1.0], [1.0, -0.31, -0.67, -0.8, 1.0], [-1.0, -0.52, -1.0, -0.8, 1.0], [-1.0, -0.55, 0.17, -0.67, 1.0], [-1.0, -0.73, -0.26, -0.62, 1.0]]","[[1.0, 0.22, 0.33, -0.8, -0.81], [1.0, -0.18, -0.06, -0.97, -0.98], [-1.0, -0.69, -0.67, -0.77, -0.85], [-1.0, 0.0, -0.11, -0.19, -0.28], [-1.0, 0.06, -0.47, 1.0, 1.0]]","[-0.44, -0.6, -0.63, -0.47, -0.4]","[-0.66, 0.03, -0.27, -0.22, -0.85]","[-0.98, -1.0, -1.0, -0.91, -1.0]","[0.5, 0.03, -0.58, -0.39, -0.76]",plasma,hitter,medexp,athlete
1,0,-0.47,0.34,"[-0.68, -0.47, -0.53, -1.0, -0.03]",plasma,"[[0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.78, 1.0, 0.9, -0.84, 1.0], [-1.0, 1.0, 0.9, -0.73, 1.0], [0.04, -1.0, -1.0, 0.89, 1.0]]","[[-1.0, -0.51, 0.82, -0.68, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [1.0, 0.24, -0.26, -0.8, -1.0], [1.0, 0.85, -1.0, 0.04, -1.0], [1.0, 0.34, 0.17, -0.8, 1.0]]","[[0.19, 0.6, -0.91, -0.75, -0.03], [-0.21, 0.72, -0.26, -0.21, -0.13], [-0.03, 0.84, -0.7, -0.26, -0.26], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.31, 0.32, -0.87, -0.35, -0.87]]","[[-0.93, -0.95, -0.95, -0.93, 0.56], [-0.57, -0.76, -0.78, -0.52, -0.71], [-0.95, -0.97, -0.97, -0.92, 0.39], [-0.93, -0.93, -0.6, -0.83, 0.46], [-0.92, -0.95, -0.9, -0.79, 0.6]]","[0.47, 0.47, 0.47, 0.67, -0.24]","[-1.0, -0.98, -1.0, -0.99, -0.99]","[0.13, -0.24, 0.01, 0.08, 0.29]","[-0.21, -0.45, -0.62, -0.9, -1.0]",bone,medexp,fuel,algae
1,1,-0.72,-0.15,"[-0.05, -0.17, -0.15, -1.0, -0.06]",plasma,"[[0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.78, 1.0, 0.9, -0.84, 1.0], [-1.0, 1.0, 0.9, -0.73, 1.0], [0.04, -1.0, -1.0, 0.89, 1.0]]","[[-1.0, -0.51, 0.82, -0.68, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [1.0, 0.24, -0.26, -0.8, -1.0], [1.0, 0.85, -1.0, 0.04, -1.0], [1.0, 0.34, 0.17, -0.8, 1.0]]","[[0.19, 0.6, -0.91, -0.75, -0.03], [-0.21, 0.72, -0.26, -0.21, -0.13], [-0.03, 0.84, -0.7, -0.26, -0.26], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.31, 0.32, -0.87, -0.35, -0.87]]","[[-0.93, -0.95, -0.95, -0.93, 0.56], [-0.57, -0.76, -0.78, -0.52, -0.71], [-0.95, -0.97, -0.97, -0.92, 0.39], [-0.93, -0.93, -0.6, -0.83, 0.46], [-0.92, -0.95, -0.9, -0.79, 0.6]]","[0.47, 0.47, 0.47, 0.67, -0.24]","[-1.0, -0.98, -1.0, -0.99, -0.99]","[0.13, -0.24, 0.01, 0.08, 0.29]","[-0.21, -0.45, -0.62, -0.9, -1.0]",bone,medexp,fuel,algae
1,2,0.4,0.75,"[-0.75, -0.81, -0.69, 1.0, 0.75]",plasma,"[[0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.78, 1.0, 0.9, -0.84, 1.0], [-1.0, 1.0, 0.9, -0.73, 1.0], [0.04, -1.0, -1.0, 0.89, 1.0]]","[[-1.0, -0.51, 0.82, -0.68, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [1.0, 0.24, -0.26, -0.8, -1.0], [1.0, 0.85, -1.0, 0.04, -1.0], [1.0, 0.34, 0.17, -0.8, 1.0]]","[[0.19, 0.6, -0.91, -0.75, -0.03], [-0.21, 0.72, -0.26, -0.21, -0.13], [-0.03, 0.84, -0.7, -0.26, -0.26], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.31, 0.32, -0.87, -0.35, -0.87]]","[[-0.93, -0.95, -0.95, -0.93, 0.56], [-0.57, -0.76, -0.78, -0.52, -0.71], [-0.95, -0.97, -0.97, -0.92, 0.39], [-0.93, -0.93, -0.6, -0.83, 0.46], [-0.92, -0.95, -0.9, -0.79, 0.6]]","[0.47, 0.47, 0.47, 0.67, -0.24]","[-1.0, -0.98, -1.0, -0.99, -0.99]","[0.13, -0.24, 0.01, 0.08, 0.29]","[-0.21, -0.45, -0.62, -0.9, -1.0]",bone,medexp,fuel,algae
1,3,-0.35,-0.52,"[-0.2, 0.17, -0.27, -1.0, -0.62]",plasma,"[[0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.78, 1.0, 0.9, -0.84, 1.0], [-1.0, 1.0, 0.9, -0.73, 1.0], [0.04, -1.0, -1.0, 0.89, 1.0]]","[[-1.0, -0.51, 0.82, -0.68, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [1.0, 0.24, -0.26, -0.8, -1.0], [1.0, 0.85, -1.0, 0.04, -1.0], [1.0, 0.34, 0.17, -0.8, 1.0]]","[[0.19, 0.6, -0.91, -0.75, -0.03], [-0.21, 0.72, -0.26, -0.21, -0.13], [-0.03, 0.84, -0.7, -0.26, -0.26], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.31, 0.32, -0.87, -0.35, -0.87]]","[[-0.93, -0.95, -0.95, -0.93, 0.56], [-0.57, -0.76, -0.78, -0.52, -0.71], [-0.95, -0.97, -0.97, -0.92, 0.39], [-0.93, -0.93, -0.6, -0.83, 0.46], [-0.92, -0.95, -0.9, -0.79, 0.6]]","[0.47, 0.47, 0.47, 0.67, -0.24]","[-1.0, -0.98, -1.0, -0.99, -0.99]","[0.13, -0.24, 0.01, 0.08, 0.29]","[-0.21, -0.45, -0.62, -0.9, -1.0]",bone,medexp,fuel,algae
1,4,-0.91,-0.52,"[-0.49, 0.01, -0.21, -1.0, -0.09]",plasma,"[[0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.78, 1.0, 0.9, -0.84, 1.0], [-1.0, 1.0, 0.9, -0.73, 1.0], [0.04, -1.0, -1.0, 0.89, 1.0]]","[[-1.0, -0.51, 0.82, -0.68, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [1.0, 0.24, -0.26, -0.8, -1.0], [1.0, 0.85, -1.0, 0.04, -1.0], [1.0, 0.34, 0.17, -0.8, 1.0]]","[[0.19, 0.6, -0.91, -0.75, -0.03], [-0.21, 0.72, -0.26, -0.21, -0.13], [-0.03, 0.84, -0.7, -0.26, -0.26], [-0.23, 0.49, -0.71, -0.81, 0.31], [0.31, 0.32, -0.87, -0.35, -0.87]]","[[-0.93, -0.95, -0.95, -0.93, 0.56], [-0.57, -0.76, -0.78, -0.52, -0.71], [-0.95, -0.97, -0.97, -0.92, 0.39], [-0.93, -0.93, -0.6, -0.83, 0.46], [-0.92, -0.95, -0.9, -0.79, 0.6]]","[0.47, 0.47, 0.47, 0.67, -0.24]","[-1.0, -0.98, -1.0, -0.99, -0.99]","[0.13, -0.24, 0.01, 0.08, 0.29]","[-0.21, -0.45, -0.62, -0.9, -1.0]",bone,medexp,fuel,algae
