run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,1.0,-0.66,"[-1.0, 1.0, -1.0, 0.01, -0.3]",prefecture,"[[1.0, 0.93, -0.67, 0.32, -1.0], [1.0, 0.18, -0.02, -0.56, 1.0], [1.0, 0.01, -0.67, -0.8, 1.0], [1.0, -0.06, -0.57, -0.56, 1.0], [1.0, -0.15, -0.57, -0.8, 1.0]]","[[0.1, -0.42, -0.67, -0.79, -0.8], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.2, -0.31, -0.64, -0.38, -0.4], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.6, 0.34, -0.88, -0.07, -0.04]]","[[-0.73, -0.54, -0.77, -0.35, -0.68], [-0.91, -0.88, -0.94, -0.88, -0.88], [-1.0, -1.0, -1.0, -0.97, -0.96], [-0.82, -0.69, -0.75, -0.5, -0.5], [-0.77, -0.96, -0.94, -0.88, -0.88]]","[[-1.0, -0.3, -0.19, 0.0, -0.13], [1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, 0.76, 0.56, -0.75, -0.56], [-1.0, -0.52, 0.19, -0.04, -0.13]]","[-0.99, -0.9, -1.0, -1.0, -1.0]","[-0.45, -0.88, -0.27, -0.86, 0.57]","[-0.65, -0.97, -0.99, -0.78, -0.95]","[-0.82, 0.29, -0.71, -0.42, -0.38]",medexp,crime,cpu,homeless
0,1,0.49,0.95,"[1.0, 0.87, -0.29, 0.13, 0.07]",prefecture,"[[1.0, 0.93, -0.67, 0.32, -1.0], [1.0, 0.18, -0.02, -0.56, 1.0], [1.0, 0.01, -0.67, -0.8, 1.0], [1.0, -0.06, -0.57, -0.56, 1.0], [1.0, -0.15, -0.57, -0.8, 1.0]]","[[0.1, -0.42, -0.67, -0.79, -0.8], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.2, -0.31, -0.64, -0.38, -0.4], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.6, 0.34, -0.88, -0.07, -0.04]]","[[-0.73, -0.54, -0.77, -0.35, -0.68], [-0.91, -0.88, -0.94, -0.88, -0.88], [-1.0, -1.0, -1.0, -0.97, -0.96], [-0.82, -0.69, -0.75, -0.5, -0.5], [-0.77, -0.96, -0.94, -0.88, -0.88]]","[[-1.0, -0.3, -0.19, 0.0, -0.13], [1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, 0.76, 0.56, -0.75, -0.56], [-1.0, -0.52, 0.19, -0.04, -0.13]]","[-0.99, -0.9, -1.0, -1.0, -1.0]","[-0.45, -0.88, -0.27, -0.86, 0.57]","[-0.65, -0.97, -0.99, -0.78, -0.95]","[-0.82, 0.29, -0.71, -0.42, -0.38]",medexp,crime,cpu,homeless
0,2,-0.9,1.0,"[-1.0, -1.0, 0.51, -0.42, -0.72]",prefecture,"[[1.0, 0.93, -0.67, 0.32, -1.0], [1.0, 0.18, -0.02, -0.56, 1.0], [1.0, 0.01, -0.67, -0.8, 1.0], [1.0, -0.06, -0.57, -0.56, 1.0], [1.0, -0.15, -0.57, -0.8, 1.0]]","[[0.1, -0.42, -0.67, -0.79, -0.8], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.2, -0.31, -0.64, -0.38, -0.4], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.6, 0.34, -0.88, -0.07, -0.04]]","[[-0.73, -0.54, -0.77, -0.35, -0.68], [-0.91, -0.88, -0.94, -0.88, -0.88], [-1.0, -1.0, -1.0, -0.97, -0.96], [-0.82, -0.69, -0.75, -0.5, -0.5], [-0.77, -0.96, -0.94, -0.88, -0.88]]","[[-1.0, -0.3, -0.19, 0.0, -0.13], [1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, 0.76, 0.56, -0.75, -0.56], [-1.0, -0.52, 0.19, -0.04, -0.13]]","[-0.99, -0.9, -1.0, -1.0, -1.0]","[-0.45, -0.88, -0.27, -0.86, 0.57]","[-0.65, -0.97, -0.99, -0.78, -0.95]","[-0.82, 0.29, -0.71, -0.42, -0.38]",medexp,crime,cpu,homeless
0,3,-0.47,-0.5,"[-1.0, -1.0, -0.47, -0.02, 0.35]",prefecture,"[[1.0, 0.93, -0.67, 0.32, -1.0], [1.0, 0.18, -0.02, -0.56, 1.0], [1.0, 0.01, -0.67, -0.8, 1.0], [1.0, -0.06, -0.57, -0.56, 1.0], [1.0, -0.15, -0.57, -0.8, 1.0]]","[[0.1, -0.42, -0.67, -0.79, -0.8], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.2, -0.31, -0.64, -0.38, -0.4], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.6, 0.34, -0.88, -0.07, -0.04]]","[[-0.73, -0.54, -0.77, -0.35, -0.68], [-0.91, -0.88, -0.94, -0.88, -0.88], [-1.0, -1.0, -1.0, -0.97, -0.96], [-0.82, -0.69, -0.75, -0.5, -0.5], [-0.77, -0.96, -0.94, -0.88, -0.88]]","[[-1.0, -0.3, -0.19, 0.0, -0.13], [1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, 0.76, 0.56, -0.75, -0.56], [-1.0, -0.52, 0.19, -0.04, -0.13]]","[-0.99, -0.9, -1.0, -1.0, -1.0]","[-0.45, -0.88, -0.27, -0.86, 0.57]","[-0.65, -0.97, -0.99, -0.78, -0.95]","[-0.82, 0.29, -0.71, -0.42, -0.38]",medexp,crime,cpu,homeless
0,4,-0.83,-0.3,"[-1.0, -0.91, 0.31, -0.3, 0.12]",prefecture,"[[1.0, 0.93, -0.67, 0.32, -1.0], [1.0, 0.18, -0.02, -0.56, 1.0], [1.0, 0.01, -0.67, -0.8, 1.0], [1.0, -0.06, -0.57, -0.56, 1.0], [1.0, -0.15, -0.57, -0.8, 1.0]]","[[0.1, -0.42, -0.67, -0.79, -0.8], [0.46, -1.0, -0.77, -0.95, -0.97], [-0.2, -0.31, -0.64, -0.38, -0.4], [-0.13, -0.16, -0.81, -1.0, -0.98], [-0.6, 0.34, -0.88, -0.07, -0.04]]","[[-0.73, -0.54, -0.77, -0.35, -0.68], [-0.91, -0.88, -0.94, -0.88, -0.88], [-1.0, -1.0, -1.0, -0.97, -0.96], [-0.82, -0.69, -0.75, -0.5, -0.5], [-0.77, -0.96, -0.94, -0.88, -0.88]]","[[-1.0, -0.3, -0.19, 0.0, -0.13], [1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, 0.76, 0.56, -0.75, -0.56], [-1.0, -0.52, 0.19, -0.04, -0.13]]","[-0.99, -0.9, -1.0, -1.0, -1.0]","[-0.45, -0.88, -0.27, -0.86, 0.57]","[-0.65, -0.97, -0.99, -0.78, -0.95]","[-0.82, 0.29, -0.71, -0.42, -0.38]",medexp,crime,cpu,homeless
1,0,0.24,0.89,"[1.0, -0.99, -0.94, -0.18, -0.3]",prefecture,"[[-0.69, 0.0, -1.0, -0.6, -0.56], [-0.08, 0.33, -1.0, -0.73, 0.11], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.44, -0.33, -0.04, -0.65, -0.33], [-1.0, 0.33, -1.0, -0.87, -0.56]]","[[-0.8, -1.0, -0.99, -0.89, -0.98], [-1.0, -0.16, -1.0, -0.9, -0.98], [-0.99, -0.99, -1.0, -0.9, -0.98], [-0.42, -0.28, -1.0, -0.91, -0.96], [0.67, -0.96, -0.96, -0.77, -0.96]]","[[-0.65, -0.63, -0.83, -0.64, -0.69], [-0.23, -0.25, -0.43, -0.22, -0.3], [-0.55, -0.52, -0.79, -0.67, -0.8], [-0.16, -0.14, -0.39, -0.15, -0.51], [-0.71, -0.78, -0.88, -0.67, -0.71]]","[[0.66, -0.18, -0.46, -0.44, -0.23], [-0.41, -0.81, -0.95, -0.95, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18], [-0.19, -0.8, -0.83, -0.87, -0.85], [0.47, -1.0, -0.69, -0.88, -0.83]]","[-0.7, -0.62, -0.66, -0.21, -0.41]","[-1.0, -1.0, -1.0, -0.99, -0.95]","[-0.12, -0.34, 0.17, -0.34, 0.39]","[-0.15, -0.82, 1.0, -0.43, -0.86]",highway,news,dropout,movie
1,1,-0.9,0.47,"[-1.0, -1.0, 0.39, 0.56, -0.44]",prefecture,"[[-0.69, 0.0, -1.0, -0.6, -0.56], [-0.08, 0.33, -1.0, -0.73, 0.11], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.44, -0.33, -0.04, -0.65, -0.33], [-1.0, 0.33, -1.0, -0.87, -0.56]]","[[-0.8, -1.0, -0.99, -0.89, -0.98], [-1.0, -0.16, -1.0, -0.9, -0.98], [-0.99, -0.99, -1.0, -0.9, -0.98], [-0.42, -0.28, -1.0, -0.91, -0.96], [0.67, -0.96, -0.96, -0.77, -0.96]]","[[-0.65, -0.63, -0.83, -0.64, -0.69], [-0.23, -0.25, -0.43, -0.22, -0.3], [-0.55, -0.52, -0.79, -0.67, -0.8], [-0.16, -0.14, -0.39, -0.15, -0.51], [-0.71, -0.78, -0.88, -0.67, -0.71]]","[[0.66, -0.18, -0.46, -0.44, -0.23], [-0.41, -0.81, -0.95, -0.95, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18], [-0.19, -0.8, -0.83, -0.87, -0.85], [0.47, -1.0, -0.69, -0.88, -0.83]]","[-0.7, -0.62, -0.66, -0.21, -0.41]","[-1.0, -1.0, -1.0, -0.99, -0.95]","[-0.12, -0.34, 0.17, -0.34, 0.39]","[-0.15, -0.82, 1.0, -0.43, -0.86]",highway,news,dropout,movie
1,2,-0.59,0.1,"[1.0, -1.0, 0.12, -0.2, -0.67]",prefecture,"[[-0.69, 0.0, -1.0, -0.6, -0.56], [-0.08, 0.33, -1.0, -0.73, 0.11], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.44, -0.33, -0.04, -0.65, -0.33], [-1.0, 0.33, -1.0, -0.87, -0.56]]","[[-0.8, -1.0, -0.99, -0.89, -0.98], [-1.0, -0.16, -1.0, -0.9, -0.98], [-0.99, -0.99, -1.0, -0.9, -0.98], [-0.42, -0.28, -1.0, -0.91, -0.96], [0.67, -0.96, -0.96, -0.77, -0.96]]","[[-0.65, -0.63, -0.83, -0.64, -0.69], [-0.23, -0.25, -0.43, -0.22, -0.3], [-0.55, -0.52, -0.79, -0.67, -0.8], [-0.16, -0.14, -0.39, -0.15, -0.51], [-0.71, -0.78, -0.88, -0.67, -0.71]]","[[0.66, -0.18, -0.46, -0.44, -0.23], [-0.41, -0.81, -0.95, -0.95, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18], [-0.19, -0.8, -0.83, -0.87, -0.85], [0.47, -1.0, -0.69, -0.88, -0.83]]","[-0.7, -0.62, -0.66, -0.21, -0.41]","[-1.0, -1.0, -1.0, -0.99, -0.95]","[-0.12, -0.34, 0.17, -0.34, 0.39]","[-0.15, -0.82, 1.0, -0.43, -0.86]",highway,news,dropout,movie
1,3,-0.75,0.07,"[1.0, -1.0, -0.75, -0.54, -0.12]",prefecture,"[[-0.69, 0.0, -1.0, -0.6, -0.56], [-0.08, 0.33, -1.0, -0.73, 0.11], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.44, -0.33, -0.04, -0.65, -0.33], [-1.0, 0.33, -1.0, -0.87, -0.56]]","[[-0.8, -1.0, -0.99, -0.89, -0.98], [-1.0, -0.16, -1.0, -0.9, -0.98], [-0.99, -0.99, -1.0, -0.9, -0.98], [-0.42, -0.28, -1.0, -0.91, -0.96], [0.67, -0.96, -0.96, -0.77, -0.96]]","[[-0.65, -0.63, -0.83, -0.64, -0.69], [-0.23, -0.25, -0.43, -0.22, -0.3], [-0.55, -0.52, -0.79, -0.67, -0.8], [-0.16, -0.14, -0.39, -0.15, -0.51], [-0.71, -0.78, -0.88, -0.67, -0.71]]","[[0.66, -0.18, -0.46, -0.44, -0.23], [-0.41, -0.81, -0.95, -0.95, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18], [-0.19, -0.8, -0.83, -0.87, -0.85], [0.47, -1.0, -0.69, -0.88, -0.83]]","[-0.7, -0.62, -0.66, -0.21, -0.41]","[-1.0, -1.0, -1.0, -0.99, -0.95]","[-0.12, -0.34, 0.17, -0.34, 0.39]","[-0.15, -0.82, 1.0, -0.43, -0.86]",highway,news,dropout,movie
1,4,0.66,0.37,"[1.0, -0.99, -0.67, 0.11, 0.02]",prefecture,"[[-0.69, 0.0, -1.0, -0.6, -0.56], [-0.08, 0.33, -1.0, -0.73, 0.11], [-0.65, 0.0, -1.0, -0.6, -0.11], [-0.44, -0.33, -0.04, -0.65, -0.33], [-1.0, 0.33, -1.0, -0.87, -0.56]]","[[-0.8, -1.0, -0.99, -0.89, -0.98], [-1.0, -0.16, -1.0, -0.9, -0.98], [-0.99, -0.99, -1.0, -0.9, -0.98], [-0.42, -0.28, -1.0, -0.91, -0.96], [0.67, -0.96, -0.96, -0.77, -0.96]]","[[-0.65, -0.63, -0.83, -0.64, -0.69], [-0.23, -0.25, -0.43, -0.22, -0.3], [-0.55, -0.52, -0.79, -0.67, -0.8], [-0.16, -0.14, -0.39, -0.15, -0.51], [-0.71, -0.78, -0.88, -0.67, -0.71]]","[[0.66, -0.18, -0.46, -0.44, -0.23], [-0.41, -0.81, -0.95, -0.95, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18], [-0.19, -0.8, -0.83, -0.87, -0.85], [0.47, -1.0, -0.69, -0.88, -0.83]]","[-0.7, -0.62, -0.66, -0.21, -0.41]","[-1.0, -1.0, -1.0, -0.99, -0.95]","[-0.12, -0.34, 0.17, -0.34, 0.39]","[-0.15, -0.82, 1.0, -0.43, -0.86]",highway,news,dropout,movie
