run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.5,1.950569,"[-0.66, -0.49, -0.75, 0.16, 0.22]",abalone,"[[-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 0.25, 1.0, -0.6, -0.06], [1.0, -0.25, 0.5, 1.0, -0.27], [1.0, 0.25, 1.0, 1.0, -0.06], [1.0, 0.25, 1.0, 1.0, -0.14]]","[[-0.21, -0.05, -0.12, -1.0, -0.22], [-0.23, 0.0, -0.2, -1.0, -0.75], [-0.55, -0.4, -0.49, -1.0, -0.25], [-0.73, -0.44, -0.5, -1.0, -0.78], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.57, -0.6, -0.85, -0.51, -0.47], [-0.64, -0.77, -0.84, -0.7, -0.62], [-0.96, -0.97, -0.96, -0.97, -0.97], [-0.93, -0.96, -0.91, -0.97, -0.97], [-0.96, -0.94, -0.97, -0.95, -0.94]]","[[-0.89, -0.94, -0.99, -0.91, -0.84], [-0.77, -0.85, -0.94, -0.84, -0.91], [-0.4, -0.49, -0.58, -0.31, -0.71], [-0.25, -0.33, -0.36, -0.16, -0.21], [0.2, 0.18, -0.28, 0.17, -0.06]]","[0.23, 0.55, -0.79, -0.16, -0.23]","[-0.03, -0.69, -0.26, -0.85, -0.37]","[-0.35, -0.85, -0.98, -0.98, -0.96]","[-0.63, 1.0, -0.53, -0.42, -1.0]",recycle,plasma,hitter,dropout
0,1,-0.43,0.98099834,"[-0.34, -0.0, -0.73, 0.53, 0.55]",abalone,"[[-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 0.25, 1.0, -0.6, -0.06], [1.0, -0.25, 0.5, 1.0, -0.27], [1.0, 0.25, 1.0, 1.0, -0.06], [1.0, 0.25, 1.0, 1.0, -0.14]]","[[-0.21, -0.05, -0.12, -1.0, -0.22], [-0.23, 0.0, -0.2, -1.0, -0.75], [-0.55, -0.4, -0.49, -1.0, -0.25], [-0.73, -0.44, -0.5, -1.0, -0.78], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.57, -0.6, -0.85, -0.51, -0.47], [-0.64, -0.77, -0.84, -0.7, -0.62], [-0.96, -0.97, -0.96, -0.97, -0.97], [-0.93, -0.96, -0.91, -0.97, -0.97], [-0.96, -0.94, -0.97, -0.95, -0.94]]","[[-0.89, -0.94, -0.99, -0.91, -0.84], [-0.77, -0.85, -0.94, -0.84, -0.91], [-0.4, -0.49, -0.58, -0.31, -0.71], [-0.25, -0.33, -0.36, -0.16, -0.21], [0.2, 0.18, -0.28, 0.17, -0.06]]","[0.23, 0.55, -0.79, -0.16, -0.23]","[-0.03, -0.69, -0.26, -0.85, -0.37]","[-0.35, -0.85, -0.98, -0.98, -0.96]","[-0.63, 1.0, -0.53, -0.42, -1.0]",recycle,plasma,hitter,dropout
0,2,-0.79,1.4704864,"[-0.99, -0.99, -0.96, -0.82, -0.77]",abalone,"[[-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 0.25, 1.0, -0.6, -0.06], [1.0, -0.25, 0.5, 1.0, -0.27], [1.0, 0.25, 1.0, 1.0, -0.06], [1.0, 0.25, 1.0, 1.0, -0.14]]","[[-0.21, -0.05, -0.12, -1.0, -0.22], [-0.23, 0.0, -0.2, -1.0, -0.75], [-0.55, -0.4, -0.49, -1.0, -0.25], [-0.73, -0.44, -0.5, -1.0, -0.78], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.57, -0.6, -0.85, -0.51, -0.47], [-0.64, -0.77, -0.84, -0.7, -0.62], [-0.96, -0.97, -0.96, -0.97, -0.97], [-0.93, -0.96, -0.91, -0.97, -0.97], [-0.96, -0.94, -0.97, -0.95, -0.94]]","[[-0.89, -0.94, -0.99, -0.91, -0.84], [-0.77, -0.85, -0.94, -0.84, -0.91], [-0.4, -0.49, -0.58, -0.31, -0.71], [-0.25, -0.33, -0.36, -0.16, -0.21], [0.2, 0.18, -0.28, 0.17, -0.06]]","[0.23, 0.55, -0.79, -0.16, -0.23]","[-0.03, -0.69, -0.26, -0.85, -0.37]","[-0.35, -0.85, -0.98, -0.98, -0.96]","[-0.63, 1.0, -0.53, -0.42, -1.0]",recycle,plasma,hitter,dropout
0,3,-0.57,3.5029495,"[-0.84, -0.76, -0.78, -0.18, -0.16]",abalone,"[[-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 0.25, 1.0, -0.6, -0.06], [1.0, -0.25, 0.5, 1.0, -0.27], [1.0, 0.25, 1.0, 1.0, -0.06], [1.0, 0.25, 1.0, 1.0, -0.14]]","[[-0.21, -0.05, -0.12, -1.0, -0.22], [-0.23, 0.0, -0.2, -1.0, -0.75], [-0.55, -0.4, -0.49, -1.0, -0.25], [-0.73, -0.44, -0.5, -1.0, -0.78], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.57, -0.6, -0.85, -0.51, -0.47], [-0.64, -0.77, -0.84, -0.7, -0.62], [-0.96, -0.97, -0.96, -0.97, -0.97], [-0.93, -0.96, -0.91, -0.97, -0.97], [-0.96, -0.94, -0.97, -0.95, -0.94]]","[[-0.89, -0.94, -0.99, -0.91, -0.84], [-0.77, -0.85, -0.94, -0.84, -0.91], [-0.4, -0.49, -0.58, -0.31, -0.71], [-0.25, -0.33, -0.36, -0.16, -0.21], [0.2, 0.18, -0.28, 0.17, -0.06]]","[0.23, 0.55, -0.79, -0.16, -0.23]","[-0.03, -0.69, -0.26, -0.85, -0.37]","[-0.35, -0.85, -0.98, -0.98, -0.96]","[-0.63, 1.0, -0.53, -0.42, -1.0]",recycle,plasma,hitter,dropout
0,4,0.36,0.35651034,"[-0.12, 0.01, -0.69, 0.58, 0.55]",abalone,"[[-1.0, -0.5, -0.5, -1.0, -0.02], [-1.0, 0.25, 1.0, -0.6, -0.06], [1.0, -0.25, 0.5, 1.0, -0.27], [1.0, 0.25, 1.0, 1.0, -0.06], [1.0, 0.25, 1.0, 1.0, -0.14]]","[[-0.21, -0.05, -0.12, -1.0, -0.22], [-0.23, 0.0, -0.2, -1.0, -0.75], [-0.55, -0.4, -0.49, -1.0, -0.25], [-0.73, -0.44, -0.5, -1.0, -0.78], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.57, -0.6, -0.85, -0.51, -0.47], [-0.64, -0.77, -0.84, -0.7, -0.62], [-0.96, -0.97, -0.96, -0.97, -0.97], [-0.93, -0.96, -0.91, -0.97, -0.97], [-0.96, -0.94, -0.97, -0.95, -0.94]]","[[-0.89, -0.94, -0.99, -0.91, -0.84], [-0.77, -0.85, -0.94, -0.84, -0.91], [-0.4, -0.49, -0.58, -0.31, -0.71], [-0.25, -0.33, -0.36, -0.16, -0.21], [0.2, 0.18, -0.28, 0.17, -0.06]]","[0.23, 0.55, -0.79, -0.16, -0.23]","[-0.03, -0.69, -0.26, -0.85, -0.37]","[-0.35, -0.85, -0.98, -0.98, -0.96]","[-0.63, 1.0, -0.53, -0.42, -1.0]",recycle,plasma,hitter,dropout
1,0,-0.36,-0.26257038,"[-0.58, -0.53, -0.74, 0.09, 0.12]",abalone,"[[-0.63, 0.52, -0.88, -0.15, -0.34], [-1.0, 0.76, -0.81, 0.13, -0.5], [-0.98, 0.6, -0.61, -0.57, 0.0], [-0.53, 0.84, -0.96, 0.42, -0.34], [-0.8, 0.28, -0.94, -0.97, -1.0]]","[[-0.97, 0.73, -1.0, -0.88, -0.98], [-0.97, -0.97, -0.99, -0.88, -0.97], [-0.99, -0.99, -0.99, -0.9, -0.98], [0.46, -1.0, -0.98, -0.8, -0.95], [-0.99, 0.11, -0.99, -0.87, -0.96]]","[[0.0, 1.0, 0.0, 1.0, -0.25], [0.5, 1.0, 0.0, 0.93, 0.37], [-1.0, -1.0, -1.0, -0.93, -0.65], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -0.5, -0.5, -0.91, -0.92]]","[[-0.35, -0.49, -0.71, -0.47, -0.71], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.76, -0.76, -0.86, -0.76, -0.89], [-0.77, -0.79, -0.81, -0.84, -1.0], [-0.52, -0.52, -0.7, -0.43, -0.66]]","[-0.48, -0.48, 1.0, 0.33, -0.76]","[-1.0, -1.0, -1.0, -0.89, -1.0]","[-0.92, -0.85, 0.98, -0.33, -0.06]","[0.03, -0.04, 0.09, 0.1, 0.1]",rebellion,news,mammal,dropout
1,1,-0.36,2.4577906,"[-0.29, -0.13, -0.71, 0.45, 0.49]",abalone,"[[-0.63, 0.52, -0.88, -0.15, -0.34], [-1.0, 0.76, -0.81, 0.13, -0.5], [-0.98, 0.6, -0.61, -0.57, 0.0], [-0.53, 0.84, -0.96, 0.42, -0.34], [-0.8, 0.28, -0.94, -0.97, -1.0]]","[[-0.97, 0.73, -1.0, -0.88, -0.98], [-0.97, -0.97, -0.99, -0.88, -0.97], [-0.99, -0.99, -0.99, -0.9, -0.98], [0.46, -1.0, -0.98, -0.8, -0.95], [-0.99, 0.11, -0.99, -0.87, -0.96]]","[[0.0, 1.0, 0.0, 1.0, -0.25], [0.5, 1.0, 0.0, 0.93, 0.37], [-1.0, -1.0, -1.0, -0.93, -0.65], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -0.5, -0.5, -0.91, -0.92]]","[[-0.35, -0.49, -0.71, -0.47, -0.71], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.76, -0.76, -0.86, -0.76, -0.89], [-0.77, -0.79, -0.81, -0.84, -1.0], [-0.52, -0.52, -0.7, -0.43, -0.66]]","[-0.48, -0.48, 1.0, 0.33, -0.76]","[-1.0, -1.0, -1.0, -0.89, -1.0]","[-0.92, -0.85, 0.98, -0.33, -0.06]","[0.03, -0.04, 0.09, 0.1, 0.1]",rebellion,news,mammal,dropout
1,2,-0.21,1.6891055,"[-0.18, 0.07, -0.69, 0.61, 0.58]",abalone,"[[-0.63, 0.52, -0.88, -0.15, -0.34], [-1.0, 0.76, -0.81, 0.13, -0.5], [-0.98, 0.6, -0.61, -0.57, 0.0], [-0.53, 0.84, -0.96, 0.42, -0.34], [-0.8, 0.28, -0.94, -0.97, -1.0]]","[[-0.97, 0.73, -1.0, -0.88, -0.98], [-0.97, -0.97, -0.99, -0.88, -0.97], [-0.99, -0.99, -0.99, -0.9, -0.98], [0.46, -1.0, -0.98, -0.8, -0.95], [-0.99, 0.11, -0.99, -0.87, -0.96]]","[[0.0, 1.0, 0.0, 1.0, -0.25], [0.5, 1.0, 0.0, 0.93, 0.37], [-1.0, -1.0, -1.0, -0.93, -0.65], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -0.5, -0.5, -0.91, -0.92]]","[[-0.35, -0.49, -0.71, -0.47, -0.71], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.76, -0.76, -0.86, -0.76, -0.89], [-0.77, -0.79, -0.81, -0.84, -1.0], [-0.52, -0.52, -0.7, -0.43, -0.66]]","[-0.48, -0.48, 1.0, 0.33, -0.76]","[-1.0, -1.0, -1.0, -0.89, -1.0]","[-0.92, -0.85, 0.98, -0.33, -0.06]","[0.03, -0.04, 0.09, 0.1, 0.1]",rebellion,news,mammal,dropout
1,3,-0.29,1.0681508,"[-0.71, -0.67, -0.77, -0.01, 0.07]",abalone,"[[-0.63, 0.52, -0.88, -0.15, -0.34], [-1.0, 0.76, -0.81, 0.13, -0.5], [-0.98, 0.6, -0.61, -0.57, 0.0], [-0.53, 0.84, -0.96, 0.42, -0.34], [-0.8, 0.28, -0.94, -0.97, -1.0]]","[[-0.97, 0.73, -1.0, -0.88, -0.98], [-0.97, -0.97, -0.99, -0.88, -0.97], [-0.99, -0.99, -0.99, -0.9, -0.98], [0.46, -1.0, -0.98, -0.8, -0.95], [-0.99, 0.11, -0.99, -0.87, -0.96]]","[[0.0, 1.0, 0.0, 1.0, -0.25], [0.5, 1.0, 0.0, 0.93, 0.37], [-1.0, -1.0, -1.0, -0.93, -0.65], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -0.5, -0.5, -0.91, -0.92]]","[[-0.35, -0.49, -0.71, -0.47, -0.71], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.76, -0.76, -0.86, -0.76, -0.89], [-0.77, -0.79, -0.81, -0.84, -1.0], [-0.52, -0.52, -0.7, -0.43, -0.66]]","[-0.48, -0.48, 1.0, 0.33, -0.76]","[-1.0, -1.0, -1.0, -0.89, -1.0]","[-0.92, -0.85, 0.98, -0.33, -0.06]","[0.03, -0.04, 0.09, 0.1, 0.1]",rebellion,news,mammal,dropout
1,4,-0.43,1.21351,"[-0.34, -0.07, -0.69, 0.51, 0.53]",abalone,"[[-0.63, 0.52, -0.88, -0.15, -0.34], [-1.0, 0.76, -0.81, 0.13, -0.5], [-0.98, 0.6, -0.61, -0.57, 0.0], [-0.53, 0.84, -0.96, 0.42, -0.34], [-0.8, 0.28, -0.94, -0.97, -1.0]]","[[-0.97, 0.73, -1.0, -0.88, -0.98], [-0.97, -0.97, -0.99, -0.88, -0.97], [-0.99, -0.99, -0.99, -0.9, -0.98], [0.46, -1.0, -0.98, -0.8, -0.95], [-0.99, 0.11, -0.99, -0.87, -0.96]]","[[0.0, 1.0, 0.0, 1.0, -0.25], [0.5, 1.0, 0.0, 0.93, 0.37], [-1.0, -1.0, -1.0, -0.93, -0.65], [1.0, 1.0, 1.0, -0.94, -0.67], [-0.5, -0.5, -0.5, -0.91, -0.92]]","[[-0.35, -0.49, -0.71, -0.47, -0.71], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.76, -0.76, -0.86, -0.76, -0.89], [-0.77, -0.79, -0.81, -0.84, -1.0], [-0.52, -0.52, -0.7, -0.43, -0.66]]","[-0.48, -0.48, 1.0, 0.33, -0.76]","[-1.0, -1.0, -1.0, -0.89, -1.0]","[-0.92, -0.85, 0.98, -0.33, -0.06]","[0.03, -0.04, 0.09, 0.1, 0.1]",rebellion,news,mammal,dropout
