run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.14,1.6963518,"[0.17, 1.0, 1.0, -0.01, 1.0]",bone,"[[1.0, 0.52, -0.91, 0.26, 0.85], [-0.51, 0.6, -0.87, 0.83, 0.7], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.59, 0.04, -0.91, -0.13, -0.77]]","[[-0.99, -0.99, -0.99, -0.84, -0.97], [0.77, -0.98, -0.99, -0.87, -0.98], [-0.73, -0.75, -0.97, -0.89, -0.97], [-0.94, 0.59, -1.0, -0.88, -0.98], [-0.96, 0.26, -1.0, -0.89, -0.98]]","[[1.0, -1.0, -0.59, -1.0, -0.21], [-1.0, -1.0, -0.47, -0.3, 0.16], [-1.0, 1.0, -1.0, 0.01, -0.3], [-1.0, -1.0, 0.51, -0.42, -0.72], [1.0, -1.0, -0.71, 0.12, 0.3]]","[[0.3, 0.35, -0.98, -0.45, -0.48], [-0.31, -0.21, -0.96, -0.98, -0.26], [0.31, 0.32, -0.87, -0.35, -0.87], [0.77, -0.02, -0.76, -0.38, -0.75], [-0.03, 0.84, -0.7, -0.26, -0.26]]","[0.52, 0.0, 0.81, -0.76, -0.29]","[-0.98, -1.0, -1.0, -1.0, -1.0]","[-0.29, -0.88, 1.0, -0.9, -0.49]","[0.45, -0.59, 0.29, 0.42, 0.01]",rebellion,news,prefecture,fuel
0,1,0.75,0.7627123,"[0.26, 1.0, -0.05, -0.71, -1.0]",bone,"[[1.0, 0.52, -0.91, 0.26, 0.85], [-0.51, 0.6, -0.87, 0.83, 0.7], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.59, 0.04, -0.91, -0.13, -0.77]]","[[-0.99, -0.99, -0.99, -0.84, -0.97], [0.77, -0.98, -0.99, -0.87, -0.98], [-0.73, -0.75, -0.97, -0.89, -0.97], [-0.94, 0.59, -1.0, -0.88, -0.98], [-0.96, 0.26, -1.0, -0.89, -0.98]]","[[1.0, -1.0, -0.59, -1.0, -0.21], [-1.0, -1.0, -0.47, -0.3, 0.16], [-1.0, 1.0, -1.0, 0.01, -0.3], [-1.0, -1.0, 0.51, -0.42, -0.72], [1.0, -1.0, -0.71, 0.12, 0.3]]","[[0.3, 0.35, -0.98, -0.45, -0.48], [-0.31, -0.21, -0.96, -0.98, -0.26], [0.31, 0.32, -0.87, -0.35, -0.87], [0.77, -0.02, -0.76, -0.38, -0.75], [-0.03, 0.84, -0.7, -0.26, -0.26]]","[0.52, 0.0, 0.81, -0.76, -0.29]","[-0.98, -1.0, -1.0, -1.0, -1.0]","[-0.29, -0.88, 1.0, -0.9, -0.49]","[0.45, -0.59, 0.29, 0.42, 0.01]",rebellion,news,prefecture,fuel
0,2,-1.0,0.5169846,"[0.22, -1.0, -0.71, 0.59, 1.0]",bone,"[[1.0, 0.52, -0.91, 0.26, 0.85], [-0.51, 0.6, -0.87, 0.83, 0.7], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.59, 0.04, -0.91, -0.13, -0.77]]","[[-0.99, -0.99, -0.99, -0.84, -0.97], [0.77, -0.98, -0.99, -0.87, -0.98], [-0.73, -0.75, -0.97, -0.89, -0.97], [-0.94, 0.59, -1.0, -0.88, -0.98], [-0.96, 0.26, -1.0, -0.89, -0.98]]","[[1.0, -1.0, -0.59, -1.0, -0.21], [-1.0, -1.0, -0.47, -0.3, 0.16], [-1.0, 1.0, -1.0, 0.01, -0.3], [-1.0, -1.0, 0.51, -0.42, -0.72], [1.0, -1.0, -0.71, 0.12, 0.3]]","[[0.3, 0.35, -0.98, -0.45, -0.48], [-0.31, -0.21, -0.96, -0.98, -0.26], [0.31, 0.32, -0.87, -0.35, -0.87], [0.77, -0.02, -0.76, -0.38, -0.75], [-0.03, 0.84, -0.7, -0.26, -0.26]]","[0.52, 0.0, 0.81, -0.76, -0.29]","[-0.98, -1.0, -1.0, -1.0, -1.0]","[-0.29, -0.88, 1.0, -0.9, -0.49]","[0.45, -0.59, 0.29, 0.42, 0.01]",rebellion,news,prefecture,fuel
0,3,0.62,0.23392266,"[-0.3, -1.0, -0.43, 0.14, 1.0]",bone,"[[1.0, 0.52, -0.91, 0.26, 0.85], [-0.51, 0.6, -0.87, 0.83, 0.7], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.59, 0.04, -0.91, -0.13, -0.77]]","[[-0.99, -0.99, -0.99, -0.84, -0.97], [0.77, -0.98, -0.99, -0.87, -0.98], [-0.73, -0.75, -0.97, -0.89, -0.97], [-0.94, 0.59, -1.0, -0.88, -0.98], [-0.96, 0.26, -1.0, -0.89, -0.98]]","[[1.0, -1.0, -0.59, -1.0, -0.21], [-1.0, -1.0, -0.47, -0.3, 0.16], [-1.0, 1.0, -1.0, 0.01, -0.3], [-1.0, -1.0, 0.51, -0.42, -0.72], [1.0, -1.0, -0.71, 0.12, 0.3]]","[[0.3, 0.35, -0.98, -0.45, -0.48], [-0.31, -0.21, -0.96, -0.98, -0.26], [0.31, 0.32, -0.87, -0.35, -0.87], [0.77, -0.02, -0.76, -0.38, -0.75], [-0.03, 0.84, -0.7, -0.26, -0.26]]","[0.52, 0.0, 0.81, -0.76, -0.29]","[-0.98, -1.0, -1.0, -1.0, -1.0]","[-0.29, -0.88, 1.0, -0.9, -0.49]","[0.45, -0.59, 0.29, 0.42, 0.01]",rebellion,news,prefecture,fuel
0,4,0.16,0.32414824,"[-0.91, 1.0, 0.14, -0.65, 1.0]",bone,"[[1.0, 0.52, -0.91, 0.26, 0.85], [-0.51, 0.6, -0.87, 0.83, 0.7], [0.03, 0.76, -0.93, 1.0, 1.0], [-0.19, 0.36, -0.88, 0.36, -0.66], [-0.59, 0.04, -0.91, -0.13, -0.77]]","[[-0.99, -0.99, -0.99, -0.84, -0.97], [0.77, -0.98, -0.99, -0.87, -0.98], [-0.73, -0.75, -0.97, -0.89, -0.97], [-0.94, 0.59, -1.0, -0.88, -0.98], [-0.96, 0.26, -1.0, -0.89, -0.98]]","[[1.0, -1.0, -0.59, -1.0, -0.21], [-1.0, -1.0, -0.47, -0.3, 0.16], [-1.0, 1.0, -1.0, 0.01, -0.3], [-1.0, -1.0, 0.51, -0.42, -0.72], [1.0, -1.0, -0.71, 0.12, 0.3]]","[[0.3, 0.35, -0.98, -0.45, -0.48], [-0.31, -0.21, -0.96, -0.98, -0.26], [0.31, 0.32, -0.87, -0.35, -0.87], [0.77, -0.02, -0.76, -0.38, -0.75], [-0.03, 0.84, -0.7, -0.26, -0.26]]","[0.52, 0.0, 0.81, -0.76, -0.29]","[-0.98, -1.0, -1.0, -1.0, -1.0]","[-0.29, -0.88, 1.0, -0.9, -0.49]","[0.45, -0.59, 0.29, 0.42, 0.01]",rebellion,news,prefecture,fuel
1,0,0.09,0.058321178,"[-0.3, 1.0, 0.52, -0.11, -1.0]",bone,"[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.32, 0.09, -0.7, -0.67, -0.64], [-0.78, 0.69, -0.42, 0.5, 0.37], [-0.48, 0.38, -0.96, -0.48, -0.6], [-0.58, 0.12, -0.52, -0.28, -0.31]]","[[-0.23, -0.25, -0.41, -0.33, -0.42], [-0.35, -0.28, -0.44, -0.23, -0.28], [-0.74, -0.76, -0.94, -0.9, -0.8], [-0.07, -0.19, -0.41, -0.21, -0.46], [-0.15, -0.18, -0.43, -0.2, -0.24]]","[[-0.48, -0.74, -0.42, -0.51, -0.82], [-0.39, -0.79, -0.62, -0.77, -0.69], [-0.61, -0.56, -0.27, -0.66, -0.71], [0.55, -0.84, -0.4, -0.86, -0.25], [0.03, -0.61, -0.4, -0.7, -0.61]]","[[1.0, 0.9, 0.1, 1.0, 0.92], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, 0.33, -0.32, -0.07, -0.28], [1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.24, 0.76, 0.2, -0.1]]","[-0.42, -0.8, -0.51, -1.0, 0.06]","[0.19, -0.36, -0.59, -0.58, -0.3]","[0.33, 0.0, -0.67, 0.33, 0.0]","[0.36, -0.59, -0.25, 1.0, -0.16]",crime,dropout,whitewine,reactor
1,1,-0.59,0.5709263,"[-0.7, -1.0, -0.43, 0.83, 1.0]",bone,"[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.32, 0.09, -0.7, -0.67, -0.64], [-0.78, 0.69, -0.42, 0.5, 0.37], [-0.48, 0.38, -0.96, -0.48, -0.6], [-0.58, 0.12, -0.52, -0.28, -0.31]]","[[-0.23, -0.25, -0.41, -0.33, -0.42], [-0.35, -0.28, -0.44, -0.23, -0.28], [-0.74, -0.76, -0.94, -0.9, -0.8], [-0.07, -0.19, -0.41, -0.21, -0.46], [-0.15, -0.18, -0.43, -0.2, -0.24]]","[[-0.48, -0.74, -0.42, -0.51, -0.82], [-0.39, -0.79, -0.62, -0.77, -0.69], [-0.61, -0.56, -0.27, -0.66, -0.71], [0.55, -0.84, -0.4, -0.86, -0.25], [0.03, -0.61, -0.4, -0.7, -0.61]]","[[1.0, 0.9, 0.1, 1.0, 0.92], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, 0.33, -0.32, -0.07, -0.28], [1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.24, 0.76, 0.2, -0.1]]","[-0.42, -0.8, -0.51, -1.0, 0.06]","[0.19, -0.36, -0.59, -0.58, -0.3]","[0.33, 0.0, -0.67, 0.33, 0.0]","[0.36, -0.59, -0.25, 1.0, -0.16]",crime,dropout,whitewine,reactor
1,2,-0.44,1.3861597,"[-0.13, -1.0, -1.0, 1.0, 1.0]",bone,"[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.32, 0.09, -0.7, -0.67, -0.64], [-0.78, 0.69, -0.42, 0.5, 0.37], [-0.48, 0.38, -0.96, -0.48, -0.6], [-0.58, 0.12, -0.52, -0.28, -0.31]]","[[-0.23, -0.25, -0.41, -0.33, -0.42], [-0.35, -0.28, -0.44, -0.23, -0.28], [-0.74, -0.76, -0.94, -0.9, -0.8], [-0.07, -0.19, -0.41, -0.21, -0.46], [-0.15, -0.18, -0.43, -0.2, -0.24]]","[[-0.48, -0.74, -0.42, -0.51, -0.82], [-0.39, -0.79, -0.62, -0.77, -0.69], [-0.61, -0.56, -0.27, -0.66, -0.71], [0.55, -0.84, -0.4, -0.86, -0.25], [0.03, -0.61, -0.4, -0.7, -0.61]]","[[1.0, 0.9, 0.1, 1.0, 0.92], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, 0.33, -0.32, -0.07, -0.28], [1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.24, 0.76, 0.2, -0.1]]","[-0.42, -0.8, -0.51, -1.0, 0.06]","[0.19, -0.36, -0.59, -0.58, -0.3]","[0.33, 0.0, -0.67, 0.33, 0.0]","[0.36, -0.59, -0.25, 1.0, -0.16]",crime,dropout,whitewine,reactor
1,3,0.85,0.71225464,"[-0.87, 1.0, -0.24, -0.97, 1.0]",bone,"[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.32, 0.09, -0.7, -0.67, -0.64], [-0.78, 0.69, -0.42, 0.5, 0.37], [-0.48, 0.38, -0.96, -0.48, -0.6], [-0.58, 0.12, -0.52, -0.28, -0.31]]","[[-0.23, -0.25, -0.41, -0.33, -0.42], [-0.35, -0.28, -0.44, -0.23, -0.28], [-0.74, -0.76, -0.94, -0.9, -0.8], [-0.07, -0.19, -0.41, -0.21, -0.46], [-0.15, -0.18, -0.43, -0.2, -0.24]]","[[-0.48, -0.74, -0.42, -0.51, -0.82], [-0.39, -0.79, -0.62, -0.77, -0.69], [-0.61, -0.56, -0.27, -0.66, -0.71], [0.55, -0.84, -0.4, -0.86, -0.25], [0.03, -0.61, -0.4, -0.7, -0.61]]","[[1.0, 0.9, 0.1, 1.0, 0.92], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, 0.33, -0.32, -0.07, -0.28], [1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.24, 0.76, 0.2, -0.1]]","[-0.42, -0.8, -0.51, -1.0, 0.06]","[0.19, -0.36, -0.59, -0.58, -0.3]","[0.33, 0.0, -0.67, 0.33, 0.0]","[0.36, -0.59, -0.25, 1.0, -0.16]",crime,dropout,whitewine,reactor
1,4,0.16,0.28832114,"[-0.91, 1.0, 0.14, -0.65, 1.0]",bone,"[[-0.15, 0.04, -0.55, -0.5, -0.5], [-0.32, 0.09, -0.7, -0.67, -0.64], [-0.78, 0.69, -0.42, 0.5, 0.37], [-0.48, 0.38, -0.96, -0.48, -0.6], [-0.58, 0.12, -0.52, -0.28, -0.31]]","[[-0.23, -0.25, -0.41, -0.33, -0.42], [-0.35, -0.28, -0.44, -0.23, -0.28], [-0.74, -0.76, -0.94, -0.9, -0.8], [-0.07, -0.19, -0.41, -0.21, -0.46], [-0.15, -0.18, -0.43, -0.2, -0.24]]","[[-0.48, -0.74, -0.42, -0.51, -0.82], [-0.39, -0.79, -0.62, -0.77, -0.69], [-0.61, -0.56, -0.27, -0.66, -0.71], [0.55, -0.84, -0.4, -0.86, -0.25], [0.03, -0.61, -0.4, -0.7, -0.61]]","[[1.0, 0.9, 0.1, 1.0, 0.92], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, 0.33, -0.32, -0.07, -0.28], [1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.24, 0.76, 0.2, -0.1]]","[-0.42, -0.8, -0.51, -1.0, 0.06]","[0.19, -0.36, -0.59, -0.58, -0.3]","[0.33, 0.0, -0.67, 0.33, 0.0]","[0.36, -0.59, -0.25, 1.0, -0.16]",crime,dropout,whitewine,reactor
