run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.87,1.2036093,"[-0.93, -0.96, -0.81, -0.5, -0.88]",cpu,"[[-0.38, 0.0, -0.94, -0.38, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.55, -0.33, -0.93, -0.65, -0.33], [-0.03, 0.0, -0.92, -0.54, 0.33]]","[[-0.9, -0.33, -0.43, -1.0, -0.17], [-1.0, -1.0, -1.0, -1.0, -0.3], [-0.6, -0.33, -0.55, -1.0, 0.09], [-0.8, -0.33, -1.0, -1.0, 0.5], [-1.0, -1.0, -1.0, -1.0, -0.69]]","[[-0.6, -1.0, -1.0, 1.0, -0.7], [-0.6, -1.0, -1.0, 1.0, -0.54], [-0.6, -1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, -1.0, -0.44], [-0.6, -1.0, -1.0, 1.0, -0.57]]","[[0.86, 0.57, 0.96, 0.53, 1.0], [0.15, -0.03, -0.39, -0.49, -0.6], [0.02, -0.23, -0.39, -0.45, -0.6], [0.61, 0.72, 0.25, 0.06, -0.6], [-0.1, -0.07, -0.55, -0.49, -0.6]]","[-0.65, -0.63, -0.41, -0.68, -0.94]","[-0.1, 0.07, 0.1, 0.29, -0.29]","[-0.61, -0.47, -0.55, -0.66, -0.66]","[0.59, -0.5, 0.15, -0.12, -0.76]",highway,prostate,tip,car
0,1,0.1,-0.75260484,"[-0.64, -0.38, -0.5, 1.0, -0.0]",cpu,"[[-0.38, 0.0, -0.94, -0.38, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.55, -0.33, -0.93, -0.65, -0.33], [-0.03, 0.0, -0.92, -0.54, 0.33]]","[[-0.9, -0.33, -0.43, -1.0, -0.17], [-1.0, -1.0, -1.0, -1.0, -0.3], [-0.6, -0.33, -0.55, -1.0, 0.09], [-0.8, -0.33, -1.0, -1.0, 0.5], [-1.0, -1.0, -1.0, -1.0, -0.69]]","[[-0.6, -1.0, -1.0, 1.0, -0.7], [-0.6, -1.0, -1.0, 1.0, -0.54], [-0.6, -1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, -1.0, -0.44], [-0.6, -1.0, -1.0, 1.0, -0.57]]","[[0.86, 0.57, 0.96, 0.53, 1.0], [0.15, -0.03, -0.39, -0.49, -0.6], [0.02, -0.23, -0.39, -0.45, -0.6], [0.61, 0.72, 0.25, 0.06, -0.6], [-0.1, -0.07, -0.55, -0.49, -0.6]]","[-0.65, -0.63, -0.41, -0.68, -0.94]","[-0.1, 0.07, 0.1, 0.29, -0.29]","[-0.61, -0.47, -0.55, -0.66, -0.66]","[0.59, -0.5, 0.15, -0.12, -0.76]",highway,prostate,tip,car
0,2,-0.98,0.88062346,"[-0.95, -0.96, -1.0, -0.75, -0.99]",cpu,"[[-0.38, 0.0, -0.94, -0.38, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.55, -0.33, -0.93, -0.65, -0.33], [-0.03, 0.0, -0.92, -0.54, 0.33]]","[[-0.9, -0.33, -0.43, -1.0, -0.17], [-1.0, -1.0, -1.0, -1.0, -0.3], [-0.6, -0.33, -0.55, -1.0, 0.09], [-0.8, -0.33, -1.0, -1.0, 0.5], [-1.0, -1.0, -1.0, -1.0, -0.69]]","[[-0.6, -1.0, -1.0, 1.0, -0.7], [-0.6, -1.0, -1.0, 1.0, -0.54], [-0.6, -1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, -1.0, -0.44], [-0.6, -1.0, -1.0, 1.0, -0.57]]","[[0.86, 0.57, 0.96, 0.53, 1.0], [0.15, -0.03, -0.39, -0.49, -0.6], [0.02, -0.23, -0.39, -0.45, -0.6], [0.61, 0.72, 0.25, 0.06, -0.6], [-0.1, -0.07, -0.55, -0.49, -0.6]]","[-0.65, -0.63, -0.41, -0.68, -0.94]","[-0.1, 0.07, 0.1, 0.29, -0.29]","[-0.61, -0.47, -0.55, -0.66, -0.66]","[0.59, -0.5, 0.15, -0.12, -0.76]",highway,prostate,tip,car
0,3,-0.97,3.2275622,"[-0.99, -0.96, -1.0, -0.94, -0.99]",cpu,"[[-0.38, 0.0, -0.94, -0.38, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.55, -0.33, -0.93, -0.65, -0.33], [-0.03, 0.0, -0.92, -0.54, 0.33]]","[[-0.9, -0.33, -0.43, -1.0, -0.17], [-1.0, -1.0, -1.0, -1.0, -0.3], [-0.6, -0.33, -0.55, -1.0, 0.09], [-0.8, -0.33, -1.0, -1.0, 0.5], [-1.0, -1.0, -1.0, -1.0, -0.69]]","[[-0.6, -1.0, -1.0, 1.0, -0.7], [-0.6, -1.0, -1.0, 1.0, -0.54], [-0.6, -1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, -1.0, -0.44], [-0.6, -1.0, -1.0, 1.0, -0.57]]","[[0.86, 0.57, 0.96, 0.53, 1.0], [0.15, -0.03, -0.39, -0.49, -0.6], [0.02, -0.23, -0.39, -0.45, -0.6], [0.61, 0.72, 0.25, 0.06, -0.6], [-0.1, -0.07, -0.55, -0.49, -0.6]]","[-0.65, -0.63, -0.41, -0.68, -0.94]","[-0.1, 0.07, 0.1, 0.29, -0.29]","[-0.61, -0.47, -0.55, -0.66, -0.66]","[0.59, -0.5, 0.15, -0.12, -0.76]",highway,prostate,tip,car
0,4,-0.97,1.4372759,"[-0.98, -0.96, -0.88, -0.88, -0.94]",cpu,"[[-0.38, 0.0, -0.94, -0.38, -0.11], [-0.63, 0.33, -1.0, -0.9, -0.11], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.55, -0.33, -0.93, -0.65, -0.33], [-0.03, 0.0, -0.92, -0.54, 0.33]]","[[-0.9, -0.33, -0.43, -1.0, -0.17], [-1.0, -1.0, -1.0, -1.0, -0.3], [-0.6, -0.33, -0.55, -1.0, 0.09], [-0.8, -0.33, -1.0, -1.0, 0.5], [-1.0, -1.0, -1.0, -1.0, -0.69]]","[[-0.6, -1.0, -1.0, 1.0, -0.7], [-0.6, -1.0, -1.0, 1.0, -0.54], [-0.6, -1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, -1.0, -0.44], [-0.6, -1.0, -1.0, 1.0, -0.57]]","[[0.86, 0.57, 0.96, 0.53, 1.0], [0.15, -0.03, -0.39, -0.49, -0.6], [0.02, -0.23, -0.39, -0.45, -0.6], [0.61, 0.72, 0.25, 0.06, -0.6], [-0.1, -0.07, -0.55, -0.49, -0.6]]","[-0.65, -0.63, -0.41, -0.68, -0.94]","[-0.1, 0.07, 0.1, 0.29, -0.29]","[-0.61, -0.47, -0.55, -0.66, -0.66]","[0.59, -0.5, 0.15, -0.12, -0.76]",highway,prostate,tip,car
1,0,1.0,0.3583349,"[1.0, -0.54, 0.0, 1.0, -0.5]",cpu,"[[-0.67, -1.0, -0.33, -0.51, -0.61], [-0.67, -1.0, -0.33, -0.54, -0.81], [-0.33, -1.0, -0.33, 0.24, -0.55], [-0.67, -1.0, -0.33, -0.82, -0.68], [-0.67, -1.0, -0.33, 0.29, -0.23]]","[[-0.17, -0.06, -0.47, -0.19, 0.2], [0.0, -0.06, -0.54, -0.73, -0.6], [1.0, -0.66, -0.68, -0.8, -0.6], [0.0, -0.52, -0.57, -0.8, -0.6], [1.0, -0.71, -0.93, -0.85, -0.6]]","[[0.44, -0.83, -1.0, -0.78, -0.95], [-0.98, -0.98, -1.0, -0.89, -0.98], [-0.14, -0.98, -0.99, -0.86, -0.97], [-0.98, -0.3, -0.98, -0.85, -0.96], [0.39, -0.61, -1.0, -0.82, -0.96]]","[[-0.17, -0.32, -0.52, -0.27, -0.15], [-0.88, -0.9, -0.94, -0.91, -0.89], [-0.98, -0.99, -0.99, -0.99, -0.98], [-0.86, -0.86, -0.97, -0.86, -0.83], [-0.98, -0.99, -0.98, -0.99, -1.0]]","[-0.22, 0.18, 0.09, -0.06, -0.18]","[-0.47, -0.47, 0.44, 0.01, 0.86]","[-0.98, -0.99, -1.0, -0.98, -0.99]","[-0.43, -0.9, -1.0, -0.74, -0.98]",birthweight,mileage,news,hitter
1,1,-0.92,1.2734971,"[-0.97, -0.96, -0.88, -0.75, -0.88]",cpu,"[[-0.67, -1.0, -0.33, -0.51, -0.61], [-0.67, -1.0, -0.33, -0.54, -0.81], [-0.33, -1.0, -0.33, 0.24, -0.55], [-0.67, -1.0, -0.33, -0.82, -0.68], [-0.67, -1.0, -0.33, 0.29, -0.23]]","[[-0.17, -0.06, -0.47, -0.19, 0.2], [0.0, -0.06, -0.54, -0.73, -0.6], [1.0, -0.66, -0.68, -0.8, -0.6], [0.0, -0.52, -0.57, -0.8, -0.6], [1.0, -0.71, -0.93, -0.85, -0.6]]","[[0.44, -0.83, -1.0, -0.78, -0.95], [-0.98, -0.98, -1.0, -0.89, -0.98], [-0.14, -0.98, -0.99, -0.86, -0.97], [-0.98, -0.3, -0.98, -0.85, -0.96], [0.39, -0.61, -1.0, -0.82, -0.96]]","[[-0.17, -0.32, -0.52, -0.27, -0.15], [-0.88, -0.9, -0.94, -0.91, -0.89], [-0.98, -0.99, -0.99, -0.99, -0.98], [-0.86, -0.86, -0.97, -0.86, -0.83], [-0.98, -0.99, -0.98, -0.99, -1.0]]","[-0.22, 0.18, 0.09, -0.06, -0.18]","[-0.47, -0.47, 0.44, 0.01, 0.86]","[-0.98, -0.99, -1.0, -0.98, -0.99]","[-0.43, -0.9, -1.0, -0.74, -0.98]",birthweight,mileage,news,hitter
1,2,-0.95,1.5494685,"[-0.64, -0.85, -1.0, -0.5, -0.97]",cpu,"[[-0.67, -1.0, -0.33, -0.51, -0.61], [-0.67, -1.0, -0.33, -0.54, -0.81], [-0.33, -1.0, -0.33, 0.24, -0.55], [-0.67, -1.0, -0.33, -0.82, -0.68], [-0.67, -1.0, -0.33, 0.29, -0.23]]","[[-0.17, -0.06, -0.47, -0.19, 0.2], [0.0, -0.06, -0.54, -0.73, -0.6], [1.0, -0.66, -0.68, -0.8, -0.6], [0.0, -0.52, -0.57, -0.8, -0.6], [1.0, -0.71, -0.93, -0.85, -0.6]]","[[0.44, -0.83, -1.0, -0.78, -0.95], [-0.98, -0.98, -1.0, -0.89, -0.98], [-0.14, -0.98, -0.99, -0.86, -0.97], [-0.98, -0.3, -0.98, -0.85, -0.96], [0.39, -0.61, -1.0, -0.82, -0.96]]","[[-0.17, -0.32, -0.52, -0.27, -0.15], [-0.88, -0.9, -0.94, -0.91, -0.89], [-0.98, -0.99, -0.99, -0.99, -0.98], [-0.86, -0.86, -0.97, -0.86, -0.83], [-0.98, -0.99, -0.98, -0.99, -1.0]]","[-0.22, 0.18, 0.09, -0.06, -0.18]","[-0.47, -0.47, 0.44, 0.01, 0.86]","[-0.98, -0.99, -1.0, -0.98, -0.99]","[-0.43, -0.9, -1.0, -0.74, -0.98]",birthweight,mileage,news,hitter
1,3,-0.93,2.17195,"[-1.0, -1.0, -1.0, -0.88, -0.94]",cpu,"[[-0.67, -1.0, -0.33, -0.51, -0.61], [-0.67, -1.0, -0.33, -0.54, -0.81], [-0.33, -1.0, -0.33, 0.24, -0.55], [-0.67, -1.0, -0.33, -0.82, -0.68], [-0.67, -1.0, -0.33, 0.29, -0.23]]","[[-0.17, -0.06, -0.47, -0.19, 0.2], [0.0, -0.06, -0.54, -0.73, -0.6], [1.0, -0.66, -0.68, -0.8, -0.6], [0.0, -0.52, -0.57, -0.8, -0.6], [1.0, -0.71, -0.93, -0.85, -0.6]]","[[0.44, -0.83, -1.0, -0.78, -0.95], [-0.98, -0.98, -1.0, -0.89, -0.98], [-0.14, -0.98, -0.99, -0.86, -0.97], [-0.98, -0.3, -0.98, -0.85, -0.96], [0.39, -0.61, -1.0, -0.82, -0.96]]","[[-0.17, -0.32, -0.52, -0.27, -0.15], [-0.88, -0.9, -0.94, -0.91, -0.89], [-0.98, -0.99, -0.99, -0.99, -0.98], [-0.86, -0.86, -0.97, -0.86, -0.83], [-0.98, -0.99, -0.98, -0.99, -1.0]]","[-0.22, 0.18, 0.09, -0.06, -0.18]","[-0.47, -0.47, 0.44, 0.01, 0.86]","[-0.98, -0.99, -1.0, -0.98, -0.99]","[-0.43, -0.9, -1.0, -0.74, -0.98]",birthweight,mileage,news,hitter
1,4,-0.44,0.8871438,"[-0.73, -0.69, -0.5, -0.0, -0.5]",cpu,"[[-0.67, -1.0, -0.33, -0.51, -0.61], [-0.67, -1.0, -0.33, -0.54, -0.81], [-0.33, -1.0, -0.33, 0.24, -0.55], [-0.67, -1.0, -0.33, -0.82, -0.68], [-0.67, -1.0, -0.33, 0.29, -0.23]]","[[-0.17, -0.06, -0.47, -0.19, 0.2], [0.0, -0.06, -0.54, -0.73, -0.6], [1.0, -0.66, -0.68, -0.8, -0.6], [0.0, -0.52, -0.57, -0.8, -0.6], [1.0, -0.71, -0.93, -0.85, -0.6]]","[[0.44, -0.83, -1.0, -0.78, -0.95], [-0.98, -0.98, -1.0, -0.89, -0.98], [-0.14, -0.98, -0.99, -0.86, -0.97], [-0.98, -0.3, -0.98, -0.85, -0.96], [0.39, -0.61, -1.0, -0.82, -0.96]]","[[-0.17, -0.32, -0.52, -0.27, -0.15], [-0.88, -0.9, -0.94, -0.91, -0.89], [-0.98, -0.99, -0.99, -0.99, -0.98], [-0.86, -0.86, -0.97, -0.86, -0.83], [-0.98, -0.99, -0.98, -0.99, -1.0]]","[-0.22, 0.18, 0.09, -0.06, -0.18]","[-0.47, -0.47, 0.44, 0.01, 0.86]","[-0.98, -0.99, -1.0, -0.98, -0.99]","[-0.43, -0.9, -1.0, -0.74, -0.98]",birthweight,mileage,news,hitter
