run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.89,0.3843,"[0.67, -0.87, -0.77, -0.88, -0.6]",mileage,"[[-0.27, -0.48, -0.8, -0.8, -0.2], [0.29, 0.26, -0.2, -0.2, 1.0], [-0.66, -0.48, -0.6, -0.6, 0.0], [0.64, 0.48, -0.6, -0.4, 0.6], [0.9, -0.35, -0.8, -0.8, 0.4]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [-0.87, -0.33, -0.55, -0.49, 0.78], [-0.69, 0.0, -1.0, -0.6, -0.56], [-0.71, -0.33, -0.04, -0.76, -0.78], [-0.99, -0.67, -0.26, -0.41, -1.0]]","[[1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.71, -0.05, -0.47, -0.36], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.71, -0.02, 0.2, 0.28]]","[[-1.0, -0.46, -0.56, -0.4, -0.05], [-1.0, -0.55, 0.62, -0.99, -0.71], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, -0.48, -0.12, 0.08, -0.69], [-1.0, -0.1, -0.62, -0.53, -0.28]]","[-0.21, 0.59, -0.25, -0.14, -0.04]","[0.73, -0.16, -0.7, 0.12, 0.83]","[1.0, -0.36, -0.16, -0.45, 0.23]","[-0.22, -0.67, -0.71, -0.46, -1.0]",schooling,highway,reactor,homeless
0,1,-0.38,0.2450459,"[0.33, 0.0, -0.36, -0.16, 0.2]",mileage,"[[-0.27, -0.48, -0.8, -0.8, -0.2], [0.29, 0.26, -0.2, -0.2, 1.0], [-0.66, -0.48, -0.6, -0.6, 0.0], [0.64, 0.48, -0.6, -0.4, 0.6], [0.9, -0.35, -0.8, -0.8, 0.4]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [-0.87, -0.33, -0.55, -0.49, 0.78], [-0.69, 0.0, -1.0, -0.6, -0.56], [-0.71, -0.33, -0.04, -0.76, -0.78], [-0.99, -0.67, -0.26, -0.41, -1.0]]","[[1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.71, -0.05, -0.47, -0.36], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.71, -0.02, 0.2, 0.28]]","[[-1.0, -0.46, -0.56, -0.4, -0.05], [-1.0, -0.55, 0.62, -0.99, -0.71], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, -0.48, -0.12, 0.08, -0.69], [-1.0, -0.1, -0.62, -0.53, -0.28]]","[-0.21, 0.59, -0.25, -0.14, -0.04]","[0.73, -0.16, -0.7, 0.12, 0.83]","[1.0, -0.36, -0.16, -0.45, 0.23]","[-0.22, -0.67, -0.71, -0.46, -1.0]",schooling,highway,reactor,homeless
0,2,-0.84,0.84603894,"[-0.67, 0.61, 0.24, 0.46, 1.0]",mileage,"[[-0.27, -0.48, -0.8, -0.8, -0.2], [0.29, 0.26, -0.2, -0.2, 1.0], [-0.66, -0.48, -0.6, -0.6, 0.0], [0.64, 0.48, -0.6, -0.4, 0.6], [0.9, -0.35, -0.8, -0.8, 0.4]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [-0.87, -0.33, -0.55, -0.49, 0.78], [-0.69, 0.0, -1.0, -0.6, -0.56], [-0.71, -0.33, -0.04, -0.76, -0.78], [-0.99, -0.67, -0.26, -0.41, -1.0]]","[[1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.71, -0.05, -0.47, -0.36], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.71, -0.02, 0.2, 0.28]]","[[-1.0, -0.46, -0.56, -0.4, -0.05], [-1.0, -0.55, 0.62, -0.99, -0.71], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, -0.48, -0.12, 0.08, -0.69], [-1.0, -0.1, -0.62, -0.53, -0.28]]","[-0.21, 0.59, -0.25, -0.14, -0.04]","[0.73, -0.16, -0.7, 0.12, 0.83]","[1.0, -0.36, -0.16, -0.45, 0.23]","[-0.22, -0.67, -0.71, -0.46, -1.0]",schooling,highway,reactor,homeless
0,3,0.54,1.4742887,"[1.0, -0.78, -0.77, -0.88, -0.6]",mileage,"[[-0.27, -0.48, -0.8, -0.8, -0.2], [0.29, 0.26, -0.2, -0.2, 1.0], [-0.66, -0.48, -0.6, -0.6, 0.0], [0.64, 0.48, -0.6, -0.4, 0.6], [0.9, -0.35, -0.8, -0.8, 0.4]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [-0.87, -0.33, -0.55, -0.49, 0.78], [-0.69, 0.0, -1.0, -0.6, -0.56], [-0.71, -0.33, -0.04, -0.76, -0.78], [-0.99, -0.67, -0.26, -0.41, -1.0]]","[[1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.71, -0.05, -0.47, -0.36], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.71, -0.02, 0.2, 0.28]]","[[-1.0, -0.46, -0.56, -0.4, -0.05], [-1.0, -0.55, 0.62, -0.99, -0.71], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, -0.48, -0.12, 0.08, -0.69], [-1.0, -0.1, -0.62, -0.53, -0.28]]","[-0.21, 0.59, -0.25, -0.14, -0.04]","[0.73, -0.16, -0.7, 0.12, 0.83]","[1.0, -0.36, -0.16, -0.45, 0.23]","[-0.22, -0.67, -0.71, -0.46, -1.0]",schooling,highway,reactor,homeless
0,4,-0.55,2.257412,"[0.0, 0.48, 0.02, 0.22, 1.0]",mileage,"[[-0.27, -0.48, -0.8, -0.8, -0.2], [0.29, 0.26, -0.2, -0.2, 1.0], [-0.66, -0.48, -0.6, -0.6, 0.0], [0.64, 0.48, -0.6, -0.4, 0.6], [0.9, -0.35, -0.8, -0.8, 0.4]]","[[-0.74, 0.0, -0.59, -0.01, -0.56], [-0.87, -0.33, -0.55, -0.49, 0.78], [-0.69, 0.0, -1.0, -0.6, -0.56], [-0.71, -0.33, -0.04, -0.76, -0.78], [-0.99, -0.67, -0.26, -0.41, -1.0]]","[[1.0, -1.0, 0.88, 0.07, 0.02], [1.0, -0.71, -0.05, -0.47, -0.36], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.71, -0.02, 0.2, 0.28]]","[[-1.0, -0.46, -0.56, -0.4, -0.05], [-1.0, -0.55, 0.62, -0.99, -0.71], [-1.0, 1.0, 0.56, 0.19, 0.46], [-1.0, -0.48, -0.12, 0.08, -0.69], [-1.0, -0.1, -0.62, -0.53, -0.28]]","[-0.21, 0.59, -0.25, -0.14, -0.04]","[0.73, -0.16, -0.7, 0.12, 0.83]","[1.0, -0.36, -0.16, -0.45, 0.23]","[-0.22, -0.67, -0.71, -0.46, -1.0]",schooling,highway,reactor,homeless
1,0,0.49,0.19867426,"[0.67, -0.53, -0.5, -0.74, -0.6]",mileage,"[[0.07, -0.39, -0.58, 1.0, 0.56], [-0.51, -0.19, -0.39, -1.0, -0.28], [-0.7, -0.5, -0.65, -1.0, 0.84], [-0.73, -0.58, -0.72, -1.0, 0.34], [-0.86, -0.86, -0.82, -1.0, -0.06]]","[[-0.91, -0.85, 0.25, -0.25, -0.5], [-0.84, -0.85, -0.88, -0.75, -0.88], [-0.99, -0.96, -1.0, -0.99, -1.0], [-0.77, -0.81, -1.0, -0.81, -0.81], [-0.91, -0.88, -0.94, -0.88, -0.88]]","[[0.13, -0.13, -0.8, -0.8, -0.2], [0.37, 0.61, 0.8, 0.6, 0.6], [0.07, 0.13, -0.2, -0.2, -0.2], [0.37, 0.43, -0.2, -0.2, 0.4], [0.52, 0.22, -0.8, -0.4, 1.0]]","[[-0.67, 1.0, -0.33, -0.53, -0.61], [-0.67, -1.0, -0.33, -0.86, -0.29], [-0.33, -1.0, -0.33, 0.59, 0.1], [-0.67, -1.0, -0.33, -0.73, -0.61], [-0.67, -1.0, -0.33, 0.04, -0.23]]","[-0.52, -0.78, -0.47, -0.17, -0.56]","[-0.77, -0.91, -1.0, -0.95, -0.97]","[-0.6, 0.42, 0.13, -0.13, -0.04]","[-0.02, -0.43, 0.07, 0.17, 0.03]",plasma,cpu,schooling,birthweight
1,1,-0.41,1.6187027,"[-0.5, -0.45, -0.51, -0.76, -0.6]",mileage,"[[0.07, -0.39, -0.58, 1.0, 0.56], [-0.51, -0.19, -0.39, -1.0, -0.28], [-0.7, -0.5, -0.65, -1.0, 0.84], [-0.73, -0.58, -0.72, -1.0, 0.34], [-0.86, -0.86, -0.82, -1.0, -0.06]]","[[-0.91, -0.85, 0.25, -0.25, -0.5], [-0.84, -0.85, -0.88, -0.75, -0.88], [-0.99, -0.96, -1.0, -0.99, -1.0], [-0.77, -0.81, -1.0, -0.81, -0.81], [-0.91, -0.88, -0.94, -0.88, -0.88]]","[[0.13, -0.13, -0.8, -0.8, -0.2], [0.37, 0.61, 0.8, 0.6, 0.6], [0.07, 0.13, -0.2, -0.2, -0.2], [0.37, 0.43, -0.2, -0.2, 0.4], [0.52, 0.22, -0.8, -0.4, 1.0]]","[[-0.67, 1.0, -0.33, -0.53, -0.61], [-0.67, -1.0, -0.33, -0.86, -0.29], [-0.33, -1.0, -0.33, 0.59, 0.1], [-0.67, -1.0, -0.33, -0.73, -0.61], [-0.67, -1.0, -0.33, 0.04, -0.23]]","[-0.52, -0.78, -0.47, -0.17, -0.56]","[-0.77, -0.91, -1.0, -0.95, -0.97]","[-0.6, 0.42, 0.13, -0.13, -0.04]","[-0.02, -0.43, 0.07, 0.17, 0.03]",plasma,cpu,schooling,birthweight
1,2,-0.52,2.32579,"[-0.67, -0.25, -0.28, -0.73, -0.6]",mileage,"[[0.07, -0.39, -0.58, 1.0, 0.56], [-0.51, -0.19, -0.39, -1.0, -0.28], [-0.7, -0.5, -0.65, -1.0, 0.84], [-0.73, -0.58, -0.72, -1.0, 0.34], [-0.86, -0.86, -0.82, -1.0, -0.06]]","[[-0.91, -0.85, 0.25, -0.25, -0.5], [-0.84, -0.85, -0.88, -0.75, -0.88], [-0.99, -0.96, -1.0, -0.99, -1.0], [-0.77, -0.81, -1.0, -0.81, -0.81], [-0.91, -0.88, -0.94, -0.88, -0.88]]","[[0.13, -0.13, -0.8, -0.8, -0.2], [0.37, 0.61, 0.8, 0.6, 0.6], [0.07, 0.13, -0.2, -0.2, -0.2], [0.37, 0.43, -0.2, -0.2, 0.4], [0.52, 0.22, -0.8, -0.4, 1.0]]","[[-0.67, 1.0, -0.33, -0.53, -0.61], [-0.67, -1.0, -0.33, -0.86, -0.29], [-0.33, -1.0, -0.33, 0.59, 0.1], [-0.67, -1.0, -0.33, -0.73, -0.61], [-0.67, -1.0, -0.33, 0.04, -0.23]]","[-0.52, -0.78, -0.47, -0.17, -0.56]","[-0.77, -0.91, -1.0, -0.95, -0.97]","[-0.6, 0.42, 0.13, -0.13, -0.04]","[-0.02, -0.43, 0.07, 0.17, 0.03]",plasma,cpu,schooling,birthweight
1,3,-0.15,0.52316725,"[0.0, -0.66, -0.62, -0.75, -0.6]",mileage,"[[0.07, -0.39, -0.58, 1.0, 0.56], [-0.51, -0.19, -0.39, -1.0, -0.28], [-0.7, -0.5, -0.65, -1.0, 0.84], [-0.73, -0.58, -0.72, -1.0, 0.34], [-0.86, -0.86, -0.82, -1.0, -0.06]]","[[-0.91, -0.85, 0.25, -0.25, -0.5], [-0.84, -0.85, -0.88, -0.75, -0.88], [-0.99, -0.96, -1.0, -0.99, -1.0], [-0.77, -0.81, -1.0, -0.81, -0.81], [-0.91, -0.88, -0.94, -0.88, -0.88]]","[[0.13, -0.13, -0.8, -0.8, -0.2], [0.37, 0.61, 0.8, 0.6, 0.6], [0.07, 0.13, -0.2, -0.2, -0.2], [0.37, 0.43, -0.2, -0.2, 0.4], [0.52, 0.22, -0.8, -0.4, 1.0]]","[[-0.67, 1.0, -0.33, -0.53, -0.61], [-0.67, -1.0, -0.33, -0.86, -0.29], [-0.33, -1.0, -0.33, 0.59, 0.1], [-0.67, -1.0, -0.33, -0.73, -0.61], [-0.67, -1.0, -0.33, 0.04, -0.23]]","[-0.52, -0.78, -0.47, -0.17, -0.56]","[-0.77, -0.91, -1.0, -0.95, -0.97]","[-0.6, 0.42, 0.13, -0.13, -0.04]","[-0.02, -0.43, 0.07, 0.17, 0.03]",plasma,cpu,schooling,birthweight
1,4,-0.54,0.21746129,"[0.33, 0.04, 0.29, -0.16, 0.2]",mileage,"[[0.07, -0.39, -0.58, 1.0, 0.56], [-0.51, -0.19, -0.39, -1.0, -0.28], [-0.7, -0.5, -0.65, -1.0, 0.84], [-0.73, -0.58, -0.72, -1.0, 0.34], [-0.86, -0.86, -0.82, -1.0, -0.06]]","[[-0.91, -0.85, 0.25, -0.25, -0.5], [-0.84, -0.85, -0.88, -0.75, -0.88], [-0.99, -0.96, -1.0, -0.99, -1.0], [-0.77, -0.81, -1.0, -0.81, -0.81], [-0.91, -0.88, -0.94, -0.88, -0.88]]","[[0.13, -0.13, -0.8, -0.8, -0.2], [0.37, 0.61, 0.8, 0.6, 0.6], [0.07, 0.13, -0.2, -0.2, -0.2], [0.37, 0.43, -0.2, -0.2, 0.4], [0.52, 0.22, -0.8, -0.4, 1.0]]","[[-0.67, 1.0, -0.33, -0.53, -0.61], [-0.67, -1.0, -0.33, -0.86, -0.29], [-0.33, -1.0, -0.33, 0.59, 0.1], [-0.67, -1.0, -0.33, -0.73, -0.61], [-0.67, -1.0, -0.33, 0.04, -0.23]]","[-0.52, -0.78, -0.47, -0.17, -0.56]","[-0.77, -0.91, -1.0, -0.95, -0.97]","[-0.6, 0.42, 0.13, -0.13, -0.04]","[-0.02, -0.43, 0.07, 0.17, 0.03]",plasma,cpu,schooling,birthweight
