run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,1.0,0.8790577,"[0.63, 1.0, 0.22, 0.05, -1.0]",obesity,"[[1.0, 0.16, -0.99, -0.91, -0.4], [-0.76, 0.35, 0.14, -0.26, 0.38], [0.29, 0.16, -0.68, -0.42, -0.47], [0.2, 0.44, -0.98, -0.97, 0.04], [0.11, -0.02, -0.72, -0.64, -0.53]]","[[-1.0, 1.0, 0.01, 0.0, -0.49], [1.0, 1.0, -0.06, 0.0, -0.27], [1.0, 1.0, 0.01, 0.0, -0.18], [1.0, -1.0, 0.71, 0.33, 0.02], [1.0, 1.0, -1.0, 0.0, -0.13]]","[[-0.02, -0.34, -0.96, -0.97, 0.09], [0.31, 0.1, -0.59, -0.8, -0.45], [-0.52, -0.19, -0.61, -0.75, -0.17], [0.22, -0.07, -0.74, -0.8, 0.12], [0.06, -0.04, -0.66, -0.82, 0.13]]","[[-0.69, -0.73, -0.79, -0.52, 0.55], [-0.99, -1.0, -0.93, -0.95, 0.33], [-0.9, -0.95, -0.84, -0.89, 0.71], [-0.94, -0.98, -0.94, -0.97, 0.76], [-0.77, -0.9, -0.61, -0.6, -0.5]]","[0.42, -0.78, 0.22, 0.17, 0.16]","[0.17, -0.06, -0.39, -0.34, -0.8]","[-0.9, -0.61, -0.92, -0.69, -0.96]","[-1.0, -0.71, -1.0, 0.03, -0.94]",fuel,rent,air,algae
0,1,-0.5,2.2364926,"[0.7, 0.11, 0.18, -0.28, -1.0]",obesity,"[[1.0, 0.16, -0.99, -0.91, -0.4], [-0.76, 0.35, 0.14, -0.26, 0.38], [0.29, 0.16, -0.68, -0.42, -0.47], [0.2, 0.44, -0.98, -0.97, 0.04], [0.11, -0.02, -0.72, -0.64, -0.53]]","[[-1.0, 1.0, 0.01, 0.0, -0.49], [1.0, 1.0, -0.06, 0.0, -0.27], [1.0, 1.0, 0.01, 0.0, -0.18], [1.0, -1.0, 0.71, 0.33, 0.02], [1.0, 1.0, -1.0, 0.0, -0.13]]","[[-0.02, -0.34, -0.96, -0.97, 0.09], [0.31, 0.1, -0.59, -0.8, -0.45], [-0.52, -0.19, -0.61, -0.75, -0.17], [0.22, -0.07, -0.74, -0.8, 0.12], [0.06, -0.04, -0.66, -0.82, 0.13]]","[[-0.69, -0.73, -0.79, -0.52, 0.55], [-0.99, -1.0, -0.93, -0.95, 0.33], [-0.9, -0.95, -0.84, -0.89, 0.71], [-0.94, -0.98, -0.94, -0.97, 0.76], [-0.77, -0.9, -0.61, -0.6, -0.5]]","[0.42, -0.78, 0.22, 0.17, 0.16]","[0.17, -0.06, -0.39, -0.34, -0.8]","[-0.9, -0.61, -0.92, -0.69, -0.96]","[-1.0, -0.71, -1.0, 0.03, -0.94]",fuel,rent,air,algae
0,2,0.0,1.7735536,"[-1.0, -0.83, -0.5, -0.65, 1.0]",obesity,"[[1.0, 0.16, -0.99, -0.91, -0.4], [-0.76, 0.35, 0.14, -0.26, 0.38], [0.29, 0.16, -0.68, -0.42, -0.47], [0.2, 0.44, -0.98, -0.97, 0.04], [0.11, -0.02, -0.72, -0.64, -0.53]]","[[-1.0, 1.0, 0.01, 0.0, -0.49], [1.0, 1.0, -0.06, 0.0, -0.27], [1.0, 1.0, 0.01, 0.0, -0.18], [1.0, -1.0, 0.71, 0.33, 0.02], [1.0, 1.0, -1.0, 0.0, -0.13]]","[[-0.02, -0.34, -0.96, -0.97, 0.09], [0.31, 0.1, -0.59, -0.8, -0.45], [-0.52, -0.19, -0.61, -0.75, -0.17], [0.22, -0.07, -0.74, -0.8, 0.12], [0.06, -0.04, -0.66, -0.82, 0.13]]","[[-0.69, -0.73, -0.79, -0.52, 0.55], [-0.99, -1.0, -0.93, -0.95, 0.33], [-0.9, -0.95, -0.84, -0.89, 0.71], [-0.94, -0.98, -0.94, -0.97, 0.76], [-0.77, -0.9, -0.61, -0.6, -0.5]]","[0.42, -0.78, 0.22, 0.17, 0.16]","[0.17, -0.06, -0.39, -0.34, -0.8]","[-0.9, -0.61, -0.92, -0.69, -0.96]","[-1.0, -0.71, -1.0, 0.03, -0.94]",fuel,rent,air,algae
0,3,0.33,0.6666119,"[-0.46, 0.25, -0.17, -0.06, 1.0]",obesity,"[[1.0, 0.16, -0.99, -0.91, -0.4], [-0.76, 0.35, 0.14, -0.26, 0.38], [0.29, 0.16, -0.68, -0.42, -0.47], [0.2, 0.44, -0.98, -0.97, 0.04], [0.11, -0.02, -0.72, -0.64, -0.53]]","[[-1.0, 1.0, 0.01, 0.0, -0.49], [1.0, 1.0, -0.06, 0.0, -0.27], [1.0, 1.0, 0.01, 0.0, -0.18], [1.0, -1.0, 0.71, 0.33, 0.02], [1.0, 1.0, -1.0, 0.0, -0.13]]","[[-0.02, -0.34, -0.96, -0.97, 0.09], [0.31, 0.1, -0.59, -0.8, -0.45], [-0.52, -0.19, -0.61, -0.75, -0.17], [0.22, -0.07, -0.74, -0.8, 0.12], [0.06, -0.04, -0.66, -0.82, 0.13]]","[[-0.69, -0.73, -0.79, -0.52, 0.55], [-0.99, -1.0, -0.93, -0.95, 0.33], [-0.9, -0.95, -0.84, -0.89, 0.71], [-0.94, -0.98, -0.94, -0.97, 0.76], [-0.77, -0.9, -0.61, -0.6, -0.5]]","[0.42, -0.78, 0.22, 0.17, 0.16]","[0.17, -0.06, -0.39, -0.34, -0.8]","[-0.9, -0.61, -0.92, -0.69, -0.96]","[-1.0, -0.71, -1.0, 0.03, -0.94]",fuel,rent,air,algae
0,4,0.17,1.0289283,"[-0.55, -0.62, -0.37, -0.48, 1.0]",obesity,"[[1.0, 0.16, -0.99, -0.91, -0.4], [-0.76, 0.35, 0.14, -0.26, 0.38], [0.29, 0.16, -0.68, -0.42, -0.47], [0.2, 0.44, -0.98, -0.97, 0.04], [0.11, -0.02, -0.72, -0.64, -0.53]]","[[-1.0, 1.0, 0.01, 0.0, -0.49], [1.0, 1.0, -0.06, 0.0, -0.27], [1.0, 1.0, 0.01, 0.0, -0.18], [1.0, -1.0, 0.71, 0.33, 0.02], [1.0, 1.0, -1.0, 0.0, -0.13]]","[[-0.02, -0.34, -0.96, -0.97, 0.09], [0.31, 0.1, -0.59, -0.8, -0.45], [-0.52, -0.19, -0.61, -0.75, -0.17], [0.22, -0.07, -0.74, -0.8, 0.12], [0.06, -0.04, -0.66, -0.82, 0.13]]","[[-0.69, -0.73, -0.79, -0.52, 0.55], [-0.99, -1.0, -0.93, -0.95, 0.33], [-0.9, -0.95, -0.84, -0.89, 0.71], [-0.94, -0.98, -0.94, -0.97, 0.76], [-0.77, -0.9, -0.61, -0.6, -0.5]]","[0.42, -0.78, 0.22, 0.17, 0.16]","[0.17, -0.06, -0.39, -0.34, -0.8]","[-0.9, -0.61, -0.92, -0.69, -0.96]","[-1.0, -0.71, -1.0, 0.03, -0.94]",fuel,rent,air,algae
1,0,-0.5,1.920639,"[0.39, -0.04, 0.16, -0.24, -1.0]",obesity,"[[-1.0, -1.0, -0.55, 0.65, -0.4], [1.0, -1.0, -0.57, 0.09, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.7, -0.44, 0.02], [1.0, -0.24, 0.04, -0.86, -0.35]]","[[-0.52, -0.42, -0.7, -0.79, -0.6], [-0.35, -0.54, -0.71, -0.74, -0.6], [-0.29, -0.42, -0.55, -0.74, -0.6], [0.51, 0.28, -0.2, -0.02, 0.2], [0.75, 0.54, 1.0, -0.15, 0.2]]","[[0.48, -0.62, -1.0, 0.7, -0.08], [-0.85, 0.18, -1.0, 0.12, -0.05], [-0.85, -0.8, -0.05, 0.07, 0.06], [-0.85, -0.05, -1.0, 0.02, 0.28], [-0.85, -0.17, -1.0, 0.02, -0.54]]","[[-0.48, 1.0, 0.9, -0.52, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [1.0, -1.0, 0.37, 0.35, -1.0]]","[-0.89, -0.68, -0.98, -0.85, 0.3]","[-0.94, -0.75, -0.9, -0.4, -0.39]","[0.3, -0.36, 0.05, -0.5, -0.49]","[0.85, 0.32, 0.47, 0.59, 0.54]",prefecture,car,concrete,bone
1,1,-0.83,-0.3037306,"[0.97, -0.09, 0.89, -0.19, -1.0]",obesity,"[[-1.0, -1.0, -0.55, 0.65, -0.4], [1.0, -1.0, -0.57, 0.09, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.7, -0.44, 0.02], [1.0, -0.24, 0.04, -0.86, -0.35]]","[[-0.52, -0.42, -0.7, -0.79, -0.6], [-0.35, -0.54, -0.71, -0.74, -0.6], [-0.29, -0.42, -0.55, -0.74, -0.6], [0.51, 0.28, -0.2, -0.02, 0.2], [0.75, 0.54, 1.0, -0.15, 0.2]]","[[0.48, -0.62, -1.0, 0.7, -0.08], [-0.85, 0.18, -1.0, 0.12, -0.05], [-0.85, -0.8, -0.05, 0.07, 0.06], [-0.85, -0.05, -1.0, 0.02, 0.28], [-0.85, -0.17, -1.0, 0.02, -0.54]]","[[-0.48, 1.0, 0.9, -0.52, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [1.0, -1.0, 0.37, 0.35, -1.0]]","[-0.89, -0.68, -0.98, -0.85, 0.3]","[-0.94, -0.75, -0.9, -0.4, -0.39]","[0.3, -0.36, 0.05, -0.5, -0.49]","[0.85, 0.32, 0.47, 0.59, 0.54]",prefecture,car,concrete,bone
1,2,0.0,1.2975036,"[-0.74, -0.59, -0.86, -0.6, 1.0]",obesity,"[[-1.0, -1.0, -0.55, 0.65, -0.4], [1.0, -1.0, -0.57, 0.09, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.7, -0.44, 0.02], [1.0, -0.24, 0.04, -0.86, -0.35]]","[[-0.52, -0.42, -0.7, -0.79, -0.6], [-0.35, -0.54, -0.71, -0.74, -0.6], [-0.29, -0.42, -0.55, -0.74, -0.6], [0.51, 0.28, -0.2, -0.02, 0.2], [0.75, 0.54, 1.0, -0.15, 0.2]]","[[0.48, -0.62, -1.0, 0.7, -0.08], [-0.85, 0.18, -1.0, 0.12, -0.05], [-0.85, -0.8, -0.05, 0.07, 0.06], [-0.85, -0.05, -1.0, 0.02, 0.28], [-0.85, -0.17, -1.0, 0.02, -0.54]]","[[-0.48, 1.0, 0.9, -0.52, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [1.0, -1.0, 0.37, 0.35, -1.0]]","[-0.89, -0.68, -0.98, -0.85, 0.3]","[-0.94, -0.75, -0.9, -0.4, -0.39]","[0.3, -0.36, 0.05, -0.5, -0.49]","[0.85, 0.32, 0.47, 0.59, 0.54]",prefecture,car,concrete,bone
1,3,0.33,1.8238039,"[-0.01, -0.18, 0.08, -0.3, 1.0]",obesity,"[[-1.0, -1.0, -0.55, 0.65, -0.4], [1.0, -1.0, -0.57, 0.09, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.7, -0.44, 0.02], [1.0, -0.24, 0.04, -0.86, -0.35]]","[[-0.52, -0.42, -0.7, -0.79, -0.6], [-0.35, -0.54, -0.71, -0.74, -0.6], [-0.29, -0.42, -0.55, -0.74, -0.6], [0.51, 0.28, -0.2, -0.02, 0.2], [0.75, 0.54, 1.0, -0.15, 0.2]]","[[0.48, -0.62, -1.0, 0.7, -0.08], [-0.85, 0.18, -1.0, 0.12, -0.05], [-0.85, -0.8, -0.05, 0.07, 0.06], [-0.85, -0.05, -1.0, 0.02, 0.28], [-0.85, -0.17, -1.0, 0.02, -0.54]]","[[-0.48, 1.0, 0.9, -0.52, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [1.0, -1.0, 0.37, 0.35, -1.0]]","[-0.89, -0.68, -0.98, -0.85, 0.3]","[-0.94, -0.75, -0.9, -0.4, -0.39]","[0.3, -0.36, 0.05, -0.5, -0.49]","[0.85, 0.32, 0.47, 0.59, 0.54]",prefecture,car,concrete,bone
1,4,0.67,0.40400338,"[-0.75, -0.28, 0.04, -0.45, 1.0]",obesity,"[[-1.0, -1.0, -0.55, 0.65, -0.4], [1.0, -1.0, -0.57, 0.09, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.7, -0.44, 0.02], [1.0, -0.24, 0.04, -0.86, -0.35]]","[[-0.52, -0.42, -0.7, -0.79, -0.6], [-0.35, -0.54, -0.71, -0.74, -0.6], [-0.29, -0.42, -0.55, -0.74, -0.6], [0.51, 0.28, -0.2, -0.02, 0.2], [0.75, 0.54, 1.0, -0.15, 0.2]]","[[0.48, -0.62, -1.0, 0.7, -0.08], [-0.85, 0.18, -1.0, 0.12, -0.05], [-0.85, -0.8, -0.05, 0.07, 0.06], [-0.85, -0.05, -1.0, 0.02, 0.28], [-0.85, -0.17, -1.0, 0.02, -0.54]]","[[-0.48, 1.0, 0.9, -0.52, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [0.35, 1.0, 0.9, -0.31, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [1.0, -1.0, 0.37, 0.35, -1.0]]","[-0.89, -0.68, -0.98, -0.85, 0.3]","[-0.94, -0.75, -0.9, -0.4, -0.39]","[0.3, -0.36, 0.05, -0.5, -0.49]","[0.85, 0.32, 0.47, 0.59, 0.54]",prefecture,car,concrete,bone
