run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.4,0.59603596,"[1.0, 1.0, 0.71, 0.0, -0.33]",rent,"[[-0.76, -0.76, -0.86, -0.76, -0.89], [-0.64, -0.6, -0.81, -0.66, -0.73], [-0.12, -0.12, -0.35, -0.08, -0.17], [-0.64, -0.73, -0.88, -0.7, -0.87], [-0.74, -0.74, -1.0, -0.99, -0.82]]","[[-0.94, -0.94, -1.0, -0.88, -0.98], [0.34, -0.98, -0.93, -0.79, -0.95], [-0.42, -1.0, -0.99, -0.83, -0.95], [-1.0, -1.0, -0.99, -0.87, -0.97], [0.02, -0.8, -0.83, -0.8, -0.92]]","[[-0.57, 1.0, -0.24, -0.14, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [0.22, -1.0, -0.71, 0.59, 1.0], [-0.3, 1.0, 0.52, -0.11, -1.0], [-0.87, 1.0, -0.24, -0.97, 1.0]]","[[-0.89, -0.88, -0.86, -0.34, -0.3], [-0.63, -0.59, -0.81, 0.21, 0.23], [-0.29, -0.17, -0.69, 0.43, 0.43], [-0.02, 0.09, -0.72, 0.65, 0.61], [-0.44, -0.17, -0.76, 0.39, 0.39]]","[0.09, 0.06, -0.43, -0.14, 0.18]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.77, 0.65, -1.0, 0.09, 0.85]","[-0.64, -0.43, -0.43, 0.0, -0.5]",dropout,news,bone,abalone
0,1,-0.31,2.4093204,"[1.0, 1.0, 0.28, -0.33, -0.56]",rent,"[[-0.76, -0.76, -0.86, -0.76, -0.89], [-0.64, -0.6, -0.81, -0.66, -0.73], [-0.12, -0.12, -0.35, -0.08, -0.17], [-0.64, -0.73, -0.88, -0.7, -0.87], [-0.74, -0.74, -1.0, -0.99, -0.82]]","[[-0.94, -0.94, -1.0, -0.88, -0.98], [0.34, -0.98, -0.93, -0.79, -0.95], [-0.42, -1.0, -0.99, -0.83, -0.95], [-1.0, -1.0, -0.99, -0.87, -0.97], [0.02, -0.8, -0.83, -0.8, -0.92]]","[[-0.57, 1.0, -0.24, -0.14, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [0.22, -1.0, -0.71, 0.59, 1.0], [-0.3, 1.0, 0.52, -0.11, -1.0], [-0.87, 1.0, -0.24, -0.97, 1.0]]","[[-0.89, -0.88, -0.86, -0.34, -0.3], [-0.63, -0.59, -0.81, 0.21, 0.23], [-0.29, -0.17, -0.69, 0.43, 0.43], [-0.02, 0.09, -0.72, 0.65, 0.61], [-0.44, -0.17, -0.76, 0.39, 0.39]]","[0.09, 0.06, -0.43, -0.14, 0.18]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.77, 0.65, -1.0, 0.09, 0.85]","[-0.64, -0.43, -0.43, 0.0, -0.5]",dropout,news,bone,abalone
0,2,-0.37,-0.07611656,"[1.0, 1.0, 0.18, -1.0, -0.73]",rent,"[[-0.76, -0.76, -0.86, -0.76, -0.89], [-0.64, -0.6, -0.81, -0.66, -0.73], [-0.12, -0.12, -0.35, -0.08, -0.17], [-0.64, -0.73, -0.88, -0.7, -0.87], [-0.74, -0.74, -1.0, -0.99, -0.82]]","[[-0.94, -0.94, -1.0, -0.88, -0.98], [0.34, -0.98, -0.93, -0.79, -0.95], [-0.42, -1.0, -0.99, -0.83, -0.95], [-1.0, -1.0, -0.99, -0.87, -0.97], [0.02, -0.8, -0.83, -0.8, -0.92]]","[[-0.57, 1.0, -0.24, -0.14, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [0.22, -1.0, -0.71, 0.59, 1.0], [-0.3, 1.0, 0.52, -0.11, -1.0], [-0.87, 1.0, -0.24, -0.97, 1.0]]","[[-0.89, -0.88, -0.86, -0.34, -0.3], [-0.63, -0.59, -0.81, 0.21, 0.23], [-0.29, -0.17, -0.69, 0.43, 0.43], [-0.02, 0.09, -0.72, 0.65, 0.61], [-0.44, -0.17, -0.76, 0.39, 0.39]]","[0.09, 0.06, -0.43, -0.14, 0.18]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.77, 0.65, -1.0, 0.09, 0.85]","[-0.64, -0.43, -0.43, 0.0, -0.5]",dropout,news,bone,abalone
0,3,-0.18,0.11725694,"[1.0, 1.0, 0.47, -0.33, -0.65]",rent,"[[-0.76, -0.76, -0.86, -0.76, -0.89], [-0.64, -0.6, -0.81, -0.66, -0.73], [-0.12, -0.12, -0.35, -0.08, -0.17], [-0.64, -0.73, -0.88, -0.7, -0.87], [-0.74, -0.74, -1.0, -0.99, -0.82]]","[[-0.94, -0.94, -1.0, -0.88, -0.98], [0.34, -0.98, -0.93, -0.79, -0.95], [-0.42, -1.0, -0.99, -0.83, -0.95], [-1.0, -1.0, -0.99, -0.87, -0.97], [0.02, -0.8, -0.83, -0.8, -0.92]]","[[-0.57, 1.0, -0.24, -0.14, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [0.22, -1.0, -0.71, 0.59, 1.0], [-0.3, 1.0, 0.52, -0.11, -1.0], [-0.87, 1.0, -0.24, -0.97, 1.0]]","[[-0.89, -0.88, -0.86, -0.34, -0.3], [-0.63, -0.59, -0.81, 0.21, 0.23], [-0.29, -0.17, -0.69, 0.43, 0.43], [-0.02, 0.09, -0.72, 0.65, 0.61], [-0.44, -0.17, -0.76, 0.39, 0.39]]","[0.09, 0.06, -0.43, -0.14, 0.18]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.77, 0.65, -1.0, 0.09, 0.85]","[-0.64, -0.43, -0.43, 0.0, -0.5]",dropout,news,bone,abalone
0,4,-0.03,1.5670027,"[1.0, 1.0, 0.81, -0.33, -0.73]",rent,"[[-0.76, -0.76, -0.86, -0.76, -0.89], [-0.64, -0.6, -0.81, -0.66, -0.73], [-0.12, -0.12, -0.35, -0.08, -0.17], [-0.64, -0.73, -0.88, -0.7, -0.87], [-0.74, -0.74, -1.0, -0.99, -0.82]]","[[-0.94, -0.94, -1.0, -0.88, -0.98], [0.34, -0.98, -0.93, -0.79, -0.95], [-0.42, -1.0, -0.99, -0.83, -0.95], [-1.0, -1.0, -0.99, -0.87, -0.97], [0.02, -0.8, -0.83, -0.8, -0.92]]","[[-0.57, 1.0, -0.24, -0.14, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [0.22, -1.0, -0.71, 0.59, 1.0], [-0.3, 1.0, 0.52, -0.11, -1.0], [-0.87, 1.0, -0.24, -0.97, 1.0]]","[[-0.89, -0.88, -0.86, -0.34, -0.3], [-0.63, -0.59, -0.81, 0.21, 0.23], [-0.29, -0.17, -0.69, 0.43, 0.43], [-0.02, 0.09, -0.72, 0.65, 0.61], [-0.44, -0.17, -0.76, 0.39, 0.39]]","[0.09, 0.06, -0.43, -0.14, 0.18]","[-1.0, -1.0, -0.99, -1.0, -1.0]","[0.77, 0.65, -1.0, 0.09, 0.85]","[-0.64, -0.43, -0.43, 0.0, -0.5]",dropout,news,bone,abalone
1,0,-0.25,0.62866914,"[-1.0, 1.0, 0.9, 0.0, -0.37]",rent,"[[-0.74, -0.43, -0.78, 0.41, 0.22], [0.48, -0.14, -0.07, -0.76, 0.06], [0.57, 0.14, -0.5, -0.65, 0.22], [0.04, -0.71, -0.71, -0.53, -0.25], [-0.74, -0.43, -0.14, 0.29, 0.05]]","[[-0.67, -0.57, -0.61, -0.19, 1.0], [-0.56, -0.46, -0.4, -0.45, 1.0], [-0.74, 0.11, -0.83, -0.4, 1.0], [-0.05, -0.39, 0.31, -0.7, -1.0], [-0.5, -0.35, -0.68, -0.52, 1.0]]","[[0.75, 0.54, 1.0, -0.15, 0.2], [0.01, -0.13, -0.18, -0.45, -0.6], [-0.78, -0.8, -0.88, -0.87, -1.0], [0.12, -0.03, -0.22, -0.4, -0.6], [-0.1, 0.28, -0.31, -0.53, -0.6]]","[[-0.67, -1.0, -0.33, -0.94, -0.48], [-1.0, 1.0, 0.33, -0.28, -0.61], [0.0, 1.0, -0.33, -0.76, 0.1], [-0.67, -1.0, -0.33, -0.06, -0.23], [-1.0, -1.0, -1.0, 0.06, 0.35]]","[-0.59, -0.21, -0.33, -0.52, 0.37]","[0.83, 0.0, 0.33, 0.0, 0.17]","[-0.39, -0.67, -0.97, -0.67, -0.3]","[0.11, 0.22, -0.01, 0.56, 0.62]",afl,obesity,car,birthweight
1,1,-0.48,1.2941942,"[1.0, 1.0, -0.28, -0.33, -0.6]",rent,"[[-0.74, -0.43, -0.78, 0.41, 0.22], [0.48, -0.14, -0.07, -0.76, 0.06], [0.57, 0.14, -0.5, -0.65, 0.22], [0.04, -0.71, -0.71, -0.53, -0.25], [-0.74, -0.43, -0.14, 0.29, 0.05]]","[[-0.67, -0.57, -0.61, -0.19, 1.0], [-0.56, -0.46, -0.4, -0.45, 1.0], [-0.74, 0.11, -0.83, -0.4, 1.0], [-0.05, -0.39, 0.31, -0.7, -1.0], [-0.5, -0.35, -0.68, -0.52, 1.0]]","[[0.75, 0.54, 1.0, -0.15, 0.2], [0.01, -0.13, -0.18, -0.45, -0.6], [-0.78, -0.8, -0.88, -0.87, -1.0], [0.12, -0.03, -0.22, -0.4, -0.6], [-0.1, 0.28, -0.31, -0.53, -0.6]]","[[-0.67, -1.0, -0.33, -0.94, -0.48], [-1.0, 1.0, 0.33, -0.28, -0.61], [0.0, 1.0, -0.33, -0.76, 0.1], [-0.67, -1.0, -0.33, -0.06, -0.23], [-1.0, -1.0, -1.0, 0.06, 0.35]]","[-0.59, -0.21, -0.33, -0.52, 0.37]","[0.83, 0.0, 0.33, 0.0, 0.17]","[-0.39, -0.67, -0.97, -0.67, -0.3]","[0.11, 0.22, -0.01, 0.56, 0.62]",afl,obesity,car,birthweight
1,2,-0.08,-1.2054195,"[1.0, 1.0, 0.2, -1.0, -0.87]",rent,"[[-0.74, -0.43, -0.78, 0.41, 0.22], [0.48, -0.14, -0.07, -0.76, 0.06], [0.57, 0.14, -0.5, -0.65, 0.22], [0.04, -0.71, -0.71, -0.53, -0.25], [-0.74, -0.43, -0.14, 0.29, 0.05]]","[[-0.67, -0.57, -0.61, -0.19, 1.0], [-0.56, -0.46, -0.4, -0.45, 1.0], [-0.74, 0.11, -0.83, -0.4, 1.0], [-0.05, -0.39, 0.31, -0.7, -1.0], [-0.5, -0.35, -0.68, -0.52, 1.0]]","[[0.75, 0.54, 1.0, -0.15, 0.2], [0.01, -0.13, -0.18, -0.45, -0.6], [-0.78, -0.8, -0.88, -0.87, -1.0], [0.12, -0.03, -0.22, -0.4, -0.6], [-0.1, 0.28, -0.31, -0.53, -0.6]]","[[-0.67, -1.0, -0.33, -0.94, -0.48], [-1.0, 1.0, 0.33, -0.28, -0.61], [0.0, 1.0, -0.33, -0.76, 0.1], [-0.67, -1.0, -0.33, -0.06, -0.23], [-1.0, -1.0, -1.0, 0.06, 0.35]]","[-0.59, -0.21, -0.33, -0.52, 0.37]","[0.83, 0.0, 0.33, 0.0, 0.17]","[-0.39, -0.67, -0.97, -0.67, -0.3]","[0.11, 0.22, -0.01, 0.56, 0.62]",afl,obesity,car,birthweight
1,3,-0.31,2.8655815,"[1.0, 1.0, 0.3, 0.0, -0.24]",rent,"[[-0.74, -0.43, -0.78, 0.41, 0.22], [0.48, -0.14, -0.07, -0.76, 0.06], [0.57, 0.14, -0.5, -0.65, 0.22], [0.04, -0.71, -0.71, -0.53, -0.25], [-0.74, -0.43, -0.14, 0.29, 0.05]]","[[-0.67, -0.57, -0.61, -0.19, 1.0], [-0.56, -0.46, -0.4, -0.45, 1.0], [-0.74, 0.11, -0.83, -0.4, 1.0], [-0.05, -0.39, 0.31, -0.7, -1.0], [-0.5, -0.35, -0.68, -0.52, 1.0]]","[[0.75, 0.54, 1.0, -0.15, 0.2], [0.01, -0.13, -0.18, -0.45, -0.6], [-0.78, -0.8, -0.88, -0.87, -1.0], [0.12, -0.03, -0.22, -0.4, -0.6], [-0.1, 0.28, -0.31, -0.53, -0.6]]","[[-0.67, -1.0, -0.33, -0.94, -0.48], [-1.0, 1.0, 0.33, -0.28, -0.61], [0.0, 1.0, -0.33, -0.76, 0.1], [-0.67, -1.0, -0.33, -0.06, -0.23], [-1.0, -1.0, -1.0, 0.06, 0.35]]","[-0.59, -0.21, -0.33, -0.52, 0.37]","[0.83, 0.0, 0.33, 0.0, 0.17]","[-0.39, -0.67, -0.97, -0.67, -0.3]","[0.11, 0.22, -0.01, 0.56, 0.62]",afl,obesity,car,birthweight
1,4,-0.18,1.8313932,"[1.0, 1.0, 0.81, -0.33, -0.39]",rent,"[[-0.74, -0.43, -0.78, 0.41, 0.22], [0.48, -0.14, -0.07, -0.76, 0.06], [0.57, 0.14, -0.5, -0.65, 0.22], [0.04, -0.71, -0.71, -0.53, -0.25], [-0.74, -0.43, -0.14, 0.29, 0.05]]","[[-0.67, -0.57, -0.61, -0.19, 1.0], [-0.56, -0.46, -0.4, -0.45, 1.0], [-0.74, 0.11, -0.83, -0.4, 1.0], [-0.05, -0.39, 0.31, -0.7, -1.0], [-0.5, -0.35, -0.68, -0.52, 1.0]]","[[0.75, 0.54, 1.0, -0.15, 0.2], [0.01, -0.13, -0.18, -0.45, -0.6], [-0.78, -0.8, -0.88, -0.87, -1.0], [0.12, -0.03, -0.22, -0.4, -0.6], [-0.1, 0.28, -0.31, -0.53, -0.6]]","[[-0.67, -1.0, -0.33, -0.94, -0.48], [-1.0, 1.0, 0.33, -0.28, -0.61], [0.0, 1.0, -0.33, -0.76, 0.1], [-0.67, -1.0, -0.33, -0.06, -0.23], [-1.0, -1.0, -1.0, 0.06, 0.35]]","[-0.59, -0.21, -0.33, -0.52, 0.37]","[0.83, 0.0, 0.33, 0.0, 0.17]","[-0.39, -0.67, -0.97, -0.67, -0.3]","[0.11, 0.22, -0.01, 0.56, 0.62]",afl,obesity,car,birthweight
