run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.09,1.2597674,"[0.27, 0.35, 0.0, 0.2, 1.0]",schooling,"[[-0.3, 1.0, 0.52, -0.11, -1.0], [-0.0, -1.0, 0.33, 0.31, -1.0], [-0.3, 1.0, -0.05, -0.4, -1.0], [-0.13, -1.0, -0.81, 0.22, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0]]","[[0.22, -0.43, -0.76, -0.65, 0.14], [-0.57, -0.43, 0.12, -0.06, 0.46], [-0.83, -0.43, 0.01, 0.29, -0.28], [-0.48, 0.14, -0.47, -0.41, 0.58], [1.0, -0.43, 0.25, -0.29, 0.2]]","[[-0.29, -0.39, -0.2, -0.4, -0.4], [-0.19, 0.17, -0.2, 0.0, 0.4], [-0.07, -0.04, 0.4, -0.2, -0.2], [0.15, -0.39, -1.0, -0.8, 0.6], [-0.07, -0.35, -0.8, -0.8, 0.6]]","[[0.1, -0.82, -0.11, -0.8, -0.41], [-0.39, -0.76, -0.36, -0.77, -0.83], [-0.06, -0.78, -0.57, -0.79, -0.63], [-0.65, -0.63, -0.42, -0.85, -0.06], [-0.74, -0.51, -0.37, -0.76, -0.71]]","[0.09, -0.34, 0.06, -0.01, 0.22]","[-0.69, -0.52, -0.71, -0.46, 0.37]","[-0.48, 0.07, 0.08, -0.28, 0.26]","[-0.33, 0.0, -0.33, -0.33, -0.33]",bone,afl,schooling,whitewine
0,1,0.34,0.07277012,"[0.07, 0.3, -0.6, -0.4, -0.2]",schooling,"[[-0.3, 1.0, 0.52, -0.11, -1.0], [-0.0, -1.0, 0.33, 0.31, -1.0], [-0.3, 1.0, -0.05, -0.4, -1.0], [-0.13, -1.0, -0.81, 0.22, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0]]","[[0.22, -0.43, -0.76, -0.65, 0.14], [-0.57, -0.43, 0.12, -0.06, 0.46], [-0.83, -0.43, 0.01, 0.29, -0.28], [-0.48, 0.14, -0.47, -0.41, 0.58], [1.0, -0.43, 0.25, -0.29, 0.2]]","[[-0.29, -0.39, -0.2, -0.4, -0.4], [-0.19, 0.17, -0.2, 0.0, 0.4], [-0.07, -0.04, 0.4, -0.2, -0.2], [0.15, -0.39, -1.0, -0.8, 0.6], [-0.07, -0.35, -0.8, -0.8, 0.6]]","[[0.1, -0.82, -0.11, -0.8, -0.41], [-0.39, -0.76, -0.36, -0.77, -0.83], [-0.06, -0.78, -0.57, -0.79, -0.63], [-0.65, -0.63, -0.42, -0.85, -0.06], [-0.74, -0.51, -0.37, -0.76, -0.71]]","[0.09, -0.34, 0.06, -0.01, 0.22]","[-0.69, -0.52, -0.71, -0.46, 0.37]","[-0.48, 0.07, 0.08, -0.28, 0.26]","[-0.33, 0.0, -0.33, -0.33, -0.33]",bone,afl,schooling,whitewine
0,2,0.26,2.467288,"[0.01, 0.43, -0.8, -1.0, -0.2]",schooling,"[[-0.3, 1.0, 0.52, -0.11, -1.0], [-0.0, -1.0, 0.33, 0.31, -1.0], [-0.3, 1.0, -0.05, -0.4, -1.0], [-0.13, -1.0, -0.81, 0.22, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0]]","[[0.22, -0.43, -0.76, -0.65, 0.14], [-0.57, -0.43, 0.12, -0.06, 0.46], [-0.83, -0.43, 0.01, 0.29, -0.28], [-0.48, 0.14, -0.47, -0.41, 0.58], [1.0, -0.43, 0.25, -0.29, 0.2]]","[[-0.29, -0.39, -0.2, -0.4, -0.4], [-0.19, 0.17, -0.2, 0.0, 0.4], [-0.07, -0.04, 0.4, -0.2, -0.2], [0.15, -0.39, -1.0, -0.8, 0.6], [-0.07, -0.35, -0.8, -0.8, 0.6]]","[[0.1, -0.82, -0.11, -0.8, -0.41], [-0.39, -0.76, -0.36, -0.77, -0.83], [-0.06, -0.78, -0.57, -0.79, -0.63], [-0.65, -0.63, -0.42, -0.85, -0.06], [-0.74, -0.51, -0.37, -0.76, -0.71]]","[0.09, -0.34, 0.06, -0.01, 0.22]","[-0.69, -0.52, -0.71, -0.46, 0.37]","[-0.48, 0.07, 0.08, -0.28, 0.26]","[-0.33, 0.0, -0.33, -0.33, -0.33]",bone,afl,schooling,whitewine
0,3,-0.29,0.17120671,"[-0.31, -0.3, -0.6, -0.8, -0.2]",schooling,"[[-0.3, 1.0, 0.52, -0.11, -1.0], [-0.0, -1.0, 0.33, 0.31, -1.0], [-0.3, 1.0, -0.05, -0.4, -1.0], [-0.13, -1.0, -0.81, 0.22, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0]]","[[0.22, -0.43, -0.76, -0.65, 0.14], [-0.57, -0.43, 0.12, -0.06, 0.46], [-0.83, -0.43, 0.01, 0.29, -0.28], [-0.48, 0.14, -0.47, -0.41, 0.58], [1.0, -0.43, 0.25, -0.29, 0.2]]","[[-0.29, -0.39, -0.2, -0.4, -0.4], [-0.19, 0.17, -0.2, 0.0, 0.4], [-0.07, -0.04, 0.4, -0.2, -0.2], [0.15, -0.39, -1.0, -0.8, 0.6], [-0.07, -0.35, -0.8, -0.8, 0.6]]","[[0.1, -0.82, -0.11, -0.8, -0.41], [-0.39, -0.76, -0.36, -0.77, -0.83], [-0.06, -0.78, -0.57, -0.79, -0.63], [-0.65, -0.63, -0.42, -0.85, -0.06], [-0.74, -0.51, -0.37, -0.76, -0.71]]","[0.09, -0.34, 0.06, -0.01, 0.22]","[-0.69, -0.52, -0.71, -0.46, 0.37]","[-0.48, 0.07, 0.08, -0.28, 0.26]","[-0.33, 0.0, -0.33, -0.33, -0.33]",bone,afl,schooling,whitewine
0,4,0.31,1.7705805,"[0.03, 0.13, 0.6, 0.8, 1.0]",schooling,"[[-0.3, 1.0, 0.52, -0.11, -1.0], [-0.0, -1.0, 0.33, 0.31, -1.0], [-0.3, 1.0, -0.05, -0.4, -1.0], [-0.13, -1.0, -0.81, 0.22, 1.0], [-0.17, 1.0, -0.05, -0.51, -1.0]]","[[0.22, -0.43, -0.76, -0.65, 0.14], [-0.57, -0.43, 0.12, -0.06, 0.46], [-0.83, -0.43, 0.01, 0.29, -0.28], [-0.48, 0.14, -0.47, -0.41, 0.58], [1.0, -0.43, 0.25, -0.29, 0.2]]","[[-0.29, -0.39, -0.2, -0.4, -0.4], [-0.19, 0.17, -0.2, 0.0, 0.4], [-0.07, -0.04, 0.4, -0.2, -0.2], [0.15, -0.39, -1.0, -0.8, 0.6], [-0.07, -0.35, -0.8, -0.8, 0.6]]","[[0.1, -0.82, -0.11, -0.8, -0.41], [-0.39, -0.76, -0.36, -0.77, -0.83], [-0.06, -0.78, -0.57, -0.79, -0.63], [-0.65, -0.63, -0.42, -0.85, -0.06], [-0.74, -0.51, -0.37, -0.76, -0.71]]","[0.09, -0.34, 0.06, -0.01, 0.22]","[-0.69, -0.52, -0.71, -0.46, 0.37]","[-0.48, 0.07, 0.08, -0.28, 0.26]","[-0.33, 0.0, -0.33, -0.33, -0.33]",bone,afl,schooling,whitewine
1,0,-0.72,1.4299655,"[0.31, 0.13, -0.2, -0.2, 0.8]",schooling,"[[-0.96, -0.6, -0.45, -1.0, -0.01], [-0.97, 1.0, -0.45, -1.0, -0.52], [0.24, -0.6, -0.82, 0.77, -0.62], [-0.83, -1.0, 1.0, -0.73, -0.98], [-0.56, -1.0, 0.45, -0.34, -0.82]]","[[-0.33, -1.0, -0.33, 0.24, -0.55], [-1.0, -1.0, -0.33, -0.12, -0.29], [-1.0, -1.0, -0.33, -0.61, -0.81], [-0.67, 1.0, -0.33, -1.0, -0.61], [-0.67, 1.0, -0.33, -0.47, -0.61]]","[[-0.21, -0.21, -0.31, -0.18, -0.28], [-0.82, -0.89, -0.92, -0.86, -0.89], [-1.0, -0.85, -0.96, -1.0, -0.84], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.4, -0.49, -0.58, -0.31, -0.71]]","[[-0.01, -0.18, 0.08, -0.3, 1.0], [-0.6, -0.43, 0.06, -0.47, 1.0], [0.64, -0.4, 0.55, -0.34, -1.0], [-0.42, -0.55, -0.51, -0.66, 1.0], [-0.7, -0.42, -0.3, -0.49, 1.0]]","[-0.14, 0.46, -0.72, 0.17, -0.37]","[0.09, 0.06, 0.03, -0.3, -0.37]","[-0.51, 0.05, -0.27, -0.04, -0.53]","[0.33, -0.33, -1.0, 0.33, 0.17]",airfoil,birthweight,dropout,obesity
1,1,0.16,0.69762075,"[0.31, 0.43, -0.4, -0.2, 0.6]",schooling,"[[-0.96, -0.6, -0.45, -1.0, -0.01], [-0.97, 1.0, -0.45, -1.0, -0.52], [0.24, -0.6, -0.82, 0.77, -0.62], [-0.83, -1.0, 1.0, -0.73, -0.98], [-0.56, -1.0, 0.45, -0.34, -0.82]]","[[-0.33, -1.0, -0.33, 0.24, -0.55], [-1.0, -1.0, -0.33, -0.12, -0.29], [-1.0, -1.0, -0.33, -0.61, -0.81], [-0.67, 1.0, -0.33, -1.0, -0.61], [-0.67, 1.0, -0.33, -0.47, -0.61]]","[[-0.21, -0.21, -0.31, -0.18, -0.28], [-0.82, -0.89, -0.92, -0.86, -0.89], [-1.0, -0.85, -0.96, -1.0, -0.84], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.4, -0.49, -0.58, -0.31, -0.71]]","[[-0.01, -0.18, 0.08, -0.3, 1.0], [-0.6, -0.43, 0.06, -0.47, 1.0], [0.64, -0.4, 0.55, -0.34, -1.0], [-0.42, -0.55, -0.51, -0.66, 1.0], [-0.7, -0.42, -0.3, -0.49, 1.0]]","[-0.14, 0.46, -0.72, 0.17, -0.37]","[0.09, 0.06, 0.03, -0.3, -0.37]","[-0.51, 0.05, -0.27, -0.04, -0.53]","[0.33, -0.33, -1.0, 0.33, 0.17]",airfoil,birthweight,dropout,obesity
1,2,0.12,1.5470307,"[-0.37, -0.57, 0.2, -0.6, -0.6]",schooling,"[[-0.96, -0.6, -0.45, -1.0, -0.01], [-0.97, 1.0, -0.45, -1.0, -0.52], [0.24, -0.6, -0.82, 0.77, -0.62], [-0.83, -1.0, 1.0, -0.73, -0.98], [-0.56, -1.0, 0.45, -0.34, -0.82]]","[[-0.33, -1.0, -0.33, 0.24, -0.55], [-1.0, -1.0, -0.33, -0.12, -0.29], [-1.0, -1.0, -0.33, -0.61, -0.81], [-0.67, 1.0, -0.33, -1.0, -0.61], [-0.67, 1.0, -0.33, -0.47, -0.61]]","[[-0.21, -0.21, -0.31, -0.18, -0.28], [-0.82, -0.89, -0.92, -0.86, -0.89], [-1.0, -0.85, -0.96, -1.0, -0.84], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.4, -0.49, -0.58, -0.31, -0.71]]","[[-0.01, -0.18, 0.08, -0.3, 1.0], [-0.6, -0.43, 0.06, -0.47, 1.0], [0.64, -0.4, 0.55, -0.34, -1.0], [-0.42, -0.55, -0.51, -0.66, 1.0], [-0.7, -0.42, -0.3, -0.49, 1.0]]","[-0.14, 0.46, -0.72, 0.17, -0.37]","[0.09, 0.06, 0.03, -0.3, -0.37]","[-0.51, 0.05, -0.27, -0.04, -0.53]","[0.33, -0.33, -1.0, 0.33, 0.17]",airfoil,birthweight,dropout,obesity
1,3,0.18,1.7077851,"[-0.11, -0.04, -0.4, -0.2, 0.2]",schooling,"[[-0.96, -0.6, -0.45, -1.0, -0.01], [-0.97, 1.0, -0.45, -1.0, -0.52], [0.24, -0.6, -0.82, 0.77, -0.62], [-0.83, -1.0, 1.0, -0.73, -0.98], [-0.56, -1.0, 0.45, -0.34, -0.82]]","[[-0.33, -1.0, -0.33, 0.24, -0.55], [-1.0, -1.0, -0.33, -0.12, -0.29], [-1.0, -1.0, -0.33, -0.61, -0.81], [-0.67, 1.0, -0.33, -1.0, -0.61], [-0.67, 1.0, -0.33, -0.47, -0.61]]","[[-0.21, -0.21, -0.31, -0.18, -0.28], [-0.82, -0.89, -0.92, -0.86, -0.89], [-1.0, -0.85, -0.96, -1.0, -0.84], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.4, -0.49, -0.58, -0.31, -0.71]]","[[-0.01, -0.18, 0.08, -0.3, 1.0], [-0.6, -0.43, 0.06, -0.47, 1.0], [0.64, -0.4, 0.55, -0.34, -1.0], [-0.42, -0.55, -0.51, -0.66, 1.0], [-0.7, -0.42, -0.3, -0.49, 1.0]]","[-0.14, 0.46, -0.72, 0.17, -0.37]","[0.09, 0.06, 0.03, -0.3, -0.37]","[-0.51, 0.05, -0.27, -0.04, -0.53]","[0.33, -0.33, -1.0, 0.33, 0.17]",airfoil,birthweight,dropout,obesity
1,4,0.12,1.7269347,"[0.03, 0.43, -0.6, -0.6, 0.6]",schooling,"[[-0.96, -0.6, -0.45, -1.0, -0.01], [-0.97, 1.0, -0.45, -1.0, -0.52], [0.24, -0.6, -0.82, 0.77, -0.62], [-0.83, -1.0, 1.0, -0.73, -0.98], [-0.56, -1.0, 0.45, -0.34, -0.82]]","[[-0.33, -1.0, -0.33, 0.24, -0.55], [-1.0, -1.0, -0.33, -0.12, -0.29], [-1.0, -1.0, -0.33, -0.61, -0.81], [-0.67, 1.0, -0.33, -1.0, -0.61], [-0.67, 1.0, -0.33, -0.47, -0.61]]","[[-0.21, -0.21, -0.31, -0.18, -0.28], [-0.82, -0.89, -0.92, -0.86, -0.89], [-1.0, -0.85, -0.96, -1.0, -0.84], [-0.71, -0.77, -0.94, -0.83, -0.82], [-0.4, -0.49, -0.58, -0.31, -0.71]]","[[-0.01, -0.18, 0.08, -0.3, 1.0], [-0.6, -0.43, 0.06, -0.47, 1.0], [0.64, -0.4, 0.55, -0.34, -1.0], [-0.42, -0.55, -0.51, -0.66, 1.0], [-0.7, -0.42, -0.3, -0.49, 1.0]]","[-0.14, 0.46, -0.72, 0.17, -0.37]","[0.09, 0.06, 0.03, -0.3, -0.37]","[-0.51, 0.05, -0.27, -0.04, -0.53]","[0.33, -0.33, -1.0, 0.33, 0.17]",airfoil,birthweight,dropout,obesity
