run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.0,0.91663337,"[0.19, -0.67, -0.19, -0.71, -0.9]",whitewine,"[[-0.51, -0.6, -0.2, -0.33, 1.0], [0.96, -0.08, -0.02, -0.31, -1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.31, -0.52, -1.0, -0.66, 1.0], [-0.48, -0.3, -0.4, -0.38, 1.0]]","[[-0.9, -0.87, -0.85, -0.9, -0.64], [-0.81, -0.81, -0.8, -0.86, -0.82], [-0.83, -0.39, -0.78, -0.8, -0.55], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.97, -0.92, -0.97, -0.97, -0.82]]","[[-0.3, -0.06, -0.65, 0.43, 0.49], [-0.41, -0.18, -0.72, 0.46, 0.54], [-0.21, 0.17, -0.69, 0.7, 0.69], [-0.55, -0.34, -0.73, 0.33, 0.38], [-0.73, -0.64, -0.79, 0.09, 0.14]]","[[-0.71, -0.77, -0.94, -0.83, -0.82], [-0.07, -0.19, -0.41, -0.21, -0.46], [0.2, 0.18, -0.28, 0.17, -0.06], [-0.53, -0.44, -0.5, -0.47, -0.37], [-0.68, -0.78, -0.76, -0.65, -0.78]]","[0.17, -0.83, 0.0, 0.33, 0.0]","[-0.88, -0.89, -0.51, -0.26, -0.9]","[-0.43, -0.43, -0.29, -0.57, -0.57]","[-0.04, -0.58, -1.0, -0.0, 0.22]",obesity,pitcher,abalone,dropout
0,1,0.33,2.781858,"[0.06, -0.75, -0.59, -0.86, -0.73]",whitewine,"[[-0.51, -0.6, -0.2, -0.33, 1.0], [0.96, -0.08, -0.02, -0.31, -1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.31, -0.52, -1.0, -0.66, 1.0], [-0.48, -0.3, -0.4, -0.38, 1.0]]","[[-0.9, -0.87, -0.85, -0.9, -0.64], [-0.81, -0.81, -0.8, -0.86, -0.82], [-0.83, -0.39, -0.78, -0.8, -0.55], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.97, -0.92, -0.97, -0.97, -0.82]]","[[-0.3, -0.06, -0.65, 0.43, 0.49], [-0.41, -0.18, -0.72, 0.46, 0.54], [-0.21, 0.17, -0.69, 0.7, 0.69], [-0.55, -0.34, -0.73, 0.33, 0.38], [-0.73, -0.64, -0.79, 0.09, 0.14]]","[[-0.71, -0.77, -0.94, -0.83, -0.82], [-0.07, -0.19, -0.41, -0.21, -0.46], [0.2, 0.18, -0.28, 0.17, -0.06], [-0.53, -0.44, -0.5, -0.47, -0.37], [-0.68, -0.78, -0.76, -0.65, -0.78]]","[0.17, -0.83, 0.0, 0.33, 0.0]","[-0.88, -0.89, -0.51, -0.26, -0.9]","[-0.43, -0.43, -0.29, -0.57, -0.57]","[-0.04, -0.58, -1.0, -0.0, 0.22]",obesity,pitcher,abalone,dropout
0,2,0.33,2.1471443,"[-0.68, -0.58, -0.25, -0.69, -0.8]",whitewine,"[[-0.51, -0.6, -0.2, -0.33, 1.0], [0.96, -0.08, -0.02, -0.31, -1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.31, -0.52, -1.0, -0.66, 1.0], [-0.48, -0.3, -0.4, -0.38, 1.0]]","[[-0.9, -0.87, -0.85, -0.9, -0.64], [-0.81, -0.81, -0.8, -0.86, -0.82], [-0.83, -0.39, -0.78, -0.8, -0.55], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.97, -0.92, -0.97, -0.97, -0.82]]","[[-0.3, -0.06, -0.65, 0.43, 0.49], [-0.41, -0.18, -0.72, 0.46, 0.54], [-0.21, 0.17, -0.69, 0.7, 0.69], [-0.55, -0.34, -0.73, 0.33, 0.38], [-0.73, -0.64, -0.79, 0.09, 0.14]]","[[-0.71, -0.77, -0.94, -0.83, -0.82], [-0.07, -0.19, -0.41, -0.21, -0.46], [0.2, 0.18, -0.28, 0.17, -0.06], [-0.53, -0.44, -0.5, -0.47, -0.37], [-0.68, -0.78, -0.76, -0.65, -0.78]]","[0.17, -0.83, 0.0, 0.33, 0.0]","[-0.88, -0.89, -0.51, -0.26, -0.9]","[-0.43, -0.43, -0.29, -0.57, -0.57]","[-0.04, -0.58, -1.0, -0.0, 0.22]",obesity,pitcher,abalone,dropout
0,3,-0.33,2.059894,"[-0.42, -0.72, -0.08, -0.78, -0.61]",whitewine,"[[-0.51, -0.6, -0.2, -0.33, 1.0], [0.96, -0.08, -0.02, -0.31, -1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.31, -0.52, -1.0, -0.66, 1.0], [-0.48, -0.3, -0.4, -0.38, 1.0]]","[[-0.9, -0.87, -0.85, -0.9, -0.64], [-0.81, -0.81, -0.8, -0.86, -0.82], [-0.83, -0.39, -0.78, -0.8, -0.55], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.97, -0.92, -0.97, -0.97, -0.82]]","[[-0.3, -0.06, -0.65, 0.43, 0.49], [-0.41, -0.18, -0.72, 0.46, 0.54], [-0.21, 0.17, -0.69, 0.7, 0.69], [-0.55, -0.34, -0.73, 0.33, 0.38], [-0.73, -0.64, -0.79, 0.09, 0.14]]","[[-0.71, -0.77, -0.94, -0.83, -0.82], [-0.07, -0.19, -0.41, -0.21, -0.46], [0.2, 0.18, -0.28, 0.17, -0.06], [-0.53, -0.44, -0.5, -0.47, -0.37], [-0.68, -0.78, -0.76, -0.65, -0.78]]","[0.17, -0.83, 0.0, 0.33, 0.0]","[-0.88, -0.89, -0.51, -0.26, -0.9]","[-0.43, -0.43, -0.29, -0.57, -0.57]","[-0.04, -0.58, -1.0, -0.0, 0.22]",obesity,pitcher,abalone,dropout
0,4,0.33,1.4530432,"[-0.06, -0.71, -0.51, -0.82, -0.8]",whitewine,"[[-0.51, -0.6, -0.2, -0.33, 1.0], [0.96, -0.08, -0.02, -0.31, -1.0], [0.02, -0.12, 0.01, -0.52, -1.0], [-0.31, -0.52, -1.0, -0.66, 1.0], [-0.48, -0.3, -0.4, -0.38, 1.0]]","[[-0.9, -0.87, -0.85, -0.9, -0.64], [-0.81, -0.81, -0.8, -0.86, -0.82], [-0.83, -0.39, -0.78, -0.8, -0.55], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.97, -0.92, -0.97, -0.97, -0.82]]","[[-0.3, -0.06, -0.65, 0.43, 0.49], [-0.41, -0.18, -0.72, 0.46, 0.54], [-0.21, 0.17, -0.69, 0.7, 0.69], [-0.55, -0.34, -0.73, 0.33, 0.38], [-0.73, -0.64, -0.79, 0.09, 0.14]]","[[-0.71, -0.77, -0.94, -0.83, -0.82], [-0.07, -0.19, -0.41, -0.21, -0.46], [0.2, 0.18, -0.28, 0.17, -0.06], [-0.53, -0.44, -0.5, -0.47, -0.37], [-0.68, -0.78, -0.76, -0.65, -0.78]]","[0.17, -0.83, 0.0, 0.33, 0.0]","[-0.88, -0.89, -0.51, -0.26, -0.9]","[-0.43, -0.43, -0.29, -0.57, -0.57]","[-0.04, -0.58, -1.0, -0.0, 0.22]",obesity,pitcher,abalone,dropout
1,0,0.0,0.95182765,"[-0.26, -0.77, -0.54, -0.8, -0.84]",whitewine,"[[-0.28, -1.0, -0.84, -0.84, -0.71], [0.34, -0.96, -0.94, -0.99, -0.74], [-0.69, -0.18, -0.98, -0.93, -0.85], [-0.22, -0.36, -0.9, -0.88, -0.69], [-0.66, -0.77, -0.96, -0.95, -0.85]]","[[-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.47, -0.3, 0.16], [1.0, -0.24, 0.04, -0.86, -0.35], [1.0, 0.87, -0.29, 0.13, 0.07], [-1.0, -1.0, 1.0, 0.54, 0.02]]","[[-0.08, -0.17, -0.78, -0.48, -0.66], [0.3, 0.35, -0.98, -0.45, -0.48], [-0.56, 0.16, -0.73, -0.13, 0.13], [0.2, 0.63, -0.95, -0.7, -0.68], [0.06, 0.02, -0.92, -0.61, -0.88]]","[[-0.34, -0.19, -0.09, -0.22, 1.0], [-0.62, -0.66, -0.77, -0.71, 1.0], [-0.75, -0.28, 0.04, -0.45, 1.0], [0.34, -0.38, -0.16, -0.74, -1.0], [0.22, -0.23, 0.21, -0.23, -1.0]]","[-0.18, -0.42, -0.86, -0.87, -0.86]","[-0.98, -0.88, 0.3, 0.49, -0.89]","[0.3, 0.45, 0.35, 0.18, 0.25]","[0.0, 0.33, 0.67, -0.33, -0.33]",movie,prefecture,fuel,obesity
1,1,0.33,1.6881526,"[-0.19, -0.65, -0.35, -0.77, -0.69]",whitewine,"[[-0.28, -1.0, -0.84, -0.84, -0.71], [0.34, -0.96, -0.94, -0.99, -0.74], [-0.69, -0.18, -0.98, -0.93, -0.85], [-0.22, -0.36, -0.9, -0.88, -0.69], [-0.66, -0.77, -0.96, -0.95, -0.85]]","[[-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.47, -0.3, 0.16], [1.0, -0.24, 0.04, -0.86, -0.35], [1.0, 0.87, -0.29, 0.13, 0.07], [-1.0, -1.0, 1.0, 0.54, 0.02]]","[[-0.08, -0.17, -0.78, -0.48, -0.66], [0.3, 0.35, -0.98, -0.45, -0.48], [-0.56, 0.16, -0.73, -0.13, 0.13], [0.2, 0.63, -0.95, -0.7, -0.68], [0.06, 0.02, -0.92, -0.61, -0.88]]","[[-0.34, -0.19, -0.09, -0.22, 1.0], [-0.62, -0.66, -0.77, -0.71, 1.0], [-0.75, -0.28, 0.04, -0.45, 1.0], [0.34, -0.38, -0.16, -0.74, -1.0], [0.22, -0.23, 0.21, -0.23, -1.0]]","[-0.18, -0.42, -0.86, -0.87, -0.86]","[-0.98, -0.88, 0.3, 0.49, -0.89]","[0.3, 0.45, 0.35, 0.18, 0.25]","[0.0, 0.33, 0.67, -0.33, -0.33]",movie,prefecture,fuel,obesity
1,2,-0.33,0.93513024,"[-0.55, -0.73, -0.53, -0.8, -0.8]",whitewine,"[[-0.28, -1.0, -0.84, -0.84, -0.71], [0.34, -0.96, -0.94, -0.99, -0.74], [-0.69, -0.18, -0.98, -0.93, -0.85], [-0.22, -0.36, -0.9, -0.88, -0.69], [-0.66, -0.77, -0.96, -0.95, -0.85]]","[[-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.47, -0.3, 0.16], [1.0, -0.24, 0.04, -0.86, -0.35], [1.0, 0.87, -0.29, 0.13, 0.07], [-1.0, -1.0, 1.0, 0.54, 0.02]]","[[-0.08, -0.17, -0.78, -0.48, -0.66], [0.3, 0.35, -0.98, -0.45, -0.48], [-0.56, 0.16, -0.73, -0.13, 0.13], [0.2, 0.63, -0.95, -0.7, -0.68], [0.06, 0.02, -0.92, -0.61, -0.88]]","[[-0.34, -0.19, -0.09, -0.22, 1.0], [-0.62, -0.66, -0.77, -0.71, 1.0], [-0.75, -0.28, 0.04, -0.45, 1.0], [0.34, -0.38, -0.16, -0.74, -1.0], [0.22, -0.23, 0.21, -0.23, -1.0]]","[-0.18, -0.42, -0.86, -0.87, -0.86]","[-0.98, -0.88, 0.3, 0.49, -0.89]","[0.3, 0.45, 0.35, 0.18, 0.25]","[0.0, 0.33, 0.67, -0.33, -0.33]",movie,prefecture,fuel,obesity
1,3,0.33,2.154829,"[0.52, -0.89, -0.34, -0.86, -0.76]",whitewine,"[[-0.28, -1.0, -0.84, -0.84, -0.71], [0.34, -0.96, -0.94, -0.99, -0.74], [-0.69, -0.18, -0.98, -0.93, -0.85], [-0.22, -0.36, -0.9, -0.88, -0.69], [-0.66, -0.77, -0.96, -0.95, -0.85]]","[[-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.47, -0.3, 0.16], [1.0, -0.24, 0.04, -0.86, -0.35], [1.0, 0.87, -0.29, 0.13, 0.07], [-1.0, -1.0, 1.0, 0.54, 0.02]]","[[-0.08, -0.17, -0.78, -0.48, -0.66], [0.3, 0.35, -0.98, -0.45, -0.48], [-0.56, 0.16, -0.73, -0.13, 0.13], [0.2, 0.63, -0.95, -0.7, -0.68], [0.06, 0.02, -0.92, -0.61, -0.88]]","[[-0.34, -0.19, -0.09, -0.22, 1.0], [-0.62, -0.66, -0.77, -0.71, 1.0], [-0.75, -0.28, 0.04, -0.45, 1.0], [0.34, -0.38, -0.16, -0.74, -1.0], [0.22, -0.23, 0.21, -0.23, -1.0]]","[-0.18, -0.42, -0.86, -0.87, -0.86]","[-0.98, -0.88, 0.3, 0.49, -0.89]","[0.3, 0.45, 0.35, 0.18, 0.25]","[0.0, 0.33, 0.67, -0.33, -0.33]",movie,prefecture,fuel,obesity
1,4,0.33,-0.09601903,"[0.42, -0.88, -0.58, -0.85, -0.53]",whitewine,"[[-0.28, -1.0, -0.84, -0.84, -0.71], [0.34, -0.96, -0.94, -0.99, -0.74], [-0.69, -0.18, -0.98, -0.93, -0.85], [-0.22, -0.36, -0.9, -0.88, -0.69], [-0.66, -0.77, -0.96, -0.95, -0.85]]","[[-1.0, -1.0, -0.26, -0.63, -0.12], [-1.0, -1.0, -0.47, -0.3, 0.16], [1.0, -0.24, 0.04, -0.86, -0.35], [1.0, 0.87, -0.29, 0.13, 0.07], [-1.0, -1.0, 1.0, 0.54, 0.02]]","[[-0.08, -0.17, -0.78, -0.48, -0.66], [0.3, 0.35, -0.98, -0.45, -0.48], [-0.56, 0.16, -0.73, -0.13, 0.13], [0.2, 0.63, -0.95, -0.7, -0.68], [0.06, 0.02, -0.92, -0.61, -0.88]]","[[-0.34, -0.19, -0.09, -0.22, 1.0], [-0.62, -0.66, -0.77, -0.71, 1.0], [-0.75, -0.28, 0.04, -0.45, 1.0], [0.34, -0.38, -0.16, -0.74, -1.0], [0.22, -0.23, 0.21, -0.23, -1.0]]","[-0.18, -0.42, -0.86, -0.87, -0.86]","[-0.98, -0.88, 0.3, 0.49, -0.89]","[0.3, 0.45, 0.35, 0.18, 0.25]","[0.0, 0.33, 0.67, -0.33, -0.33]",movie,prefecture,fuel,obesity
