run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.71,-0.02,"[0.48, -0.67, -0.77, -0.74, -0.34]",air,"[[1.0, 1.0, -1.0, 0.0, 0.01], [1.0, 1.0, 0.16, -0.33, -0.67], [1.0, 1.0, 0.86, -0.33, -0.54], [1.0, 1.0, 0.57, 0.0, -0.05], [1.0, 1.0, -0.28, -0.33, -0.57]]","[[-0.95, -0.89, 0.94, -0.94, -0.68], [-0.38, -1.0, 0.12, -0.12, -0.87], [-0.95, -0.78, -0.06, 0.06, -0.72], [-0.93, -0.45, 0.06, 0.44, 1.0], [0.25, -0.63, -0.56, 0.56, -0.99]]","[[0.34, -0.96, -0.94, -0.99, -0.74], [-0.41, -0.7, -0.87, -0.97, -0.67], [-0.34, -0.69, -0.97, -0.93, -0.44], [-0.44, -0.54, -0.98, -1.0, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18]]","[[-0.3, -1.0, 0.52, 0.34, -1.0], [0.26, 1.0, -0.05, -0.71, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [-0.57, 1.0, -0.24, -0.14, -1.0]]","[-0.69, -0.04, -0.02, -0.12, -0.46]","[0.03, -0.48, -0.35, -0.42, -0.61]","[-0.42, 0.15, -0.62, -0.91, 1.0]","[0.54, 0.75, 0.32, 0.65, 0.77]",rent,mussel,movie,bone
0,1,-0.24,-0.42,"[0.15, 0.07, -0.49, -0.64, -0.28]",air,"[[1.0, 1.0, -1.0, 0.0, 0.01], [1.0, 1.0, 0.16, -0.33, -0.67], [1.0, 1.0, 0.86, -0.33, -0.54], [1.0, 1.0, 0.57, 0.0, -0.05], [1.0, 1.0, -0.28, -0.33, -0.57]]","[[-0.95, -0.89, 0.94, -0.94, -0.68], [-0.38, -1.0, 0.12, -0.12, -0.87], [-0.95, -0.78, -0.06, 0.06, -0.72], [-0.93, -0.45, 0.06, 0.44, 1.0], [0.25, -0.63, -0.56, 0.56, -0.99]]","[[0.34, -0.96, -0.94, -0.99, -0.74], [-0.41, -0.7, -0.87, -0.97, -0.67], [-0.34, -0.69, -0.97, -0.93, -0.44], [-0.44, -0.54, -0.98, -1.0, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18]]","[[-0.3, -1.0, 0.52, 0.34, -1.0], [0.26, 1.0, -0.05, -0.71, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [-0.57, 1.0, -0.24, -0.14, -1.0]]","[-0.69, -0.04, -0.02, -0.12, -0.46]","[0.03, -0.48, -0.35, -0.42, -0.61]","[-0.42, 0.15, -0.62, -0.91, 1.0]","[0.54, 0.75, 0.32, 0.65, 0.77]",rent,mussel,movie,bone
0,2,-0.9,-0.67,"[-0.02, -0.34, -0.96, -0.97, 0.09]",air,"[[1.0, 1.0, -1.0, 0.0, 0.01], [1.0, 1.0, 0.16, -0.33, -0.67], [1.0, 1.0, 0.86, -0.33, -0.54], [1.0, 1.0, 0.57, 0.0, -0.05], [1.0, 1.0, -0.28, -0.33, -0.57]]","[[-0.95, -0.89, 0.94, -0.94, -0.68], [-0.38, -1.0, 0.12, -0.12, -0.87], [-0.95, -0.78, -0.06, 0.06, -0.72], [-0.93, -0.45, 0.06, 0.44, 1.0], [0.25, -0.63, -0.56, 0.56, -0.99]]","[[0.34, -0.96, -0.94, -0.99, -0.74], [-0.41, -0.7, -0.87, -0.97, -0.67], [-0.34, -0.69, -0.97, -0.93, -0.44], [-0.44, -0.54, -0.98, -1.0, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18]]","[[-0.3, -1.0, 0.52, 0.34, -1.0], [0.26, 1.0, -0.05, -0.71, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [-0.57, 1.0, -0.24, -0.14, -1.0]]","[-0.69, -0.04, -0.02, -0.12, -0.46]","[0.03, -0.48, -0.35, -0.42, -0.61]","[-0.42, 0.15, -0.62, -0.91, 1.0]","[0.54, 0.75, 0.32, 0.65, 0.77]",rent,mussel,movie,bone
0,3,-0.88,-0.68,"[-0.05, 0.46, -0.83, -0.91, -0.5]",air,"[[1.0, 1.0, -1.0, 0.0, 0.01], [1.0, 1.0, 0.16, -0.33, -0.67], [1.0, 1.0, 0.86, -0.33, -0.54], [1.0, 1.0, 0.57, 0.0, -0.05], [1.0, 1.0, -0.28, -0.33, -0.57]]","[[-0.95, -0.89, 0.94, -0.94, -0.68], [-0.38, -1.0, 0.12, -0.12, -0.87], [-0.95, -0.78, -0.06, 0.06, -0.72], [-0.93, -0.45, 0.06, 0.44, 1.0], [0.25, -0.63, -0.56, 0.56, -0.99]]","[[0.34, -0.96, -0.94, -0.99, -0.74], [-0.41, -0.7, -0.87, -0.97, -0.67], [-0.34, -0.69, -0.97, -0.93, -0.44], [-0.44, -0.54, -0.98, -1.0, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18]]","[[-0.3, -1.0, 0.52, 0.34, -1.0], [0.26, 1.0, -0.05, -0.71, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [-0.57, 1.0, -0.24, -0.14, -1.0]]","[-0.69, -0.04, -0.02, -0.12, -0.46]","[0.03, -0.48, -0.35, -0.42, -0.61]","[-0.42, 0.15, -0.62, -0.91, 1.0]","[0.54, 0.75, 0.32, 0.65, 0.77]",rent,mussel,movie,bone
0,4,0.12,-0.67,"[0.83, 0.46, -0.59, -0.41, -0.61]",air,"[[1.0, 1.0, -1.0, 0.0, 0.01], [1.0, 1.0, 0.16, -0.33, -0.67], [1.0, 1.0, 0.86, -0.33, -0.54], [1.0, 1.0, 0.57, 0.0, -0.05], [1.0, 1.0, -0.28, -0.33, -0.57]]","[[-0.95, -0.89, 0.94, -0.94, -0.68], [-0.38, -1.0, 0.12, -0.12, -0.87], [-0.95, -0.78, -0.06, 0.06, -0.72], [-0.93, -0.45, 0.06, 0.44, 1.0], [0.25, -0.63, -0.56, 0.56, -0.99]]","[[0.34, -0.96, -0.94, -0.99, -0.74], [-0.41, -0.7, -0.87, -0.97, -0.67], [-0.34, -0.69, -0.97, -0.93, -0.44], [-0.44, -0.54, -0.98, -1.0, -0.67], [0.75, -0.07, 1.0, -0.56, -0.18]]","[[-0.3, -1.0, 0.52, 0.34, -1.0], [0.26, 1.0, -0.05, -0.71, -1.0], [-0.13, 1.0, 0.71, -0.74, -1.0], [-0.48, 1.0, 0.33, -0.93, -1.0], [-0.57, 1.0, -0.24, -0.14, -1.0]]","[-0.69, -0.04, -0.02, -0.12, -0.46]","[0.03, -0.48, -0.35, -0.42, -0.61]","[-0.42, 0.15, -0.62, -0.91, 1.0]","[0.54, 0.75, 0.32, 0.65, 0.77]",rent,mussel,movie,bone
1,0,-0.57,-0.67,"[0.34, -0.31, -0.68, -0.85, -0.24]",air,"[[0.26, 0.58, -0.9, -0.73, -0.7], [0.18, 0.26, -0.63, -0.77, 0.73], [0.49, 0.12, -0.95, -0.91, 0.26], [0.6, -0.43, -0.02, -0.23, -0.27], [-0.05, -0.3, -0.66, -0.38, -0.39]]","[[-0.66, -0.61, -0.68, -1.0, 0.16], [-0.86, -0.51, -0.83, -1.0, 0.66], [-0.81, -0.82, -0.81, -1.0, -0.44], [-0.56, -0.12, -0.48, 1.0, 0.44], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.73, -0.96, -1.0, -0.86, -0.96], [-0.91, -0.92, -0.75, -0.75, -0.94], [-0.99, -0.96, -1.0, -0.85, -0.94], [-0.95, -0.96, -0.94, -0.63, -0.88], [-0.98, -0.96, -0.94, -0.88, -0.94]]","[[-0.44, -0.54, -0.98, -1.0, -0.67], [0.25, -0.74, -0.77, -0.85, -0.66], [0.34, -0.35, -0.83, -0.84, -0.34], [0.62, -0.63, -0.88, -0.89, -0.54], [0.47, -0.27, 0.41, -0.87, -0.69]]","[0.04, -0.14, 0.42, 0.02, 0.33]","[-0.74, -0.51, -0.49, -0.46, -0.37]","[-0.93, -0.93, -0.98, -0.92, -0.97]","[-0.91, -0.73, -0.32, -0.32, -0.89]",fuel,plasma,cpu,movie
1,1,-0.59,-0.54,"[0.15, -0.01, -0.58, -0.76, -0.14]",air,"[[0.26, 0.58, -0.9, -0.73, -0.7], [0.18, 0.26, -0.63, -0.77, 0.73], [0.49, 0.12, -0.95, -0.91, 0.26], [0.6, -0.43, -0.02, -0.23, -0.27], [-0.05, -0.3, -0.66, -0.38, -0.39]]","[[-0.66, -0.61, -0.68, -1.0, 0.16], [-0.86, -0.51, -0.83, -1.0, 0.66], [-0.81, -0.82, -0.81, -1.0, -0.44], [-0.56, -0.12, -0.48, 1.0, 0.44], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.73, -0.96, -1.0, -0.86, -0.96], [-0.91, -0.92, -0.75, -0.75, -0.94], [-0.99, -0.96, -1.0, -0.85, -0.94], [-0.95, -0.96, -0.94, -0.63, -0.88], [-0.98, -0.96, -0.94, -0.88, -0.94]]","[[-0.44, -0.54, -0.98, -1.0, -0.67], [0.25, -0.74, -0.77, -0.85, -0.66], [0.34, -0.35, -0.83, -0.84, -0.34], [0.62, -0.63, -0.88, -0.89, -0.54], [0.47, -0.27, 0.41, -0.87, -0.69]]","[0.04, -0.14, 0.42, 0.02, 0.33]","[-0.74, -0.51, -0.49, -0.46, -0.37]","[-0.93, -0.93, -0.98, -0.92, -0.97]","[-0.91, -0.73, -0.32, -0.32, -0.89]",fuel,plasma,cpu,movie
1,2,-0.55,-0.57,"[0.23, 0.37, -0.86, -0.96, -0.01]",air,"[[0.26, 0.58, -0.9, -0.73, -0.7], [0.18, 0.26, -0.63, -0.77, 0.73], [0.49, 0.12, -0.95, -0.91, 0.26], [0.6, -0.43, -0.02, -0.23, -0.27], [-0.05, -0.3, -0.66, -0.38, -0.39]]","[[-0.66, -0.61, -0.68, -1.0, 0.16], [-0.86, -0.51, -0.83, -1.0, 0.66], [-0.81, -0.82, -0.81, -1.0, -0.44], [-0.56, -0.12, -0.48, 1.0, 0.44], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.73, -0.96, -1.0, -0.86, -0.96], [-0.91, -0.92, -0.75, -0.75, -0.94], [-0.99, -0.96, -1.0, -0.85, -0.94], [-0.95, -0.96, -0.94, -0.63, -0.88], [-0.98, -0.96, -0.94, -0.88, -0.94]]","[[-0.44, -0.54, -0.98, -1.0, -0.67], [0.25, -0.74, -0.77, -0.85, -0.66], [0.34, -0.35, -0.83, -0.84, -0.34], [0.62, -0.63, -0.88, -0.89, -0.54], [0.47, -0.27, 0.41, -0.87, -0.69]]","[0.04, -0.14, 0.42, 0.02, 0.33]","[-0.74, -0.51, -0.49, -0.46, -0.37]","[-0.93, -0.93, -0.98, -0.92, -0.97]","[-0.91, -0.73, -0.32, -0.32, -0.89]",fuel,plasma,cpu,movie
1,3,-0.9,-0.57,"[-0.02, -0.34, -0.96, -0.97, 0.09]",air,"[[0.26, 0.58, -0.9, -0.73, -0.7], [0.18, 0.26, -0.63, -0.77, 0.73], [0.49, 0.12, -0.95, -0.91, 0.26], [0.6, -0.43, -0.02, -0.23, -0.27], [-0.05, -0.3, -0.66, -0.38, -0.39]]","[[-0.66, -0.61, -0.68, -1.0, 0.16], [-0.86, -0.51, -0.83, -1.0, 0.66], [-0.81, -0.82, -0.81, -1.0, -0.44], [-0.56, -0.12, -0.48, 1.0, 0.44], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.73, -0.96, -1.0, -0.86, -0.96], [-0.91, -0.92, -0.75, -0.75, -0.94], [-0.99, -0.96, -1.0, -0.85, -0.94], [-0.95, -0.96, -0.94, -0.63, -0.88], [-0.98, -0.96, -0.94, -0.88, -0.94]]","[[-0.44, -0.54, -0.98, -1.0, -0.67], [0.25, -0.74, -0.77, -0.85, -0.66], [0.34, -0.35, -0.83, -0.84, -0.34], [0.62, -0.63, -0.88, -0.89, -0.54], [0.47, -0.27, 0.41, -0.87, -0.69]]","[0.04, -0.14, 0.42, 0.02, 0.33]","[-0.74, -0.51, -0.49, -0.46, -0.37]","[-0.93, -0.93, -0.98, -0.92, -0.97]","[-0.91, -0.73, -0.32, -0.32, -0.89]",fuel,plasma,cpu,movie
1,4,-0.82,-0.92,"[0.03, 0.55, -0.92, -0.96, -0.66]",air,"[[0.26, 0.58, -0.9, -0.73, -0.7], [0.18, 0.26, -0.63, -0.77, 0.73], [0.49, 0.12, -0.95, -0.91, 0.26], [0.6, -0.43, -0.02, -0.23, -0.27], [-0.05, -0.3, -0.66, -0.38, -0.39]]","[[-0.66, -0.61, -0.68, -1.0, 0.16], [-0.86, -0.51, -0.83, -1.0, 0.66], [-0.81, -0.82, -0.81, -1.0, -0.44], [-0.56, -0.12, -0.48, 1.0, 0.44], [-0.02, -0.14, -0.52, 1.0, -0.38]]","[[-0.73, -0.96, -1.0, -0.86, -0.96], [-0.91, -0.92, -0.75, -0.75, -0.94], [-0.99, -0.96, -1.0, -0.85, -0.94], [-0.95, -0.96, -0.94, -0.63, -0.88], [-0.98, -0.96, -0.94, -0.88, -0.94]]","[[-0.44, -0.54, -0.98, -1.0, -0.67], [0.25, -0.74, -0.77, -0.85, -0.66], [0.34, -0.35, -0.83, -0.84, -0.34], [0.62, -0.63, -0.88, -0.89, -0.54], [0.47, -0.27, 0.41, -0.87, -0.69]]","[0.04, -0.14, 0.42, 0.02, 0.33]","[-0.74, -0.51, -0.49, -0.46, -0.37]","[-0.93, -0.93, -0.98, -0.92, -0.97]","[-0.91, -0.73, -0.32, -0.32, -0.89]",fuel,plasma,cpu,movie
