run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.35,-0.04,"[-0.67, -1.0, -0.33, -0.32, -0.35]",birthweight,"[[-0.44, -0.71, -0.63, -0.31, -0.65], [-0.05, -0.28, -0.45, -0.15, -0.2], [-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.7, -0.89, -0.89, -0.69, -0.88]]","[[1.0, -0.99, -0.67, 0.11, 0.02], [-1.0, -1.0, -1.0, -0.35, 1.0], [-1.0, -1.0, -0.34, 0.27, -0.44], [-1.0, -1.0, 1.0, 0.54, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12]]","[[-1.0, -1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0, 0.3], [0.8, 1.0, 0.2, 1.0, 0.23], [-0.7, -0.33, -1.0, 1.0, 0.5], [0.4, 1.0, 0.46, -1.0, 0.56]]","[[-0.74, -0.43, -0.14, 0.29, 0.05], [-0.04, -0.14, -0.2, -0.76, -0.26], [0.57, -0.71, -0.14, -0.88, -0.31], [-0.22, -0.43, 0.05, -0.29, 0.46], [-0.48, 0.14, -0.47, -0.41, 0.58]]","[-0.42, -0.67, -0.04, -0.15, -0.55]","[0.66, -0.78, -0.9, -0.89, -0.98]","[-0.44, 0.37, 0.17, 0.52, 0.33]","[0.37, 0.14, -0.1, 0.73, -0.46]",bodyfat,prefecture,prostate,afl
0,1,0.15,-0.68,"[-0.67, -1.0, -0.33, -0.59, -0.68]",birthweight,"[[-0.44, -0.71, -0.63, -0.31, -0.65], [-0.05, -0.28, -0.45, -0.15, -0.2], [-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.7, -0.89, -0.89, -0.69, -0.88]]","[[1.0, -0.99, -0.67, 0.11, 0.02], [-1.0, -1.0, -1.0, -0.35, 1.0], [-1.0, -1.0, -0.34, 0.27, -0.44], [-1.0, -1.0, 1.0, 0.54, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12]]","[[-1.0, -1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0, 0.3], [0.8, 1.0, 0.2, 1.0, 0.23], [-0.7, -0.33, -1.0, 1.0, 0.5], [0.4, 1.0, 0.46, -1.0, 0.56]]","[[-0.74, -0.43, -0.14, 0.29, 0.05], [-0.04, -0.14, -0.2, -0.76, -0.26], [0.57, -0.71, -0.14, -0.88, -0.31], [-0.22, -0.43, 0.05, -0.29, 0.46], [-0.48, 0.14, -0.47, -0.41, 0.58]]","[-0.42, -0.67, -0.04, -0.15, -0.55]","[0.66, -0.78, -0.9, -0.89, -0.98]","[-0.44, 0.37, 0.17, 0.52, 0.33]","[0.37, 0.14, -0.1, 0.73, -0.46]",bodyfat,prefecture,prostate,afl
0,2,-0.03,0.35,"[-0.67, -1.0, -0.33, -0.79, -0.94]",birthweight,"[[-0.44, -0.71, -0.63, -0.31, -0.65], [-0.05, -0.28, -0.45, -0.15, -0.2], [-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.7, -0.89, -0.89, -0.69, -0.88]]","[[1.0, -0.99, -0.67, 0.11, 0.02], [-1.0, -1.0, -1.0, -0.35, 1.0], [-1.0, -1.0, -0.34, 0.27, -0.44], [-1.0, -1.0, 1.0, 0.54, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12]]","[[-1.0, -1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0, 0.3], [0.8, 1.0, 0.2, 1.0, 0.23], [-0.7, -0.33, -1.0, 1.0, 0.5], [0.4, 1.0, 0.46, -1.0, 0.56]]","[[-0.74, -0.43, -0.14, 0.29, 0.05], [-0.04, -0.14, -0.2, -0.76, -0.26], [0.57, -0.71, -0.14, -0.88, -0.31], [-0.22, -0.43, 0.05, -0.29, 0.46], [-0.48, 0.14, -0.47, -0.41, 0.58]]","[-0.42, -0.67, -0.04, -0.15, -0.55]","[0.66, -0.78, -0.9, -0.89, -0.98]","[-0.44, 0.37, 0.17, 0.52, 0.33]","[0.37, 0.14, -0.1, 0.73, -0.46]",bodyfat,prefecture,prostate,afl
0,3,0.48,-0.03,"[-0.33, -1.0, -0.33, -0.41, -0.03]",birthweight,"[[-0.44, -0.71, -0.63, -0.31, -0.65], [-0.05, -0.28, -0.45, -0.15, -0.2], [-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.7, -0.89, -0.89, -0.69, -0.88]]","[[1.0, -0.99, -0.67, 0.11, 0.02], [-1.0, -1.0, -1.0, -0.35, 1.0], [-1.0, -1.0, -0.34, 0.27, -0.44], [-1.0, -1.0, 1.0, 0.54, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12]]","[[-1.0, -1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0, 0.3], [0.8, 1.0, 0.2, 1.0, 0.23], [-0.7, -0.33, -1.0, 1.0, 0.5], [0.4, 1.0, 0.46, -1.0, 0.56]]","[[-0.74, -0.43, -0.14, 0.29, 0.05], [-0.04, -0.14, -0.2, -0.76, -0.26], [0.57, -0.71, -0.14, -0.88, -0.31], [-0.22, -0.43, 0.05, -0.29, 0.46], [-0.48, 0.14, -0.47, -0.41, 0.58]]","[-0.42, -0.67, -0.04, -0.15, -0.55]","[0.66, -0.78, -0.9, -0.89, -0.98]","[-0.44, 0.37, 0.17, 0.52, 0.33]","[0.37, 0.14, -0.1, 0.73, -0.46]",bodyfat,prefecture,prostate,afl
0,4,-0.01,0.2,"[-1.0, -1.0, -0.33, -0.53, -0.1]",birthweight,"[[-0.44, -0.71, -0.63, -0.31, -0.65], [-0.05, -0.28, -0.45, -0.15, -0.2], [-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.7, -0.89, -0.89, -0.69, -0.88]]","[[1.0, -0.99, -0.67, 0.11, 0.02], [-1.0, -1.0, -1.0, -0.35, 1.0], [-1.0, -1.0, -0.34, 0.27, -0.44], [-1.0, -1.0, 1.0, 0.54, 0.02], [-1.0, -1.0, -0.26, -0.63, -0.12]]","[[-1.0, -1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0, 0.3], [0.8, 1.0, 0.2, 1.0, 0.23], [-0.7, -0.33, -1.0, 1.0, 0.5], [0.4, 1.0, 0.46, -1.0, 0.56]]","[[-0.74, -0.43, -0.14, 0.29, 0.05], [-0.04, -0.14, -0.2, -0.76, -0.26], [0.57, -0.71, -0.14, -0.88, -0.31], [-0.22, -0.43, 0.05, -0.29, 0.46], [-0.48, 0.14, -0.47, -0.41, 0.58]]","[-0.42, -0.67, -0.04, -0.15, -0.55]","[0.66, -0.78, -0.9, -0.89, -0.98]","[-0.44, 0.37, 0.17, 0.52, 0.33]","[0.37, 0.14, -0.1, 0.73, -0.46]",bodyfat,prefecture,prostate,afl
1,0,-0.17,-0.67,"[-0.67, -1.0, -0.33, -0.27, -0.81]",birthweight,"[[-0.93, -0.92, -0.9, -0.93, -0.91], [0.02, 0.16, 0.21, -0.07, 0.36], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.91, -0.74, -0.92, -0.89, -0.82], [-0.91, -0.9, -0.91, -0.9, -0.91]]","[[-0.63, 0.2, 0.45, -0.34, -0.99], [-0.59, 1.0, -1.0, 0.14, -0.77], [-0.08, 0.2, -0.82, 0.39, -0.96], [-0.21, -0.6, -0.09, -0.11, -0.99], [-0.99, -0.6, -0.82, -1.0, 0.24]]","[[-0.03, -0.09, 0.35, -0.52, -1.0], [-0.3, -0.05, -0.25, -0.18, 1.0], [0.62, -0.05, 0.28, -0.33, -1.0], [-0.74, -0.59, -0.86, -0.6, 1.0], [-0.34, -0.19, -0.09, -0.22, 1.0]]","[[-0.62, -0.46, -0.99, -0.94, -0.54], [-0.34, -0.69, -0.97, -0.93, -0.44], [0.59, -0.37, -0.94, -0.89, -0.33], [0.25, -0.74, -0.77, -0.85, -0.66], [-0.41, -0.7, -0.87, -0.97, -0.67]]","[-0.94, -0.62, -0.26, -0.86, -0.92]","[0.76, 0.63, 0.38, 0.33, 0.1]","[0.0, 0.33, 0.0, 0.0, 0.0]","[-0.75, -0.62, -0.5, -0.73, 0.15]",pitcher,airfoil,obesity,movie
1,1,-0.12,-0.17,"[-0.33, 1.0, -0.33, -0.67, -0.55]",birthweight,"[[-0.93, -0.92, -0.9, -0.93, -0.91], [0.02, 0.16, 0.21, -0.07, 0.36], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.91, -0.74, -0.92, -0.89, -0.82], [-0.91, -0.9, -0.91, -0.9, -0.91]]","[[-0.63, 0.2, 0.45, -0.34, -0.99], [-0.59, 1.0, -1.0, 0.14, -0.77], [-0.08, 0.2, -0.82, 0.39, -0.96], [-0.21, -0.6, -0.09, -0.11, -0.99], [-0.99, -0.6, -0.82, -1.0, 0.24]]","[[-0.03, -0.09, 0.35, -0.52, -1.0], [-0.3, -0.05, -0.25, -0.18, 1.0], [0.62, -0.05, 0.28, -0.33, -1.0], [-0.74, -0.59, -0.86, -0.6, 1.0], [-0.34, -0.19, -0.09, -0.22, 1.0]]","[[-0.62, -0.46, -0.99, -0.94, -0.54], [-0.34, -0.69, -0.97, -0.93, -0.44], [0.59, -0.37, -0.94, -0.89, -0.33], [0.25, -0.74, -0.77, -0.85, -0.66], [-0.41, -0.7, -0.87, -0.97, -0.67]]","[-0.94, -0.62, -0.26, -0.86, -0.92]","[0.76, 0.63, 0.38, 0.33, 0.1]","[0.0, 0.33, 0.0, 0.0, 0.0]","[-0.75, -0.62, -0.5, -0.73, 0.15]",pitcher,airfoil,obesity,movie
1,2,0.46,-0.12,"[-0.67, -1.0, -0.33, 0.05, -0.48]",birthweight,"[[-0.93, -0.92, -0.9, -0.93, -0.91], [0.02, 0.16, 0.21, -0.07, 0.36], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.91, -0.74, -0.92, -0.89, -0.82], [-0.91, -0.9, -0.91, -0.9, -0.91]]","[[-0.63, 0.2, 0.45, -0.34, -0.99], [-0.59, 1.0, -1.0, 0.14, -0.77], [-0.08, 0.2, -0.82, 0.39, -0.96], [-0.21, -0.6, -0.09, -0.11, -0.99], [-0.99, -0.6, -0.82, -1.0, 0.24]]","[[-0.03, -0.09, 0.35, -0.52, -1.0], [-0.3, -0.05, -0.25, -0.18, 1.0], [0.62, -0.05, 0.28, -0.33, -1.0], [-0.74, -0.59, -0.86, -0.6, 1.0], [-0.34, -0.19, -0.09, -0.22, 1.0]]","[[-0.62, -0.46, -0.99, -0.94, -0.54], [-0.34, -0.69, -0.97, -0.93, -0.44], [0.59, -0.37, -0.94, -0.89, -0.33], [0.25, -0.74, -0.77, -0.85, -0.66], [-0.41, -0.7, -0.87, -0.97, -0.67]]","[-0.94, -0.62, -0.26, -0.86, -0.92]","[0.76, 0.63, 0.38, 0.33, 0.1]","[0.0, 0.33, 0.0, 0.0, 0.0]","[-0.75, -0.62, -0.5, -0.73, 0.15]",pitcher,airfoil,obesity,movie
1,3,0.36,-0.12,"[-0.33, -1.0, -0.33, -0.36, -0.55]",birthweight,"[[-0.93, -0.92, -0.9, -0.93, -0.91], [0.02, 0.16, 0.21, -0.07, 0.36], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.91, -0.74, -0.92, -0.89, -0.82], [-0.91, -0.9, -0.91, -0.9, -0.91]]","[[-0.63, 0.2, 0.45, -0.34, -0.99], [-0.59, 1.0, -1.0, 0.14, -0.77], [-0.08, 0.2, -0.82, 0.39, -0.96], [-0.21, -0.6, -0.09, -0.11, -0.99], [-0.99, -0.6, -0.82, -1.0, 0.24]]","[[-0.03, -0.09, 0.35, -0.52, -1.0], [-0.3, -0.05, -0.25, -0.18, 1.0], [0.62, -0.05, 0.28, -0.33, -1.0], [-0.74, -0.59, -0.86, -0.6, 1.0], [-0.34, -0.19, -0.09, -0.22, 1.0]]","[[-0.62, -0.46, -0.99, -0.94, -0.54], [-0.34, -0.69, -0.97, -0.93, -0.44], [0.59, -0.37, -0.94, -0.89, -0.33], [0.25, -0.74, -0.77, -0.85, -0.66], [-0.41, -0.7, -0.87, -0.97, -0.67]]","[-0.94, -0.62, -0.26, -0.86, -0.92]","[0.76, 0.63, 0.38, 0.33, 0.1]","[0.0, 0.33, 0.0, 0.0, 0.0]","[-0.75, -0.62, -0.5, -0.73, 0.15]",pitcher,airfoil,obesity,movie
1,4,-0.43,0.0,"[-0.67, -1.0, -1.0, -0.12, -0.35]",birthweight,"[[-0.93, -0.92, -0.9, -0.93, -0.91], [0.02, 0.16, 0.21, -0.07, 0.36], [-0.74, 0.04, -0.61, -0.72, -0.27], [-0.91, -0.74, -0.92, -0.89, -0.82], [-0.91, -0.9, -0.91, -0.9, -0.91]]","[[-0.63, 0.2, 0.45, -0.34, -0.99], [-0.59, 1.0, -1.0, 0.14, -0.77], [-0.08, 0.2, -0.82, 0.39, -0.96], [-0.21, -0.6, -0.09, -0.11, -0.99], [-0.99, -0.6, -0.82, -1.0, 0.24]]","[[-0.03, -0.09, 0.35, -0.52, -1.0], [-0.3, -0.05, -0.25, -0.18, 1.0], [0.62, -0.05, 0.28, -0.33, -1.0], [-0.74, -0.59, -0.86, -0.6, 1.0], [-0.34, -0.19, -0.09, -0.22, 1.0]]","[[-0.62, -0.46, -0.99, -0.94, -0.54], [-0.34, -0.69, -0.97, -0.93, -0.44], [0.59, -0.37, -0.94, -0.89, -0.33], [0.25, -0.74, -0.77, -0.85, -0.66], [-0.41, -0.7, -0.87, -0.97, -0.67]]","[-0.94, -0.62, -0.26, -0.86, -0.92]","[0.76, 0.63, 0.38, 0.33, 0.1]","[0.0, 0.33, 0.0, 0.0, 0.0]","[-0.75, -0.62, -0.5, -0.73, 0.15]",pitcher,airfoil,obesity,movie
