run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.94,-0.14,"[-0.03, 0.0, -0.92, -0.54, 0.33]",highway,"[[-0.11, 1.0, -0.32, -0.67, 0.14], [-1.0, -1.0, -0.89, -1.0, -0.01], [-0.78, -1.0, -0.32, -0.67, 0.28], [-1.0, -1.0, -0.63, -0.33, 0.21], [-0.56, -1.0, 0.58, -1.0, 0.4]]","[[0.03, 0.04, -0.4, -0.2, 0.2], [0.15, 0.7, 1.0, 1.0, 1.0], [-0.29, -0.17, -0.8, -0.6, 0.4], [0.23, 0.3, -0.2, 0.0, 0.6], [-0.15, -0.22, 0.2, -0.8, -0.8]]","[[-0.69, -0.32, -0.67, -0.65, -0.45], [-0.47, -0.42, -0.48, -0.47, -0.18], [-0.96, -0.8, -0.93, -0.93, -0.91], [-0.44, 0.7, -0.32, -0.38, 0.27], [-0.06, -0.12, -0.02, -0.07, 0.0]]","[[-0.93, -0.96, -1.0, -0.81, -0.99], [-0.95, -0.96, -1.0, -0.75, -0.99], [-0.86, -0.77, -0.99, -0.5, -0.75], [-0.97, -0.96, -0.97, -0.94, -0.97], [-1.0, -1.0, -1.0, -0.94, -0.96]]","[0.44, 0.74, 0.8, 0.74, 0.69]","[0.19, 0.31, 0.26, 0.37, -0.06]","[-0.17, 0.94, -0.9, 0.05, -0.19]","[-0.95, -0.99, -0.78, -0.89, -0.98]",laborsupply,schooling,pitcher,cpu
0,1,-0.7,-0.97,"[-0.4, -0.33, -1.0, -0.44, -0.56]",highway,"[[-0.11, 1.0, -0.32, -0.67, 0.14], [-1.0, -1.0, -0.89, -1.0, -0.01], [-0.78, -1.0, -0.32, -0.67, 0.28], [-1.0, -1.0, -0.63, -0.33, 0.21], [-0.56, -1.0, 0.58, -1.0, 0.4]]","[[0.03, 0.04, -0.4, -0.2, 0.2], [0.15, 0.7, 1.0, 1.0, 1.0], [-0.29, -0.17, -0.8, -0.6, 0.4], [0.23, 0.3, -0.2, 0.0, 0.6], [-0.15, -0.22, 0.2, -0.8, -0.8]]","[[-0.69, -0.32, -0.67, -0.65, -0.45], [-0.47, -0.42, -0.48, -0.47, -0.18], [-0.96, -0.8, -0.93, -0.93, -0.91], [-0.44, 0.7, -0.32, -0.38, 0.27], [-0.06, -0.12, -0.02, -0.07, 0.0]]","[[-0.93, -0.96, -1.0, -0.81, -0.99], [-0.95, -0.96, -1.0, -0.75, -0.99], [-0.86, -0.77, -0.99, -0.5, -0.75], [-0.97, -0.96, -0.97, -0.94, -0.97], [-1.0, -1.0, -1.0, -0.94, -0.96]]","[0.44, 0.74, 0.8, 0.74, 0.69]","[0.19, 0.31, 0.26, 0.37, -0.06]","[-0.17, 0.94, -0.9, 0.05, -0.19]","[-0.95, -0.99, -0.78, -0.89, -0.98]",laborsupply,schooling,pitcher,cpu
0,2,-0.9,-0.97,"[-0.68, 0.33, -1.0, -0.96, -0.33]",highway,"[[-0.11, 1.0, -0.32, -0.67, 0.14], [-1.0, -1.0, -0.89, -1.0, -0.01], [-0.78, -1.0, -0.32, -0.67, 0.28], [-1.0, -1.0, -0.63, -0.33, 0.21], [-0.56, -1.0, 0.58, -1.0, 0.4]]","[[0.03, 0.04, -0.4, -0.2, 0.2], [0.15, 0.7, 1.0, 1.0, 1.0], [-0.29, -0.17, -0.8, -0.6, 0.4], [0.23, 0.3, -0.2, 0.0, 0.6], [-0.15, -0.22, 0.2, -0.8, -0.8]]","[[-0.69, -0.32, -0.67, -0.65, -0.45], [-0.47, -0.42, -0.48, -0.47, -0.18], [-0.96, -0.8, -0.93, -0.93, -0.91], [-0.44, 0.7, -0.32, -0.38, 0.27], [-0.06, -0.12, -0.02, -0.07, 0.0]]","[[-0.93, -0.96, -1.0, -0.81, -0.99], [-0.95, -0.96, -1.0, -0.75, -0.99], [-0.86, -0.77, -0.99, -0.5, -0.75], [-0.97, -0.96, -0.97, -0.94, -0.97], [-1.0, -1.0, -1.0, -0.94, -0.96]]","[0.44, 0.74, 0.8, 0.74, 0.69]","[0.19, 0.31, 0.26, 0.37, -0.06]","[-0.17, 0.94, -0.9, 0.05, -0.19]","[-0.95, -0.99, -0.78, -0.89, -0.98]",laborsupply,schooling,pitcher,cpu
0,3,-0.75,-0.83,"[-0.07, 0.33, -0.21, -0.78, -0.78]",highway,"[[-0.11, 1.0, -0.32, -0.67, 0.14], [-1.0, -1.0, -0.89, -1.0, -0.01], [-0.78, -1.0, -0.32, -0.67, 0.28], [-1.0, -1.0, -0.63, -0.33, 0.21], [-0.56, -1.0, 0.58, -1.0, 0.4]]","[[0.03, 0.04, -0.4, -0.2, 0.2], [0.15, 0.7, 1.0, 1.0, 1.0], [-0.29, -0.17, -0.8, -0.6, 0.4], [0.23, 0.3, -0.2, 0.0, 0.6], [-0.15, -0.22, 0.2, -0.8, -0.8]]","[[-0.69, -0.32, -0.67, -0.65, -0.45], [-0.47, -0.42, -0.48, -0.47, -0.18], [-0.96, -0.8, -0.93, -0.93, -0.91], [-0.44, 0.7, -0.32, -0.38, 0.27], [-0.06, -0.12, -0.02, -0.07, 0.0]]","[[-0.93, -0.96, -1.0, -0.81, -0.99], [-0.95, -0.96, -1.0, -0.75, -0.99], [-0.86, -0.77, -0.99, -0.5, -0.75], [-0.97, -0.96, -0.97, -0.94, -0.97], [-1.0, -1.0, -1.0, -0.94, -0.96]]","[0.44, 0.74, 0.8, 0.74, 0.69]","[0.19, 0.31, 0.26, 0.37, -0.06]","[-0.17, 0.94, -0.9, 0.05, -0.19]","[-0.95, -0.99, -0.78, -0.89, -0.98]",laborsupply,schooling,pitcher,cpu
0,4,-0.67,-0.83,"[-0.29, 0.33, -1.0, -0.91, -0.56]",highway,"[[-0.11, 1.0, -0.32, -0.67, 0.14], [-1.0, -1.0, -0.89, -1.0, -0.01], [-0.78, -1.0, -0.32, -0.67, 0.28], [-1.0, -1.0, -0.63, -0.33, 0.21], [-0.56, -1.0, 0.58, -1.0, 0.4]]","[[0.03, 0.04, -0.4, -0.2, 0.2], [0.15, 0.7, 1.0, 1.0, 1.0], [-0.29, -0.17, -0.8, -0.6, 0.4], [0.23, 0.3, -0.2, 0.0, 0.6], [-0.15, -0.22, 0.2, -0.8, -0.8]]","[[-0.69, -0.32, -0.67, -0.65, -0.45], [-0.47, -0.42, -0.48, -0.47, -0.18], [-0.96, -0.8, -0.93, -0.93, -0.91], [-0.44, 0.7, -0.32, -0.38, 0.27], [-0.06, -0.12, -0.02, -0.07, 0.0]]","[[-0.93, -0.96, -1.0, -0.81, -0.99], [-0.95, -0.96, -1.0, -0.75, -0.99], [-0.86, -0.77, -0.99, -0.5, -0.75], [-0.97, -0.96, -0.97, -0.94, -0.97], [-1.0, -1.0, -1.0, -0.94, -0.96]]","[0.44, 0.74, 0.8, 0.74, 0.69]","[0.19, 0.31, 0.26, 0.37, -0.06]","[-0.17, 0.94, -0.9, 0.05, -0.19]","[-0.95, -0.99, -0.78, -0.89, -0.98]",laborsupply,schooling,pitcher,cpu
1,0,-0.41,-0.95,"[-1.0, 0.33, -1.0, -0.87, -0.56]",highway,"[[-0.91, -0.96, -0.92, -0.87, 0.68], [-0.97, -0.97, -0.94, -0.98, 0.63], [-0.98, -1.0, -0.91, -0.94, 0.33], [-0.6, -0.57, -0.86, -0.76, -0.31], [-0.98, -0.99, -1.0, -0.85, 0.06]]","[[-1.0, -0.89, -0.26, -0.69, 1.0], [1.0, -0.05, -0.57, -0.58, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [-1.0, -0.8, -0.26, -0.67, 1.0], [1.0, 0.79, -1.0, -0.68, 1.0]]","[[-0.6, 1.0, 1.0, -1.0, -0.3], [-0.6, 1.0, -1.0, -1.0, -0.54], [-0.6, 1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, 1.0, -0.58], [-1.0, -1.0, 1.0, -1.0, -1.0]]","[[0.3, -0.14, -0.76, -0.06, 0.32], [0.39, -0.14, -0.54, -0.65, 0.79], [0.91, 0.14, -0.71, -0.06, -0.14], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.22, -0.71, -0.15, -0.65, 0.34]]","[-1.0, -0.34, -0.52, -0.95, -0.88]","[-1.0, -0.96, -1.0, -1.0, -1.0]","[-0.48, -0.69, -0.34, -0.65, -0.14]","[0.07, -0.07, -0.41, -0.46, 0.08]",algae,medexp,tip,afl
1,1,-0.32,-0.41,"[-0.78, 0.33, 0.47, -0.87, -1.0]",highway,"[[-0.91, -0.96, -0.92, -0.87, 0.68], [-0.97, -0.97, -0.94, -0.98, 0.63], [-0.98, -1.0, -0.91, -0.94, 0.33], [-0.6, -0.57, -0.86, -0.76, -0.31], [-0.98, -0.99, -1.0, -0.85, 0.06]]","[[-1.0, -0.89, -0.26, -0.69, 1.0], [1.0, -0.05, -0.57, -0.58, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [-1.0, -0.8, -0.26, -0.67, 1.0], [1.0, 0.79, -1.0, -0.68, 1.0]]","[[-0.6, 1.0, 1.0, -1.0, -0.3], [-0.6, 1.0, -1.0, -1.0, -0.54], [-0.6, 1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, 1.0, -0.58], [-1.0, -1.0, 1.0, -1.0, -1.0]]","[[0.3, -0.14, -0.76, -0.06, 0.32], [0.39, -0.14, -0.54, -0.65, 0.79], [0.91, 0.14, -0.71, -0.06, -0.14], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.22, -0.71, -0.15, -0.65, 0.34]]","[-1.0, -0.34, -0.52, -0.95, -0.88]","[-1.0, -0.96, -1.0, -1.0, -1.0]","[-0.48, -0.69, -0.34, -0.65, -0.14]","[0.07, -0.07, -0.41, -0.46, 0.08]",algae,medexp,tip,afl
1,2,-0.9,-0.5,"[-0.63, 0.33, -0.92, -0.65, -0.33]",highway,"[[-0.91, -0.96, -0.92, -0.87, 0.68], [-0.97, -0.97, -0.94, -0.98, 0.63], [-0.98, -1.0, -0.91, -0.94, 0.33], [-0.6, -0.57, -0.86, -0.76, -0.31], [-0.98, -0.99, -1.0, -0.85, 0.06]]","[[-1.0, -0.89, -0.26, -0.69, 1.0], [1.0, -0.05, -0.57, -0.58, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [-1.0, -0.8, -0.26, -0.67, 1.0], [1.0, 0.79, -1.0, -0.68, 1.0]]","[[-0.6, 1.0, 1.0, -1.0, -0.3], [-0.6, 1.0, -1.0, -1.0, -0.54], [-0.6, 1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, 1.0, -0.58], [-1.0, -1.0, 1.0, -1.0, -1.0]]","[[0.3, -0.14, -0.76, -0.06, 0.32], [0.39, -0.14, -0.54, -0.65, 0.79], [0.91, 0.14, -0.71, -0.06, -0.14], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.22, -0.71, -0.15, -0.65, 0.34]]","[-1.0, -0.34, -0.52, -0.95, -0.88]","[-1.0, -0.96, -1.0, -1.0, -1.0]","[-0.48, -0.69, -0.34, -0.65, -0.14]","[0.07, -0.07, -0.41, -0.46, 0.08]",algae,medexp,tip,afl
1,3,-0.31,-0.88,"[-0.86, -0.33, -0.86, -0.74, 0.11]",highway,"[[-0.91, -0.96, -0.92, -0.87, 0.68], [-0.97, -0.97, -0.94, -0.98, 0.63], [-0.98, -1.0, -0.91, -0.94, 0.33], [-0.6, -0.57, -0.86, -0.76, -0.31], [-0.98, -0.99, -1.0, -0.85, 0.06]]","[[-1.0, -0.89, -0.26, -0.69, 1.0], [1.0, -0.05, -0.57, -0.58, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [-1.0, -0.8, -0.26, -0.67, 1.0], [1.0, 0.79, -1.0, -0.68, 1.0]]","[[-0.6, 1.0, 1.0, -1.0, -0.3], [-0.6, 1.0, -1.0, -1.0, -0.54], [-0.6, 1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, 1.0, -0.58], [-1.0, -1.0, 1.0, -1.0, -1.0]]","[[0.3, -0.14, -0.76, -0.06, 0.32], [0.39, -0.14, -0.54, -0.65, 0.79], [0.91, 0.14, -0.71, -0.06, -0.14], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.22, -0.71, -0.15, -0.65, 0.34]]","[-1.0, -0.34, -0.52, -0.95, -0.88]","[-1.0, -0.96, -1.0, -1.0, -1.0]","[-0.48, -0.69, -0.34, -0.65, -0.14]","[0.07, -0.07, -0.41, -0.46, 0.08]",algae,medexp,tip,afl
1,4,0.83,-0.99,"[-0.99, -0.67, -0.26, -0.41, -1.0]",highway,"[[-0.91, -0.96, -0.92, -0.87, 0.68], [-0.97, -0.97, -0.94, -0.98, 0.63], [-0.98, -1.0, -0.91, -0.94, 0.33], [-0.6, -0.57, -0.86, -0.76, -0.31], [-0.98, -0.99, -1.0, -0.85, 0.06]]","[[-1.0, -0.89, -0.26, -0.69, 1.0], [1.0, -0.05, -0.57, -0.58, 1.0], [1.0, 0.76, -1.0, -0.56, 1.0], [-1.0, -0.8, -0.26, -0.67, 1.0], [1.0, 0.79, -1.0, -0.68, 1.0]]","[[-0.6, 1.0, 1.0, -1.0, -0.3], [-0.6, 1.0, -1.0, -1.0, -0.54], [-0.6, 1.0, 1.0, -1.0, -0.57], [-0.6, -1.0, -1.0, 1.0, -0.58], [-1.0, -1.0, 1.0, -1.0, -1.0]]","[[0.3, -0.14, -0.76, -0.06, 0.32], [0.39, -0.14, -0.54, -0.65, 0.79], [0.91, 0.14, -0.71, -0.06, -0.14], [-0.48, 0.14, -0.47, -0.41, 0.58], [0.22, -0.71, -0.15, -0.65, 0.34]]","[-1.0, -0.34, -0.52, -0.95, -0.88]","[-1.0, -0.96, -1.0, -1.0, -1.0]","[-0.48, -0.69, -0.34, -0.65, -0.14]","[0.07, -0.07, -0.41, -0.46, 0.08]",algae,medexp,tip,afl
