run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.25,-0.97,"[-0.6, -0.33, -1.0, -1.0, -0.63]",prostate,"[[-0.54, -0.67, -0.93, 0.1, -0.78], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.78, 0.33, 0.47, -0.87, -1.0], [-0.53, 0.0, -0.52, -0.78, -0.78], [-0.63, 0.33, -0.92, -0.65, -0.33]]","[[-1.0, 0.6, 0.56, -0.2, -0.18], [-1.0, -0.12, 0.06, -0.42, -0.71], [-1.0, -0.59, -0.44, -0.28, -0.04], [-1.0, -0.34, 1.0, 0.42, 0.31], [-1.0, -0.07, -0.38, -0.79, -0.82]]","[[-0.56, -1.0, 0.16, -0.33, 0.21], [1.0, -1.0, -0.26, -0.67, 0.23], [-0.56, -1.0, 0.26, -1.0, 0.09], [-0.33, -1.0, -0.68, -0.33, 0.18], [0.11, -1.0, -0.32, -1.0, 0.55]]","[[-0.68, -0.83, -0.64, -0.82, -0.77], [-0.86, -0.86, -0.91, -0.86, -0.84], [-0.91, -0.9, -0.99, -0.89, -0.88], [-0.97, -0.96, -0.97, -0.96, -0.95], [-0.97, -0.99, -0.96, -0.99, -0.99]]","[0.54, -0.41, -0.32, -0.72, -0.9]","[-0.77, -0.97, -0.87, 1.0, -0.51]","[0.75, 0.65, 0.67, 0.66, 0.69]","[-0.97, -0.9, -0.91, -0.98, -0.98]",highway,homeless,laborsupply,hitter
0,1,0.09,0.54,"[-0.2, -0.33, 0.54, 1.0, 0.29]",prostate,"[[-0.54, -0.67, -0.93, 0.1, -0.78], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.78, 0.33, 0.47, -0.87, -1.0], [-0.53, 0.0, -0.52, -0.78, -0.78], [-0.63, 0.33, -0.92, -0.65, -0.33]]","[[-1.0, 0.6, 0.56, -0.2, -0.18], [-1.0, -0.12, 0.06, -0.42, -0.71], [-1.0, -0.59, -0.44, -0.28, -0.04], [-1.0, -0.34, 1.0, 0.42, 0.31], [-1.0, -0.07, -0.38, -0.79, -0.82]]","[[-0.56, -1.0, 0.16, -0.33, 0.21], [1.0, -1.0, -0.26, -0.67, 0.23], [-0.56, -1.0, 0.26, -1.0, 0.09], [-0.33, -1.0, -0.68, -0.33, 0.18], [0.11, -1.0, -0.32, -1.0, 0.55]]","[[-0.68, -0.83, -0.64, -0.82, -0.77], [-0.86, -0.86, -0.91, -0.86, -0.84], [-0.91, -0.9, -0.99, -0.89, -0.88], [-0.97, -0.96, -0.97, -0.96, -0.95], [-0.97, -0.99, -0.96, -0.99, -0.99]]","[0.54, -0.41, -0.32, -0.72, -0.9]","[-0.77, -0.97, -0.87, 1.0, -0.51]","[0.75, 0.65, 0.67, 0.66, 0.69]","[-0.97, -0.9, -0.91, -0.98, -0.98]",highway,homeless,laborsupply,hitter
0,2,0.03,-0.03,"[0.0, -0.33, -1.0, -1.0, -0.06]",prostate,"[[-0.54, -0.67, -0.93, 0.1, -0.78], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.78, 0.33, 0.47, -0.87, -1.0], [-0.53, 0.0, -0.52, -0.78, -0.78], [-0.63, 0.33, -0.92, -0.65, -0.33]]","[[-1.0, 0.6, 0.56, -0.2, -0.18], [-1.0, -0.12, 0.06, -0.42, -0.71], [-1.0, -0.59, -0.44, -0.28, -0.04], [-1.0, -0.34, 1.0, 0.42, 0.31], [-1.0, -0.07, -0.38, -0.79, -0.82]]","[[-0.56, -1.0, 0.16, -0.33, 0.21], [1.0, -1.0, -0.26, -0.67, 0.23], [-0.56, -1.0, 0.26, -1.0, 0.09], [-0.33, -1.0, -0.68, -0.33, 0.18], [0.11, -1.0, -0.32, -1.0, 0.55]]","[[-0.68, -0.83, -0.64, -0.82, -0.77], [-0.86, -0.86, -0.91, -0.86, -0.84], [-0.91, -0.9, -0.99, -0.89, -0.88], [-0.97, -0.96, -0.97, -0.96, -0.95], [-0.97, -0.99, -0.96, -0.99, -0.99]]","[0.54, -0.41, -0.32, -0.72, -0.9]","[-0.77, -0.97, -0.87, 1.0, -0.51]","[0.75, 0.65, 0.67, 0.66, 0.69]","[-0.97, -0.9, -0.91, -0.98, -0.98]",highway,homeless,laborsupply,hitter
0,3,0.7,0.11,"[-0.2, -0.33, 0.66, 1.0, 1.0]",prostate,"[[-0.54, -0.67, -0.93, 0.1, -0.78], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.78, 0.33, 0.47, -0.87, -1.0], [-0.53, 0.0, -0.52, -0.78, -0.78], [-0.63, 0.33, -0.92, -0.65, -0.33]]","[[-1.0, 0.6, 0.56, -0.2, -0.18], [-1.0, -0.12, 0.06, -0.42, -0.71], [-1.0, -0.59, -0.44, -0.28, -0.04], [-1.0, -0.34, 1.0, 0.42, 0.31], [-1.0, -0.07, -0.38, -0.79, -0.82]]","[[-0.56, -1.0, 0.16, -0.33, 0.21], [1.0, -1.0, -0.26, -0.67, 0.23], [-0.56, -1.0, 0.26, -1.0, 0.09], [-0.33, -1.0, -0.68, -0.33, 0.18], [0.11, -1.0, -0.32, -1.0, 0.55]]","[[-0.68, -0.83, -0.64, -0.82, -0.77], [-0.86, -0.86, -0.91, -0.86, -0.84], [-0.91, -0.9, -0.99, -0.89, -0.88], [-0.97, -0.96, -0.97, -0.96, -0.95], [-0.97, -0.99, -0.96, -0.99, -0.99]]","[0.54, -0.41, -0.32, -0.72, -0.9]","[-0.77, -0.97, -0.87, 1.0, -0.51]","[0.75, 0.65, 0.67, 0.66, 0.69]","[-0.97, -0.9, -0.91, -0.98, -0.98]",highway,homeless,laborsupply,hitter
0,4,0.08,-0.02,"[-0.2, -0.33, -1.0, -1.0, -0.07]",prostate,"[[-0.54, -0.67, -0.93, 0.1, -0.78], [-1.0, 0.33, -1.0, -0.87, -0.56], [-0.78, 0.33, 0.47, -0.87, -1.0], [-0.53, 0.0, -0.52, -0.78, -0.78], [-0.63, 0.33, -0.92, -0.65, -0.33]]","[[-1.0, 0.6, 0.56, -0.2, -0.18], [-1.0, -0.12, 0.06, -0.42, -0.71], [-1.0, -0.59, -0.44, -0.28, -0.04], [-1.0, -0.34, 1.0, 0.42, 0.31], [-1.0, -0.07, -0.38, -0.79, -0.82]]","[[-0.56, -1.0, 0.16, -0.33, 0.21], [1.0, -1.0, -0.26, -0.67, 0.23], [-0.56, -1.0, 0.26, -1.0, 0.09], [-0.33, -1.0, -0.68, -0.33, 0.18], [0.11, -1.0, -0.32, -1.0, 0.55]]","[[-0.68, -0.83, -0.64, -0.82, -0.77], [-0.86, -0.86, -0.91, -0.86, -0.84], [-0.91, -0.9, -0.99, -0.89, -0.88], [-0.97, -0.96, -0.97, -0.96, -0.95], [-0.97, -0.99, -0.96, -0.99, -0.99]]","[0.54, -0.41, -0.32, -0.72, -0.9]","[-0.77, -0.97, -0.87, 1.0, -0.51]","[0.75, 0.65, 0.67, 0.66, 0.69]","[-0.97, -0.9, -0.91, -0.98, -0.98]",highway,homeless,laborsupply,hitter
1,0,0.09,0.23,"[-0.2, -0.33, 0.54, 1.0, 0.29]",prostate,"[[-1.0, 0.0, 0.5, -0.6, 0.45], [1.0, -0.75, -0.5, 1.0, -1.0], [1.0, -1.0, -1.0, 1.0, -0.8], [-1.0, 0.0, 1.0, -0.6, -0.05], [-1.0, 0.5, 1.0, -0.6, 0.67]]","[[1.0, -0.32, -1.0, -1.0, 1.0], [1.0, -0.43, -0.02, -0.8, 1.0], [-1.0, -0.83, -0.02, -0.62, 1.0], [-1.0, -0.57, 0.17, -0.69, 1.0], [-1.0, -0.69, -0.02, -0.67, 1.0]]","[[-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.98, -0.88, -0.62], [-0.37, -0.98, -1.0, -0.9, -0.8], [-0.99, -0.98, -0.98, 0.12, 0.32]]","[[-0.39, -0.38, -0.74, 0.19, 0.27], [-0.67, -0.63, -0.77, 0.06, 0.07], [-0.31, 0.08, -0.67, 0.51, 0.47], [-0.65, -0.6, -0.78, 0.16, 0.22], [-0.97, -0.95, -0.88, -0.6, -0.55]]","[0.23, -0.57, -1.0, 0.7, 0.88]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.31, -0.17, -0.17, 0.93, -0.38]","[0.21, -0.57, -0.14, -0.5, -0.86]",recycle,medexp,lake,abalone
1,1,0.15,0.09,"[0.2, -0.33, 0.26, 1.0, 0.24]",prostate,"[[-1.0, 0.0, 0.5, -0.6, 0.45], [1.0, -0.75, -0.5, 1.0, -1.0], [1.0, -1.0, -1.0, 1.0, -0.8], [-1.0, 0.0, 1.0, -0.6, -0.05], [-1.0, 0.5, 1.0, -0.6, 0.67]]","[[1.0, -0.32, -1.0, -1.0, 1.0], [1.0, -0.43, -0.02, -0.8, 1.0], [-1.0, -0.83, -0.02, -0.62, 1.0], [-1.0, -0.57, 0.17, -0.69, 1.0], [-1.0, -0.69, -0.02, -0.67, 1.0]]","[[-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.98, -0.88, -0.62], [-0.37, -0.98, -1.0, -0.9, -0.8], [-0.99, -0.98, -0.98, 0.12, 0.32]]","[[-0.39, -0.38, -0.74, 0.19, 0.27], [-0.67, -0.63, -0.77, 0.06, 0.07], [-0.31, 0.08, -0.67, 0.51, 0.47], [-0.65, -0.6, -0.78, 0.16, 0.22], [-0.97, -0.95, -0.88, -0.6, -0.55]]","[0.23, -0.57, -1.0, 0.7, 0.88]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.31, -0.17, -0.17, 0.93, -0.38]","[0.21, -0.57, -0.14, -0.5, -0.86]",recycle,medexp,lake,abalone
1,2,0.47,0.39,"[0.2, -0.33, 0.79, 1.0, 0.61]",prostate,"[[-1.0, 0.0, 0.5, -0.6, 0.45], [1.0, -0.75, -0.5, 1.0, -1.0], [1.0, -1.0, -1.0, 1.0, -0.8], [-1.0, 0.0, 1.0, -0.6, -0.05], [-1.0, 0.5, 1.0, -0.6, 0.67]]","[[1.0, -0.32, -1.0, -1.0, 1.0], [1.0, -0.43, -0.02, -0.8, 1.0], [-1.0, -0.83, -0.02, -0.62, 1.0], [-1.0, -0.57, 0.17, -0.69, 1.0], [-1.0, -0.69, -0.02, -0.67, 1.0]]","[[-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.98, -0.88, -0.62], [-0.37, -0.98, -1.0, -0.9, -0.8], [-0.99, -0.98, -0.98, 0.12, 0.32]]","[[-0.39, -0.38, -0.74, 0.19, 0.27], [-0.67, -0.63, -0.77, 0.06, 0.07], [-0.31, 0.08, -0.67, 0.51, 0.47], [-0.65, -0.6, -0.78, 0.16, 0.22], [-0.97, -0.95, -0.88, -0.6, -0.55]]","[0.23, -0.57, -1.0, 0.7, 0.88]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.31, -0.17, -0.17, 0.93, -0.38]","[0.21, -0.57, -0.14, -0.5, -0.86]",recycle,medexp,lake,abalone
1,3,0.85,0.5,"[-0.8, -0.33, 0.79, 1.0, 0.65]",prostate,"[[-1.0, 0.0, 0.5, -0.6, 0.45], [1.0, -0.75, -0.5, 1.0, -1.0], [1.0, -1.0, -1.0, 1.0, -0.8], [-1.0, 0.0, 1.0, -0.6, -0.05], [-1.0, 0.5, 1.0, -0.6, 0.67]]","[[1.0, -0.32, -1.0, -1.0, 1.0], [1.0, -0.43, -0.02, -0.8, 1.0], [-1.0, -0.83, -0.02, -0.62, 1.0], [-1.0, -0.57, 0.17, -0.69, 1.0], [-1.0, -0.69, -0.02, -0.67, 1.0]]","[[-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.98, -0.88, -0.62], [-0.37, -0.98, -1.0, -0.9, -0.8], [-0.99, -0.98, -0.98, 0.12, 0.32]]","[[-0.39, -0.38, -0.74, 0.19, 0.27], [-0.67, -0.63, -0.77, 0.06, 0.07], [-0.31, 0.08, -0.67, 0.51, 0.47], [-0.65, -0.6, -0.78, 0.16, 0.22], [-0.97, -0.95, -0.88, -0.6, -0.55]]","[0.23, -0.57, -1.0, 0.7, 0.88]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.31, -0.17, -0.17, 0.93, -0.38]","[0.21, -0.57, -0.14, -0.5, -0.86]",recycle,medexp,lake,abalone
1,4,0.09,-0.3,"[-1.0, -1.0, -1.0, -1.0, -0.3]",prostate,"[[-1.0, 0.0, 0.5, -0.6, 0.45], [1.0, -0.75, -0.5, 1.0, -1.0], [1.0, -1.0, -1.0, 1.0, -0.8], [-1.0, 0.0, 1.0, -0.6, -0.05], [-1.0, 0.5, 1.0, -0.6, 0.67]]","[[1.0, -0.32, -1.0, -1.0, 1.0], [1.0, -0.43, -0.02, -0.8, 1.0], [-1.0, -0.83, -0.02, -0.62, 1.0], [-1.0, -0.57, 0.17, -0.69, 1.0], [-1.0, -0.69, -0.02, -0.67, 1.0]]","[[-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -1.0, -0.91, -0.85, -0.98], [-1.0, -0.99, -0.98, -0.88, -0.62], [-0.37, -0.98, -1.0, -0.9, -0.8], [-0.99, -0.98, -0.98, 0.12, 0.32]]","[[-0.39, -0.38, -0.74, 0.19, 0.27], [-0.67, -0.63, -0.77, 0.06, 0.07], [-0.31, 0.08, -0.67, 0.51, 0.47], [-0.65, -0.6, -0.78, 0.16, 0.22], [-0.97, -0.95, -0.88, -0.6, -0.55]]","[0.23, -0.57, -1.0, 0.7, 0.88]","[-1.0, -1.0, -1.0, -1.0, -1.0]","[-0.31, -0.17, -0.17, 0.93, -0.38]","[0.21, -0.57, -0.14, -0.5, -0.86]",recycle,medexp,lake,abalone
