run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.27,0.0,"[-1.0, 0.25, 1.0, -0.6, 0.84]",recycle,"[[-1.0, 0.76, 0.69, -0.69, -1.0], [-0.91, -0.7, -0.19, 0.19, -0.31], [-0.76, -0.89, -1.0, 1.0, -0.41], [-0.86, -0.85, -0.88, 0.88, -0.77], [-0.89, -0.8, 0.06, -0.06, -0.37]]","[[-0.51, -0.55, -0.73, 0.29, 0.31], [-0.69, -0.62, -0.78, 0.14, 0.14], [-0.53, -0.55, -0.79, 0.11, 0.15], [-0.58, -0.55, -0.77, 0.18, 0.09], [-0.15, 0.04, -0.73, 0.6, 0.68]]","[[-0.25, 0.09, -0.2, -0.2, -0.2], [0.05, -0.3, -1.0, -0.8, -0.2], [-0.49, -0.35, 0.6, -0.2, -0.2], [-0.47, -0.57, 0.0, -0.2, -0.2], [0.33, 0.0, -0.8, -0.8, 0.8]]","[[-1.0, -0.45, -0.02, -0.92, 1.0], [-1.0, -0.73, -0.26, -0.67, 1.0], [1.0, -0.05, -1.0, -0.89, 1.0], [-1.0, -0.8, 0.72, -0.67, 1.0], [-1.0, -0.93, -0.26, -0.69, 1.0]]","[-1.0, -0.35, -0.55, -0.68, 0.16]","[-0.5, -0.43, -0.07, -0.36, -0.07]","[-0.06, 0.09, 0.02, -0.53, -0.22]","[-0.99, -1.0, -0.99, -1.0, -1.0]",mussel,abalone,schooling,medexp
0,1,0.6,0.13,"[-1.0, -0.25, 0.5, -0.6, 0.88]",recycle,"[[-1.0, 0.76, 0.69, -0.69, -1.0], [-0.91, -0.7, -0.19, 0.19, -0.31], [-0.76, -0.89, -1.0, 1.0, -0.41], [-0.86, -0.85, -0.88, 0.88, -0.77], [-0.89, -0.8, 0.06, -0.06, -0.37]]","[[-0.51, -0.55, -0.73, 0.29, 0.31], [-0.69, -0.62, -0.78, 0.14, 0.14], [-0.53, -0.55, -0.79, 0.11, 0.15], [-0.58, -0.55, -0.77, 0.18, 0.09], [-0.15, 0.04, -0.73, 0.6, 0.68]]","[[-0.25, 0.09, -0.2, -0.2, -0.2], [0.05, -0.3, -1.0, -0.8, -0.2], [-0.49, -0.35, 0.6, -0.2, -0.2], [-0.47, -0.57, 0.0, -0.2, -0.2], [0.33, 0.0, -0.8, -0.8, 0.8]]","[[-1.0, -0.45, -0.02, -0.92, 1.0], [-1.0, -0.73, -0.26, -0.67, 1.0], [1.0, -0.05, -1.0, -0.89, 1.0], [-1.0, -0.8, 0.72, -0.67, 1.0], [-1.0, -0.93, -0.26, -0.69, 1.0]]","[-1.0, -0.35, -0.55, -0.68, 0.16]","[-0.5, -0.43, -0.07, -0.36, -0.07]","[-0.06, 0.09, 0.02, -0.53, -0.22]","[-0.99, -1.0, -0.99, -1.0, -1.0]",mussel,abalone,schooling,medexp
0,2,-1.0,-0.8,"[1.0, -1.0, -1.0, 1.0, -0.8]",recycle,"[[-1.0, 0.76, 0.69, -0.69, -1.0], [-0.91, -0.7, -0.19, 0.19, -0.31], [-0.76, -0.89, -1.0, 1.0, -0.41], [-0.86, -0.85, -0.88, 0.88, -0.77], [-0.89, -0.8, 0.06, -0.06, -0.37]]","[[-0.51, -0.55, -0.73, 0.29, 0.31], [-0.69, -0.62, -0.78, 0.14, 0.14], [-0.53, -0.55, -0.79, 0.11, 0.15], [-0.58, -0.55, -0.77, 0.18, 0.09], [-0.15, 0.04, -0.73, 0.6, 0.68]]","[[-0.25, 0.09, -0.2, -0.2, -0.2], [0.05, -0.3, -1.0, -0.8, -0.2], [-0.49, -0.35, 0.6, -0.2, -0.2], [-0.47, -0.57, 0.0, -0.2, -0.2], [0.33, 0.0, -0.8, -0.8, 0.8]]","[[-1.0, -0.45, -0.02, -0.92, 1.0], [-1.0, -0.73, -0.26, -0.67, 1.0], [1.0, -0.05, -1.0, -0.89, 1.0], [-1.0, -0.8, 0.72, -0.67, 1.0], [-1.0, -0.93, -0.26, -0.69, 1.0]]","[-1.0, -0.35, -0.55, -0.68, 0.16]","[-0.5, -0.43, -0.07, -0.36, -0.07]","[-0.06, 0.09, 0.02, -0.53, -0.22]","[-0.99, -1.0, -0.99, -1.0, -1.0]",mussel,abalone,schooling,medexp
0,3,-0.57,-0.75,"[1.0, -0.75, -0.5, 1.0, -1.0]",recycle,"[[-1.0, 0.76, 0.69, -0.69, -1.0], [-0.91, -0.7, -0.19, 0.19, -0.31], [-0.76, -0.89, -1.0, 1.0, -0.41], [-0.86, -0.85, -0.88, 0.88, -0.77], [-0.89, -0.8, 0.06, -0.06, -0.37]]","[[-0.51, -0.55, -0.73, 0.29, 0.31], [-0.69, -0.62, -0.78, 0.14, 0.14], [-0.53, -0.55, -0.79, 0.11, 0.15], [-0.58, -0.55, -0.77, 0.18, 0.09], [-0.15, 0.04, -0.73, 0.6, 0.68]]","[[-0.25, 0.09, -0.2, -0.2, -0.2], [0.05, -0.3, -1.0, -0.8, -0.2], [-0.49, -0.35, 0.6, -0.2, -0.2], [-0.47, -0.57, 0.0, -0.2, -0.2], [0.33, 0.0, -0.8, -0.8, 0.8]]","[[-1.0, -0.45, -0.02, -0.92, 1.0], [-1.0, -0.73, -0.26, -0.67, 1.0], [1.0, -0.05, -1.0, -0.89, 1.0], [-1.0, -0.8, 0.72, -0.67, 1.0], [-1.0, -0.93, -0.26, -0.69, 1.0]]","[-1.0, -0.35, -0.55, -0.68, 0.16]","[-0.5, -0.43, -0.07, -0.36, -0.07]","[-0.06, 0.09, 0.02, -0.53, -0.22]","[-0.99, -1.0, -0.99, -1.0, -1.0]",mussel,abalone,schooling,medexp
0,4,-0.43,0.6,"[-1.0, -0.25, 0.5, -0.6, -0.57]",recycle,"[[-1.0, 0.76, 0.69, -0.69, -1.0], [-0.91, -0.7, -0.19, 0.19, -0.31], [-0.76, -0.89, -1.0, 1.0, -0.41], [-0.86, -0.85, -0.88, 0.88, -0.77], [-0.89, -0.8, 0.06, -0.06, -0.37]]","[[-0.51, -0.55, -0.73, 0.29, 0.31], [-0.69, -0.62, -0.78, 0.14, 0.14], [-0.53, -0.55, -0.79, 0.11, 0.15], [-0.58, -0.55, -0.77, 0.18, 0.09], [-0.15, 0.04, -0.73, 0.6, 0.68]]","[[-0.25, 0.09, -0.2, -0.2, -0.2], [0.05, -0.3, -1.0, -0.8, -0.2], [-0.49, -0.35, 0.6, -0.2, -0.2], [-0.47, -0.57, 0.0, -0.2, -0.2], [0.33, 0.0, -0.8, -0.8, 0.8]]","[[-1.0, -0.45, -0.02, -0.92, 1.0], [-1.0, -0.73, -0.26, -0.67, 1.0], [1.0, -0.05, -1.0, -0.89, 1.0], [-1.0, -0.8, 0.72, -0.67, 1.0], [-1.0, -0.93, -0.26, -0.69, 1.0]]","[-1.0, -0.35, -0.55, -0.68, 0.16]","[-0.5, -0.43, -0.07, -0.36, -0.07]","[-0.06, 0.09, 0.02, -0.53, -0.22]","[-0.99, -1.0, -0.99, -1.0, -1.0]",mussel,abalone,schooling,medexp
1,0,0.7,-0.05,"[-1.0, 0.0, 1.0, -0.6, -0.05]",recycle,"[[-0.5, -0.5, -0.5, -0.84, -0.76], [0.5, 0.5, 0.5, -0.5, -0.63], [1.0, 1.0, 1.0, -0.56, -0.69], [1.0, 1.0, 1.0, -0.57, -0.63], [0.0, -1.0, 0.0, -0.41, -0.89]]","[[1.0, 1.0, 1.0, 0.73, 1.0], [-1.0, -0.24, -0.14, -0.2, -0.96], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.81, -0.76, 0.6, 0.66]]","[[-0.31, -0.42, -0.41, -0.66, -0.6], [-0.88, -0.88, -0.93, -0.87, -0.6], [0.25, 0.35, -0.14, -0.15, 0.2], [0.91, 0.93, 0.82, 0.49, 1.0], [-0.23, -0.35, -0.44, -0.66, -0.6]]","[[-0.66, -0.77, -0.96, -0.95, -0.85], [0.5, -0.54, -0.99, -0.92, -0.23], [0.94, 0.89, 0.79, 0.45, -0.67], [0.72, -0.27, -0.85, -0.66, -0.49], [-0.69, -0.18, -0.98, -0.93, -0.85]]","[0.14, -0.04, -1.0, -0.86, -0.68]","[0.45, -0.97, -0.16, -0.45, -0.21]","[-0.91, -0.99, -0.26, 1.0, -0.88]","[-0.86, -0.13, 0.96, -0.59, -0.86]",mammal,reactor,car,movie
1,1,1.0,0.7,"[-1.0, 0.75, 1.0, -0.6, 1.0]",recycle,"[[-0.5, -0.5, -0.5, -0.84, -0.76], [0.5, 0.5, 0.5, -0.5, -0.63], [1.0, 1.0, 1.0, -0.56, -0.69], [1.0, 1.0, 1.0, -0.57, -0.63], [0.0, -1.0, 0.0, -0.41, -0.89]]","[[1.0, 1.0, 1.0, 0.73, 1.0], [-1.0, -0.24, -0.14, -0.2, -0.96], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.81, -0.76, 0.6, 0.66]]","[[-0.31, -0.42, -0.41, -0.66, -0.6], [-0.88, -0.88, -0.93, -0.87, -0.6], [0.25, 0.35, -0.14, -0.15, 0.2], [0.91, 0.93, 0.82, 0.49, 1.0], [-0.23, -0.35, -0.44, -0.66, -0.6]]","[[-0.66, -0.77, -0.96, -0.95, -0.85], [0.5, -0.54, -0.99, -0.92, -0.23], [0.94, 0.89, 0.79, 0.45, -0.67], [0.72, -0.27, -0.85, -0.66, -0.49], [-0.69, -0.18, -0.98, -0.93, -0.85]]","[0.14, -0.04, -1.0, -0.86, -0.68]","[0.45, -0.97, -0.16, -0.45, -0.21]","[-0.91, -0.99, -0.26, 1.0, -0.88]","[-0.86, -0.13, 0.96, -0.59, -0.86]",mammal,reactor,car,movie
1,2,0.01,0.0,"[1.0, 0.0, 1.0, 1.0, 0.29]",recycle,"[[-0.5, -0.5, -0.5, -0.84, -0.76], [0.5, 0.5, 0.5, -0.5, -0.63], [1.0, 1.0, 1.0, -0.56, -0.69], [1.0, 1.0, 1.0, -0.57, -0.63], [0.0, -1.0, 0.0, -0.41, -0.89]]","[[1.0, 1.0, 1.0, 0.73, 1.0], [-1.0, -0.24, -0.14, -0.2, -0.96], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.81, -0.76, 0.6, 0.66]]","[[-0.31, -0.42, -0.41, -0.66, -0.6], [-0.88, -0.88, -0.93, -0.87, -0.6], [0.25, 0.35, -0.14, -0.15, 0.2], [0.91, 0.93, 0.82, 0.49, 1.0], [-0.23, -0.35, -0.44, -0.66, -0.6]]","[[-0.66, -0.77, -0.96, -0.95, -0.85], [0.5, -0.54, -0.99, -0.92, -0.23], [0.94, 0.89, 0.79, 0.45, -0.67], [0.72, -0.27, -0.85, -0.66, -0.49], [-0.69, -0.18, -0.98, -0.93, -0.85]]","[0.14, -0.04, -1.0, -0.86, -0.68]","[0.45, -0.97, -0.16, -0.45, -0.21]","[-0.91, -0.99, -0.26, 1.0, -0.88]","[-0.86, -0.13, 0.96, -0.59, -0.86]",mammal,reactor,car,movie
1,3,-0.3,-0.01,"[1.0, 0.0, 1.0, 1.0, -0.45]",recycle,"[[-0.5, -0.5, -0.5, -0.84, -0.76], [0.5, 0.5, 0.5, -0.5, -0.63], [1.0, 1.0, 1.0, -0.56, -0.69], [1.0, 1.0, 1.0, -0.57, -0.63], [0.0, -1.0, 0.0, -0.41, -0.89]]","[[1.0, 1.0, 1.0, 0.73, 1.0], [-1.0, -0.24, -0.14, -0.2, -0.96], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.81, -0.76, 0.6, 0.66]]","[[-0.31, -0.42, -0.41, -0.66, -0.6], [-0.88, -0.88, -0.93, -0.87, -0.6], [0.25, 0.35, -0.14, -0.15, 0.2], [0.91, 0.93, 0.82, 0.49, 1.0], [-0.23, -0.35, -0.44, -0.66, -0.6]]","[[-0.66, -0.77, -0.96, -0.95, -0.85], [0.5, -0.54, -0.99, -0.92, -0.23], [0.94, 0.89, 0.79, 0.45, -0.67], [0.72, -0.27, -0.85, -0.66, -0.49], [-0.69, -0.18, -0.98, -0.93, -0.85]]","[0.14, -0.04, -1.0, -0.86, -0.68]","[0.45, -0.97, -0.16, -0.45, -0.21]","[-0.91, -0.99, -0.26, 1.0, -0.88]","[-0.86, -0.13, 0.96, -0.59, -0.86]",mammal,reactor,car,movie
1,4,0.15,-0.1,"[1.0, 0.5, 0.5, 0.2, -0.33]",recycle,"[[-0.5, -0.5, -0.5, -0.84, -0.76], [0.5, 0.5, 0.5, -0.5, -0.63], [1.0, 1.0, 1.0, -0.56, -0.69], [1.0, 1.0, 1.0, -0.57, -0.63], [0.0, -1.0, 0.0, -0.41, -0.89]]","[[1.0, 1.0, 1.0, 0.73, 1.0], [-1.0, -0.24, -0.14, -0.2, -0.96], [1.0, -0.24, 0.76, 0.2, -0.1], [1.0, 0.52, 0.17, -0.2, -0.1], [1.0, 0.81, -0.76, 0.6, 0.66]]","[[-0.31, -0.42, -0.41, -0.66, -0.6], [-0.88, -0.88, -0.93, -0.87, -0.6], [0.25, 0.35, -0.14, -0.15, 0.2], [0.91, 0.93, 0.82, 0.49, 1.0], [-0.23, -0.35, -0.44, -0.66, -0.6]]","[[-0.66, -0.77, -0.96, -0.95, -0.85], [0.5, -0.54, -0.99, -0.92, -0.23], [0.94, 0.89, 0.79, 0.45, -0.67], [0.72, -0.27, -0.85, -0.66, -0.49], [-0.69, -0.18, -0.98, -0.93, -0.85]]","[0.14, -0.04, -1.0, -0.86, -0.68]","[0.45, -0.97, -0.16, -0.45, -0.21]","[-0.91, -0.99, -0.26, 1.0, -0.88]","[-0.86, -0.13, 0.96, -0.59, -0.86]",mammal,reactor,car,movie
