run,trial,ytrue,ypred
0,0,-0.5,0.0
0,1,-0.71,-0.7558342218399048
0,2,-0.07,0.4378998279571533
0,3,-0.5,-1.3074933290481567
0,4,-0.21,-0.8648037910461426
1,0,-0.71,0.0
1,1,-0.29,-0.4245241582393646
1,2,-0.43,0.6402832269668579
1,3,-0.43,-0.6485634446144104
1,4,-0.64,-0.48988306522369385
2,0,-0.07,0.0
2,1,0.0,-0.5901749730110168
2,2,-0.29,1.0221922397613525
2,3,-0.43,0.5729845762252808
2,4,0.14,0.915704071521759
3,0,-0.36,0.0
3,1,-0.36,0.012110009789466858
3,2,-0.36,0.7586393356323242
3,3,-0.5,-1.3181726932525635
3,4,-0.29,0.9782437086105347
4,0,-0.43,0.0
4,1,-0.36,0.1798240840435028
4,2,-0.29,-1.1236073970794678
4,3,-0.5,-0.04080083966255188
4,4,-0.36,-0.4323289394378662
5,0,-0.43,0.0
5,1,-0.5,0.26135560870170593
5,2,-0.5,-3.44145131111145
5,3,0.0,0.9829022884368896
5,4,-0.36,-0.4089503288269043
6,0,-0.14,0.0
6,1,-0.14,1.9325969219207764
6,2,-0.5,-0.9184062480926514
6,3,-0.5,-1.3258486986160278
6,4,-0.79,-0.11695852875709534
7,0,-0.5,0.0
7,1,-0.5,-0.05737176537513733
7,2,-0.21,-0.33908194303512573
7,3,-0.36,-1.362615704536438
7,4,-0.5,0.8785406947135925
8,0,-0.43,0.0
8,1,-0.43,-2.1892189979553223
8,2,-0.21,-0.4432083070278168
8,3,-0.36,1.5883666276931763
8,4,-0.5,-0.5186593532562256
9,0,-0.5,0.0
9,1,0.0,1.4690028429031372
9,2,-0.36,0.12716028094291687
9,3,-0.64,-0.31489869952201843
9,4,-0.14,-0.05466201901435852
10,0,-0.5,0.0
10,1,-0.29,-1.5092642307281494
10,2,-0.57,-0.26140445470809937
10,3,-0.64,-0.8392400145530701
10,4,-0.07,0.46335121989250183
11,0,-0.36,0.0
11,1,-0.14,1.4241418838500977
11,2,-0.43,-0.6429826021194458
11,3,-0.57,-2.264688014984131
11,4,-0.29,1.0000724792480469
12,0,-0.43,0.0
12,1,-0.29,-0.6579235792160034
12,2,-0.29,-0.9232347011566162
12,3,-0.43,0.5269140005111694
12,4,-0.36,-0.47200071811676025
13,0,-0.5,0.0
13,1,-0.36,0.3245016932487488
13,2,-0.29,-0.007599741220474243
13,3,-0.07,-1.463115930557251
13,4,-0.79,-0.6704772710800171
14,0,0.43,0.0
14,1,-0.5,1.139466643333435
14,2,-0.5,-0.5431252717971802
14,3,-0.36,0.5111415982246399
14,4,-0.57,-1.8921505212783813
15,0,-0.57,0.0
15,1,-0.43,-0.41924649477005005
15,2,-0.43,0.8374567627906799
15,3,-0.57,1.0311213731765747
15,4,-0.43,-0.6030988097190857
16,0,-0.29,0.0
16,1,-0.21,-1.1219236850738525
16,2,-0.14,2.467829465866089
16,3,-0.43,-0.5340214967727661
16,4,-0.43,0.534089207649231
17,0,-0.5,0.0
17,1,-0.29,-0.830816924571991
17,2,0.14,-0.2694746255874634
17,3,-0.64,0.3573305010795593
17,4,-0.5,0.4061867594718933
18,0,-0.07,0.0
18,1,-0.57,-1.1940851211547852
18,2,-0.5,0.8557677268981934
18,3,-0.29,0.5433397889137268
18,4,-0.29,-1.4207038879394531
19,0,-0.57,0.0
19,1,0.0,0.6686303615570068
19,2,-0.36,-0.8005539774894714
19,3,-0.21,0.12341735512018204
19,4,-0.07,-0.41836270689964294
20,0,-0.29,0.0
20,1,-0.57,-0.8694756031036377
20,2,-0.29,0.2042863965034485
20,3,-0.5,-1.3701751232147217
20,4,-0.64,-0.7362807989120483
21,0,0.14,0.0
21,1,-0.5,0.8651224374771118
21,2,-0.43,-0.5636013746261597
21,3,-0.36,-1.6119791269302368
21,4,-0.79,1.567791223526001
22,0,-0.29,0.0
22,1,-0.43,-0.07318989932537079
22,2,-0.29,1.1097371578216553
22,3,-0.64,-0.21675336360931396
22,4,-0.64,0.5477563142776489
23,0,-0.71,0.0
23,1,-0.29,-0.9695041179656982
23,2,-0.43,0.4504864513874054
23,3,-0.07,0.08130417764186859
23,4,-0.5,0.5406715273857117
24,0,-0.36,0.0
24,1,-0.57,-0.712013304233551
24,2,-0.36,-0.4624817371368408
24,3,-0.43,0.28818196058273315
24,4,-0.43,-2.1303775310516357
25,0,-0.5,0.0
25,1,0.86,-0.7566424012184143
25,2,-0.43,-1.3269517421722412
25,3,-0.43,-1.01058030128479
25,4,-0.79,-2.5013926029205322
26,0,-0.21,0.0
26,1,-0.57,-1.5132193565368652
26,2,0.07,1.5007708072662354
26,3,-0.57,-0.4676751494407654
26,4,-0.29,0.9274760484695435
27,0,-0.07,0.0
27,1,-0.29,-0.17887148261070251
27,2,-0.36,-0.3482168912887573
27,3,-0.43,-1.0427963733673096
27,4,-0.43,0.351920485496521
28,0,-0.5,0.0
28,1,-0.29,1.9987608194351196
28,2,-0.64,0.11715388298034668
28,3,-0.5,-0.26396840810775757
28,4,-0.5,-1.2437134981155396
29,0,-0.36,0.0
29,1,-0.21,-1.6536564826965332
29,2,-0.36,-0.14720016717910767
29,3,-0.5,0.1507563292980194
29,4,-0.43,0.8372246026992798
30,0,-0.21,0.0
30,1,-0.14,1.0983022451400757
30,2,-0.43,-0.5632442235946655
30,3,-0.43,1.2748202085494995
30,4,-0.36,1.1200120449066162
31,0,-0.36,0.0
31,1,-0.29,1.106324553489685
31,2,-0.36,0.5312128067016602
31,3,-0.43,1.1632102727890015
31,4,-0.21,0.5429001450538635
32,0,-0.43,0.0
32,1,-0.43,0.4575102627277374
32,2,-0.5,0.9756265878677368
32,3,-0.5,0.03525550663471222
32,4,-0.5,1.0357155799865723
33,0,-0.36,0.0
33,1,-0.64,-0.6536116003990173
33,2,-0.43,-0.8272028565406799
33,3,-0.36,0.7881197929382324
33,4,-0.57,-1.9908161163330078
34,0,-0.36,0.0
34,1,-0.5,2.3335165977478027
34,2,0.0,0.5830817818641663
34,3,-0.29,0.9390648007392883
34,4,-0.29,-0.46107542514801025
35,0,-0.43,0.0
35,1,-0.29,-1.4450290203094482
35,2,-0.5,1.0637527704238892
35,3,-0.14,0.8757247924804688
35,4,-0.43,0.1773861199617386
36,0,-0.14,0.0
36,1,-0.43,0.0451408326625824
36,2,-0.29,1.8272501230239868
36,3,-0.57,0.5329811573028564
36,4,-0.14,-0.7485964298248291
37,0,-0.5,0.0
37,1,-0.29,-0.6711960434913635
37,2,0.0,0.033415570855140686
37,3,-0.29,-0.0873870700597763
37,4,-0.43,-1.0695782899856567
38,0,-0.14,0.0
38,1,-0.5,-1.7589482069015503
38,2,-0.14,1.8193159103393555
38,3,-0.29,0.3221767544746399
38,4,-0.29,-1.275911569595337
39,0,-0.43,0.0
39,1,-0.71,-2.4511208534240723
39,2,-0.64,-0.819847822189331
39,3,-0.29,-0.6371421813964844
39,4,-0.43,0.31381431221961975
40,0,-0.07,0.0
40,1,-0.21,-0.6666167974472046
40,2,-0.21,-1.560405969619751
40,3,-0.36,1.067262053489685
40,4,-0.07,-0.3744044899940491
41,0,-0.36,0.0
41,1,-0.71,-0.5057655572891235
41,2,-0.21,0.07239668816328049
41,3,-0.29,-1.600752353668213
41,4,-0.14,-0.22156795859336853
42,0,-0.07,0.0
42,1,-0.43,-1.5955716371536255
42,2,-0.5,-3.255110740661621
42,3,-0.36,-1.0130618810653687
42,4,-0.43,-0.8238784074783325
43,0,-0.36,0.0
43,1,-0.5,0.8847914338111877
43,2,-0.57,-0.8730933666229248
43,3,-0.5,-1.737595796585083
43,4,-0.29,-0.7976692914962769
44,0,-0.43,0.0
44,1,-0.57,-1.8461430072784424
44,2,-0.14,2.4997992515563965
44,3,0.0,-1.0224461555480957
44,4,-0.43,-0.46983975172042847
45,0,-0.43,0.0
45,1,-0.36,0.5553097724914551
45,2,-0.57,-1.3626891374588013
45,3,-0.36,0.5557325482368469
45,4,-0.43,-2.70762300491333
46,0,-0.71,0.0
46,1,-0.14,-0.6422793865203857
46,2,-0.5,0.14286795258522034
46,3,-0.29,0.6602199077606201
46,4,0.14,-0.1185484230518341
47,0,-0.43,0.0
47,1,-0.43,1.0158370733261108
47,2,-0.57,-1.9013794660568237
47,3,-0.29,0.5176650285720825
47,4,-0.36,-0.27173373103141785
48,0,-0.43,0.0
48,1,-0.5,-1.0759550333023071
48,2,-0.07,-0.9560580253601074
48,3,-0.71,-0.5959697365760803
48,4,-0.36,0.8661501407623291
49,0,-0.43,0.0
49,1,-0.57,0.2775079607963562
49,2,-0.43,-1.7953325510025024
49,3,-0.57,1.615133285522461
49,4,-0.21,-0.14874830842018127
50,0,-0.64,0.0
50,1,-0.29,-0.33199870586395264
50,2,-0.21,-1.6112251281738281
50,3,-0.29,0.9192097187042236
50,4,-0.64,0.6059480905532837
51,0,0.5,0.0
51,1,-0.36,1.3471211194992065
