run,trial,ytrue,ypred
0,0,0.07,0.0
0,1,-0.73,0.2599703371524811
0,2,-0.2,0.27728304266929626
0,3,0.99,1.4186395406723022
0,4,-0.41,1.257128357887268
1,0,-0.72,0.0
1,1,0.51,-2.4056365489959717
1,2,0.37,-0.35614126920700073
1,3,-0.52,0.8365607857704163
1,4,-0.71,0.46536654233932495
2,0,-0.59,0.0
2,1,-0.33,-0.8763045072555542
2,2,-0.52,-0.4237341284751892
2,3,0.14,-0.6754765510559082
2,4,-0.52,-0.8300179243087769
3,0,0.37,0.0
3,1,0.73,-0.7464596033096313
3,2,-0.52,0.9535871744155884
3,3,0.71,-0.654862642288208
3,4,-0.29,-0.768592357635498
4,0,-0.18,0.0
4,1,-0.35,-0.10949544608592987
4,2,-0.52,-1.3649767637252808
4,3,-0.01,-0.6228560209274292
4,4,-0.33,-0.7562744617462158
5,0,0.07,0.0
5,1,-0.26,-1.4331998825073242
5,2,-0.16,0.5230470895767212
5,3,-0.18,-2.6937105655670166
5,4,0.51,-0.45595207810401917
6,0,-0.18,0.0
6,1,-0.38,-0.13958488404750824
6,2,-0.71,0.31790798902511597
6,3,-0.69,-0.4599396288394928
6,4,-0.32,0.4546985328197479
7,0,0.37,0.0
7,1,0.73,1.238673448562622
7,2,-0.41,1.335218906402588
7,3,-0.33,-0.3720164895057678
7,4,0.71,-0.05515943467617035
8,0,-0.76,0.0
8,1,-0.18,-0.04945078492164612
8,2,-0.26,0.9986197352409363
8,3,0.71,-0.06044779717922211
8,4,0.07,-0.12786637246608734
9,0,-0.26,0.0
9,1,-0.41,-0.08191727101802826
9,2,0.37,-2.256643772125244
9,3,0.71,0.5499585270881653
9,4,-0.52,0.8249924778938293
10,0,-1.0,0.0
10,1,-0.52,1.7436052560806274
10,2,-0.33,-0.24343526363372803
10,3,0.08,0.7306702136993408
10,4,-0.76,-1.3194921016693115
11,0,-0.72,0.0
11,1,-0.76,0.047936439514160156
11,2,0.71,-0.20651930570602417
11,3,-0.21,-0.6638925671577454
11,4,-0.42,-0.8296903371810913
12,0,0.51,0.0
12,1,-0.1,-0.5536220073699951
12,2,-0.2,-2.454608917236328
12,3,0.71,1.1882476806640625
12,4,0.14,-0.39662933349609375
13,0,-0.42,0.0
13,1,-0.52,1.065183401107788
13,2,-0.35,-1.803238034248352
13,3,-0.18,-0.8519752621650696
13,4,-0.33,-0.08188608288764954
14,0,-0.2,0.0
14,1,-0.16,-0.7160041332244873
14,2,-0.52,0.2028595507144928
14,3,-0.52,-1.2204558849334717
14,4,0.37,0.4197755455970764
15,0,-1.0,0.0
15,1,-0.38,-0.46636897325515747
15,2,0.07,-0.4240819215774536
15,3,0.08,-0.37568849325180054
15,4,-0.07,0.2076469510793686
16,0,-0.59,0.0
16,1,-0.33,1.5668704509735107
16,2,-0.42,0.8835987448692322
16,3,0.07,-0.9098986387252808
16,4,-0.32,0.2801133990287781
17,0,0.52,0.0
17,1,-0.2,0.032851532101631165
17,2,-0.52,-0.3661365509033203
17,3,-0.26,-1.3797897100448608
17,4,-0.46,0.10936696827411652
18,0,-0.76,0.0
18,1,-0.33,-0.6098542809486389
18,2,0.71,2.6743927001953125
18,3,-0.46,0.20127692818641663
18,4,0.07,0.11017605662345886
19,0,-0.16,0.0
19,1,0.14,-1.842318058013916
19,2,0.52,-1.2370576858520508
19,3,-0.18,-0.5508967638015747
19,4,0.08,0.5887150168418884
20,0,-0.35,0.0
20,1,-0.41,-1.8458316326141357
20,2,-0.01,1.713241696357727
20,3,-0.38,-0.5040078163146973
20,4,-0.42,-0.5494593381881714
21,0,-0.71,0.0
21,1,0.14,-0.25605636835098267
21,2,-0.72,0.8300174474716187
21,3,0.08,1.0871546268463135
21,4,-0.73,1.1417839527130127
22,0,-0.33,0.0
22,1,0.51,0.481120765209198
22,2,-0.33,-0.3284469246864319
22,3,-0.71,-1.3451392650604248
22,4,0.08,1.1374642848968506
23,0,-0.26,0.0
23,1,0.51,-1.640559196472168
23,2,0.37,-0.15786932408809662
23,3,-0.41,-0.24274961650371552
23,4,-0.07,-0.514654278755188
24,0,0.37,0.0
24,1,0.07,-0.48678937554359436
24,2,-0.72,-1.3208906650543213
24,3,0.08,0.9566928148269653
24,4,-0.01,1.8836028575897217
25,0,0.37,0.0
25,1,-0.01,-2.4756827354431152
25,2,0.08,-0.18981316685676575
25,3,0.14,-0.13313551247119904
25,4,-0.07,0.355091392993927
26,0,-0.76,0.0
26,1,-0.38,0.5529596209526062
26,2,-0.72,-0.5630452632904053
26,3,-0.69,-0.8265808820724487
26,4,-0.29,-1.0292922258377075
27,0,-0.1,0.0
27,1,0.08,-1.2779392004013062
27,2,0.99,-0.3302323818206787
27,3,-1.0,-0.40720808506011963
27,4,-0.52,1.1658796072006226
28,0,-0.07,0.0
28,1,-0.01,-0.4010714292526245
28,2,-0.38,-0.17779333889484406
28,3,-0.73,0.5820509195327759
28,4,-0.52,-0.6619430184364319
29,0,-0.2,0.0
29,1,0.52,-0.34387871623039246
29,2,-0.33,-0.2671998143196106
29,3,-0.32,0.8317832946777344
29,4,-0.08,-1.4493261575698853
30,0,-0.08,0.0
30,1,-0.38,0.3977692127227783
30,2,-0.52,0.09013955295085907
30,3,0.37,-0.037308573722839355
30,4,1.0,1.2359768152236938
31,0,-0.1,0.0
31,1,-0.73,-0.5204316973686218
31,2,0.07,-0.5097911357879639
31,3,-0.21,-0.6647891998291016
31,4,-0.42,0.32009512186050415
32,0,-1.0,0.0
32,1,-0.59,0.32617729902267456
32,2,-0.76,-0.2672610878944397
32,3,-0.01,-0.9543994069099426
32,4,-0.52,-0.6679658889770508
33,0,-0.71,0.0
33,1,0.37,-0.09089000523090363
33,2,-0.26,-0.7423574328422546
33,3,-0.33,1.2666869163513184
33,4,0.71,-2.0144941806793213
34,0,0.14,0.0
34,1,-0.07,-0.873601496219635
34,2,-0.08,1.3334286212921143
34,3,-0.73,-0.7877249717712402
34,4,-0.21,0.17828741669654846
35,0,0.73,0.0
35,1,-0.76,0.7745361924171448
35,2,0.52,-2.163986921310425
35,3,-0.69,-0.6845159530639648
35,4,-0.73,0.33090388774871826
36,0,0.07,0.0
36,1,-0.2,1.0135383605957031
36,2,-0.01,-1.0465947389602661
36,3,-0.46,0.00434468686580658
36,4,-0.71,-0.7864606380462646
37,0,1.0,0.0
37,1,-0.69,-2.2972123622894287
37,2,-1.0,-0.9857928156852722
37,3,-0.07,0.046784669160842896
37,4,-0.16,1.5267407894134521
38,0,-0.52,0.0
38,1,-0.32,0.030227869749069214
38,2,0.73,-0.6295662522315979
38,3,-0.1,0.12488165497779846
38,4,-0.33,1.4250996112823486
39,0,-0.32,0.0
39,1,-0.42,-0.13212950527668
39,2,-0.26,-0.39836084842681885
39,3,-0.07,-0.3949987590312958
39,4,-0.35,0.06356823444366455
40,0,-0.46,0.0
40,1,-0.32,-1.3225953578948975
40,2,0.99,0.9087715148925781
40,3,0.52,-0.23947656154632568
40,4,0.08,0.46035104990005493
41,0,-0.71,0.0
41,1,0.14,-0.3705664873123169
41,2,-0.38,-0.5530254244804382
41,3,-0.73,0.7968084216117859
41,4,-0.76,-0.2105250358581543
42,0,-1.0,0.0
42,1,-0.1,-0.4445034861564636
42,2,-0.38,-0.018691658973693848
42,3,-0.59,-0.7049795985221863
42,4,-0.18,-2.173126697540283
43,0,-0.1,0.0
43,1,0.08,-1.085779070854187
43,2,-0.07,0.4229968786239624
43,3,-0.72,-1.038870096206665
43,4,-0.08,0.08829347789287567
44,0,-0.01,0.0
44,1,0.07,-0.29200077056884766
44,2,0.37,-0.19964100420475006
44,3,-0.38,-0.6785351037979126
44,4,-0.41,-0.9620820879936218
45,0,-0.08,0.0
45,1,-0.38,0.07222607731819153
45,2,-0.73,0.48706579208374023
45,3,0.07,-1.688637375831604
45,4,-0.2,1.4011842012405396
46,0,-0.52,0.0
46,1,-0.26,0.44047436118125916
46,2,-0.08,0.6534686088562012
46,3,0.73,-0.4548228979110718
46,4,-1.0,-0.06724010407924652
47,0,-0.38,0.0
47,1,-0.32,-0.5594916343688965
47,2,-0.26,0.9320157170295715
47,3,0.73,-0.9409307241439819
47,4,0.37,-0.028079606592655182
48,0,0.07,0.0
48,1,-0.76,0.7009963989257812
48,2,-0.52,0.3343640863895416
48,3,-0.52,0.0613255500793457
48,4,-0.32,-0.5134259462356567
49,0,-0.33,0.0
49,1,-0.73,-0.22842112183570862
49,2,-0.76,-0.4352743625640869
49,3,-0.38,-0.413757860660553
49,4,-0.46,1.0403730869293213
50,0,-0.59,0.0
50,1,-0.26,0.3630998432636261
50,2,-0.46,-0.5067000985145569
50,3,-0.07,0.3060382902622223
50,4,-0.32,-0.059683531522750854
51,0,0.73,0.0
51,1,-0.21,-0.20499345660209656
51,2,-0.08,1.6930172443389893
51,3,-0.69,-2.057163953781128
51,4,-0.29,1.0555338859558105
52,0,0.52,0.0
52,1,-0.16,-0.5584228038787842
52,2,-0.35,-0.2522262930870056
52,3,0.51,0.7738380432128906
52,4,0.08,-1.2118891477584839
53,0,0.52,0.0
53,1,-0.41,1.017733097076416
53,2,-1.0,-0.5242395401000977
53,3,-0.69,-0.941149115562439
53,4,-0.52,0.20009367167949677
54,0,-0.76,0.0
54,1,0.52,-0.11563469469547272
54,2,-0.32,-0.2046855092048645
54,3,0.14,-1.3815131187438965
54,4,0.08,0.44260287284851074
55,0,-0.59,0.0
55,1,-0.01,0.5190722942352295
55,2,-0.33,-1.8666731119155884
55,3,-0.16,-0.836007833480835
55,4,-0.52,-0.9875645637512207
56,0,-0.52,0.0
56,1,-0.35,1.729327917098999
56,2,-0.07,-0.31782305240631104
56,3,0.07,-2.381197929382324
56,4,-0.46,1.0464574098587036
57,0,0.73,0.0
57,1,-0.21,1.544146180152893
57,2,-0.52,-0.9870458245277405
57,3,-0.73,-1.4137120246887207
57,4,-0.76,-0.5241768956184387
58,0,0.37,0.0
58,1,0.71,0.6253501176834106
58,2,0.51,-0.11603833734989166
58,3,-0.73,1.2585818767547607
58,4,-0.16,0.5248448252677917
59,0,0.99,0.0
59,1,-0.01,-0.7804952263832092
59,2,-0.29,0.4559914767742157
59,3,-0.33,1.7636733055114746
59,4,0.73,0.006068691611289978
60,0,-0.07,0.0
60,1,0.14,-0.96363365650177
60,2,0.07,1.0470656156539917
60,3,0.07,-0.15649181604385376
60,4,-0.01,0.22559353709220886
61,0,-0.29,0.0
61,1,-0.52,-0.3825007677078247
61,2,-0.33,-0.21458330750465393
61,3,0.51,-0.0819428414106369
61,4,-0.59,0.6464188098907471
62,0,-0.07,0.0
62,1,-0.76,-1.6214929819107056
62,2,-0.18,-0.533282458782196
62,3,-0.46,-1.7819759845733643
62,4,-0.41,-0.708914577960968
63,0,-1.0,0.0
63,1,0.52,-1.8407087326049805
63,2,-0.08,-0.67118239402771
63,3,0.08,-0.16574576497077942
63,4,-0.29,-0.9237041473388672
64,0,-0.21,0.0
64,1,0.14,0.04783923923969269
64,2,-0.52,0.41549375653266907
64,3,-0.69,-0.23823554813861847
64,4,0.37,1.0497761964797974
65,0,0.07,0.0
65,1,-0.16,0.4136927127838135
65,2,-0.35,-0.73170006275177
65,3,0.07,-1.6605545282363892
65,4,-0.33,-1.4313689470291138
66,0,-0.21,0.0
66,1,0.37,0.9308742880821228
66,2,0.07,-0.4972156286239624
66,3,-0.33,0.8326274156570435
66,4,-0.46,0.657791018486023
67,0,0.37,0.0
67,1,-0.42,0.2974121868610382
67,2,-0.01,0.33673590421676636
67,3,-0.76,-1.279710292816162
67,4,-0.18,-1.1537103652954102
68,0,-0.07,0.0
68,1,-0.33,-1.2514735460281372
68,2,-0.38,-1.244452953338623
68,3,0.14,0.8984363675117493
68,4,0.07,1.5805104970932007
69,0,0.71,0.0
69,1,-0.69,-0.928666353225708
69,2,-0.35,0.338138610124588
69,3,0.37,-0.5235401391983032
69,4,-0.32,0.40469396114349365
70,0,-0.71,0.0
70,1,-0.26,-0.07449126243591309
70,2,-0.01,-1.0725847482681274
70,3,-0.52,0.7329195141792297
70,4,0.51,-0.27460330724716187
71,0,0.07,0.0
71,1,-0.32,1.6898880004882812
71,2,-0.52,-0.46474725008010864
71,3,-0.33,-0.19357091188430786
71,4,-0.38,-1.5402264595031738
72,0,0.07,0.0
72,1,0.71,0.44311875104904175
72,2,-0.16,-0.3363799452781677
72,3,-0.1,-1.5042977333068848
72,4,0.73,-0.5045642852783203
73,0,0.37,0.0
73,1,-0.01,1.8677427768707275
73,2,-0.38,-0.11223889887332916
73,3,-0.52,-0.4629719853401184
73,4,0.37,-0.1997969150543213
74,0,-0.18,0.0
74,1,0.51,-0.39052915573120117
74,2,-0.52,-0.9970645904541016
74,3,0.07,-0.6471813321113586
74,4,-0.42,0.5449445247650146
75,0,-0.29,0.0
75,1,0.07,0.2577507495880127
75,2,-0.76,-0.6655266284942627
75,3,-0.33,-1.428868055343628
75,4,-0.16,-0.6213843822479248
76,0,-0.21,0.0
76,1,-0.69,0.2661707401275635
76,2,-0.07,-0.8590277433395386
76,3,-0.71,-0.4526703655719757
76,4,0.08,0.37460339069366455
77,0,0.37,0.0
77,1,-0.38,-0.020140379667282104
77,2,-0.08,-1.291406512260437
77,3,-0.72,-0.862776517868042
77,4,-0.76,-2.2519443035125732
78,0,0.73,0.0
78,1,-0.01,0.3075363337993622
78,2,0.37,-0.023768916726112366
78,3,-0.21,-1.1046602725982666
78,4,-0.32,0.13560819625854492
79,0,0.08,0.0
79,1,-0.01,0.181528240442276
79,2,-0.16,0.3573354184627533
79,3,-0.41,-0.1145317554473877
79,4,-0.42,-1.013314962387085
80,0,0.52,0.0
80,1,0.07,-0.12831954658031464
80,2,0.08,-0.2871467173099518
80,3,-0.52,-0.20028945803642273
80,4,-0.38,-0.8729103803634644
81,0,-0.73,0.0
81,1,-0.01,0.08446698635816574
81,2,0.08,1.222520112991333
81,3,0.71,0.4606972634792328
81,4,-0.52,-1.631149411201477
82,0,0.51,0.0
82,1,-0.16,0.07002787292003632
82,2,-0.21,0.22272107005119324
82,3,0.99,0.7703350782394409
82,4,-0.76,-0.8892781734466553
83,0,-0.01,0.0
83,1,-0.08,0.34088578820228577
83,2,-0.16,-0.29115763306617737
83,3,0.07,-0.330503910779953
83,4,0.73,0.9047143459320068
84,0,0.99,0.0
84,1,0.73,-1.3770149946212769
84,2,-0.46,-1.0589205026626587
84,3,-0.26,-0.3069051504135132
84,4,-0.35,1.4937628507614136
85,0,-0.73,0.0
85,1,-0.71,-0.5148927569389343
85,2,0.37,0.2646694481372833
85,3,-0.33,1.134557843208313
85,4,-0.52,-0.4635167717933655
86,0,0.51,0.0
86,1,-1.0,-0.3787919282913208
86,2,-0.52,1.101675271987915
86,3,-0.29,-0.10744993388652802
86,4,-0.32,0.8891327977180481
87,0,-0.52,0.0
87,1,-0.42,0.4330842196941376
87,2,0.99,0.12238457053899765
87,3,1.0,0.9222371578216553
87,4,-0.52,1.2680495977401733
88,0,-0.16,0.0
88,1,-0.1,-1.4487696886062622
88,2,0.99,1.464901089668274
88,3,0.37,-1.0501233339309692
88,4,-0.59,0.07913361489772797
89,0,-0.52,0.0
