run,trial,ytrue,ypred
0,0,-0.05,0.0
0,1,1.0,0.1257931888103485
0,2,0.05,-0.17688843607902527
0,3,-0.24,-1.934829831123352
0,4,-0.37,-1.78171968460083
1,0,-0.79,0.0
1,1,-0.63,-0.22851040959358215
1,2,-0.34,-0.5344594717025757
1,3,0.11,-0.23331837356090546
1,4,0.21,0.26233968138694763
2,0,0.08,0.0
2,1,-0.66,1.1800541877746582
2,2,-0.82,-2.068345546722412
2,3,-0.18,-0.9569199085235596
2,4,-0.87,1.1265650987625122
3,0,-0.55,0.0
3,1,-0.13,0.039861783385276794
3,2,0.29,-0.16960981488227844
3,3,-0.71,0.7300482392311096
3,4,0.11,-1.8294472694396973
4,0,-0.82,0.0
4,1,-0.03,-0.47639334201812744
4,2,-0.05,-0.24442744255065918
4,3,-0.5,-1.7214189767837524
4,4,-0.24,0.18829232454299927
5,0,-0.16,0.0
5,1,-0.58,-1.3703644275665283
5,2,0.13,-0.4919239580631256
5,3,-0.34,-0.841933012008667
5,4,-0.5,-3.2053773403167725
6,0,0.24,0.0
6,1,-0.11,-1.006643295288086
6,2,-0.05,0.9363070726394653
6,3,-0.18,1.0865041017532349
6,4,-0.74,-0.7750675082206726
7,0,-0.13,0.0
7,1,-0.63,0.05966770648956299
7,2,-0.05,-0.017324604094028473
7,3,-0.11,0.9211807250976562
7,4,-0.89,0.28548112511634827
8,0,-0.87,0.0
8,1,0.21,-1.126268744468689
8,2,-0.26,0.19443200528621674
8,3,-0.18,0.13833919167518616
8,4,-0.76,1.1745206117630005
9,0,0.82,0.0
9,1,-0.18,-0.3508237302303314
9,2,0.13,0.22617308795452118
9,3,-0.76,-0.8508432507514954
9,4,-0.16,-0.8639281988143921
10,0,0.11,0.0
10,1,0.03,1.193528652191162
10,2,-0.26,0.6490390300750732
10,3,-0.05,-0.43909531831741333
10,4,-0.37,-0.4345107972621918
11,0,0.03,0.0
11,1,0.13,-2.3567230701446533
11,2,0.68,0.8416550159454346
11,3,-0.89,0.12917377054691315
11,4,-0.24,-0.2680417597293854
12,0,0.61,0.0
12,1,-0.11,-0.8258550763130188
12,2,-0.13,-1.2554397583007812
12,3,-0.39,-0.24997064471244812
12,4,-0.05,-0.26149362325668335
13,0,-0.18,0.0
13,1,-0.87,-1.4499105215072632
13,2,-0.24,-0.2810870409011841
13,3,-0.21,0.48497578501701355
13,4,0.08,0.4355628490447998
14,0,-0.5,0.0
14,1,-0.24,-0.04869148135185242
14,2,0.13,1.0092095136642456
14,3,-0.11,-0.9376270771026611
14,4,-0.16,-1.1395957469940186
15,0,-0.37,0.0
15,1,-0.76,-1.9396518468856812
15,2,-0.26,0.7206944227218628
15,3,0.08,-1.2419363260269165
15,4,0.34,-2.094973564147949
16,0,-0.71,0.0
16,1,-0.39,-0.44560497999191284
16,2,-0.5,-1.1031090021133423
16,3,-0.18,-0.5109513998031616
16,4,0.29,-2.029815196990967
17,0,-0.18,0.0
17,1,-0.82,-0.3631526529788971
17,2,-0.29,1.1848113536834717
17,3,0.0,-0.6577782034873962
17,4,0.05,-0.03765817731618881
18,0,0.29,0.0
18,1,-0.05,-1.0516432523727417
18,2,-0.16,0.9902564883232117
18,3,-0.29,1.081186056137085
18,4,-0.89,-0.21224182844161987
19,0,0.24,0.0
19,1,-0.16,0.08522775769233704
19,2,0.61,0.42433005571365356
19,3,-0.11,0.8952773809432983
19,4,-0.26,-0.9555157423019409
20,0,-0.53,0.0
20,1,-0.16,-1.0686231851577759
20,2,-0.87,0.2498505711555481
20,3,-0.26,0.49413758516311646
20,4,-0.05,-0.056799981743097305
21,0,-0.11,0.0
21,1,0.37,0.5123268365859985
21,2,-0.37,1.046328067779541
21,3,-0.58,-0.966025710105896
21,4,0.13,-0.9906914234161377
22,0,-0.05,0.0
22,1,0.82,-0.913371205329895
22,2,0.21,-0.5208442211151123
22,3,0.18,0.23490546643733978
22,4,0.68,1.1131824254989624
23,0,-0.76,0.0
23,1,-0.34,-1.3672064542770386
23,2,-0.11,0.9965263605117798
23,3,0.18,-0.5291562676429749
23,4,-0.71,-1.1437036991119385
24,0,0.47,0.0
24,1,-0.18,-2.6112661361694336
24,2,-0.63,0.24974578619003296
24,3,0.03,0.10850644111633301
24,4,-0.18,1.702854871749878
25,0,0.05,0.0
25,1,-0.29,-0.07185368239879608
25,2,-0.45,-0.2843911051750183
25,3,-0.37,-0.38528427481651306
25,4,0.13,0.16894681751728058
26,0,-0.26,0.0
26,1,-0.63,-1.0004100799560547
26,2,-0.71,0.961816132068634
26,3,0.13,1.483154535293579
26,4,-0.03,1.280347228050232
27,0,-0.24,0.0
27,1,0.13,-1.223623275756836
27,2,-0.24,-3.0551247596740723
27,3,0.18,-1.5877342224121094
27,4,0.18,-0.5614525079727173
28,0,0.05,0.0
28,1,-0.26,-0.14956900477409363
28,2,0.21,-0.2265845090150833
28,3,-0.63,0.2493884265422821
28,4,-0.58,-2.0617852210998535
29,0,-0.58,0.0
29,1,-0.05,-1.2178913354873657
29,2,-0.29,-0.14560139179229736
29,3,0.03,-1.165774941444397
29,4,-0.24,1.132809042930603
30,0,-0.37,0.0
30,1,-0.39,-2.1739232540130615
30,2,0.13,0.7372257709503174
30,3,0.03,-0.5406365990638733
30,4,-0.24,-0.16934897005558014
31,0,-0.76,0.0
31,1,0.05,0.2971413731575012
31,2,-0.29,-0.8004001975059509
31,3,0.05,-0.16242405772209167
31,4,-0.13,-1.0287171602249146
32,0,0.13,0.0
32,1,-0.74,0.47041597962379456
32,2,-0.11,-1.0226410627365112
