run,trial,ytrue,ypred
0,0,0.36,0.0
0,1,-0.68,-0.24987392127513885
0,2,-0.46,-1.327154278755188
0,3,-0.22,-1.128118634223938
0,4,-0.23,1.0870414972305298
1,0,0.02,0.0
1,1,-0.41,0.642216682434082
1,2,-0.28,2.4570891857147217
1,3,-0.01,-0.6434730887413025
1,4,-0.23,-2.1430954933166504
2,0,-0.73,0.0
2,1,-0.23,-0.6548905372619629
2,2,-0.21,-0.12219870090484619
2,3,-0.72,-0.7538295984268188
2,4,-0.37,-1.2561994791030884
3,0,-0.03,0.0
3,1,-0.14,-0.7877869009971619
3,2,0.35,0.3665086627006531
3,3,0.03,-1.4201328754425049
3,4,-0.85,-1.0769606828689575
4,0,-1.0,0.0
4,1,-0.04,1.4477291107177734
4,2,-0.1,-1.0689810514450073
4,3,-0.98,-1.1618046760559082
4,4,-0.08,-1.068652629852295
5,0,0.2,0.0
5,1,-0.08,-0.2988831400871277
5,2,-0.48,-1.3378472328186035
5,3,0.0,-1.1817700862884521
5,4,-0.1,-1.4401054382324219
6,0,-0.41,0.0
6,1,-0.13,1.097317099571228
6,2,-0.08,1.1319900751113892
6,3,-0.13,-1.7861310243606567
6,4,-0.29,-1.1955502033233643
7,0,-0.3,0.0
7,1,-0.72,0.4782376289367676
7,2,-0.04,-1.6613270044326782
7,3,-0.73,-1.7805778980255127
7,4,-0.49,-0.41386985778808594
8,0,-0.08,0.0
8,1,0.05,-0.8903262615203857
8,2,-0.11,-0.12043103575706482
8,3,0.01,-0.07630819082260132
8,4,-0.46,-1.7426164150238037
9,0,-0.45,0.0
9,1,-0.38,-0.011855542659759521
9,2,-0.46,-1.074218988418579
9,3,-0.15,0.5369720458984375
9,4,-0.28,-1.4475719928741455
10,0,0.41,0.0
10,1,-0.46,0.1515074372291565
10,2,0.02,0.5546676516532898
10,3,-0.24,-2.0136706829071045
10,4,-0.01,0.7103391289710999
11,0,-0.83,0.0
11,1,0.12,-1.1918902397155762
11,2,0.34,0.06585563719272614
11,3,-0.43,1.4968030452728271
11,4,-0.63,-0.8959767818450928
12,0,0.58,0.0
12,1,0.25,-1.2829148769378662
12,2,-0.86,0.5559123754501343
12,3,-0.46,-0.8279194831848145
12,4,-0.16,0.6656184792518616
13,0,-0.82,0.0
13,1,-0.4,-1.6242955923080444
13,2,0.36,-0.9596046209335327
13,3,-0.46,-0.07152688503265381
13,4,0.07,0.7243404388427734
14,0,0.28,0.0
14,1,-0.45,-0.25947773456573486
14,2,-0.41,-0.1936745047569275
14,3,-0.04,-3.204987049102783
14,4,-0.57,1.1045101881027222
15,0,-0.32,0.0
15,1,-0.24,0.20627152919769287
15,2,-0.85,-0.2685823142528534
15,3,-0.52,-0.3554302752017975
15,4,0.21,-0.030546113848686218
16,0,-0.4,0.0
16,1,-0.02,-0.9836549758911133
16,2,-0.46,1.078761339187622
16,3,0.34,-1.2122297286987305
16,4,-0.13,-0.22118622064590454
17,0,-0.52,0.0
17,1,-0.02,-0.49452653527259827
17,2,-0.15,1.2358721494674683
