run,trial,ytrue,ypred
0,0,-0.53,0.0
0,1,-0.98,-1.7769198417663574
0,2,-0.53,-0.9392069578170776
0,3,-0.89,-0.07460671663284302
0,4,-0.71,1.083627462387085
1,0,-0.78,0.0
1,1,-0.37,0.607542872428894
1,2,-0.92,-1.8161582946777344
1,3,-0.95,0.9469715356826782
1,4,-0.76,-0.5114991664886475
2,0,-0.54,0.0
2,1,-0.92,-0.7971885204315186
2,2,-0.98,-2.2853522300720215
2,3,-0.95,-1.324331283569336
2,4,-0.81,-0.6295789480209351
3,0,-0.37,0.0
3,1,-0.8,0.5767380595207214
3,2,-0.97,-0.5769938826560974
3,3,-0.94,-0.8727456331253052
3,4,-0.83,0.14715245366096497
4,0,-0.92,0.0
4,1,-0.96,-0.5611544251441956
4,2,-0.92,-0.2949739098548889
4,3,-0.82,-0.9262557029724121
4,4,-0.99,-1.2995312213897705
5,0,-0.92,0.0
5,1,-0.85,-1.0904875993728638
5,2,-0.9,-1.9379682540893555
5,3,-1.0,-1.1898407936096191
5,4,-0.91,-0.39283761382102966
6,0,-0.92,0.0
6,1,-1.0,0.21179765462875366
6,2,-0.96,0.09378767013549805
6,3,-0.95,-0.11663505434989929
6,4,-0.97,0.5588785409927368
7,0,-0.89,0.0
7,1,-0.98,-0.47357696294784546
7,2,-0.93,0.4616081714630127
7,3,-0.93,0.014783740043640137
7,4,-0.2,-0.5770555734634399
8,0,-0.76,0.0
8,1,-0.97,-1.747682809829712
8,2,-0.47,2.896253824234009
8,3,-0.88,1.1863293647766113
8,4,-0.94,-0.025772839784622192
9,0,-1.0,0.0
9,1,-0.93,-1.926207184791565
9,2,-0.89,-0.025979459285736084
9,3,-0.98,2.5598456859588623
9,4,1.0,1.5148909091949463
10,0,-0.94,0.0
10,1,-0.95,0.09934753179550171
10,2,-0.56,1.1610939502716064
10,3,-0.77,-0.6158596277236938
10,4,-0.98,-3.0720818042755127
11,0,-0.85,0.0
11,1,-0.91,-0.28679436445236206
11,2,-0.95,-1.0745962858200073
11,3,-0.97,-0.7060528993606567
11,4,-0.86,-0.9217796325683594
12,0,-0.93,0.0
12,1,-0.99,-1.4596335887908936
12,2,-0.92,-0.5192420482635498
12,3,-0.98,-0.48402249813079834
12,4,-0.97,-1.0890755653381348
13,0,-0.92,0.0
13,1,-0.82,-0.13043588399887085
13,2,-0.94,1.8721922636032104
13,3,-0.94,-2.241116523742676
13,4,-0.98,-0.8928778171539307
14,0,-0.89,0.0
14,1,-0.92,0.26316124200820923
14,2,-0.98,-0.5147667527198792
14,3,-0.92,0.47311216592788696
14,4,-0.92,-0.9342471361160278
15,0,-0.89,0.0
15,1,-0.97,-0.524651288986206
15,2,-0.89,0.3052995204925537
15,3,-0.85,0.09587103128433228
15,4,-0.65,0.5361245274543762
16,0,-0.9,0.0
16,1,-0.82,-3.1423838138580322
16,2,-0.93,-1.114861249923706
16,3,-0.65,-0.8269849419593811
16,4,-0.94,-0.15232014656066895
17,0,-0.88,0.0
17,1,-0.81,1.2941371202468872
17,2,-0.91,-0.05714625120162964
17,3,-0.97,-1.203979730606079
17,4,-0.93,-0.7945945262908936
18,0,-0.78,0.0
18,1,-0.97,0.052989184856414795
18,2,-0.96,-0.7611269354820251
18,3,-0.92,-0.8665488958358765
18,4,-0.97,-0.05183809995651245
19,0,-0.12,0.0
19,1,-0.93,-0.05917266011238098
19,2,0.1,-1.8816752433776855
19,3,-0.2,0.3033479154109955
19,4,-0.98,-2.1977877616882324
20,0,-0.92,0.0
20,1,-0.96,-2.3169243335723877
20,2,-0.92,-0.0900542140007019
20,3,-0.81,1.4328393936157227
20,4,-0.97,-1.5646981000900269
21,0,-0.78,0.0
21,1,-0.2,-1.1342933177947998
21,2,-0.94,-3.297668933868408
21,3,-0.36,-0.5415529012680054
21,4,-0.96,0.4654378890991211
22,0,-0.95,0.0
22,1,-0.65,-0.7209311723709106
22,2,-0.97,1.5682021379470825
22,3,-0.92,-0.3271048069000244
22,4,-0.68,-0.28427383303642273
23,0,-0.54,0.0
23,1,-0.95,1.3045192956924438
23,2,-0.87,-0.7416895627975464
23,3,1.0,-0.5230914354324341
23,4,-0.98,-0.023602604866027832
24,0,-0.99,0.0
24,1,-0.96,0.2871266007423401
24,2,-0.88,-1.7274799346923828
24,3,-0.65,-0.24437683820724487
24,4,-0.88,-0.49255290627479553
25,0,-0.12,0.0
25,1,-0.77,-0.9490028023719788
25,2,-0.96,-1.0714352130889893
25,3,-0.91,0.301294207572937
25,4,-0.92,0.6613508462905884
26,0,-0.99,0.0
26,1,-0.94,-0.280184268951416
26,2,-0.99,-0.2800391614437103
26,3,-0.99,-0.7098249197006226
26,4,0.59,-0.7517708539962769
27,0,-0.97,0.0
27,1,-0.9,0.2661769390106201
27,2,-0.81,0.24554917216300964
27,3,-0.95,-1.9954261779785156
27,4,-0.89,-1.4713438749313354
28,0,-0.78,0.0
28,1,-0.81,-0.08226743340492249
28,2,-0.88,-0.2320443093776703
28,3,-0.9,-0.46814197301864624
28,4,-0.95,0.18979918956756592
29,0,-0.88,0.0
29,1,-0.95,-1.9965081214904785
29,2,-0.63,1.3574295043945312
29,3,-0.92,-0.2384064495563507
29,4,-0.98,0.8154236078262329
30,0,-0.68,0.0
30,1,-0.95,-2.6677374839782715
30,2,-0.99,0.7302756905555725
30,3,-0.45,-1.8289414644241333
30,4,-0.77,0.03390707075595856
31,0,-0.65,0.0
31,1,-0.98,-1.4641919136047363
31,2,-0.76,0.5141361355781555
31,3,-0.77,-1.418413519859314
31,4,-0.9,0.7370712757110596
32,0,-0.99,0.0
32,1,-0.96,-0.16792336106300354
32,2,-0.95,-1.1030499935150146
32,3,-0.94,0.3116847276687622
32,4,-0.91,0.0876762866973877
