run,trial,ytrue,ypred
0,0,0.0,0.0
0,1,-0.99,1.7221883535385132
0,2,0.18,-0.509516179561615
0,3,-0.99,0.25443387031555176
0,4,0.39,-0.22246330976486206
1,0,-0.58,0.0
1,1,-0.86,0.27453115582466125
1,2,-0.99,0.4131784439086914
1,3,-0.97,0.2592446804046631
1,4,-0.14,0.03217500448226929
2,0,0.06,0.0
2,1,-0.55,-1.3872714042663574
2,2,-0.13,-0.2810041904449463
2,3,-0.99,-0.6300714612007141
2,4,-0.29,-2.667417287826538
3,0,-0.13,0.0
3,1,-0.36,-0.1261013299226761
3,2,-0.74,1.0130195617675781
3,3,-0.86,-0.12676343321800232
3,4,-0.36,-0.3826459050178528
4,0,-0.59,0.0
4,1,0.4,-3.2034425735473633
4,2,-0.14,-1.2709273099899292
4,3,0.06,1.522766351699829
4,4,-0.36,-0.36559242010116577
5,0,-0.86,0.0
5,1,0.19,0.0400778204202652
5,2,-0.34,-1.4361356496810913
5,3,0.26,-1.005561351776123
5,4,0.06,-1.5784051418304443
6,0,0.03,0.0
6,1,-0.86,-1.4082940816879272
6,2,0.22,0.17381516098976135
6,3,-0.9,-0.46795809268951416
6,4,-0.04,-1.7620623111724854
7,0,-0.55,0.0
7,1,-0.18,1.3797907829284668
7,2,-0.44,-0.8752263784408569
7,3,-0.86,0.023215442895889282
7,4,0.06,0.8055063486099243
8,0,-0.43,0.0
8,1,-0.17,-1.138322114944458
8,2,-0.99,1.2973066568374634
8,3,0.17,-2.787079334259033
8,4,-0.86,0.9317782521247864
9,0,-0.75,0.0
9,1,-0.27,-0.9379451870918274
9,2,-0.18,0.7343029379844666
9,3,1.0,-0.9275062084197998
9,4,0.24,-0.35629886388778687
10,0,1.0,0.0
10,1,0.18,0.20394152402877808
10,2,0.39,-0.613418698310852
10,3,-0.86,1.0833097696304321
10,4,-0.36,2.235640287399292
11,0,-0.13,0.0
11,1,-0.17,-0.17177635431289673
11,2,-0.34,-1.6981713771820068
11,3,0.17,-0.35569125413894653
11,4,-0.14,0.9978255033493042
12,0,0.1,0.0
12,1,-0.5,-2.5819432735443115
12,2,-0.17,-0.1432974636554718
12,3,-0.13,-0.1978403925895691
12,4,0.1,0.594170093536377
13,0,-0.55,0.0
13,1,-0.02,0.03336310386657715
13,2,0.22,0.5434705018997192
13,3,0.26,-0.4133526682853699
13,4,-1.0,-1.929060697555542
14,0,-0.01,0.0
14,1,0.18,0.059582412242889404
14,2,0.22,-0.4396771192550659
14,3,-0.74,1.7799642086029053
14,4,0.19,-0.97323077917099
15,0,0.09,0.0
15,1,-0.5,0.2628471851348877
15,2,-0.34,-0.6159238219261169
15,3,-0.36,-1.349618673324585
15,4,-0.27,-0.19459056854248047
16,0,-0.42,0.0
16,1,0.19,0.8106732368469238
16,2,0.09,-0.10511556267738342
16,3,-0.53,-1.5832912921905518
16,4,-0.75,0.9527020454406738
17,0,-0.0,0.0
17,1,-0.58,0.9669172167778015
17,2,-0.75,-0.6209505200386047
17,3,-0.3,-0.41301238536834717
17,4,-0.5,0.28730547428131104
18,0,-0.34,0.0
18,1,0.06,-1.3673406839370728
18,2,0.18,-1.7498514652252197
18,3,-0.5,1.3028779029846191
18,4,-0.12,-1.3263609409332275
19,0,-0.42,0.0
19,1,-0.34,0.8845230340957642
19,2,-0.43,-0.5503498315811157
19,3,0.4,-1.1418302059173584
19,4,-0.36,1.7266665697097778
20,0,-0.3,0.0
20,1,0.18,-0.565260112285614
20,2,-0.36,-1.7482455968856812
20,3,-0.79,1.3299429416656494
20,4,-0.86,-0.32576778531074524
21,0,-0.34,0.0
21,1,0.39,-0.9311236143112183
21,2,-0.35,-1.4495372772216797
21,3,0.19,2.06896710395813
21,4,0.18,-0.03144228458404541
22,0,-0.01,0.0
22,1,0.24,-0.6059278249740601
22,2,-0.55,-1.189087986946106
22,3,1.0,0.3565506339073181
22,4,-0.0,-1.0192943811416626
23,0,-0.75,0.0
23,1,-0.86,0.3492206931114197
23,2,-0.65,-2.085942506790161
23,3,-0.0,0.2863578796386719
23,4,-0.3,-0.3781333565711975
24,0,-0.0,0.0
24,1,-0.74,-0.5989299416542053
24,2,-0.44,-0.264281690120697
24,3,-0.3,-1.2325519323349
24,4,0.05,-1.4225666522979736
25,0,-0.58,0.0
25,1,-0.3,-0.5411159992218018
25,2,-0.99,-0.4835126996040344
25,3,-0.27,-0.8152856826782227
25,4,0.39,-1.3797529935836792
26,0,0.17,0.0
26,1,-0.27,0.29614418745040894
26,2,0.1,-0.24223296344280243
26,3,-0.9,1.8080981969833374
26,4,-0.36,0.2959900498390198
27,0,-0.27,0.0
27,1,0.06,0.9972994923591614
27,2,0.7,-2.352146625518799
27,3,-0.58,-0.03040964901447296
27,4,-0.44,0.4541066884994507
28,0,-0.34,0.0
28,1,-0.63,0.5081710815429688
28,2,-0.17,0.24099799990653992
28,3,0.39,-0.8102572560310364
28,4,0.06,1.1261601448059082
29,0,-0.42,0.0
29,1,-0.58,-0.36702024936676025
29,2,-0.59,-0.46349209547042847
29,3,-0.36,-0.43109309673309326
29,4,-0.97,1.2675328254699707
30,0,-0.63,0.0
30,1,-0.5,0.4272978603839874
30,2,-0.42,0.1446734219789505
30,3,-0.36,0.6790048480033875
30,4,-1.0,0.042930446565151215
31,0,-0.63,0.0
31,1,-0.65,0.13848000764846802
31,2,0.22,-0.8148230314254761
31,3,-0.59,1.894870638847351
31,4,0.1,-0.10264453291893005
32,0,0.4,0.0
32,1,0.39,0.020698994398117065
32,2,-0.35,-0.17640620470046997
32,3,-0.58,-1.0329028367996216
32,4,0.1,-1.2149224281311035
33,0,-0.58,0.0
33,1,-0.02,-0.11645221710205078
33,2,0.18,-0.8658329248428345
33,3,-0.5,1.3911521434783936
33,4,-0.04,-0.12568405270576477
34,0,-0.02,0.0
34,1,-0.58,-1.0439296960830688
34,2,-0.13,0.2537060081958771
34,3,0.19,0.5968186259269714
