run,trial,ytrue,ypred
0,0,-0.82,0.0
0,1,0.09,0.029799163341522217
0,2,-0.43,-2.058861255645752
0,3,-0.41,-1.124915361404419
0,4,-0.81,-1.3306701183319092
1,0,-0.65,0.0
1,1,-0.21,0.3314548134803772
1,2,0.83,-2.0074331760406494
1,3,-0.3,0.6678041219711304
1,4,-1.0,3.0666110515594482
2,0,-0.72,0.0
2,1,-0.41,-0.4117726981639862
2,2,-0.32,-1.6022367477416992
2,3,0.83,0.21594426035881042
2,4,-0.82,0.07389470934867859
3,0,-0.75,0.0
3,1,-1.0,0.7400835156440735
3,2,-0.67,0.6141082048416138
3,3,-0.93,1.1273696422576904
3,4,-0.7,-0.872560977935791
4,0,-0.75,0.0
4,1,0.83,0.07742053270339966
4,2,-0.7,-0.4757605195045471
4,3,0.18,0.6610472202301025
4,4,-0.32,0.280877947807312
5,0,-0.7,0.0
5,1,-0.94,-1.504902720451355
5,2,0.18,-0.20100060105323792
5,3,-0.43,-0.6636632084846497
5,4,-0.72,0.7198883891105652
6,0,-0.31,0.0
6,1,-0.62,-0.9814647436141968
6,2,0.18,-1.4734554290771484
6,3,-0.21,-1.8368048667907715
6,4,0.09,1.951904296875
7,0,-0.16,0.0
7,1,-0.7,-0.6184290051460266
7,2,-1.0,1.7236974239349365
7,3,-0.62,-0.04739968478679657
7,4,0.73,0.027835696935653687
8,0,-0.7,0.0
8,1,-0.67,-0.19752013683319092
8,2,-0.56,1.2868162393569946
8,3,-0.41,-1.4516887664794922
8,4,0.38,-0.020878426730632782
9,0,-0.56,0.0
9,1,-0.3,-0.846310019493103
9,2,0.54,-0.6238343715667725
9,3,0.38,-0.4280043840408325
9,4,-0.67,0.2683839201927185
10,0,-0.75,0.0
10,1,0.12,-1.2358012199401855
10,2,-0.7,-0.04677104949951172
10,3,-0.67,-1.0001887083053589
10,4,-0.62,-0.8736609220504761
11,0,-0.65,0.0
11,1,-1.0,0.04394949972629547
11,2,-0.21,-1.6166108846664429
11,3,-0.94,-1.3790611028671265
11,4,-0.62,1.1922050714492798
12,0,-0.21,0.0
12,1,-0.68,0.25120997428894043
12,2,-0.32,-0.8812302350997925
12,3,-0.9,-1.4405514001846313
12,4,-0.66,-2.1040477752685547
13,0,-0.72,0.0
13,1,-0.93,0.4278482496738434
13,2,-0.63,-0.7722665071487427
13,3,-0.34,1.3738269805908203
13,4,-0.94,-0.20804092288017273
14,0,-0.67,0.0
14,1,-0.7,-0.05298668146133423
14,2,-0.3,-0.3734014630317688
14,3,-0.64,-1.0679011344909668
14,4,-0.7,-0.8165230751037598
15,0,0.09,0.0
15,1,-0.31,-0.6308962106704712
15,2,-0.65,-0.33194053173065186
15,3,-0.81,-2.911829948425293
15,4,0.54,1.674623966217041
16,0,-0.32,0.0
16,1,-0.31,2.0058300495147705
16,2,-0.3,0.7183502316474915
16,3,-0.62,-2.1501591205596924
16,4,-0.64,-2.0215580463409424
17,0,-0.81,0.0
17,1,-0.72,0.2982546091079712
17,2,-0.31,-0.21126316487789154
17,3,0.09,-1.1138302087783813
17,4,0.54,0.08227911591529846
18,0,-0.63,0.0
18,1,-0.56,-1.7717570066452026
18,2,-0.93,-0.23212090134620667
18,3,-0.68,-2.2103703022003174
18,4,-0.41,-0.412330687046051
19,0,0.09,0.0
19,1,1.0,-0.1159762516617775
19,2,0.83,-0.7102564573287964
19,3,-0.56,0.5179415941238403
19,4,-0.9,-0.3086772859096527
20,0,-0.94,0.0
20,1,-0.9,-0.3150846064090729
20,2,0.73,-0.3888295888900757
20,3,-0.41,0.15490350127220154
20,4,-0.64,-0.5231353044509888
21,0,1.0,0.0
21,1,-0.31,2.039621114730835
21,2,-0.34,0.6594852209091187
21,3,-0.81,0.01885312795639038
21,4,-0.75,-1.8567287921905518
22,0,-0.31,0.0
22,1,0.54,-1.878470540046692
22,2,-0.64,-0.6816762685775757
22,3,-0.34,-0.7891334891319275
22,4,-0.9,-0.8883813619613647
23,0,0.83,0.0
23,1,-0.56,0.1777016818523407
23,2,-0.82,0.02546137571334839
23,3,-0.68,1.0715055465698242
23,4,-0.16,2.2004337310791016
24,0,-0.22,0.0
24,1,-0.3,0.9828557372093201
24,2,0.38,1.141159176826477
24,3,-0.41,-0.6459284424781799
24,4,-0.66,-2.0328967571258545
25,0,0.38,0.0
25,1,-0.41,-1.6971099376678467
25,2,-0.67,-0.4478868544101715
25,3,-0.68,0.11013683676719666
25,4,-1.0,0.8585490584373474
26,0,-0.94,0.0
26,1,-0.62,0.8400757312774658
26,2,0.12,2.092240810394287
26,3,-0.7,0.4622516334056854
26,4,1.0,-0.5703746676445007
27,0,-0.32,0.0
27,1,-0.95,-0.6940977573394775
27,2,0.83,-1.726003646850586
27,3,-0.64,-0.08989512920379639
27,4,-0.16,-0.4207302927970886
28,0,-0.21,0.0
28,1,-0.63,-0.7658159732818604
28,2,0.09,1.4451470375061035
28,3,0.54,-0.274107962846756
28,4,-0.22,0.8832690715789795
29,0,-0.41,0.0
29,1,-0.75,-1.5708872079849243
29,2,0.09,0.024091869592666626
29,3,-0.93,-0.3672073483467102
29,4,0.12,-1.470486044883728
30,0,-0.41,0.0
30,1,-0.22,1.5104868412017822
30,2,-0.75,0.9205233454704285
30,3,-0.41,0.7165451645851135
30,4,-0.66,2.095468044281006
31,0,-0.66,0.0
31,1,-0.93,-0.0838899314403534
31,2,-0.41,-1.2312068939208984
31,3,-1.0,-0.08215223997831345
31,4,0.12,-1.6958158016204834
32,0,-0.9,0.0
32,1,-0.67,-1.3480110168457031
32,2,-0.21,-0.19967195391654968
32,3,-0.7,-0.8606648445129395
32,4,-0.16,1.043164849281311
33,0,-0.81,0.0
33,1,-0.64,-0.13132232427597046
33,2,-0.32,-0.2562795877456665
33,3,-0.63,-0.6686708927154541
33,4,1.0,0.012652941048145294
34,0,1.0,0.0
34,1,-0.66,-0.2971746027469635
34,2,-0.82,-1.9591528177261353
34,3,-0.94,0.8422508239746094
34,4,-0.75,-0.2671881914138794
35,0,-0.94,0.0
35,1,-0.56,-1.144290566444397
35,2,-0.95,-0.4602227509021759
35,3,-0.9,-2.350249767303467
35,4,-0.32,0.4853034019470215
36,0,-0.34,0.0
36,1,-0.16,-1.4906409978866577
36,2,-0.66,0.8922163844108582
36,3,-0.67,0.45236796140670776
36,4,-0.82,0.19914793968200684
37,0,0.18,0.0
37,1,-0.21,-0.7134517431259155
37,2,-0.68,-1.2848536968231201
37,3,-0.94,-0.3734760284423828
37,4,-0.93,0.655807375907898
38,0,-0.82,0.0
38,1,-0.7,-1.899785041809082
38,2,-0.94,-0.7691429853439331
38,3,-0.68,-0.2125060111284256
38,4,-0.41,-0.8946735858917236
39,0,-0.65,0.0
39,1,-0.68,-0.9064169526100159
39,2,-0.16,-1.968055248260498
39,3,-0.93,-0.8962991833686829
39,4,0.73,-1.4971339702606201
40,0,1.0,0.0
40,1,-0.32,0.3154941201210022
40,2,-0.68,1.359954595565796
40,3,-1.0,0.7536764144897461
40,4,-0.9,-0.5327671766281128
41,0,0.38,0.0
41,1,0.83,-0.6899473667144775
41,2,-0.21,0.5431655645370483
41,3,-0.68,0.34132447838783264
41,4,0.18,-1.1431883573532104
42,0,0.12,0.0
42,1,-0.67,-1.3213633298873901
42,2,0.09,-1.2245211601257324
42,3,-0.66,-1.2739102840423584
42,4,-0.63,0.5165665149688721
43,0,-0.21,0.0
43,1,-0.67,-0.9602327346801758
43,2,-0.68,-0.5827558636665344
43,3,-0.9,0.7384454011917114
43,4,-0.41,-0.4561716318130493
44,0,-0.32,0.0
44,1,-0.63,-1.9011727571487427
44,2,-0.62,-0.517876148223877
44,3,-0.94,-0.7303754091262817
44,4,-0.56,-1.0452831983566284
45,0,-0.41,0.0
45,1,-0.75,-1.4797693490982056
45,2,-0.82,-0.4508172869682312
45,3,-0.56,-1.0334863662719727
45,4,-0.81,-1.3141008615493774
46,0,-0.56,0.0
46,1,-0.94,0.5327517986297607
46,2,-0.31,0.007220327854156494
46,3,-0.9,-1.6645572185516357
46,4,0.54,-2.154665946960449
47,0,-0.16,0.0
47,1,-0.81,-0.3802236020565033
47,2,-0.21,0.8806523680686951
47,3,-0.22,-1.0709216594696045
47,4,-0.75,0.23202162981033325
48,0,-0.31,0.0
48,1,-0.93,-1.3851810693740845
48,2,0.54,-0.23145921528339386
48,3,-0.3,-2.5043044090270996
48,4,-0.34,-0.5931691527366638
49,0,-0.64,0.0
49,1,-0.7,1.5094066858291626
49,2,-0.67,-0.13805986940860748
49,3,-0.43,0.3845407962799072
49,4,-0.16,-0.373248815536499
50,0,-1.0,0.0
50,1,0.38,-0.9019593596458435
50,2,-0.32,1.0229742527008057
50,3,-0.9,-0.9337751865386963
50,4,-0.75,0.8171817064285278
51,0,-0.32,0.0
51,1,-0.62,-1.0911729335784912
51,2,-0.7,-0.012545138597488403
51,3,-0.82,-2.1651978492736816
51,4,-0.41,-0.6918186545372009
52,0,-0.7,0.0
52,1,1.0,-0.40252289175987244
52,2,-0.68,-1.8211915493011475
52,3,-0.64,-2.6754579544067383
52,4,-0.34,0.44317230582237244
53,0,-0.7,0.0
53,1,-1.0,0.267042875289917
53,2,-0.66,-0.15387369692325592
53,3,-0.34,0.7395739555358887
53,4,-0.41,-1.6367478370666504
54,0,-0.34,0.0
54,1,-0.22,-0.22137928009033203
54,2,-0.65,0.06564366817474365
54,3,-0.21,-0.13630196452140808
54,4,-0.64,-1.2596728801727295
55,0,0.12,0.0
55,1,0.54,-1.8466918468475342
55,2,-0.43,-0.9367204904556274
55,3,-0.75,1.0928208827972412
55,4,-0.41,1.282186508178711
56,0,-0.93,0.0
56,1,-0.7,0.007910490036010742
56,2,-0.56,-0.8627228140830994
56,3,-0.64,-0.5177119970321655
56,4,-0.68,-0.40016594529151917
57,0,-0.31,0.0
57,1,-0.75,-2.4442174434661865
57,2,-0.63,1.5579272508621216
57,3,-0.32,-1.1975904703140259
57,4,-0.94,1.129679799079895
58,0,0.12,0.0
58,1,-0.7,1.1181833744049072
58,2,-0.75,-1.1714249849319458
58,3,-0.22,-1.4396381378173828
58,4,-0.75,0.2380194067955017
59,0,-0.7,0.0
59,1,-0.75,-1.7059680223464966
59,2,-0.41,-0.9373417496681213
59,3,0.54,1.175821304321289
59,4,-0.72,0.7121559381484985
60,0,0.73,0.0
60,1,-0.22,-1.445194959640503
60,2,-1.0,2.707280158996582
60,3,-0.31,-0.6169081926345825
60,4,-0.64,-0.9521003365516663
61,0,0.38,0.0
61,1,-0.94,0.5961276292800903
61,2,-0.68,-1.3109580278396606
61,3,0.54,0.5975142121315002
61,4,-0.22,-0.46651604771614075
62,0,0.38,0.0
62,1,0.12,-0.9277153611183167
62,2,-0.62,-1.4502025842666626
62,3,-0.9,0.34383565187454224
62,4,-0.7,1.6888620853424072
63,0,-0.75,0.0
63,1,-0.7,0.37490835785865784
63,2,-0.62,1.0027120113372803
63,3,-0.72,0.06941545009613037
63,4,-0.65,-0.6933990716934204
64,0,-0.32,0.0
64,1,-0.41,-0.6624890565872192
64,2,-0.41,-1.1282957792282104
64,3,-0.34,-0.8731858134269714
64,4,-1.0,-1.9360851049423218
65,0,-0.72,0.0
65,1,-0.16,0.23415976762771606
65,2,-0.93,-0.8590399026870728
65,3,-0.34,1.409576654434204
65,4,-0.31,-0.04729396104812622
66,0,0.83,0.0
66,1,-0.65,-1.4323145151138306
66,2,-0.34,-0.020520389080047607
66,3,-0.72,-0.13002263009548187
66,4,-0.3,0.04806193709373474
67,0,-0.22,0.0
67,1,-0.31,-0.49748533964157104
67,2,-0.94,-0.2189279943704605
67,3,-0.63,0.33168497681617737
67,4,-0.16,-0.36385977268218994
68,0,0.18,0.0
68,1,-0.3,0.07349193096160889
68,2,0.09,-0.7119302749633789
68,3,-1.0,-0.2572714388370514
68,4,-0.31,0.6648614406585693
69,0,-0.75,0.0
69,1,-0.68,-1.20208740234375
69,2,-0.62,-1.4908761978149414
69,3,-0.9,0.555437445640564
69,4,-0.95,-0.7466482520103455
70,0,0.12,0.0
70,1,-0.9,-0.711390495300293
70,2,-0.63,-1.5334007740020752
70,3,-0.94,0.24252614378929138
70,4,-0.43,0.43395859003067017
71,0,-0.63,0.0
71,1,-0.65,-0.8841992020606995
71,2,0.09,-1.2901265621185303
71,3,-0.82,0.6475707292556763
71,4,-0.75,0.15997833013534546
72,0,-0.67,0.0
72,1,-0.3,-1.643325924873352
72,2,-0.75,-1.4401236772537231
72,3,-0.94,0.35333847999572754
72,4,-0.41,-1.0422933101654053
73,0,-0.21,0.0
73,1,-0.95,-0.031283557415008545
73,2,-0.82,-1.6601344347000122
73,3,-0.7,-0.7901250123977661
73,4,-0.81,-0.655572772026062
74,0,-0.56,0.0
74,1,-0.41,0.009363710880279541
74,2,0.18,-0.42258745431900024
74,3,-0.21,1.2636969089508057
74,4,-0.63,-1.0337769985198975
75,0,-0.22,0.0
75,1,0.38,0.822844386100769
75,2,-0.66,-1.6017353534698486
75,3,-0.56,0.7702552080154419
75,4,-0.9,0.015319764614105225
76,0,-0.75,0.0
76,1,-0.3,-0.28992146253585815
76,2,-0.32,-0.3463557958602905
76,3,-0.22,0.914021372795105
76,4,-0.9,-1.1667921543121338
77,0,-0.31,0.0
77,1,-0.34,-0.052323609590530396
77,2,-0.16,-0.7230342626571655
77,3,-0.66,0.07386359572410583
77,4,-0.21,-0.6887980699539185
78,0,-0.65,0.0
78,1,-0.81,0.17070475220680237
78,2,-0.7,1.0705230236053467
78,3,0.83,-0.7103390693664551
78,4,-0.93,0.40807977318763733
79,0,-0.56,0.0
79,1,-0.7,0.1601826548576355
79,2,-1.0,-0.45571237802505493
79,3,-0.66,-1.0436220169067383
79,4,-0.72,0.6430683135986328
80,0,-0.65,0.0
80,1,-0.95,-0.7616183757781982
80,2,-0.62,0.5875293612480164
80,3,1.0,-0.4373060166835785
80,4,0.73,-1.833055853843689
81,0,-0.41,0.0
81,1,-0.72,1.446472406387329
81,2,0.73,-0.43721717596054077
81,3,0.83,-0.6240378618240356
81,4,-1.0,-0.8249341249465942
82,0,-0.66,0.0
82,1,0.54,0.024586409330368042
82,2,-0.3,0.24266740679740906
82,3,-0.32,-1.4428784847259521
82,4,0.38,2.063518762588501
83,0,-0.34,0.0
83,1,-0.22,-0.8897728323936462
83,2,-0.72,1.7710151672363281
83,3,-0.75,-1.0953845977783203
83,4,-0.21,-1.4585278034210205
84,0,-0.43,0.0
84,1,0.54,-0.3098903000354767
84,2,-0.41,-1.4400386810302734
84,3,-0.62,-1.5640774965286255
84,4,-0.64,0.513866662979126
85,0,-0.75,0.0
85,1,-0.66,-1.5200337171554565
85,2,1.0,0.4119974672794342
85,3,-0.7,-0.5861018300056458
85,4,0.12,-1.4626487493515015
86,0,-0.66,0.0
86,1,-0.22,-0.8452327251434326
86,2,-0.75,-0.993710994720459
86,3,-0.43,0.00956776738166809
86,4,0.09,-0.88711017370224
87,0,-0.21,0.0
87,1,-0.75,0.7229800224304199
87,2,-0.82,0.028626710176467896
87,3,-0.41,-0.2826201617717743
