run,trial,ytrue,ypred
0,0,0.71,0.0
0,1,0.66,-0.3316190838813782
0,2,0.7,-1.0623135566711426
0,3,0.8,1.2811393737792969
0,4,0.85,-0.9581669569015503
1,0,0.68,0.0
1,1,0.74,-0.6459182500839233
1,2,0.69,0.965848982334137
1,3,0.66,-0.1490052342414856
1,4,0.61,-1.2716472148895264
2,0,0.75,0.0
2,1,0.67,0.04160335659980774
2,2,0.66,0.749351978302002
2,3,0.74,-0.12718713283538818
2,4,0.74,0.8472542762756348
3,0,0.74,0.0
3,1,0.71,0.24655726552009583
3,2,0.66,-0.6965769529342651
3,3,0.73,0.5655560493469238
3,4,0.6,0.8637387752532959
4,0,0.68,0.0
4,1,0.68,0.13904297351837158
4,2,0.73,-0.10935795307159424
4,3,0.65,1.7315635681152344
4,4,0.66,0.8620964884757996
5,0,0.72,0.0
5,1,0.68,-0.07041104137897491
5,2,0.8,-1.0370488166809082
5,3,0.65,1.3282811641693115
5,4,0.55,-1.9726632833480835
6,0,0.74,0.0
6,1,0.72,-0.8640329837799072
6,2,0.66,-1.060072898864746
6,3,0.66,-1.4289283752441406
6,4,0.7,0.2591937482357025
7,0,0.78,0.0
7,1,0.65,-0.07282384485006332
7,2,0.66,-0.40973299741744995
7,3,0.54,-0.15777026116847992
7,4,0.76,0.6681100130081177
8,0,0.74,0.0
8,1,0.7,-0.6932041049003601
8,2,0.75,-0.5610142946243286
8,3,0.69,-0.013636190444231033
8,4,0.82,0.16806934773921967
9,0,0.6,0.0
9,1,0.69,-0.3369913399219513
9,2,0.74,-0.5363173484802246
9,3,0.74,1.1071065664291382
9,4,0.67,-0.7256869077682495
10,0,0.66,0.0
10,1,0.66,0.4719444513320923
10,2,0.66,-0.06993826478719711
10,3,0.69,1.2832428216934204
10,4,0.79,-1.6791565418243408
11,0,0.63,0.0
11,1,0.69,-0.24996024370193481
11,2,0.65,0.367327481508255
11,3,0.72,-1.8659406900405884
11,4,0.88,0.12109002470970154
12,0,0.73,0.0
12,1,0.55,-0.39082667231559753
12,2,0.9,-0.4786105751991272
12,3,0.74,1.4467641115188599
12,4,0.77,-2.736222267150879
13,0,0.69,0.0
13,1,0.64,0.5982077121734619
13,2,0.96,1.1087465286254883
13,3,0.66,0.21234551072120667
13,4,0.67,0.4000812768936157
14,0,0.66,0.0
14,1,0.71,-0.43989405035972595
14,2,0.68,-0.9727449417114258
14,3,0.64,1.2638659477233887
14,4,0.66,-0.1170278787612915
15,0,0.72,0.0
15,1,0.67,-1.6582157611846924
15,2,0.62,0.5314539670944214
15,3,0.67,-0.5612126588821411
15,4,0.73,0.551882266998291
16,0,0.71,0.0
16,1,0.66,1.6009581089019775
16,2,0.65,-0.9127518534660339
16,3,0.7,0.489510178565979
16,4,0.64,0.4474051594734192
17,0,0.52,0.0
17,1,0.69,-2.6035706996917725
17,2,0.8,2.2004776000976562
17,3,0.68,0.1954241842031479
17,4,0.68,-1.0373260974884033
18,0,0.84,0.0
18,1,0.69,0.1578904688358307
18,2,0.66,-1.5616710186004639
18,3,0.59,1.2592103481292725
18,4,0.71,-1.4860615730285645
19,0,0.43,0.0
19,1,0.58,-2.241105556488037
19,2,0.68,1.52103590965271
19,3,0.7,-0.6674883961677551
19,4,0.67,1.1849093437194824
20,0,0.61,0.0
20,1,0.82,-1.0726622343063354
20,2,0.67,-0.9464613795280457
20,3,0.66,2.025749921798706
