run,trial,ytrue,ypred
0,0,-0.76,0.0
0,1,-0.67,-1.8299576044082642
0,2,-0.76,-0.09718107432126999
0,3,-0.43,-1.5254456996917725
0,4,-0.14,-0.01813887059688568
1,0,-0.48,0.0
1,1,-0.48,-1.2899893522262573
1,2,-0.29,1.4654308557510376
1,3,-0.76,-0.747126579284668
1,4,0.33,1.591375470161438
2,0,-0.62,0.0
2,1,-0.14,-0.20080235600471497
2,2,0.81,1.3993988037109375
2,3,0.05,-0.1948755532503128
2,4,-0.14,0.021224983036518097
3,0,-0.57,0.0
3,1,0.05,-1.7841238975524902
3,2,-0.48,1.3079676628112793
3,3,-0.48,1.0673842430114746
3,4,-0.67,-0.5668763518333435
4,0,-0.62,0.0
4,1,-0.14,-0.10362675786018372
4,2,-0.29,0.22728770971298218
4,3,-0.57,-0.9617080688476562
4,4,0.81,-0.6946158409118652
5,0,0.38,0.0
5,1,-0.14,0.2727082371711731
5,2,0.05,-0.08853569626808167
5,3,-0.67,-0.3890450596809387
5,4,0.81,0.08549563586711884
6,0,0.33,0.0
6,1,-1.0,0.5489779710769653
6,2,-0.86,-0.4755091667175293
6,3,-0.48,-0.6565641164779663
6,4,-1.0,0.9806666970252991
7,0,0.38,0.0
7,1,0.52,0.13392555713653564
7,2,0.33,0.2270047813653946
7,3,0.52,0.5308039784431458
7,4,-0.29,0.4347883462905884
8,0,0.52,0.0
8,1,-0.29,-0.8601656556129456
8,2,0.81,-0.7758643627166748
8,3,0.05,0.5639922618865967
8,4,-0.67,-1.1310170888900757
9,0,-0.29,0.0
9,1,-1.0,1.6113213300704956
9,2,-0.14,1.6145172119140625
9,3,-0.48,0.8186397552490234
9,4,0.52,1.8976324796676636
10,0,0.33,0.0
10,1,0.38,-0.6185042858123779
10,2,-0.67,2.473191261291504
10,3,-0.14,-0.22510236501693726
10,4,0.52,-1.2160619497299194
11,0,-0.29,0.0
11,1,0.81,0.3535608947277069
11,2,0.33,-0.41137948632240295
11,3,0.0,2.714205265045166
11,4,-0.43,-0.21372272074222565
12,0,-0.57,0.0
12,1,0.38,0.9339732527732849
12,2,-0.29,-2.110675573348999
12,3,-0.14,0.6919010281562805
12,4,0.52,0.2600073218345642
13,0,-0.29,0.0
13,1,-0.1,2.398463726043701
13,2,0.81,-0.26146015524864197
13,3,-0.76,-0.1722623109817505
13,4,-0.76,-0.08957624435424805
14,0,0.33,0.0
14,1,-0.48,-0.11304715275764465
14,2,0.52,-3.0880184173583984
14,3,-0.29,0.22238627076148987
14,4,-0.57,0.574867308139801
15,0,-0.1,0.0
15,1,-0.86,-0.9838459491729736
15,2,-0.14,-0.4436628818511963
15,3,-0.57,-0.9333618879318237
15,4,-0.48,0.12983064353466034
16,0,0.52,0.0
16,1,-0.76,0.42567574977874756
16,2,0.0,0.08150981366634369
