run,trial,ytrue,ypred
0,0,-0.43,0.0
0,1,-0.53,0.5422757863998413
0,2,-0.82,-1.8885091543197632
0,3,-0.63,0.1555769443511963
0,4,-0.69,-0.7725173234939575
1,0,-0.66,0.0
1,1,-0.64,0.1586030125617981
1,2,-0.52,-2.0925886631011963
1,3,-0.94,-1.0018211603164673
1,4,-0.65,-0.06403909623622894
2,0,-0.52,0.0
2,1,-0.61,2.5049996376037598
2,2,-0.83,-0.7599555850028992
2,3,-0.49,-1.0608937740325928
2,4,-0.46,1.137268304824829
3,0,-0.87,0.0
3,1,-0.66,0.7030256986618042
3,2,-0.76,-0.6753588914871216
3,3,-0.67,1.864545226097107
3,4,-0.74,-0.05389469861984253
4,0,-0.69,0.0
4,1,-0.64,0.7758277058601379
4,2,-0.81,-0.6495072245597839
4,3,-0.84,-0.4257851839065552
4,4,-0.61,2.1124229431152344
5,0,-0.72,0.0
5,1,-0.66,1.270491361618042
5,2,-0.55,2.408522129058838
5,3,-0.57,-1.7542939186096191
5,4,-0.53,2.15432071685791
6,0,-0.66,0.0
6,1,-0.61,1.0471786260604858
6,2,-0.86,0.5131576061248779
6,3,-0.67,-2.184518337249756
6,4,-0.51,0.48113059997558594
7,0,-0.71,0.0
7,1,-0.67,0.5862765908241272
7,2,-0.8,-1.8172401189804077
7,3,-0.66,-0.45433592796325684
7,4,-0.79,0.25928473472595215
8,0,-0.39,0.0
8,1,-0.44,0.9556325674057007
8,2,-0.56,-0.5120956301689148
8,3,-0.46,-1.5131829977035522
8,4,-0.77,2.639606237411499
9,0,-0.58,0.0
9,1,-0.71,-0.16115915775299072
9,2,-0.74,1.0981652736663818
9,3,-0.61,0.05160769820213318
9,4,-0.64,1.7571228742599487
10,0,-0.57,0.0
10,1,-0.7,-2.8710412979125977
10,2,-0.65,0.9414927363395691
10,3,-0.81,0.8160611391067505
10,4,-0.69,1.104704737663269
11,0,-0.63,0.0
11,1,-0.68,0.5958153605461121
11,2,-0.6,-0.40391451120376587
11,3,-0.73,-1.3407325744628906
11,4,-0.88,-0.7880344986915588
12,0,-0.61,0.0
12,1,-0.91,1.273427963256836
12,2,-0.75,0.03516954183578491
12,3,-0.52,-0.4213358461856842
12,4,-0.7,-1.1739248037338257
13,0,-0.73,0.0
13,1,-0.76,-1.4215255975723267
13,2,-0.52,-1.2021527290344238
13,3,-0.69,0.6434062123298645
13,4,-0.57,0.03556627035140991
14,0,-0.56,0.0
14,1,-0.64,-1.3092830181121826
14,2,-0.24,-0.7732642889022827
14,3,-0.47,0.006132781505584717
14,4,-0.57,-0.15656840801239014
15,0,-0.64,0.0
15,1,-0.52,-1.8683173656463623
15,2,-0.67,1.894934892654419
15,3,-0.53,2.0461771488189697
15,4,-0.65,-0.041275620460510254
16,0,-0.6,0.0
16,1,-0.65,-0.42188024520874023
16,2,-0.52,-0.05459054559469223
16,3,-0.5,0.5926085710525513
16,4,-0.43,-0.20369040966033936
17,0,-0.85,0.0
17,1,-0.61,-1.205889105796814
17,2,-0.64,0.3489014506340027
17,3,-0.67,-4.47705078125
17,4,-0.74,-0.5997466444969177
18,0,-0.7,0.0
18,1,-0.81,-0.23966920375823975
18,2,-0.58,-0.5909844040870667
18,3,-0.49,0.5024240016937256
18,4,-0.5,0.4823319911956787
19,0,-0.76,0.0
19,1,-0.68,0.15288449823856354
19,2,-0.6,-0.9946932792663574
19,3,-0.7,0.7678156495094299
19,4,-0.43,0.08310414850711823
20,0,-0.76,0.0
20,1,-0.59,-0.9669855833053589
20,2,-0.79,0.46688374876976013
20,3,-0.44,0.014049384742975235
20,4,-0.58,0.6888599991798401
21,0,-0.89,0.0
21,1,-0.49,-0.7182259559631348
21,2,-0.52,-0.6407240033149719
21,3,-0.86,-0.4397966265678406
21,4,-0.7,0.5982885360717773
22,0,-0.91,0.0
22,1,-0.56,-1.607027530670166
22,2,-0.7,-0.23056229948997498
22,3,-0.5,-0.4619269371032715
22,4,-0.76,0.2259211540222168
23,0,-0.81,0.0
23,1,-0.65,-0.14662188291549683
23,2,-0.66,-1.1657298803329468
23,3,-0.74,0.7971490621566772
23,4,-0.7,-1.6166396141052246
24,0,-0.43,0.0
24,1,-0.88,-0.5985901951789856
24,2,-0.76,1.872002363204956
24,3,-0.65,1.0478013753890991
24,4,-0.61,1.5723700523376465
25,0,-0.52,0.0
25,1,-0.6,-0.14130011200904846
25,2,-0.79,0.29800650477409363
25,3,-0.52,-1.095685362815857
