run,trial,ytrue,ypred
0,0,-0.41,0.0
0,1,-0.05,-0.41
0,2,0.25,-0.13065241701429953
0,3,-0.07,-0.26184091945640176
0,4,0.14,0.7322843053603767
1,0,-0.41,0.0
1,1,0.33,-0.41
1,2,-0.12,-0.1385646651169642
1,3,-0.47,-0.7755982031138342
1,4,-0.11,-0.20516084481663338
2,0,0.03,0.0
2,1,-0.84,0.03
2,2,0.37,0.5077227557441146
2,3,-0.15,-0.21572910041672788
2,4,-0.6,-0.6007111740256057
3,0,-0.54,0.0
3,1,-0.19,-0.54
3,2,0.18,-0.25541219648753605
3,3,0.05,-0.24508873794917485
3,4,0.25,0.042309262172046
4,0,0.39,0.0
4,1,-0.37,0.39
4,2,-0.22,-0.21046494552726436
4,3,-0.65,0.11448534274151778
4,4,-0.15,-0.21271910802443855
5,0,-0.46,0.0
5,1,-0.78,-0.46
5,2,-0.55,-1.000725868074373
5,3,-0.63,-0.596431766676818
5,4,-0.66,-0.6049052978292621
6,0,0.38,0.0
6,1,-0.25,0.38
6,2,-0.68,-0.7697920855576732
6,3,-0.21,0.3587903154272411
6,4,-0.18,-0.20232827523507696
7,0,-0.07,0.0
7,1,-0.38,-0.07
7,2,-0.27,-0.5571008260159709
7,3,-0.78,-0.0988933764139982
7,4,-0.76,-0.3749717637014092
8,0,-0.1,0.0
8,1,-0.57,-0.1
8,2,-0.4,-0.5312810596951727
8,3,1.0,-0.2984296911402973
8,4,0.28,0.4948481024442817
9,0,0.14,0.0
9,1,-0.7,0.14
9,2,-1.0,-0.45338314977330485
9,3,0.32,-0.02589614239275767
9,4,-0.37,-0.16234232014887295
10,0,-0.18,0.0
10,1,-0.57,-0.18
10,2,-0.14,0.13061988024901938
10,3,-0.15,-0.3045681135380851
10,4,-0.6,-0.0725415497482168
11,0,-0.33,0.0
11,1,-0.41,-0.33
11,2,-0.23,-0.21210646564995322
11,3,-0.26,-0.2866163061380318
11,4,-0.04,-0.2892669458058377
12,0,-0.5,0.0
12,1,-0.74,-0.5
12,2,-0.36,-0.6411132878006468
12,3,-0.41,-0.6983991690660112
12,4,-0.84,-0.5020255245922137
13,0,0.1,0.0
13,1,-0.04,0.1
13,2,-0.4,-0.050425417136687425
13,3,-0.24,-0.1999585506193297
13,4,-0.3,-0.22658153199078385
14,0,0.07,0.0
14,1,0.09,0.07
14,2,0.02,0.06772963160612683
14,3,-0.07,0.06916609679322841
14,4,-0.52,-0.28610712022458096
15,0,0.12,0.0
15,1,-0.14,0.12
15,2,-0.27,-0.42401499800916137
15,3,-0.25,-0.9501272643165961
15,4,-0.18,-0.22880592710211833
16,0,0.69,0.0
16,1,-0.15,0.69
16,2,-0.64,-0.34925036867057824
16,3,-0.87,-0.6413978076320704
16,4,0.25,-0.08585379004020877
17,0,-0.12,0.0
17,1,0.34,-0.12
17,2,-0.76,-0.19658722384034438
17,3,-0.31,-0.7108748064665933
17,4,-0.4,-0.595727578063323
18,0,0.03,0.0
18,1,-0.12,0.03
18,2,-0.03,-0.12486539390541163
18,3,0.09,-0.13171600418984306
18,4,0.06,0.06341441106584642
19,0,-0.33,0.0
19,1,-0.11,-0.33
19,2,-0.19,-0.12641634996306864
19,3,-0.07,-0.17126357651383897
19,4,0.18,-0.1486718415925666
20,0,0.27,0.0
20,1,0.14,0.27
20,2,-0.87,0.07342748155059478
20,3,-0.07,-0.6738428428653331
20,4,-0.58,-0.46904968565900945
21,0,0.09,0.0
21,1,0.41,0.09
21,2,-0.28,-0.6989161609695367
21,3,-0.14,0.20579140437818666
21,4,-0.07,-0.23887401374596007
22,0,-0.14,0.0
22,1,-0.84,-0.14
22,2,-0.14,-0.42116355247795245
22,3,-0.32,-0.22050784465391443
22,4,0.27,0.0349083988678725
23,0,-0.84,0.0
23,1,0.15,-0.84
23,2,-0.28,-0.4288896849506413
23,3,0.09,-0.09467162694554465
23,4,0.36,0.6324181392488479
24,0,-0.41,0.0
24,1,-0.24,-0.41
24,2,-0.97,-0.10239483130357147
24,3,-0.38,-0.5138727394998553
24,4,-0.73,-0.9565227160929191
25,0,0.03,0.0
25,1,-0.63,0.03
25,2,-0.57,-0.8504548527085132
25,3,0.13,-0.2651021750451212
25,4,-0.23,-0.05570174097526881
26,0,0.07,0.0
26,1,-0.11,0.07
26,2,0.25,-0.047537236023278584
26,3,-0.06,-0.012742337127717496
26,4,-0.09,-0.21315848318310132
27,0,-0.27,0.0
27,1,-0.14,-0.27
27,2,-0.27,-0.14347866514325724
27,3,0.18,-0.1776442258406176
27,4,-0.38,0.06956159484405988
28,0,-0.62,0.0
28,1,-0.14,-0.62
28,2,-0.78,-0.4555950178393121
28,3,-0.83,-0.8018689700930379
28,4,-0.4,-0.5688395565606614
29,0,0.07,0.0
29,1,-0.19,0.07
29,2,-0.26,0.12694919184095596
29,3,-0.14,-0.2663244399500012
29,4,0.41,0.5376464433304998
30,0,-0.3,0.0
30,1,0.39,-0.3
30,2,-0.01,0.39156781997810036
30,3,-0.72,-0.328372642888973
30,4,-0.31,-0.357265051781505
31,0,0.32,0.0
31,1,-0.14,0.32
31,2,0.14,0.25498168363173546
31,3,0.22,-0.3547207502950225
31,4,-0.83,0.1349481533835556
32,0,0.06,0.0
32,1,-0.12,0.06
32,2,0.44,0.29569352321254544
32,3,-0.24,-0.21099379845546773
32,4,-0.57,-0.3731112071270768
33,0,-0.24,0.0
33,1,-0.67,-0.24
33,2,-0.33,0.0972883352455659
33,3,-0.64,-0.4060342190254882
33,4,-0.63,-0.4850499148806231
34,0,-0.48,0.0
34,1,-0.45,-0.48
34,2,-0.84,-0.5075508431803837
34,3,-0.68,-0.636624384417049
34,4,-0.14,-0.4615118797962291
35,0,-0.14,0.0
35,1,0.39,-0.14
35,2,-0.67,-0.9954029212582263
35,3,-0.43,-0.5989495867149839
35,4,-0.3,-0.39538252297614174
36,0,-0.12,0.0
36,1,-0.63,-0.12
36,2,0.02,0.22139330307273153
36,3,-0.27,-0.49929440701693306
36,4,-0.57,-0.5127509691852651
37,0,0.15,0.0
37,1,-0.06,0.15
37,2,-0.28,-0.3685954011493149
37,3,-0.33,-0.032704546406801066
37,4,-0.19,-0.0682141729002996
38,0,-0.27,0.0
38,1,0.12,-0.27
38,2,-0.28,0.16592899865231353
38,3,-0.14,-0.14326955934769497
38,4,0.31,-0.14222664459232204
39,0,-0.7,0.0
39,1,0.25,-0.7
39,2,-0.42,-0.359302316639627
39,3,-0.26,-0.19168428175586483
39,4,-0.49,0.1806632057021862
40,0,0.03,0.0
40,1,-0.83,0.03
40,2,0.05,0.4631008259899342
40,3,-0.55,-0.3407543566310616
40,4,-0.25,-0.3807673809201335
41,0,-0.25,0.0
41,1,-0.08,-0.25
41,2,0.03,-0.16532813990526157
41,3,-0.68,-0.2380195270871544
41,4,-0.84,-0.6741940046929371
42,0,0.18,0.0
42,1,-0.29,0.18
42,2,0.03,0.5436889916975605
42,3,-0.24,-0.024219918250378142
42,4,0.12,-0.22155199735798956
43,0,0.35,0.0
43,1,0.48,0.35
43,2,-0.3,0.339160417645602
43,3,-0.58,0.07381217718916804
43,4,0.31,-0.0912627154744909
44,0,-0.4,0.0
44,1,0.25,-0.4
44,2,0.15,0.08050774633857372
44,3,0.09,0.36836190494539633
44,4,1.0,0.9056023513540752
45,0,-0.12,0.0
45,1,-0.07,-0.12
45,2,0.04,-0.1132237033243095
45,3,-0.06,-0.04805047705230294
45,4,-0.55,-0.14842826061552872
46,0,-0.5,0.0
46,1,0.1,-0.5
46,2,-0.01,-0.1745100871458014
46,3,-0.6,-0.18803943327237915
46,4,0.45,-0.43354059197142825
47,0,0.22,0.0
47,1,-0.33,0.22
47,2,-0.54,-0.12532775081112896
47,3,-0.43,-1.5658081481006705
47,4,-0.48,-0.35582951133038554
48,0,-0.33,0.0
48,1,-0.07,-0.33
48,2,-0.19,-0.4337317659775555
48,3,0.21,-0.30748044782385026
48,4,0.05,-0.09509298229400182
