run,trial,ytrue,ypred
0,0,0.97,0.0
0,1,-0.59,0.97
0,2,-0.15,-0.41202197385095085
0,3,-0.71,-0.483323264536498
0,4,-0.36,-0.12509999225480864
1,0,-0.59,0.0
1,1,-0.28,-0.59
1,2,-0.6,-0.3809068791819964
1,3,-0.6,-0.4136198630960552
1,4,0.17,-0.6340370250992141
2,0,-0.19,0.0
2,1,-0.89,-0.19
2,2,-0.03,0.336055171431096
2,3,-0.76,-0.2519750891783608
2,4,-0.79,-0.4967860644078737
3,0,-0.78,0.0
3,1,-0.1,-0.78
3,2,-0.22,-0.3891865414221129
3,3,0.29,-0.23793989365240303
3,4,-0.11,-0.9988910919217635
4,0,-0.7,0.0
4,1,0.07,-0.7
4,2,0.42,0.15915969699154778
4,3,-0.83,0.21557834218756394
4,4,-0.37,0.7571927527702824
5,0,-0.63,0.0
5,1,-0.53,-0.63
5,2,-0.31,-0.5444212273268745
5,3,0.47,0.019704288720914287
5,4,0.56,0.10030218386783099
6,0,0.53,0.0
6,1,-0.15,0.53
6,2,-0.53,0.1516996625166669
6,3,0.67,0.9882493072738687
6,4,-0.36,-0.08045734396121218
7,0,0.29,0.0
7,1,0.48,0.29
7,2,-0.28,0.34552510230717026
7,3,-0.46,0.1404491452362951
7,4,0.5,0.11942342899195357
8,0,-0.55,0.0
8,1,0.09,-0.55
8,2,-0.65,-0.38516841461237616
8,3,-0.89,0.1345290502522678
8,4,-0.91,-0.6105222527380348
9,0,-0.6,0.0
9,1,0.06,-0.6
9,2,-0.05,-0.5030940067275029
9,3,-0.76,-0.16098080091555247
9,4,-0.03,0.1310487422806308
10,0,-0.42,0.0
10,1,1.0,-0.42
10,2,-0.26,-0.25575609453732984
10,3,0.21,0.053518589727593824
10,4,-0.55,0.09318859510404323
11,0,0.49,0.0
11,1,-0.45,0.49
11,2,-0.28,-0.020439680006599542
11,3,-0.58,-0.6261692981453568
11,4,0.32,-0.06120190289865224
12,0,-0.48,0.0
12,1,-0.59,-0.48
12,2,-0.76,-0.5054734468541574
12,3,-0.83,-0.7076114405814651
12,4,-0.53,-0.585221526195582
13,0,0.36,0.0
13,1,-0.42,0.36
13,2,-0.83,-1.095029258877554
13,3,0.73,-0.7605328600506966
13,4,0.1,-0.04100116185701863
14,0,-0.61,0.0
14,1,-0.83,-0.61
14,2,-0.36,-0.8745885898607396
14,3,-0.18,-0.600757520360992
14,4,0.45,-0.4845171363145832
15,0,-0.71,0.0
15,1,0.31,-0.71
15,2,-0.22,-0.641714455175251
15,3,0.35,0.7514497118877503
15,4,-0.4,-0.24150547527199984
16,0,-0.14,0.0
16,1,-0.57,-0.14
