run,trial,ytrue,ypred
0,0,-0.85,0.0
0,1,-0.96,-0.85
0,2,-0.91,-0.9083449014957636
0,3,-0.91,-0.9157156426877756
0,4,-0.98,-0.9300269355228312
1,0,-0.47,0.0
1,1,-0.38,-0.47
1,2,-0.86,-0.24738312720853084
1,3,-0.88,-0.75916066973976
1,4,0.03,-0.544227324683903
2,0,-0.07,0.0
2,1,-0.77,-0.07
2,2,-0.65,5.28682130485862
2,3,-0.43,-0.4965392295783727
2,4,-0.71,-0.479592284457052
3,0,-0.07,0.0
3,1,-0.22,-0.07
3,2,-0.41,-0.09826654146129521
3,3,-0.86,-0.02792168540675033
3,4,-0.5,-0.38974993710334116
4,0,-0.77,0.0
4,1,-0.66,-0.77
4,2,-0.18,-1.2375026262862368
4,3,0.5,-0.18619741244719984
4,4,-0.53,-0.6874945641301252
5,0,-0.04,0.0
5,1,-0.3,-0.04
5,2,-0.22,-1.557327428698939
5,3,-0.93,-0.1856018786968857
5,4,-0.83,-0.5596605191112967
6,0,-0.83,0.0
6,1,-0.52,-0.83
6,2,-0.53,-0.5208921290184578
6,3,-0.37,0.17102483518263423
6,4,-1.0,-0.7855021031057786
7,0,-0.51,0.0
7,1,-0.6,-0.51
7,2,-0.14,-0.2809015485044747
7,3,-0.4,-0.40236719995641046
7,4,-0.43,-0.4381503950147112
8,0,-0.6,0.0
8,1,-0.25,-0.6
8,2,-0.99,-0.7857004053378767
8,3,-0.43,-0.3586720271080479
8,4,-0.9,-0.832080401396449
9,0,-0.07,0.0
9,1,-0.93,-0.07
9,2,-0.78,1.276699919506019
9,3,0.96,-0.5932742829189738
9,4,-0.02,-0.37238531114871504
10,0,-0.21,0.0
10,1,-0.85,-0.21
10,2,-0.89,-1.2458065205792295
10,3,-0.44,0.08599185455304292
10,4,-0.7,-0.5067566212566111
11,0,-0.66,0.0
11,1,-0.91,-0.66
11,2,-0.41,2.087078949063553
11,3,-1.0,-0.8062298935369507
11,4,-0.89,-0.8336953649076755
12,0,-0.43,0.0
12,1,-0.6,-0.43
12,2,-0.92,-0.6162543177146643
12,3,-0.83,-0.8441719905833038
12,4,-0.93,-0.8373058788003989
13,0,-0.96,0.0
13,1,-0.61,-0.96
13,2,0.5,0.10933300267383111
