run,trial,ytrue,ypred
0,0,-0.31,0.0
0,1,-0.03,-0.31
0,2,-0.03,0.06823934134269416
0,3,-0.1,-0.12067795295272832
0,4,0.52,-0.03654050827090605
1,0,-0.45,0.0
1,1,-1.0,-0.45
1,2,-0.31,-0.43853436478778596
1,3,-0.03,-0.3936178958413541
1,4,-0.72,-0.4132645477422303
2,0,-0.45,0.0
2,1,-0.72,-0.45
2,2,0.52,-0.4170857794442675
2,3,-1.0,-0.4126171095086557
2,4,-0.24,-0.8241184052549205
3,0,-0.59,0.0
3,1,-0.03,-0.59
3,2,-0.59,-0.513899838228445
3,3,-0.45,-0.5899970782220132
3,4,-0.03,-0.33252099501621335
4,0,-0.79,0.0
4,1,-0.03,-0.79
4,2,-0.72,-3.46173144330239
4,3,0.1,-0.5116118164423206
4,4,-0.72,-0.5414703538543031
5,0,-0.72,0.0
5,1,-0.31,-0.72
5,2,-0.72,-0.7199951221864531
5,3,-0.52,-0.3417143639666774
5,4,-0.24,-0.5225346131865316
6,0,-0.17,0.0
6,1,-1.0,-0.17
6,2,0.86,-0.32945532726345955
6,3,-1.0,-0.17778785740047032
6,4,-0.59,-0.6076464858806953
7,0,-0.72,0.0
7,1,-0.52,-0.72
7,2,-0.79,-0.5321150165365355
7,3,-0.52,-0.7086547995131474
7,4,-0.03,-0.6359286268670942
8,0,-0.31,0.0
8,1,-0.17,-0.31
8,2,-0.52,-0.18098383333515744
8,3,-0.1,-0.16164720415200895
8,4,-0.59,-0.11675461680835508
9,0,-0.52,0.0
9,1,-0.79,-0.52
9,2,-0.1,-0.5464965199123358
9,3,-0.79,-0.7899983326585474
9,4,-0.17,-1.673159399154586
10,0,-0.59,0.0
10,1,-0.52,-0.59
10,2,-0.1,-0.6005308155704544
10,3,-0.31,-0.40408320819547455
10,4,1.0,-0.37993160792157676
11,0,-0.52,0.0
11,1,-0.52,-0.52
11,2,-0.1,-0.52
11,3,-0.72,0.7554545962625547
11,4,-0.03,-0.42449750350126225
12,0,-0.52,0.0
12,1,-0.72,-0.52
12,2,-0.66,-0.5574027816898661
12,3,-1.0,-0.1931887879115426
12,4,0.52,-0.6563488107510609
13,0,0.52,0.0
13,1,-0.52,0.52
13,2,-0.52,-0.6209106495977084
13,3,-0.03,-0.46909989710410716
13,4,-0.79,-0.34751213372770845
14,0,-0.72,0.0
14,1,-1.0,-0.72
14,2,-0.03,-0.9816560463685344
14,3,-0.31,-0.5830716837409458
14,4,-0.72,-0.5161284199210235
15,0,-0.17,0.0
15,1,-0.17,-0.17
15,2,-0.72,-0.17
15,3,-0.24,-0.14928761929315165
15,4,-1.0,-0.9624696818432007
16,0,-0.59,0.0
16,1,-0.52,-0.59
16,2,0.52,-0.5016225563235084
16,3,1.0,2.192662657495909
16,4,-0.03,-0.3903436460156722
17,0,-0.31,0.0
17,1,0.52,-0.31
17,2,-0.72,0.07884638028531255
17,3,-1.0,-1.2273408062232758
17,4,-0.38,-0.1450417940474656
18,0,-0.03,0.0
18,1,1.0,-0.03
18,2,-0.66,0.016996292304434224
18,3,-0.79,-0.33169313330673733
18,4,-0.72,-1.5021606886100916
19,0,-0.38,0.0
19,1,-0.52,-0.38
19,2,-0.72,-0.23825381198731665
19,3,-0.03,-0.366599737288534
19,4,-1.0,-0.5800842361215244
20,0,-0.1,0.0
20,1,-0.03,-0.1
20,2,-0.03,-0.09409968293232404
20,3,1.0,0.3904765667422977
20,4,0.93,0.22557742011450488
21,0,-0.31,0.0
21,1,-0.59,-0.31
21,2,-0.1,-0.5645396103923971
21,3,-0.03,-0.3333312849736605
21,4,-0.59,-0.2574755432139016
22,0,-0.24,0.0
22,1,-0.1,-0.24
22,2,-1.0,-0.7182360280713784
22,3,0.93,-0.12963637161119124
22,4,-0.03,-0.15441400535791505
23,0,-0.24,0.0
23,1,-0.31,-0.24
23,2,0.52,-0.24341680590023798
23,3,-0.59,-0.2944411332116986
23,4,-0.1,-0.486824737298307
24,0,-0.03,0.0
24,1,-0.45,-0.03
24,2,-0.1,-0.2938449328450372
24,3,0.86,3.3637945827337594
24,4,-0.17,-0.19284026860501396
25,0,0.52,0.0
25,1,1.0,0.52
25,2,-0.03,0.337736224283391
25,3,-0.52,0.002522934332825466
25,4,-0.59,-0.15856329565483163
26,0,-0.52,0.0
26,1,-0.59,-0.52
26,2,0.1,-0.7516055463428994
26,3,-0.17,-0.5411276592728498
