run,trial,ytrue,ypred
0,0,-1.0,0.0
0,1,-1.0,-1.0
0,2,-1.0,-1.0
0,3,-0.98,-1.0
0,4,-0.99,-0.9161416225977724
1,0,-1.0,0.0
1,1,-1.0,-1.0
1,2,-1.0,-1.0
1,3,-1.0,-1.0
1,4,-1.0,-1.0
2,0,-1.0,0.0
2,1,-0.99,-1.0
2,2,-1.0,-0.9992893045733211
2,3,-0.89,-0.9909326521896172
2,4,-1.0,-1.0675492868269714
3,0,-1.0,0.0
3,1,-1.0,-1.0
3,2,-0.99,-1.0
3,3,-1.0,-0.9846677971446388
3,4,-1.0,-1.0340679251111244
4,0,-0.98,0.0
4,1,-1.0,-0.98
4,2,-1.0,-0.9807421587681094
4,3,-1.0,-0.9895873186755422
4,4,-0.99,-1.0155286387180902
5,0,-1.0,0.0
5,1,-0.91,-1.0
5,2,-0.99,-0.9911159614609615
5,3,-1.0,-0.9145424375415899
5,4,-1.0,-0.8915973192506498
6,0,-1.0,0.0
6,1,-0.97,-1.0
6,2,-0.99,-0.9771509932185185
6,3,-1.0,-0.9853639908755304
6,4,-0.99,-1.0013897201205222
7,0,-1.0,0.0
7,1,-1.0,-1.0
7,2,-1.0,-1.0
7,3,-0.97,-1.0
7,4,-0.99,-0.9945256536713687
8,0,-1.0,0.0
8,1,-1.0,-1.0
8,2,-1.0,-1.0
8,3,-1.0,-1.0
8,4,-0.99,-1.0
9,0,-1.0,0.0
9,1,-0.98,-1.0
9,2,-1.0,-0.9834843661094816
9,3,-1.0,-0.9892514055955939
9,4,-1.0,-1.0270254670804824
10,0,-1.0,0.0
10,1,-0.99,-1.0
10,2,-1.0,-0.9997447939184282
10,3,-0.99,-0.9924140710313661
10,4,-1.0,-0.9988714681724425
11,0,-1.0,0.0
11,1,-1.0,-1.0
11,2,-1.0,-1.0
11,3,-1.0,-1.0
11,4,-1.0,-1.0
12,0,-1.0,0.0
12,1,-1.0,-1.0
12,2,-1.0,-1.0
12,3,-1.0,-1.0
12,4,-0.86,-1.0
13,0,-1.0,0.0
13,1,-1.0,-1.0
13,2,-1.0,-1.0
13,3,-1.0,-1.0
13,4,-1.0,-1.0
14,0,-0.99,0.0
14,1,-1.0,-0.99
14,2,-1.0,-1.0029307811384234
14,3,-1.0,-1.000001141010014
14,4,-1.0,-1.004596254540115
15,0,-1.0,0.0
15,1,-0.99,-1.0
15,2,-1.0,-0.991274669516936
15,3,-1.0,-0.9919685900168395
15,4,-1.0,-1.0010775655734554
16,0,-1.0,0.0
16,1,-1.0,-1.0
16,2,-1.0,-1.0
16,3,-0.99,-1.0
16,4,-1.0,-0.9820277305419162
17,0,-0.99,0.0
17,1,-1.0,-0.99
17,2,-1.0,-0.9882327625659149
17,3,-1.0,-0.9984577313175659
17,4,-1.0,-1.0076678409039912
18,0,-1.0,0.0
18,1,-1.0,-1.0
18,2,-1.0,-1.0
18,3,-1.0,-1.0
18,4,-1.0,-1.0
19,0,-1.0,0.0
19,1,-1.0,-1.0
19,2,-1.0,-1.0
19,3,-0.95,-1.0
19,4,-1.0,-0.9613163341692249
20,0,-0.92,0.0
20,1,-0.99,-0.92
20,2,-0.97,-0.9143258395420185
20,3,-1.0,-0.9906509788040236
20,4,-1.0,-0.9215496621060622
21,0,-1.0,0.0
21,1,-1.0,-1.0
21,2,-1.0,-1.0
21,3,-1.0,-1.0
21,4,-1.0,-1.0
22,0,-0.94,0.0
22,1,-0.96,-0.94
22,2,-0.98,-0.9420095362907812
22,3,-1.0,-1.0017644866168511
22,4,-0.98,-0.9510442247442077
23,0,-1.0,0.0
23,1,-0.99,-1.0
23,2,-0.97,-0.9876179554587106
23,3,-1.0,-0.9958527248808603
23,4,-1.0,-0.9686494401523028
24,0,-1.0,0.0
24,1,-1.0,-1.0
24,2,-1.0,-1.0
24,3,-0.99,-1.0
24,4,-0.99,-0.9997260050090255
25,0,-0.97,0.0
25,1,-0.99,-0.97
25,2,-1.0,-0.9903326319551569
25,3,-1.0,-0.9940483833101719
25,4,-0.99,-0.9702137747018086
26,0,-0.9,0.0
26,1,-1.0,-0.9
26,2,-1.0,-0.9874688195138376
26,3,-1.0,-0.9113330656331191
26,4,-1.0,-0.9359370748422181
27,0,-1.0,0.0
27,1,-0.95,-1.0
27,2,-0.99,-0.975829447753958
27,3,-1.0,-0.9780005672778463
27,4,-1.0,-0.9658992678945594
28,0,-0.9,0.0
28,1,-1.0,-0.9
28,2,-1.0,-0.9966495222983068
28,3,-1.0,-0.8992962296070033
28,4,-1.0,-1.0188480296254807
29,0,-1.0,0.0
29,1,-1.0,-1.0
29,2,-0.99,-1.0
29,3,-1.0,-1.0017349569561298
29,4,-1.0,-0.9860915752176381
30,0,-1.0,0.0
30,1,-0.98,-1.0
30,2,-0.99,-0.9919566555232219
30,3,-1.0,-0.9891625222504655
30,4,-0.97,-1.0157239902893478
31,0,-1.0,0.0
31,1,-1.0,-1.0
31,2,-1.0,-1.0
31,3,-1.0,-1.0
31,4,-0.98,-1.0
32,0,-1.0,0.0
32,1,-1.0,-1.0
32,2,-1.0,-1.0
32,3,-1.0,-1.0
32,4,-1.0,-1.0
33,0,-1.0,0.0
33,1,-1.0,-1.0
33,2,-1.0,-1.0
33,3,-1.0,-1.0
33,4,-1.0,-1.0
34,0,-1.0,0.0
34,1,-1.0,-1.0
34,2,-1.0,-1.0
34,3,-1.0,-1.0
34,4,-1.0,-1.0
35,0,-1.0,0.0
35,1,-1.0,-1.0
35,2,-1.0,-1.0
35,3,-0.99,-1.0
35,4,-1.0,-0.9892293053840746
36,0,-1.0,0.0
36,1,-1.0,-1.0
36,2,-1.0,-1.0
36,3,-1.0,-1.0
36,4,-1.0,-1.0
37,0,-1.0,0.0
37,1,-1.0,-1.0
37,2,-1.0,-1.0
37,3,-1.0,-1.0
37,4,-1.0,-1.0
38,0,-1.0,0.0
38,1,-1.0,-1.0
38,2,-1.0,-1.0
38,3,-1.0,-1.0
38,4,-1.0,-1.0
39,0,-1.0,0.0
39,1,-1.0,-1.0
39,2,-1.0,-1.0
39,3,-1.0,-1.0
39,4,-1.0,-1.0
40,0,-1.0,0.0
40,1,-0.99,-1.0
40,2,-1.0,-0.9929038774993162
40,3,-1.0,-0.994117224944399
40,4,-1.0,-1.0008948235095596
41,0,-1.0,0.0
41,1,-1.0,-1.0
41,2,-0.78,-1.0
41,3,-1.0,-1.0809215181689316
41,4,-1.0,-1.0106253391120394
42,0,-1.0,0.0
42,1,-0.99,-1.0
42,2,-1.0,-0.9975238270575035
42,3,-1.0,-0.9992093190676161
42,4,-1.0,-1.0004009313771776
43,0,-0.94,0.0
43,1,-1.0,-0.94
43,2,-1.0,-0.999015902262033
43,3,-0.98,-1.005355435146616
43,4,-1.0,-0.9711940496784515
44,0,-1.0,0.0
44,1,-1.0,-1.0
44,2,-1.0,-1.0
44,3,-0.99,-1.0
44,4,-1.0,-0.9989502706627023
45,0,-1.0,0.0
45,1,-0.98,-1.0
45,2,-1.0,-0.9809864943240684
45,3,-1.0,-0.9808685855191387
45,4,-0.99,-0.9939139950018466
46,0,-1.0,0.0
46,1,-1.0,-1.0
46,2,-1.0,-1.0
46,3,-0.99,-1.0
46,4,-1.0,-1.002885934190723
47,0,-1.0,0.0
47,1,-1.0,-1.0
47,2,-0.99,-1.0
47,3,-1.0,-0.9931541137165237
47,4,-0.99,-1.000559740917236
48,0,-1.0,0.0
48,1,-0.99,-1.0
48,2,-1.0,-0.9901417227317331
48,3,-1.0,-0.9672414165211004
48,4,-0.97,-0.9975720622031873
49,0,-0.99,0.0
49,1,-1.0,-0.99
49,2,-1.0,-0.9995572553608166
49,3,-1.0,-0.9950748984189075
49,4,-1.0,-1.000036682452025
50,0,-0.98,0.0
50,1,-1.0,-0.98
50,2,-1.0,-0.9952792981436915
50,3,-1.0,-1.0044539874826461
50,4,-1.0,-0.9891905099634696
51,0,-0.98,0.0
51,1,-1.0,-0.98
51,2,-1.0,-0.9905080921118079
51,3,-1.0,-0.9998002067024193
51,4,-0.99,-0.9996917610636138
52,0,-1.0,0.0
52,1,-1.0,-1.0
52,2,-0.92,-1.0
52,3,-0.99,-0.6838537843967829
52,4,-1.0,-0.8295607650531712
53,0,-1.0,0.0
53,1,-1.0,-1.0
