run,trial,ytrue,ypred
0,0,-0.15,0.0
0,1,-0.15,-0.15
0,2,-0.52,-0.15
0,3,0.22,-0.07200851223486837
0,4,-0.2,0.008330037723566608
1,0,-0.41,0.0
1,1,-0.36,-0.41
1,2,-0.84,-0.25274402303380455
1,3,-0.63,-0.5275247897730515
1,4,0.24,-0.552187033646094
2,0,-0.79,0.0
2,1,-0.79,-0.79
2,2,-0.52,-0.79
2,3,-0.43,-0.6050084697837411
2,4,-0.2,-0.15307608283126062
3,0,0.2,0.0
3,1,0.32,0.2
3,2,-0.41,0.18914498257915702
3,3,-0.63,-0.5277885151093464
3,4,0.12,0.1012876097314086
4,0,-0.47,0.0
4,1,-0.57,-0.47
4,2,-0.31,-0.39757707723436037
4,3,-0.41,-0.596292060459192
4,4,0.03,-0.18519854732906899
5,0,0.6,0.0
5,1,0.11,0.6
5,2,-0.2,-0.2812133027847723
5,3,0.2,0.42191153204856424
5,4,-0.95,-1.420225834390814
6,0,0.55,0.0
6,1,-0.31,0.55
6,2,-0.2,-0.18063647658238824
6,3,-0.1,-0.18537101510173065
6,4,0.23,0.5247467806946895
7,0,0.21,0.0
7,1,0.01,0.21
7,2,-0.15,0.24311381508585078
7,3,-0.39,-0.20129976694198012
7,4,-0.73,-0.8907910942710527
8,0,0.06,0.0
8,1,-0.63,0.06
8,2,0.12,0.03266544065718224
8,3,-0.26,-0.0046781040062301715
8,4,-0.73,-0.6341069581030565
9,0,0.34,0.0
9,1,-0.52,0.34
9,2,0.3,0.22502503421070041
9,3,-0.26,0.022823889457099955
9,4,0.06,0.04412165540324675
10,0,0.44,0.0
10,1,-0.4,0.44
10,2,-0.31,0.19253818400204215
10,3,0.88,0.5490419161128497
10,4,-0.02,0.35066597443396863
11,0,-0.49,0.0
11,1,-0.4,-0.49
11,2,-0.57,-0.4376799838707205
11,3,-0.52,-0.36758628340911914
11,4,0.01,-0.16657605147358956
12,0,0.17,0.0
12,1,-0.57,0.17
12,2,-0.07,-0.016657579596055766
12,3,-0.57,-0.2256351047593783
12,4,0.69,0.12635075086463893
13,0,-0.23,0.0
13,1,-0.79,-0.23
13,2,-0.79,-0.5786614194451238
13,3,0.42,-0.06378312718414103
13,4,-0.63,-0.17954654931444036
14,0,0.3,0.0
14,1,-0.73,0.3
14,2,-0.28,-0.13956101165257978
14,3,-0.47,-0.3338957357352741
14,4,-0.29,0.2377316968488076
15,0,-0.46,0.0
15,1,-0.07,-0.46
15,2,-0.79,-0.9230466305127768
15,3,0.06,-0.07009688160714445
15,4,-0.65,-0.6912868352274372
16,0,-0.4,0.0
16,1,-0.68,-0.4
16,2,-0.2,-0.9659881030479434
16,3,0.06,0.04685901286173805
16,4,-0.73,-0.7393459895611203
17,0,0.49,0.0
17,1,-0.03,0.49
17,2,0.01,-0.03457271741720214
17,3,-0.26,-0.019484901855373327
17,4,-0.89,-0.841585592007166
18,0,-0.6,0.0
18,1,-0.79,-0.6
18,2,0.01,-0.5424564423111012
18,3,-0.19,-0.09286242750804402
18,4,-0.52,-0.5061868525978271
19,0,-0.2,0.0
19,1,-0.15,-0.2
19,2,-0.36,-0.09232780035569702
19,3,-0.02,-0.3456714005094067
19,4,-0.18,-0.11277896886783337
20,0,0.22,0.0
20,1,-0.15,0.22
20,2,-0.73,-0.09414012484057716
20,3,0.44,0.2536509830740909
20,4,0.6,0.3649766086594448
21,0,-0.1,0.0
21,1,0.17,-0.1
21,2,-0.73,-0.40255139666311524
21,3,0.5,-0.3120087446951707
21,4,0.01,0.0017290850860890994
22,0,-0.63,0.0
22,1,-0.4,-0.63
22,2,0.22,0.15981019253378193
22,3,-0.04,0.1273275780570059
22,4,-0.68,-0.7176821827964104
23,0,0.44,0.0
23,1,0.73,0.44
23,2,-0.04,2.013162974359309
23,3,-0.2,0.5745929927722339
23,4,-0.68,0.22999779625436567
24,0,-0.68,0.0
24,1,0.54,-0.68
24,2,0.17,-0.06171193437339867
24,3,0.2,0.3973744082995737
24,4,-0.79,-1.3353397101997233
25,0,-0.07,0.0
25,1,-0.55,-0.07
25,2,-0.2,-0.20241566089669627
25,3,-0.1,-0.18347858458437039
25,4,-0.79,-1.0804317838735544
26,0,0.22,0.0
26,1,-0.36,0.22
26,2,-0.49,-0.5464805473319955
26,3,-0.89,-1.3901305087374478
26,4,-0.06,-1.2896152577354811
27,0,-0.89,0.0
27,1,0.02,-0.89
27,2,-0.52,-0.02356404986358257
27,3,-0.07,-0.31922074476467777
27,4,-0.1,-0.18758105038657888
28,0,-0.89,0.0
28,1,-0.05,-0.89
28,2,-0.68,-1.100245962548463
28,3,-0.1,0.10104143922201736
28,4,-0.1,0.07297253704818607
29,0,-0.54,0.0
29,1,-0.23,-0.54
