run,trial,ytrue,ypred
0,0,-0.42,0.0
0,1,-0.42,-0.42
0,2,-0.29,-0.42
0,3,1.0,-0.2696056433841153
0,4,-0.48,-0.06773364172506043
1,0,0.03,0.0
1,1,0.35,0.03
1,2,-0.55,-5.7747669922457
1,3,-0.42,-0.4243785177446969
1,4,-0.55,-0.22264319241755873
2,0,-0.61,0.0
2,1,-0.74,-0.61
2,2,-0.42,-0.5874179034723889
2,3,-0.48,-0.5345794386492676
2,4,0.16,-0.4947256070783252
3,0,-0.55,0.0
3,1,-0.74,-0.55
3,2,-0.48,-0.7366760863196844
3,3,-0.94,-0.45460311768801903
3,4,0.23,-0.009719738436712644
4,0,-0.23,0.0
4,1,0.16,-0.23
4,2,-0.29,-0.12668302521765623
4,3,-0.29,0.8017586124695572
4,4,-0.55,0.3658244865275355
5,0,-0.42,0.0
5,1,-0.74,-0.42
5,2,-0.42,-0.49831355714016184
5,3,0.23,-0.6620970787020689
5,4,1.0,-0.33614068186418056
6,0,-0.23,0.0
6,1,-0.61,-0.23
6,2,-0.48,-0.31832331744891773
6,3,-0.42,-1.4235000219567393
6,4,0.16,-0.43451981359573416
7,0,-0.35,0.0
7,1,0.16,-0.35
7,2,-0.68,-1.7546332760651584
7,3,-0.35,-0.3553447397827022
7,4,0.23,-0.2574682132653149
8,0,-0.42,0.0
8,1,0.23,-0.42
8,2,-0.29,0.0827852155328356
8,3,-0.48,0.10808338877231871
8,4,-1.0,1.23801648090383
9,0,-0.35,0.0
9,1,-0.29,-0.35
9,2,-0.42,-0.30286146845982137
9,3,-0.61,-0.368041403046896
9,4,-0.42,-0.4186338731606702
10,0,-0.61,0.0
10,1,-0.94,-0.61
10,2,-0.48,-0.5920481631643673
10,3,-0.87,-0.45042747602378486
10,4,-0.42,-0.046034797166276564
11,0,-0.48,0.0
11,1,0.23,-0.48
11,2,-0.42,0.059351725975310146
11,3,-0.16,0.2635435248441355
11,4,0.16,-0.38979442156140887
12,0,-0.68,0.0
12,1,-0.48,-0.68
12,2,-0.61,-0.5760206640038179
12,3,-0.42,-0.6366463677429448
12,4,-0.48,-0.4540625718489076
13,0,-0.29,0.0
13,1,-0.68,-0.29
13,2,-1.0,0.07005052397300224
13,3,-0.29,-0.16387556297728936
13,4,0.23,0.08892688643235222
14,0,-0.68,0.0
14,1,-0.55,-0.68
14,2,-0.29,-0.6767701381859071
14,3,-0.42,-0.6183092130792208
14,4,-0.23,-0.2630666337864509
15,0,-0.55,0.0
15,1,-0.68,-0.55
15,2,-0.48,-0.7712139861716534
15,3,-0.16,-0.5745809593151637
15,4,1.0,1.098001223451671
16,0,-0.55,0.0
16,1,-0.87,-0.55
16,2,-0.68,-0.6760359973485047
16,3,-0.29,-0.6501318473244132
16,4,0.23,-0.024575443708395872
17,0,-0.29,0.0
17,1,0.16,-0.29
17,2,0.23,-0.16429820109038007
17,3,-0.42,-0.030756039396003583
17,4,-0.61,-0.4779880800112369
18,0,-0.29,0.0
18,1,-1.0,-0.29
18,2,-0.42,-0.3244728448639703
18,3,0.03,-0.3968086851666538
18,4,0.35,0.017749383660706664
19,0,-0.42,0.0
19,1,-0.55,-0.42
19,2,-1.0,-0.5742763868812654
19,3,-0.35,-0.28861832078862193
19,4,-0.61,-0.18154768945591637
20,0,-0.61,0.0
20,1,-0.29,-0.61
20,2,-0.23,-0.5753149304322052
20,3,-0.74,-0.6001092889492763
20,4,-0.48,-0.36953173437097586
21,0,-0.42,0.0
21,1,0.23,-0.42
21,2,-0.87,0.10741180421734729
21,3,-0.68,-0.38678382353576696
21,4,0.16,-1.5917720055235631
22,0,-0.29,0.0
22,1,-0.48,-0.29
22,2,-0.55,-0.28253680363397926
22,3,0.16,-0.42400696345939876
22,4,-0.23,-0.2894540909819414
23,0,0.16,0.0
23,1,-0.68,0.16
23,2,-1.0,-0.08156757301346984
23,3,-0.23,-0.4766062883880693
23,4,-0.55,-0.3318168456802181
24,0,-0.42,0.0
24,1,0.35,-0.42
24,2,-0.23,-0.19848616238335137
24,3,1.0,0.09090233792305863
24,4,-0.61,0.06870823743335852
25,0,-0.74,0.0
25,1,0.23,-0.74
25,2,-0.16,-0.15610145841282053
25,3,-1.0,0.15300011715486808
25,4,-0.68,0.2515163188181805
26,0,-0.55,0.0
26,1,-1.0,-0.55
26,2,0.03,-0.8747497174939696
26,3,-0.42,-0.2294202833760854
26,4,-0.42,-0.3895617576778245
27,0,-0.48,0.0
27,1,-0.42,-0.48
27,2,-1.0,-0.43978085830382024
27,3,-0.42,-0.4662127453487898
27,4,-0.68,-0.5021094431402623
28,0,1.0,0.0
28,1,-0.35,1.0
28,2,-0.48,-0.27558172072127674
28,3,-0.68,-1.6504380467720767
28,4,-0.42,1.2538619571335723
29,0,-0.42,0.0
29,1,-0.55,-0.42
29,2,-0.42,-0.5821309919073356
29,3,1.0,-0.3313162147675742
29,4,-0.74,-0.1047144338690503
30,0,-0.55,0.0
30,1,-0.23,-0.55
30,2,-0.42,-0.4111483511044889
30,3,-0.74,-0.6370317716746072
30,4,-0.55,-0.6839854053985481
31,0,-0.74,0.0
31,1,-0.48,-0.74
31,2,-0.29,-0.696740444879769
31,3,1.0,0.11148752967854175
31,4,0.16,-0.33582751882596495
32,0,-0.68,0.0
32,1,-0.68,-0.68
32,2,-0.29,-0.68
32,3,-0.29,-0.31579650094596873
32,4,0.16,-0.4513696574002498
33,0,0.23,0.0
33,1,-0.23,0.23
33,2,-0.55,-0.423718684562863
33,3,-0.61,-0.1648144145209089
33,4,-0.68,-0.49633604974219336
34,0,-0.35,0.0
34,1,-0.68,-0.35
34,2,-0.55,-0.4377035691885458
34,3,-0.42,-0.6440296327425153
34,4,-0.35,-0.5397362209786289
35,0,-0.42,0.0
35,1,-0.68,-0.42
35,2,1.0,-0.4677594529326201
35,3,0.23,0.07648051942169062
35,4,-0.74,0.32876793942869564
36,0,-1.0,0.0
36,1,-0.55,-1.0
36,2,-0.48,-0.14345306919274786
36,3,-1.0,-0.7186107227719123
36,4,-0.35,-0.27073705078372556
37,0,0.03,0.0
37,1,0.35,0.03
37,2,-0.23,-4.2898250000437095
37,3,-0.35,0.026122466798754185
37,4,-0.55,-0.21334997854918722
38,0,-0.68,0.0
38,1,-0.29,-0.68
38,2,-0.48,-0.4900469260946207
38,3,-0.61,-0.7110908114329837
38,4,-1.0,-0.20079276443677985
39,0,-0.55,0.0
39,1,-0.48,-0.55
39,2,1.0,-0.5207715962098661
39,3,-0.35,-0.5555144321516693
39,4,-0.61,-1.1613925738441977
40,0,1.0,0.0
40,1,0.23,1.0
40,2,0.16,0.7980634440899169
40,3,-1.0,-0.1669167679641756
40,4,-0.87,-0.6655829045888808
41,0,-0.68,0.0
41,1,-0.35,-0.68
41,2,-0.74,0.008033447969695184
41,3,-0.55,-0.5899729289473835
41,4,-0.68,-0.5805375647803959
42,0,-0.42,0.0
42,1,-0.55,-0.42
