run,trial,ytrue,ypred
0,0,-1.0,0.0
0,1,-1.0,-1.0
0,2,-1.0,-1.0
0,3,-1.0,-1.0
0,4,-1.0,-1.0
1,0,-1.0,0.0
1,1,-1.0,-1.0
1,2,-0.99,-1.0
1,3,-0.99,-0.9968308731345847
1,4,-1.0,-1.0321013911259185
2,0,-1.0,0.0
2,1,-0.99,-1.0
2,2,-1.0,-0.9973197052561827
2,3,-0.96,-0.99033930763799
2,4,-1.0,-0.9353243033326096
3,0,-0.99,0.0
3,1,-1.0,-0.99
3,2,-0.99,-0.999826099259835
3,3,-1.0,-1.0343842374960541
3,4,-1.0,-0.9978889653954137
4,0,-1.0,0.0
4,1,-0.99,-1.0
4,2,-1.0,-0.9903162479377859
4,3,-1.0,-0.9820839725100213
4,4,-1.0,-0.9970547922881506
5,0,-0.99,0.0
5,1,-1.0,-0.99
5,2,-1.0,-0.998603560523771
5,3,-1.0,-0.9947340385041822
5,4,-0.99,-1.0018318886095603
6,0,-1.0,0.0
6,1,-0.99,-1.0
6,2,-1.0,-0.990204535519144
6,3,-1.0,-1.0023849772250195
6,4,-1.0,-0.9971557345579892
7,0,-0.99,0.0
7,1,-0.99,-0.99
7,2,-1.0,-0.99
7,3,-0.92,-0.9475221745597133
7,4,-0.99,-0.9863215064279144
8,0,-0.99,0.0
8,1,-1.0,-0.99
8,2,-0.99,-0.9901209746729901
8,3,-1.0,-0.9968411930258972
8,4,-1.0,-0.9899233107767841
9,0,-1.0,0.0
9,1,-0.99,-1.0
9,2,-1.0,-0.9755910043107343
9,3,-1.0,-1.0012576332866123
9,4,-1.0,-0.992211521141971
10,0,-1.0,0.0
10,1,-1.0,-1.0
10,2,-1.0,-1.0
10,3,-0.96,-1.0
10,4,-1.0,-0.9397039277001783
11,0,-1.0,0.0
11,1,-1.0,-1.0
11,2,-1.0,-1.0
11,3,-1.0,-1.0
11,4,-1.0,-1.0
12,0,-1.0,0.0
12,1,-1.0,-1.0
12,2,-1.0,-1.0
12,3,-0.99,-1.0
12,4,-1.0,-0.9972327700714351
13,0,-1.0,0.0
13,1,-1.0,-1.0
13,2,-1.0,-1.0
13,3,-1.0,-1.0
13,4,-1.0,-1.0
14,0,-1.0,0.0
14,1,-0.99,-1.0
14,2,-1.0,-0.9979658875257268
14,3,-1.0,-0.9961073361172332
14,4,-1.0,-0.9924336228447236
15,0,-1.0,0.0
15,1,-1.0,-1.0
15,2,-1.0,-1.0
15,3,-1.0,-1.0
15,4,-0.99,-1.0
16,0,-1.0,0.0
16,1,-0.99,-1.0
16,2,-1.0,-0.9980495451881759
16,3,-1.0,-1.005137196058492
16,4,-1.0,-0.9962821371973449
17,0,-0.99,0.0
17,1,-1.0,-0.99
17,2,-1.0,-1.0064397770574929
17,3,-1.0,-1.0012718611644982
17,4,-1.0,-0.9959059985050319
18,0,-1.0,0.0
18,1,-1.0,-1.0
18,2,-1.0,-1.0
18,3,-1.0,-1.0
18,4,-1.0,-1.0
19,0,-1.0,0.0
19,1,-0.99,-1.0
19,2,-0.99,-0.9360742032854865
19,3,-1.0,-1.013678202252718
19,4,-1.0,-0.9930611284351122
20,0,-1.0,0.0
20,1,-1.0,-1.0
20,2,-1.0,-1.0
20,3,-0.99,-1.0
20,4,-1.0,-0.9984615664402704
21,0,-1.0,0.0
21,1,-1.0,-1.0
21,2,-0.98,-1.0
21,3,-0.97,-1.035241958081199
21,4,-0.96,-0.8742271917069672
22,0,-1.0,0.0
22,1,-1.0,-1.0
22,2,-0.98,-1.0
22,3,-1.0,-0.9280817928964106
22,4,-1.0,-1.0009730194943836
23,0,-0.98,0.0
23,1,-1.0,-0.98
23,2,-0.99,-1.0017703905925655
23,3,-1.0,-1.0124196446036418
23,4,-0.99,-0.9936142872327485
24,0,-1.0,0.0
24,1,-0.99,-1.0
24,2,-0.99,-0.9900344189458821
24,3,-1.0,-0.9928479989132998
24,4,-1.0,-0.9945667155255723
25,0,-1.0,0.0
25,1,-1.0,-1.0
25,2,-0.99,-1.0
25,3,-1.0,-0.9952712627481288
25,4,-0.99,-0.9986817166157994
26,0,-1.0,0.0
26,1,-1.0,-1.0
26,2,-1.0,-1.0
26,3,-1.0,-1.0
26,4,-1.0,-1.0
27,0,-1.0,0.0
27,1,-1.0,-1.0
27,2,-0.99,-1.0
27,3,-1.0,-0.9837157931179858
27,4,-1.0,-0.9971112038286611
28,0,-1.0,0.0
28,1,-0.99,-1.0
28,2,-1.0,-0.9999244877389668
28,3,-1.0,-0.9901764046436743
28,4,-1.0,-0.9971924135271685
29,0,-1.0,0.0
29,1,-1.0,-1.0
29,2,-1.0,-1.0
29,3,-1.0,-1.0
29,4,-1.0,-1.0
30,0,-0.99,0.0
30,1,-1.0,-0.99
30,2,-1.0,-0.9814936350181829
30,3,-1.0,-0.9805786348623092
30,4,-1.0,-0.12007287725630211
31,0,-1.0,0.0
31,1,-1.0,-1.0
31,2,-1.0,-1.0
31,3,-0.98,-1.0
31,4,-1.0,-0.9815848949421424
32,0,-0.99,0.0
32,1,-1.0,-0.99
32,2,-0.99,-1.002578265277938
32,3,-1.0,-1.0116057704693946
32,4,-1.0,-0.9932593037761521
33,0,-1.0,0.0
33,1,-1.0,-1.0
33,2,-1.0,-1.0
33,3,-0.98,-1.0
33,4,-1.0,-0.9879724166405058
34,0,-0.97,0.0
34,1,-1.0,-0.97
34,2,-1.0,-1.0074811212996955
34,3,-0.97,-1.0206224734965945
34,4,-1.0,-0.9583825104282305
35,0,-1.0,0.0
35,1,-0.99,-1.0
35,2,-0.99,-0.9999140138217089
35,3,-0.99,-0.9905350827661672
35,4,-1.0,-0.9963154540305241
36,0,-1.0,0.0
36,1,-1.0,-1.0
36,2,-1.0,-1.0
36,3,-1.0,-1.0
36,4,-1.0,-1.0
37,0,-1.0,0.0
37,1,-1.0,-1.0
37,2,-1.0,-1.0
37,3,-1.0,-1.0
37,4,-1.0,-1.0
38,0,-1.0,0.0
38,1,-1.0,-1.0
38,2,-1.0,-1.0
38,3,-1.0,-1.0
38,4,-1.0,-1.0
39,0,-1.0,0.0
39,1,-0.99,-1.0
39,2,-1.0,-0.9902399094829152
39,3,-1.0,-0.9967373681176963
39,4,-0.93,-0.9987085690219843
40,0,-1.0,0.0
40,1,-1.0,-1.0
40,2,-1.0,-1.0
40,3,-0.99,-1.0
40,4,-0.99,-0.999352312714925
41,0,-1.0,0.0
41,1,-1.0,-1.0
41,2,-1.0,-1.0
41,3,-1.0,-1.0
41,4,-0.99,-1.0
42,0,-1.0,0.0
42,1,-1.0,-1.0
42,2,-0.99,-1.0
42,3,-1.0,-0.9994733853716623
42,4,-1.0,-0.9997267473764896
43,0,-1.0,0.0
43,1,-0.98,-1.0
43,2,-1.0,-1.0003632975252659
43,3,-1.0,-1.0005321649008807
43,4,-1.0,-1.0005679764830187
44,0,-1.0,0.0
44,1,-0.99,-1.0
44,2,-1.0,-0.9924392954478759
44,3,-1.0,-0.9794520950119832
44,4,-1.0,-0.9985415559109532
45,0,-0.97,0.0
45,1,-1.0,-0.97
45,2,-0.99,-1.034515155897889
45,3,-1.0,-0.9872177986746654
45,4,-1.0,-0.9909515545283953
46,0,-1.0,0.0
46,1,-1.0,-1.0
46,2,-0.99,-1.0
46,3,-1.0,-0.9953693081337893
46,4,-1.0,-0.9937637942877319
47,0,-1.0,0.0
47,1,-0.97,-1.0
47,2,-1.0,-0.9447466364237385
47,3,-1.0,-0.9962658432724406
47,4,-1.0,-1.0163495507087523
48,0,-1.0,0.0
48,1,-1.0,-1.0
48,2,-1.0,-1.0
48,3,-1.0,-1.0
48,4,-1.0,-1.0
49,0,-0.98,0.0
49,1,-1.0,-0.98
49,2,-1.0,-0.9951256950306223
49,3,-0.99,-0.9921413331813639
49,4,-0.99,-0.9909293867608072
50,0,-1.0,0.0
50,1,-1.0,-1.0
50,2,-0.99,-1.0
50,3,-1.0,-1.1370052275769236
50,4,-0.99,-0.9982427096758566
51,0,-0.98,0.0
51,1,-0.99,-0.98
51,2,-0.99,-1.0020085107241774
51,3,-1.0,-0.9951993008030859
51,4,-1.0,-1.0062821145102814
52,0,-0.95,0.0
52,1,-1.0,-0.95
52,2,-1.0,-1.0761325475284707
52,3,-0.99,-1.0001410014720942
