run,trial,ytrue,ypred
0,0,-0.16,0.0
0,1,-0.68,-0.16
0,2,-0.86,0.10311380478763083
0,3,-0.59,-0.5738242839077062
0,4,-0.39,-0.0025408820744184935
1,0,-0.39,0.0
1,1,-0.88,-0.39
1,2,-0.89,-0.8759408299516205
1,3,-0.47,-0.8947862752933377
1,4,0.49,-0.5430881069994568
2,0,-0.9,0.0
2,1,-0.16,-0.9
2,2,-0.95,-0.9637181285620631
2,3,-0.89,-0.3500950665828719
2,4,-0.47,-0.036692271477500704
3,0,-0.78,0.0
3,1,-0.89,-0.78
3,2,1.0,-0.8078717135444791
3,3,0.3,-0.3260967457260502
3,4,-0.29,-0.43601162040499075
4,0,-0.68,0.0
4,1,0.49,-0.68
4,2,-0.95,-0.5755308079674151
4,3,-0.93,-0.9608089393387548
4,4,1.0,0.31831983242116213
5,0,-0.89,0.0
5,1,-0.78,-0.89
5,2,-0.16,-0.8201020970202066
5,3,1.0,0.014971873674100522
5,4,-0.68,-0.17444530535281438
6,0,-0.9,0.0
6,1,-0.89,-0.9
6,2,-0.47,-0.889522021713302
6,3,-1.0,-0.553110837867165
6,4,-0.68,-0.6006580632922351
7,0,-0.88,0.0
7,1,-0.85,-0.88
7,2,-0.78,-0.8762689206475738
7,3,-0.84,-0.935839108613864
7,4,-0.63,-0.8783197360796976
8,0,0.3,0.0
8,1,1.0,0.3
8,2,-0.47,0.7130398995693935
8,3,-0.89,-0.38198215070961583
8,4,-0.37,-0.4330386574007643
9,0,-0.86,0.0
9,1,-0.49,-0.86
9,2,0.66,-0.501774306460792
9,3,-0.47,-0.49847511339220946
9,4,-0.9,-0.4796578230098869
10,0,-0.89,0.0
10,1,-0.98,-0.89
10,2,-0.93,-1.0456833334934423
10,3,-0.89,-1.101059363129948
10,4,-0.78,-1.2492189254606099
11,0,1.0,0.0
11,1,0.49,1.0
11,2,-0.89,0.9323980769595744
11,3,-0.9,-0.8368768305673707
11,4,-0.16,-0.7430959654369916
12,0,-0.91,0.0
12,1,-0.83,-0.91
12,2,-0.86,-1.0343200078662456
12,3,0.66,-0.9540631860552594
12,4,-1.0,-0.9719340759358165
13,0,-0.91,0.0
13,1,-0.86,-0.91
13,2,-0.91,-0.9131744088095874
13,3,0.3,-0.9179281305631848
13,4,-0.89,-0.9096267050351301
14,0,-0.98,0.0
14,1,-0.29,-0.98
14,2,0.3,-0.3300831936543933
14,3,0.49,0.6924126198860296
14,4,-0.37,-1.1410780144820807
15,0,-0.89,0.0
15,1,-0.91,-0.89
15,2,0.24,-0.9256786812879817
15,3,0.49,0.22259248216941846
15,4,0.66,0.2508106384277733
16,0,-0.9,0.0
16,1,-0.89,-0.9
16,2,0.66,-0.8903060790631069
16,3,-0.59,-0.3761321318458367
16,4,-0.47,-0.43312912663935993
17,0,-0.47,0.0
17,1,-0.59,-0.47
