run,trial,ytrue,ypred
0,0,-0.39,0.0
0,1,-0.76,-0.39
0,2,-0.81,-0.575
0,3,-0.3,-0.6854532856657247
0,4,-0.45,-0.5659810333792926
1,0,0.07,0.0
1,1,1.0,0.07
1,2,0.36,0.14703989307109191
1,3,-0.27,0.6770709131039758
1,4,0.43,0.2893920485970999
2,0,-0.67,0.0
2,1,-0.16,-0.67
2,2,-0.58,-0.5742180090450806
2,3,1.0,-0.20610611053894723
2,4,-0.3,0.9589781332576595
3,0,-0.77,0.0
3,1,-0.3,-0.77
3,2,-0.25,-0.4966931375271555
3,3,0.36,-0.22458229403584584
3,4,-0.58,-0.3656791966810403
4,0,0.29,0.0
4,1,0.43,0.29
4,2,-1.0,0.38614176198891653
4,3,-0.81,0.37233092782903315
4,4,-0.58,-0.2341703555959304
5,0,-0.45,0.0
5,1,0.19,-0.45
5,2,-0.16,-0.14348039922344497
5,3,1.0,0.06171733875025992
5,4,-0.21,-1.5438471725912373
6,0,-0.26,0.0
6,1,0.36,-0.26
6,2,-0.58,-0.3360951837324519
6,3,-0.16,0.0269115144761011
6,4,-1.0,-0.2574869575135088
7,0,-0.81,0.0
7,1,-0.14,-0.81
7,2,0.32,-0.29404877488649944
7,3,-0.97,-1.1084522306658684
7,4,-0.39,-0.2753814553766848
8,0,-0.3,0.0
8,1,-0.81,-0.3
8,2,-0.78,-0.8408623161447013
8,3,0.19,-1.10462215825422
8,4,0.07,-1.1240278130826655
9,0,-1.0,0.0
9,1,-0.14,-1.0
9,2,-0.39,-0.39102210316491637
9,3,-0.16,-0.15136083763887426
9,4,-0.76,-1.0369313341722388
10,0,-0.77,0.0
10,1,-0.45,-0.77
10,2,-0.3,-0.5404731853481111
10,3,-0.27,-0.30000743334138746
10,4,-0.16,-0.3740693802555426
11,0,-0.81,0.0
11,1,-0.16,-0.81
11,2,0.29,-0.42826404094733195
11,3,-0.27,-0.4902595560015913
11,4,-0.67,-2.1679882825559806
12,0,-0.78,0.0
12,1,-0.67,-0.78
12,2,0.29,-0.7286670558577697
12,3,-0.39,-0.5608495882611108
12,4,0.32,0.290000762877727
13,0,-0.16,0.0
13,1,0.29,-0.16
13,2,0.23,-0.08396219911474394
13,3,-0.36,0.038254745020895306
13,4,-0.25,0.11114625746570526
14,0,-0.76,0.0
14,1,-0.16,-0.76
14,2,0.32,-0.142376776165062
14,3,-1.0,-0.13424219287113268
14,4,-0.78,-0.7661790001212616
15,0,-0.58,0.0
15,1,-0.14,-0.58
15,2,0.36,-0.11793126019241201
15,3,-0.81,-0.4730881621171099
15,4,0.29,-0.33698861631924953
16,0,-0.67,0.0
16,1,-0.21,-0.67
16,2,0.5,-0.2760035147209633
16,3,-0.36,0.09672327529242936
16,4,-1.0,0.21208776686584546
17,0,0.32,0.0
17,1,-0.42,0.32
17,2,-0.45,-0.024058113082375487
17,3,-0.16,-0.06454539311483065
17,4,-0.81,0.23343267608275364
18,0,-0.3,0.0
18,1,0.45,-0.3
18,2,-0.81,-0.14148654452856052
18,3,0.23,-0.6239979921377322
18,4,-0.36,-0.4265386734220944
19,0,-0.21,0.0
19,1,-0.14,-0.21
19,2,-0.3,-0.11188881462637369
19,3,-0.97,-0.3485807296915222
19,4,0.5,-0.17119314313445694
20,0,-0.76,0.0
20,1,0.36,-0.76
20,2,-0.21,0.23882739849606271
20,3,0.5,0.06371857394345515
20,4,-0.67,-0.3141934412541465
21,0,0.36,0.0
21,1,-0.45,0.36
21,2,-0.77,-0.7311564054252947
21,3,0.43,-0.7516876873900558
21,4,0.23,-0.18396220857029505
22,0,1.0,0.0
22,1,-0.59,1.0
22,2,0.43,0.11492580212648001
22,3,0.5,-0.19033841124282158
22,4,0.29,1.845973993629746
23,0,0.23,0.0
23,1,-0.58,0.23
23,2,-0.81,-0.4031370495578636
23,3,-0.26,-0.6655458921332604
23,4,-0.36,-0.899695937903554
24,0,0.43,0.0
24,1,-0.78,0.43
24,2,-0.26,0.365837496767369
24,3,-0.14,-0.8832513318620726
24,4,0.19,-0.04561643947197075
25,0,-0.78,0.0
25,1,-0.45,-0.78
25,2,-0.67,-0.5025347134780693
25,3,-0.97,-0.8426231739984134
25,4,0.29,-0.44006535077760467
26,0,0.32,0.0
26,1,0.07,0.32
26,2,1.0,0.3929871002462312
26,3,-0.58,0.4137356671084761
26,4,-0.14,0.8154875567986729
27,0,-0.3,0.0
27,1,0.43,-0.3
27,2,-0.77,0.2998343668393142
27,3,-0.21,1.3837302506797173
27,4,-0.76,-0.19167421274852908
28,0,-0.59,0.0
28,1,-0.81,-0.59
28,2,-0.42,-0.7995307494351193
28,3,0.23,0.48865717285023025
28,4,-0.26,-0.5223392760875669
29,0,-0.76,0.0
29,1,0.36,-0.76
29,2,0.32,-0.22272584325293604
29,3,-0.76,-0.02449489571961644
29,4,-0.58,-0.66719430834785
30,0,-0.27,0.0
30,1,-0.21,-0.27
30,2,-0.77,-0.24839544833831712
30,3,-0.42,-0.2353263781088906
30,4,-0.58,-0.3523585710811842
31,0,-0.45,0.0
31,1,-0.26,-0.45
31,2,-0.97,-0.2890895664544187
31,3,-0.27,-0.24101918134824007
31,4,-0.25,-0.4188818059648674
32,0,-0.26,0.0
