run,trial,ytrue,ypred
0,0,0.0,0.0
0,1,0.33,0.0
0,2,-0.33,0.25256959890528574
0,3,-0.33,-6.325760507313411e-05
0,4,0.0,-0.08885027102720773
1,0,0.0,0.0
1,1,-0.33,0.0
1,2,0.0,-0.5641788856956141
1,3,0.33,-0.3956384074128727
1,4,0.33,-2.1952759583841676e-05
2,0,0.0,0.0
2,1,0.33,0.0
2,2,0.33,0.34976442945314223
2,3,0.0,0.30641594679846346
2,4,0.33,0.17690907308675935
3,0,-0.33,0.0
3,1,0.0,-0.33
3,2,0.33,-0.3857572986398905
3,3,0.0,-1.1828883300067288
3,4,-0.33,-0.0020260015333560407
4,0,0.0,0.0
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.33,0.0
4,4,0.33,0.47366776058014637
5,0,0.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,-0.33,0.0
5,4,-0.33,-0.12728756269647734
6,0,0.0,0.0
6,1,0.0,0.0
6,2,0.33,0.0
6,3,-0.33,0.1094346653201085
6,4,0.0,-0.049659878079204606
7,0,0.0,0.0
7,1,0.0,0.0
7,2,0.33,0.0
7,3,0.0,0.11059579902355438
7,4,0.0,0.08248072940693787
8,0,0.33,0.0
8,1,0.0,0.33
8,2,-0.33,0.6019612222808224
8,3,0.33,0.00036668055861044575
8,4,-0.33,0.07615389035869373
9,0,-0.33,0.0
9,1,0.33,-0.33
9,2,0.33,0.4643669932866916
9,3,0.0,-0.7027048100694862
9,4,-0.33,0.08317117021010234
10,0,0.33,0.0
10,1,0.33,0.33
10,2,0.0,0.33
10,3,0.0,-0.07130582762569615
10,4,0.0,0.025330579091132233
11,0,0.0,0.0
11,1,0.0,0.0
11,2,0.0,0.0
11,3,-0.33,0.0
11,4,0.67,0.04316215946939225
12,0,0.0,0.0
12,1,0.0,0.0
12,2,0.33,0.0
12,3,0.33,0.1101937106567263
12,4,0.0,0.17770637884397344
13,0,0.0,0.0
13,1,-1.0,0.0
13,2,0.0,0.14635716996396453
13,3,0.0,-0.036133097998851116
13,4,-0.33,-0.06224716166252031
14,0,-0.33,0.0
14,1,0.0,-0.33
14,2,0.0,-0.3132229874445781
14,3,0.33,0.5093183424639828
14,4,0.0,0.04365038170201152
15,0,0.33,0.0
15,1,-0.33,0.33
15,2,0.0,-0.4280471875336185
15,3,-0.67,-0.7543712908594942
15,4,0.67,-0.4432551360759356
16,0,0.0,0.0
16,1,-0.33,0.0
16,2,-0.33,-0.28354640571131273
16,3,-0.33,-0.3261648382954502
16,4,-0.33,-0.2576908429007479
17,0,-0.33,0.0
17,1,0.67,-0.33
17,2,0.0,0.39120589782135307
17,3,0.0,-0.17075714951779775
17,4,-0.33,0.43879338856723504
18,0,0.67,0.0
18,1,0.33,0.67
18,2,0.0,-0.17845956895227208
18,3,0.0,0.26154586902249904
18,4,-0.33,-1.319868289657284
19,0,-0.33,0.0
19,1,0.0,-0.33
19,2,0.0,-0.08149231325697753
19,3,0.0,-0.10882432954997157
19,4,0.0,-0.02059089715199719
20,0,-0.33,0.0
20,1,0.0,-0.33
20,2,0.67,-0.5942890811740404
20,3,-0.33,0.11031095737245611
20,4,-0.67,0.04317322973891763
21,0,-0.33,0.0
21,1,-0.67,-0.33
21,2,0.0,-0.5510141077770561
21,3,0.0,-0.33278048111571273
21,4,-0.33,-1.07138648864467
22,0,-0.33,0.0
22,1,-0.33,-0.33
22,2,0.33,-0.33
22,3,0.33,0.009407717975166152
22,4,0.67,0.2946394996788621
23,0,0.0,0.0
23,1,-0.33,0.0
23,2,0.0,-0.011543428703579273
23,3,0.0,-0.18541945611567606
23,4,0.0,0.015535112814982155
24,0,-0.33,0.0
24,1,0.0,-0.33
24,2,0.0,-0.20028515270094516
24,3,0.33,-0.07787389736763994
24,4,0.0,-0.0005902196817366125
25,0,-0.33,0.0
25,1,0.0,-0.33
25,2,0.0,-0.3071109660265306
25,3,0.33,-0.8304078133519037
25,4,0.33,-0.002663766347711995
26,0,0.0,0.0
26,1,0.0,0.0
26,2,0.0,0.0
26,3,0.0,0.0
26,4,-0.33,0.0
27,0,0.0,0.0
27,1,0.0,0.0
27,2,0.0,0.0
27,3,0.0,0.0
27,4,0.0,0.0
28,0,-0.33,0.0
28,1,-0.33,-0.33
28,2,0.33,-0.33
28,3,0.0,0.21809584071877985
28,4,0.0,0.17636759505736416
29,0,0.33,0.0
29,1,-0.33,0.33
29,2,0.0,-0.17206520416580717
29,3,-0.33,-0.02269483327732094
29,4,0.33,0.08293610065460126
30,0,0.33,0.0
30,1,0.0,0.33
30,2,1.0,0.638338126579451
30,3,-0.33,0.12130783698851455
30,4,0.67,0.6847001483263234
31,0,-0.33,0.0
31,1,0.0,-0.33
31,2,0.0,-0.5527588659764682
31,3,-0.33,-0.1103984784084019
31,4,0.0,-0.18533940939048932
32,0,0.0,0.0
32,1,0.0,0.0
32,2,0.0,0.0
32,3,0.0,0.0
32,4,-0.33,0.0
33,0,0.0,0.0
33,1,0.0,0.0
33,2,0.33,0.0
33,3,-0.33,-0.2740568916947333
33,4,0.0,-0.33002266186196
34,0,0.0,0.0
34,1,-0.33,0.0
34,2,0.0,0.036030139839982406
34,3,0.33,0.2517335542793439
34,4,0.0,-0.04971388796679188
35,0,-0.33,0.0
35,1,0.33,-0.33
35,2,0.67,-0.4707559864166576
35,3,-0.33,0.2234845563113095
35,4,-1.0,0.08522691061360317
36,0,0.0,0.0
36,1,0.0,0.0
36,2,0.0,0.0
36,3,-0.67,0.0
36,4,0.0,-0.4721899101933378
37,0,-0.33,0.0
37,1,0.0,-0.33
37,2,0.0,-0.07519881847895271
37,3,0.0,-0.06747361280671627
37,4,0.33,-0.05279426772200499
38,0,-0.33,0.0
38,1,-0.33,-0.33
38,2,-0.33,-0.33
38,3,-0.33,-0.33
38,4,-0.33,-0.33
39,0,0.0,0.0
39,1,-0.33,0.0
39,2,0.33,-0.3191938629457955
39,3,-0.33,-0.5350630006839534
39,4,0.0,0.5328388041818273
40,0,0.33,0.0
40,1,0.0,0.33
40,2,-0.67,-0.044807108125033523
40,3,0.0,-0.03818443660068582
40,4,0.33,1.5430465150440908
41,0,-0.67,0.0
41,1,0.0,-0.67
41,2,0.0,-0.016217625987019146
41,3,0.0,0.10697474257550654
41,4,-0.33,-0.5484589010154698
42,0,-0.33,0.0
42,1,-0.33,-0.33
42,2,0.0,-0.33
42,3,0.0,-0.2652792250202628
42,4,0.33,-0.16279215838099237
43,0,0.0,0.0
43,1,0.0,0.0
43,2,-0.33,0.0
43,3,0.33,0.9500735717474625
43,4,0.0,-0.22827947959108985
44,0,0.33,0.0
44,1,-0.67,0.33
44,2,0.0,0.4604322608702833
44,3,-0.33,-2.6281057404572037
44,4,0.0,-0.9529150476010975
45,0,0.33,0.0
45,1,0.33,0.33
45,2,-0.33,0.33
45,3,-0.33,0.1090892607204497
45,4,0.33,0.07472789667876106
46,0,-0.33,0.0
46,1,-0.33,-0.33
46,2,0.0,-0.33
46,3,0.0,0.5981385596992326
46,4,0.0,-0.19526566816300633
47,0,-0.33,0.0
47,1,0.0,-0.33
47,2,0.33,-0.5880916017627255
47,3,0.67,0.11252354556353084
47,4,0.33,0.3678583969424379
48,0,0.33,0.0
48,1,-0.33,0.33
48,2,0.33,0.19366753345539856
48,3,0.0,0.1964076161754772
48,4,0.33,-0.1816572029824547
49,0,-0.33,0.0
49,1,-0.33,-0.33
49,2,0.0,-0.33
49,3,0.0,-0.3300115402528058
49,4,-0.33,-0.16532537542792186
50,0,0.33,0.0
50,1,0.33,0.33
50,2,0.0,0.33
50,3,0.0,0.11884053799916017
50,4,0.0,0.2389196614497583
51,0,0.0,0.0
51,1,0.0,0.0
51,2,0.33,0.0
51,3,-0.33,-0.06454820753965837
51,4,0.0,-0.011215428580903242
52,0,0.0,0.0
52,1,-0.33,0.0
52,2,0.0,0.027991930117051672
52,3,0.0,0.3193526562928396
52,4,0.0,0.02472862041702295
53,0,0.0,0.0
53,1,-0.33,0.0
53,2,-0.33,-0.17591959889908063
53,3,0.33,-0.2683031817663004
53,4,0.0,0.6391051773859053
54,0,-0.33,0.0
54,1,0.33,-0.33
54,2,-0.33,-0.2052130748161683
54,3,0.67,0.403239441022642
54,4,0.0,-0.24292501627942037
55,0,-0.33,0.0
55,1,0.33,-0.33
55,2,-0.33,-0.12362465650120129
55,3,0.0,0.048306097162011036
55,4,-0.33,-0.25694259545110787
56,0,-0.33,0.0
56,1,-0.33,-0.33
56,2,0.0,-0.33
56,3,-0.33,-0.20848578445431054
56,4,0.0,-0.30212843509138476
57,0,0.0,0.0
57,1,0.0,0.0
57,2,0.0,0.0
57,3,0.0,0.0
57,4,-0.33,0.0
58,0,0.0,0.0
58,1,0.0,0.0
58,2,-0.33,0.0
58,3,-0.33,-0.14046548814682447
58,4,-0.33,-0.35127701398590594
59,0,0.67,0.0
59,1,0.0,0.67
59,2,0.0,0.014919364211775255
59,3,-0.33,-0.2941278510840065
59,4,0.33,0.45123096375230154
60,0,0.0,0.0
60,1,0.0,0.0
60,2,-0.33,0.0
60,3,-0.33,-0.24109531754193664
60,4,0.0,-0.313043051360211
61,0,0.33,0.0
61,1,0.0,0.33
61,2,0.67,0.23944848485503548
61,3,-0.33,0.520855656627415
61,4,0.33,0.16342737438423122
62,0,-0.33,0.0
62,1,0.0,-0.33
62,2,0.0,-0.490432223835159
62,3,0.0,-0.11054541929043948
62,4,-0.33,-0.08263599241376948
63,0,0.0,0.0
63,1,0.0,0.0
63,2,0.0,0.0
63,3,-0.33,0.0
63,4,0.0,-0.0824462544678379
64,0,0.0,0.0
64,1,0.0,0.0
64,2,-0.33,0.0
64,3,-0.33,0.12363278791924004
64,4,-0.33,-0.09664639305997069
65,0,0.0,0.0
65,1,-0.33,0.0
65,2,0.0,-0.08839255478648084
65,3,0.67,0.09983367298433077
65,4,-0.33,-0.3054873950948883
66,0,-0.33,0.0
66,1,0.0,-0.33
66,2,0.0,-0.18232510088721657
66,3,0.0,-0.1963441648886013
66,4,-0.33,0.11887175840620612
67,0,-0.33,0.0
67,1,0.0,-0.33
67,2,-0.33,-0.03674330842606255
67,3,0.0,-0.14841635992046456
67,4,-0.33,-0.1788789599158203
68,0,0.67,0.0
68,1,-0.33,0.67
68,2,0.0,-0.3272717295536105
68,3,0.0,0.17223679327902897
68,4,-0.33,-0.1140604454057752
69,0,0.33,0.0
69,1,0.0,0.33
69,2,0.0,0.3711640757649212
69,3,0.0,0.028422013151216285
69,4,-0.33,0.27344868272620904
70,0,0.0,0.0
70,1,0.0,0.0
70,2,0.0,0.0
70,3,0.33,0.0
70,4,0.0,0.1034151366579951
71,0,0.0,0.0
71,1,0.33,0.0
71,2,-0.33,0.3250112972966338
71,3,-0.67,-3.129534119801296e-05
71,4,0.0,-0.16758458123429584
72,0,0.67,0.0
72,1,0.0,0.67
72,2,-0.33,1.0022468280936883
72,3,0.0,0.11288437364499161
72,4,0.33,0.084551448509404
73,0,0.33,0.0
73,1,-0.33,0.33
73,2,-0.33,0.021893646964360636
73,3,0.0,-0.345120875645772
73,4,-0.33,0.1714338210513502
74,0,0.67,0.0
74,1,-0.33,0.67
74,2,0.33,0.249205176066954
74,3,-0.33,-1.3591150798050753
74,4,0.33,0.34287370646933946
75,0,-0.33,0.0
75,1,-0.67,-0.33
75,2,0.33,-0.3673967302226924
75,3,0.0,-0.4720725961124901
75,4,-0.33,0.8589216272553208
76,0,-0.33,0.0
76,1,0.0,-0.33
76,2,0.33,-0.012353121145437629
76,3,-0.33,-0.2552266035783654
76,4,0.0,0.6562236817141425
77,0,0.0,0.0
77,1,-0.33,0.0
77,2,0.0,-0.30198758806269277
77,3,-0.33,-0.3396286948202703
77,4,0.0,-0.7893304388166683
78,0,0.33,0.0
78,1,0.0,0.33
78,2,0.33,0.3444273269091261
78,3,-0.33,0.01921891539029756
78,4,0.0,0.3048329738348202
79,0,-0.33,0.0
79,1,0.0,-0.33
79,2,0.0,-0.21696112364442138
79,3,-0.33,0.003321578197034991
79,4,0.0,0.40211463082706234
80,0,0.33,0.0
80,1,-0.67,0.33
80,2,0.0,2.007410645162773
80,3,0.0,-0.11164258699771736
80,4,-0.33,-0.0854650396088442
81,0,-0.33,0.0
81,1,0.0,-0.33
81,2,0.0,-0.15271043557447683
81,3,0.0,0.007443071206913787
81,4,-0.33,0.0049250737073853745
82,0,0.0,0.0
82,1,0.0,0.0
82,2,-0.33,0.0
82,3,0.0,-0.05820957424054954
82,4,-0.33,-0.12377556953750368
83,0,0.0,0.0
83,1,-0.33,0.0
83,2,0.0,0.05490151171634172
83,3,0.0,-0.25978218212971316
83,4,-0.33,-0.11262066815401206
84,0,-0.33,0.0
84,1,-0.67,-0.33
84,2,-0.33,-0.3842728001939195
84,3,-0.33,-0.5414609931903741
84,4,0.0,-0.3630390807410752
85,0,-0.33,0.0
85,1,0.33,-0.33
85,2,-0.33,-0.18521280608283974
85,3,0.0,-0.34736641308064514
85,4,0.33,-0.06294002487227168
86,0,-0.33,0.0
86,1,0.0,-0.33
86,2,-0.67,-0.17145422599639146
86,3,-0.33,-0.4081426537364964
86,4,0.0,-1.058696391434511
87,0,0.33,0.0
87,1,0.0,0.33
87,2,0.33,-0.12438390156513002
87,3,-0.33,0.45230410716184444
87,4,0.0,0.08268568048962559
88,0,-0.33,0.0
88,1,0.0,-0.33
88,2,0.0,-0.08918412291365752
88,3,0.33,-0.1534345965940661
88,4,0.0,0.003180449290086298
89,0,0.0,0.0
89,1,0.0,0.0
89,2,0.33,0.0
89,3,-0.33,0.11476625890476344
89,4,-0.33,-0.08264211824934492
