run,trial,ytrue,ypred
0,0,-0.88,0.0
0,1,0.37,-0.88
0,2,-0.66,-1.1114370151459183
0,3,-0.54,0.284292400792566
0,4,0.16,-0.7406830599710108
1,0,-0.63,0.0
1,1,-0.18,-0.63
1,2,-0.31,-0.23223651756549563
1,3,-0.99,-0.8284603871024617
1,4,-0.94,-0.9389033200204047
2,0,-0.18,0.0
2,1,-0.3,-0.18
2,2,0.07,-0.24857249595284545
2,3,-0.62,0.04562299889933348
2,4,-0.97,-1.5411277768530125
3,0,0.43,0.0
3,1,-0.91,0.43
3,2,-0.8,-0.8825577757235299
3,3,-0.94,-0.9914427897436988
3,4,-0.76,-0.784467689610076
4,0,-0.06,0.0
4,1,-0.54,-0.06
4,2,-0.22,-0.20450890178035616
4,3,-0.67,-0.1800506031668682
4,4,-0.91,-0.8524897374736419
5,0,0.92,0.0
5,1,-0.4,0.92
5,2,-0.62,-0.3933285198555952
5,3,-0.26,-0.25290131420116324
5,4,-0.32,-0.12299712966580145
6,0,-0.68,0.0
6,1,-1.0,-0.68
6,2,0.59,-0.11679500752214844
6,3,-0.78,-0.7112109701598994
6,4,-0.99,-0.8619389723020647
7,0,-1.0,0.0
7,1,0.43,-1.0
7,2,-0.4,-0.021592709346635153
7,3,-0.44,-1.2737829280480364
7,4,-0.39,1.5624558434907505
8,0,-0.3,0.0
8,1,-0.94,-0.3
8,2,-0.67,-0.3442267448545476
8,3,-0.16,-0.24618772224112967
8,4,-0.91,-0.9075156853378169
9,0,-0.22,0.0
9,1,-0.91,-0.22
9,2,-0.86,-0.8115388919977617
9,3,-0.61,-0.1352523629351528
9,4,-0.95,-1.4074911128776133
10,0,-0.39,0.0
10,1,0.92,-0.39
10,2,-1.0,4.153674709562107
10,3,-0.12,0.29370356158138
10,4,-0.32,1.9904463917717963
11,0,-0.47,0.0
11,1,-0.75,-0.47
11,2,-0.91,-0.7623758911211924
11,3,-0.91,-0.4657773716517995
11,4,-0.6,-0.7770713689984846
12,0,-0.94,0.0
12,1,-0.61,-0.94
12,2,-0.65,-0.45107462686567146
12,3,-0.76,-0.7155979173180335
12,4,-0.88,-0.7477950027876492
13,0,-0.18,0.0
13,1,-0.96,-0.18
13,2,-0.76,-0.8062426007704594
13,3,-0.19,-0.4208994856408452
13,4,-0.12,-0.2637078679488404
14,0,-0.76,0.0
14,1,0.43,-0.76
14,2,1.0,0.5447106186463553
14,3,-0.97,-1.3071601958076486
14,4,-0.4,-0.17024093082769418
15,0,-0.58,0.0
15,1,-0.6,-0.58
15,2,-0.78,-0.5726274509803921
15,3,-0.26,-0.549959566229101
15,4,-0.34,-0.21339041787128915
16,0,0.16,0.0
16,1,-0.94,0.16
16,2,-0.61,-0.3540635184644085
16,3,-1.0,-1.3486626879332189
16,4,-0.73,1.2602636944565824
17,0,-0.62,0.0
17,1,-0.61,-0.62
17,2,-1.0,-0.6019206876010552
17,3,-0.94,-0.9136500793216453
17,4,-0.88,-0.890081101511343
18,0,-0.86,0.0
18,1,-0.91,-0.86
18,2,-0.01,-0.6485452983867953
18,3,-0.39,0.5221358571604323
18,4,-0.67,-0.796208752192039
19,0,-0.32,0.0
19,1,-1.0,-0.32
19,2,-0.39,-0.19643186642139537
19,3,-0.6,-0.569848449026304
19,4,-0.67,-0.6565675188990777
20,0,-0.39,0.0
20,1,0.07,-0.39
20,2,-0.3,0.308872403560831
20,3,-0.12,-0.3789692091252095
20,4,-0.58,0.45490759693935073
21,0,-0.9,0.0
21,1,-0.32,-0.9
21,2,0.16,-0.31287899783825734
21,3,-0.99,-0.7596786017689301
21,4,-0.16,0.5362212970154269
22,0,-0.06,0.0
22,1,-0.67,-0.06
22,2,-0.9,-0.9822303839732884
22,3,-0.44,0.04682546231515816
22,4,-0.76,-0.57469078385892
23,0,-0.31,0.0
23,1,-0.91,-0.31
23,2,-0.94,-0.9034754012102079
23,3,0.36,-0.31299837640363276
23,4,1.0,-0.2874498417775192
24,0,-0.96,0.0
24,1,-0.99,-0.96
24,2,0.45,-0.4572148947812391
24,3,0.15,-0.5108413054879635
24,4,-0.32,0.4906929044265562
25,0,0.92,0.0
25,1,-0.76,0.92
25,2,-0.79,-0.7545113413609635
25,3,-0.97,-1.9206846730078762
25,4,-0.68,-0.21834398835973678
26,0,0.59,0.0
26,1,0.45,0.59
26,2,-0.34,0.4491273615216554
26,3,-0.62,-0.5677739160602338
26,4,-0.65,-0.6199999999999997
27,0,-0.71,0.0
27,1,0.43,-0.71
27,2,-1.0,-1.3238527374763036
27,3,-0.99,-0.7232691591722146
27,4,-0.76,-0.7929426406158547
28,0,-0.19,0.0
28,1,-0.12,-0.19
28,2,-0.86,-0.20243975716758725
28,3,-0.91,-1.0815475695873233
28,4,0.16,-0.21565753329464804
29,0,-0.12,0.0
29,1,-0.67,-0.12
29,2,-0.99,-1.285063829787234
29,3,-0.61,-0.632857815915097
29,4,-0.94,-0.8407136920250046
30,0,1.0,0.0
30,1,-0.4,1.0
30,2,-0.39,0.3894490685691637
30,3,-0.91,-2.048962320551046
30,4,-0.55,-0.13879982473279276
31,0,-0.67,0.0
31,1,-0.61,-0.67
31,2,-0.32,-0.8647133757961787
31,3,-0.79,-0.5173388386898057
31,4,-0.63,-0.4563589271106163
32,0,-0.55,0.0
32,1,-0.87,-0.55
32,2,-0.61,-0.7765959229265568
32,3,-1.0,-1.0789946274271895
32,4,0.16,-0.46117282879204347
33,0,-0.68,0.0
33,1,-0.39,-0.68
33,2,-0.63,-0.6310794862894828
33,3,-0.79,-0.6773995451588352
33,4,-0.99,-0.7951438986640558
34,0,0.45,0.0
34,1,-0.58,0.45
34,2,-0.66,-0.9109027383500015
34,3,-0.5,-0.44059342511014954
34,4,0.43,1.0011047369296806
35,0,-0.91,0.0
35,1,-0.44,-0.91
35,2,-0.06,-0.27890815989428464
35,3,0.37,0.1781267768155847
35,4,-0.88,-1.3276497813606405
36,0,-0.97,0.0
36,1,-0.44,-0.97
36,2,-0.61,-0.5064204412567239
36,3,-0.94,-0.8711687634346992
36,4,-0.18,-0.17524159246172677
37,0,-0.94,0.0
37,1,-0.92,-0.94
37,2,-0.88,-0.9317139091280255
37,3,-0.9,-1.0010864617473993
37,4,-0.81,-1.5320437332482362
38,0,-0.01,0.0
38,1,-0.97,-0.01
38,2,0.25,0.10814610627816795
38,3,-0.8,-0.4577136534269777
38,4,-0.67,0.06297470497326985
39,0,-0.92,0.0
39,1,-0.19,-0.92
39,2,0.16,-0.23387695836790479
39,3,-0.58,-0.934208091505301
39,4,-0.61,-0.268353232205942
40,0,-0.94,0.0
40,1,-0.94,-0.94
40,2,-0.12,-0.94
40,3,-0.34,-0.11389009402724837
40,4,-0.31,-0.29230355099611316
41,0,-0.65,0.0
41,1,0.25,-0.65
41,2,0.45,0.22461908580593415
41,3,0.16,-0.025931870216298614
41,4,-0.94,-2.5885377100001032
42,0,-0.4,0.0
42,1,-0.61,-0.4
42,2,0.15,-0.624316018493337
42,3,0.92,-1.570090716801932
42,4,-0.42,-4.694001846124654
43,0,0.18,0.0
43,1,-0.58,0.18
43,2,-0.31,0.9535193333957493
43,3,-0.99,0.27202709504537387
43,4,-0.32,-0.44996557722074987
44,0,1.0,0.0
44,1,-0.56,1.0
44,2,-0.61,-0.6798087537116877
44,3,-0.44,-0.5838591201996127
44,4,0.36,0.4678203312169759
45,0,-0.62,0.0
45,1,-0.6,-0.62
45,2,-0.9,-0.5954109779882975
45,3,-0.4,-0.5291527974889936
45,4,-0.61,-0.6147874187129996
46,0,-0.76,0.0
46,1,-0.67,-0.76
46,2,1.0,-0.47049467418417107
46,3,-0.87,-1.0139043860972634
