run,trial,ytrue,ypred
0,0,-1.0,0.0
0,1,-1.0,-1.0
0,2,-0.98,-1.0
0,3,-1.0,-0.9979498860714081
0,4,-0.99,-1.0353638762957023
1,0,-1.0,0.0
1,1,-1.0,-1.0
1,2,-0.91,-1.0
1,3,-1.0,-0.9105011872984261
1,4,-1.0,-0.9774440679527607
2,0,-1.0,0.0
2,1,-0.93,-1.0
2,2,-1.0,-0.9356010091908453
2,3,-0.99,-0.814649304258955
2,4,-1.0,-1.074884448848143
3,0,-1.0,0.0
3,1,-1.0,-1.0
3,2,-1.0,-1.0
3,3,-0.99,-1.0
3,4,-1.0,-1.0049252335633159
4,0,-1.0,0.0
4,1,-0.99,-1.0
4,2,-1.0,-0.9942379310344828
4,3,-1.0,-0.9901450488742101
4,4,-1.0,-0.9854003235759738
5,0,-1.0,0.0
5,1,-1.0,-1.0
5,2,-1.0,-1.0
5,3,-0.99,-1.0
5,4,-1.0,-1.0053377654908855
6,0,-1.0,0.0
6,1,-1.0,-1.0
6,2,-0.99,-1.0
6,3,-1.0,-1.0108275148426729
6,4,-1.0,-0.9926145128379733
7,0,-1.0,0.0
7,1,-1.0,-1.0
7,2,-0.96,-1.0
7,3,-1.0,-1.035914258406868
7,4,-1.0,-0.9957706221684288
8,0,-0.95,0.0
8,1,-1.0,-0.95
8,2,-1.0,-1.0028105518058632
8,3,-0.96,-0.9996215171684487
8,4,-1.0,-0.9497856907144802
9,0,-1.0,0.0
9,1,-1.0,-1.0
9,2,-1.0,-1.0
9,3,-0.99,-1.0
9,4,-0.99,-1.0063826143261767
10,0,-0.99,0.0
10,1,-1.0,-0.99
10,2,-1.0,-0.9981729250149092
10,3,-0.99,-1.0002001500330409
10,4,-1.0,-0.9842317711956582
11,0,-1.0,0.0
11,1,-1.0,-1.0
11,2,-1.0,-1.0
11,3,-1.0,-1.0
11,4,-1.0,-1.0
12,0,-0.98,0.0
12,1,-1.0,-0.98
12,2,-1.0,-0.9902059213433495
12,3,-1.0,-0.9987965212941807
12,4,-1.0,-0.981889506339987
13,0,-1.0,0.0
13,1,-0.95,-1.0
13,2,-1.0,-0.9370465555949427
13,3,-1.0,-0.9491341924721054
13,4,-0.99,-1.0223642346013702
14,0,-1.0,0.0
14,1,-1.0,-1.0
14,2,-1.0,-1.0
14,3,-1.0,-1.0
14,4,-0.98,-1.0
15,0,-0.99,0.0
15,1,-0.99,-0.99
15,2,-1.0,-0.99
15,3,-1.0,-0.9979626196346078
15,4,-1.0,-0.9995497015997286
16,0,-1.0,0.0
16,1,-0.97,-1.0
16,2,-1.0,-0.9807506329113924
16,3,-1.0,-1.0094583474277319
16,4,-1.0,-0.9810338114743963
17,0,-1.0,0.0
17,1,-1.0,-1.0
17,2,-0.99,-1.0
17,3,-1.0,-0.9976767165728806
17,4,-0.39,-1.0002636262588653
18,0,-0.99,0.0
18,1,-0.96,-0.99
18,2,-1.0,-0.9636583621408987
18,3,-1.0,-1.0001797926060316
18,4,-1.0,-0.974409185193396
19,0,-1.0,0.0
19,1,-0.99,-1.0
19,2,-1.0,-0.9920802884027862
19,3,-1.0,-0.9984071636652972
19,4,-1.0,-0.997032163878244
20,0,-0.95,0.0
20,1,-0.99,-0.95
20,2,-1.0,-0.9898013234105048
20,3,-1.0,-0.9119740017396594
20,4,-1.0,-1.0271397479617734
21,0,-0.97,0.0
21,1,-1.0,-0.97
21,2,-1.0,-0.9718003663276399
21,3,-1.0,-0.9996602751351039
21,4,-0.99,-0.9893636989418749
22,0,-1.0,0.0
22,1,-1.0,-1.0
22,2,-1.0,-1.0
22,3,-0.99,-1.0
22,4,-1.0,-0.9978307344216967
23,0,-0.98,0.0
23,1,-1.0,-0.98
23,2,-1.0,-0.9803831377842384
23,3,-0.99,-1.015069834190564
23,4,-1.0,-0.9993033547926347
24,0,-1.0,0.0
24,1,-1.0,-1.0
24,2,-0.99,-1.0
24,3,-1.0,-0.9980396797039014
24,4,-1.0,-0.9965650129094771
25,0,-1.0,0.0
25,1,-0.98,-1.0
25,2,-1.0,-1.0000817468334757
25,3,-1.0,-0.9976178137769015
25,4,-0.99,-0.978050730467982
26,0,-1.0,0.0
26,1,-1.0,-1.0
26,2,-1.0,-1.0
26,3,-0.98,-1.0
26,4,-0.99,-0.9954971475654645
27,0,-1.0,0.0
27,1,-1.0,-1.0
27,2,-0.93,-1.0
27,3,-1.0,-0.9943539237448179
27,4,-1.0,-1.0021884027528254
28,0,-0.98,0.0
28,1,-1.0,-0.98
28,2,-1.0,-0.9792819126262072
28,3,-1.0,-1.0194525585770173
28,4,-0.99,-0.9910031968909752
29,0,-1.0,0.0
29,1,-1.0,-1.0
29,2,-0.99,-1.0
29,3,-1.0,-0.9410187320394137
29,4,-1.0,-0.9698886895674658
30,0,-1.0,0.0
30,1,-1.0,-1.0
30,2,-1.0,-1.0
30,3,-1.0,-1.0
30,4,-1.0,-1.0
31,0,-1.0,0.0
31,1,-1.0,-1.0
31,2,-0.99,-1.0
31,3,-0.99,-0.99569151758039
31,4,-1.0,-0.9960223449870309
32,0,-1.0,0.0
32,1,-1.0,-1.0
32,2,-1.0,-1.0
32,3,-0.93,-1.0
32,4,-0.93,-0.9533210133639276
33,0,-1.0,0.0
33,1,-1.0,-1.0
33,2,-1.0,-1.0
33,3,-1.0,-1.0
33,4,-1.0,-1.0
34,0,-1.0,0.0
34,1,-1.0,-1.0
34,2,-1.0,-1.0
34,3,-1.0,-1.0
34,4,-1.0,-1.0
35,0,-1.0,0.0
35,1,-1.0,-1.0
35,2,-1.0,-1.0
35,3,-1.0,-1.0
35,4,-1.0,-1.0
36,0,-1.0,0.0
36,1,-1.0,-1.0
36,2,-0.99,-1.0
36,3,-1.0,-0.9956085376425039
36,4,-0.97,-0.9958782714435731
37,0,-1.0,0.0
37,1,-1.0,-1.0
37,2,-1.0,-1.0
37,3,-1.0,-1.0
37,4,-1.0,-1.0
38,0,-1.0,0.0
38,1,-1.0,-1.0
38,2,-1.0,-1.0
38,3,-1.0,-1.0
38,4,-0.99,-1.0
39,0,-0.98,0.0
39,1,-1.0,-0.98
39,2,-1.0,-0.9972434425659222
39,3,-1.0,-1.0091622827296702
39,4,-1.0,-1.004178293822502
40,0,-1.0,0.0
40,1,-1.0,-1.0
40,2,-0.94,-1.0
40,3,-0.99,-0.9914741503925976
40,4,-1.0,-0.9405414184989238
41,0,-0.99,0.0
41,1,-1.0,-0.99
41,2,-1.0,-1.0282091740723012
41,3,-1.0,-0.9288691689362648
41,4,-1.0,-1.0145790050019134
42,0,-1.0,0.0
42,1,-0.99,-1.0
42,2,-0.94,-0.990787884886295
42,3,-1.0,-1.0024413905960383
42,4,-0.98,-1.0079644756209094
43,0,-1.0,0.0
43,1,-0.99,-1.0
43,2,-1.0,-0.9985584609528272
43,3,-1.0,-0.9982103445038517
43,4,-0.99,-1.000332103992006
44,0,-1.0,0.0
44,1,-1.0,-1.0
44,2,-0.96,-1.0
44,3,-1.0,-0.9924875578219864
44,4,-0.99,-1.0352215585004083
45,0,-1.0,0.0
45,1,-1.0,-1.0
45,2,-1.0,-1.0
45,3,-1.0,-1.0
45,4,-1.0,-1.0
46,0,-1.0,0.0
46,1,-1.0,-1.0
46,2,-1.0,-1.0
46,3,-1.0,-1.0
46,4,-1.0,-1.0
47,0,-1.0,0.0
47,1,-0.98,-1.0
47,2,-1.0,-0.9999065179622261
47,3,-1.0,-0.9878538751019903
47,4,-1.0,-0.9921461844504752
48,0,-1.0,0.0
48,1,-1.0,-1.0
48,2,-0.99,-1.0
48,3,-1.0,-0.9915591351183969
48,4,-1.0,-0.9910036640417567
49,0,-1.0,0.0
49,1,-0.98,-1.0
49,2,-1.0,-0.9805170883552217
49,3,-0.99,-0.9733601859436465
49,4,-0.97,-1.0214125194915855
50,0,-1.0,0.0
50,1,-1.0,-1.0
50,2,-0.98,-1.0
50,3,-0.99,-0.976614849509319
50,4,-1.0,-0.9847019273561124
51,0,-1.0,0.0
51,1,-1.0,-1.0
51,2,-1.0,-1.0
51,3,-1.0,-1.0
51,4,-1.0,-1.0
52,0,-1.0,0.0
52,1,-1.0,-1.0
52,2,-1.0,-1.0
52,3,-1.0,-1.0
52,4,-0.87,-1.0
53,0,-1.0,0.0
