run,trial,ytrue,ypred
0,0,-0.81,0.0
0,1,-0.36,-0.81
0,2,-0.81,-0.24279356384799722
0,3,-0.42,-0.7843690020604157
0,4,0.29,-0.8239725638750073
1,0,-0.58,0.0
1,1,-0.27,-0.58
1,2,-0.16,-0.4072200566383474
1,3,0.43,-0.429034300834316
1,4,0.23,0.07476316869437644
2,0,-0.59,0.0
2,1,-0.16,-0.59
2,2,-0.76,-0.49300315173345344
2,3,-0.81,-0.46513634690598027
2,4,0.29,-0.5438647994150835
3,0,-0.21,0.0
3,1,0.32,-0.21
3,2,-0.14,0.16276468098150554
3,3,-0.78,0.3272871359688988
3,4,-0.76,-0.5873607057303987
4,0,-0.39,0.0
4,1,-0.16,-0.39
4,2,0.43,-0.3022004637060817
4,3,-0.67,-0.442877809829137
4,4,-0.45,0.22046055012702737
5,0,-0.67,0.0
5,1,-0.81,-0.67
5,2,0.36,-0.8120478834557286
5,3,-0.97,-0.7084754670435633
5,4,0.32,-0.9220723643383077
6,0,-0.77,0.0
6,1,0.36,-0.77
6,2,-0.21,0.20862376877435512
6,3,-0.25,-0.7601046997291243
6,4,-0.81,-0.3109742485147128
7,0,-0.78,0.0
7,1,0.19,-0.78
7,2,-0.97,-0.767250755287009
7,3,-0.16,-0.1340626816433712
7,4,-0.45,-0.42575659345675254
8,0,-0.25,0.0
8,1,0.36,-0.25
8,2,-0.39,-0.31808173205429
8,3,-0.3,-0.4424101490664112
8,4,-0.59,-0.5339337861676255
9,0,-0.25,0.0
9,1,-0.36,-0.25
9,2,0.5,-0.26235887011392034
9,3,0.23,0.39366192183788284
9,4,0.07,-0.04324335109790288
10,0,-0.76,0.0
10,1,0.23,-0.76
10,2,0.5,0.21229405005745122
10,3,-0.3,-0.2966401207886787
10,4,-0.97,-0.3740609503298383
11,0,-0.26,0.0
11,1,0.43,-0.26
11,2,-0.97,0.3181773856512654
11,3,0.07,-0.7822053669577846
11,4,0.32,-0.09999529071857982
12,0,-0.14,0.0
12,1,-0.77,-0.14
12,2,-0.97,-0.951446011366028
12,3,-0.25,-0.5700144906833402
12,4,-0.16,-0.3287641989110481
13,0,-0.25,0.0
13,1,-0.16,-0.25
13,2,0.07,-0.19028442437923254
13,3,-0.45,-0.012977769014384175
13,4,0.5,-1.6612620747397564
14,0,-0.26,0.0
14,1,0.32,-0.26
14,2,-0.67,-0.5841850568423611
14,3,-0.42,-0.2990347283273045
14,4,0.19,-0.36235887451832677
15,0,-0.45,0.0
15,1,0.45,-0.45
15,2,0.36,0.2692448272574136
15,3,0.07,-0.5798985505532417
15,4,0.19,0.48806971395439375
16,0,0.23,0.0
16,1,0.29,0.23
16,2,-0.36,0.2719894366197183
16,3,-0.76,-0.30224415106873775
16,4,-0.14,-0.14303740760073966
17,0,-0.97,0.0
17,1,0.07,-0.97
17,2,0.36,0.6046388302902455
17,3,1.0,-0.4779763204939752
17,4,-0.81,-0.246435801951647
18,0,0.45,0.0
18,1,-1.0,0.45
18,2,0.29,-0.65260555169839
18,3,-0.97,-0.7803398765718172
18,4,-0.16,-0.13149979861118521
19,0,0.36,0.0
19,1,-0.42,0.36
19,2,-0.67,-0.5234726166328599
