run,trial,ytrue,ypred
0,0,-0.8,0.0
0,1,-0.12,-0.7999999999999985
0,2,-0.18,-0.25600000000000017
0,3,-0.22,-0.6465999999999988
0,4,-0.34,-0.1954
0,5,0.45,-0.1935999999999999
0,6,-0.71,-0.43749999999999967
0,7,0.01,-0.2815999999999999
0,8,0.92,0.050999999999999976
0,9,-0.96,-0.6965999999999991
1,0,-0.86,0.0
1,1,-0.88,-0.8599999999999995
1,2,-0.65,-0.8665999999999997
1,3,-0.9,-0.8412999999999998
1,4,-0.95,-0.8872000000000004
1,5,-0.16,-0.7493000000000001
1,6,1.0,-0.31999999999999995
1,7,-0.6,-0.5899999999999991
1,8,-0.3,-0.5799999999999997
1,9,-0.91,-0.7578999999999997
2,0,-0.3,0.0
2,1,-0.56,-0.3000000000000005
2,2,-0.58,-0.41959999999999986
2,3,-0.91,-0.39219999999999994
2,4,-0.01,-0.5249999999999995
2,5,-0.87,-0.564099999999999
2,6,-0.39,-0.27450000000000024
2,7,-0.31,-0.35789999999999994
2,8,0.25,-0.29300000000000004
2,9,-0.55,-0.19150000000000017
3,0,-0.67,0.0
3,1,-0.76,-0.6700000000000013
3,2,0.45,-0.7429000000000003
3,3,-0.91,-0.705100000000001
3,4,-0.22,-0.7768
3,5,-0.91,-0.7314999999999996
3,6,-0.58,0.007300000000000002
3,7,-0.9,-0.8025999999999989
3,8,-0.67,-0.4752999999999999
3,9,-0.19,-0.19080000000000008
4,0,-0.73,0.0
4,1,-0.31,-0.7299999999999993
4,2,-0.91,-0.658599999999999
4,3,0.36,-0.4221999999999998
4,4,-0.99,-0.8330999999999988
4,5,-0.67,-0.635299999999999
4,6,-0.06,-0.6024
4,7,-0.34,-0.0759999999999999
4,8,1.0,-0.009000000000000018
4,9,-0.9,-0.9341999999999987
5,0,-0.91,0.0
5,1,-0.9,-0.9099999999999979
5,2,-0.99,-0.9039999999999996
5,3,-0.67,-0.9080999999999988
5,4,-0.66,-0.9287000000000003
5,5,-0.62,-0.7432000000000005
5,6,-0.94,-0.7774999999999984
5,7,-0.54,-0.6529999999999997
5,8,0.15,-0.7421000000000001
5,9,-0.44,-0.2607000000000004
6,0,-0.67,0.0
6,1,-0.06,-0.6700000000000013
6,2,-0.79,-0.45650000000000096
6,3,-0.3,-0.5694000000000006
6,4,-0.22,-0.6762000000000005
6,5,-0.91,-0.5380999999999992
6,6,-0.91,-0.6328999999999992
6,7,-0.5,-0.5105999999999998
6,8,1.0,-0.17420000000000008
6,9,-0.71,-0.4328999999999998
7,0,-0.31,0.0
7,1,0.45,-0.30999999999999944
7,2,0.36,-0.043999999999999956
